time,ax,ay,az,gx,gy,gz,mx,my,mz,psi,theta,normAccel,normMag,normGyr
0.001,0.1,-0.28,-10.49,-0.88,-0.57,-0.95,-47.21,5.4,-45.1,-0.8181330137615952,-0.5459832799426181,0.0,0.0,0.0
0.014,0.07,-0.17,-10.6,-0.82,-0.61,-0.95,-47.21,5.4,-45.1,-0.5498680201476471,-0.4617285550039725,10.494212690812017,65.51300710545961,81.06492306450127
0.025,0.07,-0.17,-10.6,-0.82,-0.61,-0.95,-47.21,5.4,-45.1,-0.4605201083443913,-0.4338306519257884,10.60159421973884,65.51300710545961,79.94763263207277
0.038,0.03,-0.16,-10.25,-0.73,-0.63,-0.98,-47.21,5.4,-45.1,-0.4185985345758528,-0.368788082091541,10.60159421973884,65.51300710545961,79.94763263207277
0.098,-0.07,-0.62,-9.46,-0.74,-0.72,-0.91,-47.58,3.31,-43.75,-0.3804015834096894,-0.22285700151067545,10.25129260142349,65.51300710545961,78.77284153051862
0.109,-0.07,-0.62,-9.46,-0.74,-0.72,-0.91,-47.58,3.31,-43.75,-0.3631802883550741,-0.12231910394100964,9.480553781293581,64.72151883261084,78.85406462293015
0.121,-0.18,-0.3,-10.12,-0.85,-0.59,-0.86,-47.58,3.31,-43.75,-0.11414641251147954,0.0403389611535232,9.480553781293581,64.72151883261084,78.85406462293015
0.134,-0.05,-0.53,-10.13,-0.83,-0.56,-0.91,-47.58,3.31,-43.75,-0.06188057332709223,0.07059599725957355,10.126045625020657,64.72151883261084,77.08784634941658
0.148,-0.05,-0.53,-10.13,-0.83,-0.56,-0.91,-47.58,3.31,-43.75,-0.020905078148558874,0.09413051348917634,10.14397850944096,64.72151883261084,77.5209991185066
0.159,0.18,-0.8,-9.68,-0.81,-0.59,-0.94,-47.58,3.31,-43.75,-0.11635249763395723,-0.017017447885237402,10.14397850944096,64.72151883261084,77.5209991185066
0.17200000000000001,0.18,-0.8,-9.68,-0.81,-0.59,-0.94,-47.58,3.31,-43.75,-0.1941535190322733,-0.10867920969010925,9.714669320157016,64.72151883261084,78.72281643559363
0.183,0.28,-0.87,-9.46,-0.89,-0.61,-0.91,-47.58,3.31,-43.75,-0.2853467522102422,-0.23356245446845492,9.714669320157016,64.72151883261084,78.72281643559363
0.198,0.26,-0.75,-9.61,-0.95,-0.55,-0.85,-47.21,2.27,-44.09,-0.22526596177199185,-0.330961692955583,9.50404650662022,64.72151883261084,80.87233823210751
0.209,0.26,-0.75,-9.61,-0.95,-0.55,-0.85,-47.21,2.27,-44.09,-0.17395446569452713,-0.4149003310045316,9.642727829820771,64.63640692365256,79.54627106060747
