time,ax,ay,az,gx,gy,gz,mx,my,mz
225.00,-0.41,-0.19,-9.86,-1.07,-0.65,-0.92,-47.02,1.75,-42.58
236.00,-0.48,-0.12,-9.61,-0.84,-0.59,-0.87,-47.02,1.75,-42.58
248.00,-0.48,-0.12,-9.61,-0.84,-0.59,-0.87,-47.02,1.75,-42.58
260.00,-0.29,-0.09,-9.82,-0.77,-0.54,-0.85,-47.02,1.75,-42.58
273.00,-0.22,-0.21,-9.80,-0.82,-0.55,-0.86,-47.02,1.75,-42.58
285.00,-0.22,-0.21,-9.80,-0.82,-0.55,-0.86,-47.02,1.75,-42.58
297.00,-0.42,-0.30,-9.97,-0.96,-0.54,-0.82,-50.72,3.84,-45.27
309.00,-0.43,-0.18,-10.09,-1.03,-0.52,-0.78,-50.72,3.84,-45.27
323.00,-0.43,-0.18,-10.09,-1.03,-0.52,-0.78,-50.72,3.84,-45.27
334.00,-0.23,0.06,-9.87,-1.11,-0.52,-0.80,-50.72,3.84,-45.27
346.00,-0.23,0.06,-9.87,-1.11,-0.52,-0.80,-50.72,3.84,-45.27
359.00,-0.27,0.08,-10.05,-1.07,-0.51,-0.88,-50.72,3.84,-45.27
373.00,-0.29,0.04,-10.14,-0.93,-0.52,-0.96,-50.72,3.84,-45.27
384.00,-0.29,0.04,-10.14,-0.93,-0.52,-0.96,-50.72,3.84,-45.27
396.00,-0.41,-0.23,-10.19,-0.87,-0.51,-0.98,-50.72,3.84,-45.27
408.00,-0.41,-0.23,-10.19,-0.87,-0.51,-0.98,-50.72,3.84,-45.27
422.00,-0.45,-0.26,-10.19,-1.03,-0.56,-0.97,-49.61,5.58,-45.60
433.00,-0.02,0.20,-9.99,-1.24,-0.56,-1.15,-49.61,5.58,-45.60
445.00,-0.02,0.20,-9.99,-1.24,-0.56,-1.15,-49.61,5.58,-45.60
457.00,-0.29,0.02,-9.80,-1.15,-0.65,-1.25,-49.61,5.58,-45.60
471.00,-0.48,-0.17,-9.83,-1.03,-0.73,-1.29,-49.61,5.58,-45.60
482.00,-0.48,-0.17,-9.83,-1.03,-0.73,-1.29,-49.61,5.58,-45.60
494.00,-0.04,0.27,-9.90,-0.94,-0.74,-1.11,-49.61,5.58,-45.60
507.00,-0.04,0.27,-9.90,-0.94,-0.74,-1.11,-49.61,5.58,-45.60
521.00,-0.50,-0.19,-9.89,-0.75,-0.90,-0.76,-49.61,5.58,-45.60
532.00,-0.43,0.00,-10.01,-0.81,-0.95,-0.90,-50.17,3.66,-43.75
544.00,-0.43,0.00,-10.01,-0.81,-0.95,-0.90,-50.17,3.66,-43.75
556.00,-0.79,-0.24,-9.95,-0.92,-0.76,-0.70,-50.17,3.66,-43.75
570.00,-0.79,-0.10,-10.29,-0.97,-0.54,-0.74,-50.17,3.66,-43.75
581.00,-0.79,-0.10,-10.29,-0.97,-0.54,-0.74,-50.17,3.66,-43.75
593.00,-0.49,-0.10,-10.11,-0.97,-0.23,-0.92,-50.17,3.66,-43.75
605.00,-0.49,-0.10,-10.11,-0.97,-0.23,-0.92,-50.17,3.66,-43.75
619.00,-0.46,-0.18,-10.15,-0.93,-0.35,-0.74,-50.17,3.66,-43.75
631.00,-0.35,0.01,-10.16,-0.91,-0.49,-0.71,-50.17,3.66,-43.75
642.00,-0.35,0.01,-10.16,-0.91,-0.49,-0.71,-50.17,3.66,-43.75
654.00,-0.39,-0.03,-9.62,-0.86,-0.46,-0.81,-50.17,3.66,-43.75
666.00,-0.39,-0.03,-9.62,-0.86,-0.46,-0.81,-50.17,3.66,-43.75
680.00,-0.25,0.01,-9.85,-0.80,-0.49,-1.04,-49.06,2.62,-43.42
691.00,-0.24,-0.07,-10.24,-0.77,-0.52,-1.07,-49.06,2.62,-43.42
703.00,-0.24,-0.07,-10.24,-0.77,-0.52,-1.07,-49.06,2.62,-43.42
715.00,-0.62,-0.17,-9.76,-0.76,-0.50,-1.03,-49.06,2.62,-43.42
729.00,-0.62,-0.17,-9.76,-0.76,-0.50,-1.03,-49.06,2.62,-43.42
740.00,-0.59,-0.30,-10.36,-0.64,-0.38,-0.95,-49.06,2.62,-43.42
752.00,-1.08,-2.43,-6.23,-0.49,-0.33,-0.94,-49.06,2.62,-43.42
765.00,-1.08,-2.43,-6.23,-0.49,-0.33,-0.94,-49.06,2.62,-43.42
779.00,-0.80,2.49,-10.34,-1.83,-0.06,-0.98,-49.06,2.62,-43.42
790.00,1.15,0.39,-11.25,-0.10,0.30,-1.00,-48.13,2.79,-42.24
802.00,1.15,0.39,-11.25,-0.10,0.30,-1.00,-48.13,2.79,-42.24
814.00,-0.08,-1.65,-11.36,2.47,0.47,-0.89,-48.13,2.79,-42.24
828.00,-0.08,-1.65,-11.36,2.47,0.47,-0.89,-48.13,2.79,-42.24
839.00,0.04,-1.79,-10.87,1.21,0.01,-0.90,-48.13,2.79,-42.24
851.00,0.08,-1.12,-9.33,-0.19,-0.35,-0.93,-48.13,2.79,-42.24
863.00,0.08,-1.12,-9.33,-0.19,-0.35,-0.93,-48.13,2.79,-42.24
877.00,0.42,-2.09,-8.94,-0.40,-0.28,-1.00,-48.13,2.79,-42.24
888.00,0.42,-2.09,-8.94,-0.40,-0.28,-1.00,-48.13,2.79,-42.24
900.00,0.76,-2.59,-9.19,-0.84,-0.13,-0.98,-48.13,2.79,-42.24
913.00,0.65,-2.12,-9.77,-1.36,-0.10,-0.87,-41.84,-6.25,-44.59
927.00,0.65,-2.12,-9.77,-1.36,-0.10,-0.87,-41.84,-6.25,-44.59
938.00,0.96,-1.93,-10.50,-1.04,-0.19,-0.72,-41.84,-6.25,-44.59
950.00,0.91,-1.95,-10.64,-0.98,-0.42,-0.66,-41.84,-6.25,-44.59
962.00,0.91,-1.95,-10.64,-0.98,-0.42,-0.66,-41.84,-6.25,-44.59
976.00,0.58,-1.25,-9.89,-1.39,-0.68,-0.70,-41.84,-6.25,-44.59
1065.00,0.49,-1.21,-9.52,-1.11,-0.51,-1.04,-43.13,-2.95,-44.09
1151.00,0.52,-1.28,-9.69,-0.97,-0.67,-0.99,-43.13,-2.95,-44.09
1240.00,0.52,-1.93,-8.92,-0.74,-0.78,-0.85,-42.58,-3.47,-43.59
1254.00,0.30,-1.61,-9.36,-1.02,-0.60,-0.83,-42.58,-3.47,-43.59
1265.00,0.30,-1.61,-9.36,-1.02,-0.60,-0.83,-42.58,-3.47,-43.59
