time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normMag,normGyr,thetaGyrx,thetaGyry,thetaGyrz,vx,vy,vz,posx,posy,posz,a00,a01,a02,a10,a11,a12,a20,a21,a22
0.225,-0.41,-0.19,-9.86,-1.07,-0.65,-0.92,-47.02,1.75,-42.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9975266097792392,0.05754028573618615,0.04037051275046782,0.05670283689428586,0.9981575875137082,-0.021592099873657386,-0.04153854921007287,-0.019249571585155723,-0.9989514517349232
0.23600000000000002,-0.48,-0.12,-9.61,-0.84,-0.59,-0.87,-47.02,1.75,-42.58,9.87034953788365,63.45864243741746,89.01706559788606,-0.8792484494948574,-0.5341228898800534,-0.7559893210609987,-0.005880158839779005,-0.0027249516574585635,-0.1414106491712707,0.0,0.0,0.0,-0.9975084615756169,0.054554555078274516,0.04472884533785485,0.05377941879965079,0.9983841371022287,-0.01835453339668106,-0.045657893059338525,-0.015903311065612297,-0.998830536927327
0.248,-0.48,-0.12,-9.61,-0.84,-0.59,-0.87,-47.02,1.75,-42.58,9.62272830334516,63.45864243741746,77.09636293192607,-1.5694995687244648,-1.0189421283865634,-1.470892265977378,-0.01276424723756906,-0.004445973756906077,-0.2792358356353591,-8.433236092934433e-05,-3.9080850186769325e-05,-0.0020280904360081343,-0.9974968286544366,0.05352995821906606,0.046201952311636166,0.052782473197380796,0.9984570226430265,-0.017250636451750796,-0.047054089593885864,-0.01476880184333644,-0.9987831572191248
0.26,-0.29,-0.09,-9.82,-0.77,-0.54,-0.85,-47.02,1.75,-42.58,9.62272830334516,63.45864243741746,77.09636293192607,-2.2597506879540723,-1.5037613668930734,-2.1857952108937573,-0.019648335635359115,-0.00616699585635359,-0.4170610220994475,-0.0002673952907515796,-0.00010284434259676136,-0.006032849136726023,-0.997776438782871,0.0518437467415504,0.04188560771398354,0.051232636361470296,0.9985659164871524,-0.015534716013711055,-0.042630918137252054,-0.01335426351287414,-0.9990016358669307
0.273,-0.22,-0.21,-9.8,-0.82,-0.55,-0.86,-47.02,1.75,-42.58,9.824693379439381,63.45864243741746,72.63242942700506,-2.8924808805812123,-1.947494229254964,-2.8842636053522885,-0.023807472375690607,-0.007457762430939225,-0.557897997237569,-0.0005491887894667057,-0.00019129047722997615,-0.012014276102153665,-0.9978730296008363,0.05316262109742456,0.037724693680666374,0.0525520955340379,0.9984735491208852,-0.01699555709368044,-0.03857063715094416,-0.01497689634052619,-0.9991436325803089
0.28500000000000003,-0.22,-0.21,-9.8,-0.82,-0.55,-0.86,-47.02,1.75,-42.58,9.804718251943807,63.45864243741746,75.02247321366535,-3.566297449352972,-2.3994443668457786,-3.590949275039744,-0.02696267955801105,-0.010469551104972373,-0.698448135359116,-0.0008906320068879535,-0.000298248593530608,-0.020015565956181702,-0.9979274903960438,0.05402663819906674,0.03495491777648837,0.05342366703916353,0.9984104007951395,-0.01796060645349871,-0.03586970465368389,-0.0160559630354585,-0.999227486781194
0.297,-0.42,-0.3,-9.97,-0.96,-0.54,-0.82,-50.72,3.84,-45.27,9.804718251943807,63.45864243741746,75.02247321366535,-4.240114018124732,-2.851394504436593,-4.297634944727199,-0.030117886740331494,-0.013481339779005522,-0.8389982734806629,-0.0012773267350517762,-0.00044840133372187963,-0.03003260492510626,-0.9974377876398741,0.06206029942887939,0.03558621956419851,0.06136422639183338,0.9979083593456245,-0.020330717337461585,-0.03677351638618928,-0.018094904888442346,-0.9991597884771349
0.309,-0.43,-0.18,-10.09,-1.03,-0.52,-0.78,-50.72,3.84,-45.27,9.983351140774325,68.0928549849395,78.67693215665024,-5.028972440101426,-3.2951273667984835,-4.971451513498959,-0.036141464088397794,-0.017783895027624307,-0.9819865262430938,-0.001709272973958174,-0.000641748697803791,-0.04206539300892734,-0.9971284725018748,0.06649349711293136,0.0362411943480164,0.06578132522119148,0.9976234072984235,-0.020502547705782536,-0.037518349886714666,-0.018059680284452484,-0.9991327346102726
0.323,-0.43,-0.18,-10.09,-1.03,-0.52,-0.78,-50.72,3.84,-45.27,10.10076234746665,68.0928549849395,79.79761573579614,-5.875351788680588,-3.7224256787025265,-5.612398981355023,-0.04230845994475139,-0.020365428176795576,-1.1266958011049724,-0.0022276084606458516,-0.0008968026674437593,-0.05614889728412784,-0.9968774628361322,0.06989267054044196,0.0367469548958987,0.06916792976402883,0.9973915202584367,-0.02063862419645703,-0.038093589769859576,-0.018032468530111038,-0.999111459496465
0.334,-0.23,0.06,-9.87,-1.11,-0.52,-0.8,-50.72,3.84,-45.27,10.10076234746665,68.0928549849395,79.79761573579614,-6.7217311372597495,-4.149723990606569,-6.253346449211087,-0.04847545580110498,-0.022946961325966846,-1.2714050759668507,-0.002834390081966744,-0.0011888806004185615,-0.072307800392931,-0.9969092638906509,0.07011718802497982,0.035433028553459,0.06950818937409943,0.9974164767951816,-0.01813790030354322,-0.036613265067936024,-0.015618955181335588,-0.9992074444579107
0.34600000000000003,-0.23,0.06,-9.87,-1.11,-0.52,-0.8,-50.72,3.84,-45.27,9.87286179382655,68.0928549849395,83.86544344901637,-7.6338486876703024,-4.577022302510612,-6.910728467524999,-0.05177408149171272,-0.022086450276243088,-1.4129591436464086,-0.0035296178379208513,-0.0015179824967281978,-0.0905421023353368,-0.9969347507151791,0.07028899696972189,0.034359274169490715,0.06976957146302842,0.9974333475232628,-0.016091120110272698,-0.03540211454601509,-0.013644564981276648,-0.9992799988652543
0.359,-0.27,0.08,-10.05,-1.07,-0.51,-0.88,-50.72,3.84,-45.27,9.87286179382655,68.0928549849395,83.86544344901637,-8.545966238080855,-5.004320614414654,-7.568110485838911,-0.055072707182320456,-0.02122593922651933,-1.5545132113259665,-0.004272153991469469,-0.0018347430719262228,-0.11080655160060265,-0.9969565242435915,0.07026819821014316,0.03376490912822493,0.06982218497788645,0.9974581934158188,-0.014213193608926537,-0.034677820765599714,-0.011812396367844182,-0.9993287327196181
0.373,-0.29,0.04,-10.14,-0.93,-0.52,-0.96,-50.72,3.84,-45.27,10.053944499548424,68.0928549849395,84.58456218019691,-9.425214687575712,-5.423401651089773,-8.291230705984214,-0.05894500690607736,-0.02007859116022099,-1.6986488121546959,-0.005061998542612597,-0.0021391623260126366,-0.1331011481887286,-0.996950021965103,0.07054883987818487,0.03336937062071957,0.07015090648746512,0.9974523196943885,-0.012950685513526322,-0.034198011970985,-0.010570294609213542,-0.9993591770975572
0.384,-0.29,0.04,-10.14,-0.93,-0.52,-0.96,-50.72,3.84,-45.27,10.144224958073437,68.0928549849395,82.1730149218048,-10.189421283865634,-5.850699962993816,-9.080089127960909,-0.06310414364640884,-0.01950491712707182,-1.8440751795580108,-0.005907379038757976,-0.0024271264852835685,-0.15746291606304944,-0.9969442903019295,0.07078809937754763,0.03303221186806291,0.07043035089586763,0.9974460438823441,-0.011872456196844816,-0.03378827765760059,-0.009509707144569886,-0.9993837690111629
0.396,-0.41,-0.23,-10.19,-0.87,-0.51,-0.98,-50.72,3.84,-45.27,10.144224958073437,68.0928549849395,82.1730149218048,-10.953627880155556,-6.277998274897858,-9.868947549937603,-0.06726328038674034,-0.018931243093922648,-1.9895015469613258,-0.0068124092536094765,-0.0027068630971467593,-0.1839103672052326,-0.9967893637022617,0.07277807760094501,0.03338136951581539,0.07238425257578542,0.9972939102270348,-0.012859883479876495,-0.034226954130998626,-0.010402309588832913,-0.9993599489503934
0.40800000000000003,-0.41,-0.23,-10.19,-0.87,-0.51,-0.98,-50.72,3.84,-45.27,10.200838200853887,68.0928549849395,80.56935693247912,-11.668530825071935,-6.697079311572978,-10.674240522372145,-0.07314343922651935,-0.02222986878453038,-2.1356450069060773,-0.007777089187167099,-0.0029783721616022094,-0.21244350161527809,-0.9966510219373009,0.07451320596196027,0.03368267519963695,0.07408731592741127,0.9971573486108546,-0.013721943377041839,-0.03460939308924244,-0.011180529890898645,-0.9993383739561656
0.422,-0.45,-0.26,-10.19,-1.03,-0.56,-0.97,-49.61,5.58,-45.6,10.200838200853887,68.0928549849395,80.56935693247912,-12.383433769988313,-7.116160348248097,-11.479533494806686,-0.07902359806629836,-0.025528494475138115,-2.281788466850829,-0.008826101481654065,-0.0032971896236521697,-0.24307260372744555,-0.9963327803907389,0.07846047797300018,0.034131277665921694,0.0779952050311984,0.9968444932809933,-0.014758191200184111,-0.03518151092550196,-0.012041993672487244,-0.9993083866741991
0.433,-0.02,0.2,-9.99,-1.24,-0.56,-1.15,-49.61,5.58,-45.6,10.203244581994493,67.61396675243954,87.1837704095045,-13.229813118567474,-7.5763277610678355,-12.276609192012305,-0.08547743093922654,-0.02925737569060773,-2.4279319267955803,-0.009959446137070376,-0.00366331548329664,-0.275797673541735,-0.9963210233533076,0.07933123121766307,0.03241873189542771,0.07895044526639802,0.9967955402528184,-0.012863830080088384,-0.03333535085244236,-0.010257031031520723,-0.9993915887668673
0.445,-0.02,0.2,-9.99,-1.24,-0.56,-1.15,-49.61,5.58,-45.6,9.992021817430144,67.61396675243954,102.07175178780989,-14.248755246954037,-8.036495173887573,-13.221595843338553,-0.08576426795580112,-0.026389005524861873,-2.571207016574586,-0.011185350700823772,-0.004082920401091426,-0.3106187110581465,-0.9963074457826796,0.08010810472682149,0.030889561911259522,0.07979737104109477,0.9967485603601846,-0.011166333096831358,-0.03168364014634026,-0.008660194973333002,-0.9994604284163036
0.457,-0.29,0.02,-9.8,-1.15,-0.65,-1.25,-49.61,5.58,-45.6,9.992021817430144,67.61396675243954,102.07175178780989,-15.2676973753406,-8.496662586707311,-14.166582494664802,-0.08605110497237571,-0.023520635359116016,-2.7144821063535916,-0.012415369038281039,-0.0044613875818475075,-0.3474945785396413,-0.9961735088632784,0.08178665042857258,0.030810453594493057,0.08149255331056046,0.9966166714354647,-0.01068522212311688,-0.031580120233295525,-0.008133512683297097,-0.9994681295456506
0.47100000000000003,-0.48,-0.17,-9.83,-1.03,-0.73,-1.29,-49.61,5.58,-45.6,9.804310276607938,67.61396675243954,104.2011612347187,-16.21268402666685,-9.030785476587365,-15.193741898280289,-0.0902102417127072,-0.02323379834254143,-2.8550322444751384,-0.013649501149442175,-0.0047987170255648845,-0.38642527598621934,-0.9959453524129648,0.08424466386483699,0.03155458155824658,0.08392714147830278,0.9964082980984971,-0.011257815229317463,-0.03238965776750899,-0.00856388292523502,-0.9994386274198864
0.482,-0.48,-0.17,-9.83,-1.03,-0.73,-1.29,-49.61,5.58,-45.6,9.843180380344556,67.61396675243954,103.4168980762006,-17.059063375246012,-9.63064656829881,-16.253770402811472,-0.09709433011049726,-0.02567191298342541,-2.996012638121547,-0.014943282979309434,-0.005131932695578391,-0.4273717225476939,-0.9957319201537125,0.08648239566066927,0.03222946521107988,0.0861428293267348,0.9962131265508566,-0.01178216632678876,-0.033126366275005106,-0.008955541779173792,-0.999411047631982
0.494,-0.04,0.27,-9.9,-0.94,-0.74,-1.11,-49.61,5.58,-45.6,9.843180380344556,67.61396675243954,103.4168980762006,-17.905442723825175,-10.230507660010254,-17.313798907342655,-0.10397841850828732,-0.028110027624309388,-3.1369930317679557,-0.016335795378069583,-0.005500115442074797,-0.4703400888846208,-0.9957646445893471,0.08651518202814333,0.031111024806144322,0.08623903096614795,0.9962231387697398,-0.010113719285588406,-0.03186851304769455,-0.007387899458244687,-0.9994647651707006
0.507,-0.04,0.27,-9.9,-0.94,-0.74,-1.11,-49.61,5.58,-45.6,9.90376191151625,67.61396675243954,93.5045354621169,-18.67786659534402,-10.838586026950622,-18.225916457753208,-0.10455209254143649,-0.02423772790055248,-3.2789773549723757,-0.017827038345722624,-0.0059032652650541015,-0.5153303749970001,-0.9957935601361168,0.08654509644620947,0.030085409629162438,0.08632371594830637,0.9962301647801692,-0.008583405323812203,-0.03071484423392562,-0.005950215390473993,-0.9995104768237764
0.521,-0.5,-0.19,-9.89,-0.75,-0.9,-0.76,-49.61,5.58,-45.6,9.90376191151625,67.61396675243954,93.5045354621169,-19.450290466862867,-11.446664393890991,-19.13803400816376,-0.10512576657458567,-0.020365428176795576,-3.4209616781767958,-0.019326508860783406,-0.006250879143031155,-0.5623569790927951,-0.995599994029791,0.0884962265017514,0.030806976203950728,0.08825088929256528,0.9960554495128082,-0.00923699274163274,-0.031502895532815094,-0.006477606872009232,-0.9994826702761085
0.532,-0.43,0.0,-10.01,-0.81,-0.95,-0.9,-50.17,3.66,-43.75,9.904453543734759,67.61396675243954,80.01125335324964,-20.06658610903216,-12.186219164494142,-19.762546925561978,-0.1122966919889503,-0.02309037983425414,-3.562802582872928,-0.020834206923251927,-0.006542957076005957,-0.6114199011720062,-0.9955404643794091,0.0891205713849152,0.030930689278721408,0.08889810488454117,0.9960044792375802,-0.00849731055180034,-0.031564390239123837,-0.005709736833064436,-0.9994854116864986
0.544,-0.43,0.0,-10.01,-0.81,-0.95,-0.9,-50.17,3.66,-43.75,10.019231507456048,66.66698583256934,88.17967521281658,-20.732185402574995,-12.966860311241913,-20.502101696165127,-0.1184636878453039,-0.02309037983425414,-3.706364509668508,-0.02244474932831721,-0.006874115859167529,-0.6625170843477811,-0.9954702702736301,0.08997435587689119,0.030717361310576986,0.08976869798249482,0.9959304084955422,-0.008012633551462678,-0.03131328574061852,-0.005218880956769752,-0.9994959936976664
0.556,-0.79,-0.24,-9.95,-0.92,-0.76,-0.7,-50.17,3.66,-43.75,10.019231507456048,66.66698583256934,88.17967521281658,-21.39778469611783,-13.747501457989683,-21.241656466768276,-0.12463068370165749,-0.02309037983425414,-3.849926436464088,-0.02414373786801571,-0.007205274642329101,-0.7156732112623432,-0.9952614462062711,0.09186990825821484,0.03185237278491112,0.09163852790294753,0.9957547459444697,-0.008652521762199874,-0.032512057750663216,-0.005692616770153116,-0.9994551316668125
0.5700000000000001,-0.79,-0.1,-10.29,-0.97,-0.54,-0.74,-50.17,3.66,-43.75,9.984197514071925,66.66698583256934,79.26721487426235,-22.15377401717883,-14.3720143753879,-21.816865732792948,-0.13596074585635362,-0.026532424033149166,-3.992627852209944,-0.025931172542347423,-0.007536433425490673,-0.7708882819156925,-0.9950550689807258,0.09340945987272942,0.03376510776005303,0.09315929787735808,0.9956113381816778,-0.008911144880790504,-0.03444930935099723,-0.005721546152372361,-0.9993900684892089
0.581,-0.79,-0.1,-10.29,-0.97,-0.54,-0.74,-50.17,3.66,-43.75,10.320765475486786,66.66698583256934,76.444251475542,-22.950849714384447,-14.815747237749791,-22.424944099733317,-0.14729080801104977,-0.027966609116022095,-4.140205497237568,-0.027881101277982018,-0.007916957493098689,-0.8281499549867173,-0.9948724511211342,0.09451588446961322,0.03599379923199793,0.09426134135854498,0.9955094009864746,-0.008708161277714425,-0.036655225077940896,-0.005270685958919606,-0.9993140719233408
0.593,-0.49,-0.1,-10.11,-0.97,-0.23,-0.92,-50.17,3.66,-43.75,10.320765475486786,66.66698583256934,76.444251475542,-23.747925411590064,-15.259480100111682,-23.033022466673685,-0.1586208701657459,-0.029400794198895023,-4.287783142265193,-0.029993524074919498,-0.008318050429226058,-0.8875281646283835,-0.994738551929586,0.09551071766316653,0.03705288270158097,0.09526296795835805,0.99541670630285,-0.008399270739216747,-0.0376852788339834,-0.004825310834827503,-0.999278007430641
0.605,-0.49,-0.1,-10.11,-0.97,-0.23,-0.92,-50.17,3.66,-43.75,10.122361384578205,66.66698583256934,77.72400044575427,-24.54500110879568,-15.448477430376933,-23.789011787734683,-0.16564837707182323,-0.03083497928176795,-4.432779254143646,-0.032268440933159864,-0.008739712233872779,-0.9490229108406909,-0.9948072822400535,0.09465885224930469,0.03739215015217578,0.0944394006335483,0.995501631000478,-0.007596201903884261,-0.03794299421678142,-0.0040254647225787,-0.9992717972722099
0.619,-0.46,-0.18,-10.15,-0.93,-0.35,-0.74,-50.17,3.66,-43.75,10.122361384578205,66.66698583256934,77.72400044575427,-25.342076806001298,-15.637474760642183,-24.54500110879568,-0.17267588397790057,-0.032269164364640876,-4.577775366022099,-0.034644145247145056,-0.009181942907038852,-1.0125971696603049,-0.9948130217252243,0.09455468378725544,0.03750284762281986,0.09433450294961937,0.995511534486906,-0.007601727223066592,-0.03805329629843605,-0.004024484739415749,-0.9992676068818631
0.631,-0.35,0.01,-10.16,-0.91,-0.49,-0.71,-50.17,3.66,-43.75,10.162012595937874,66.66698583256934,70.98667302577313,-26.106283402291222,-15.925079393654519,-25.15307947573605,-0.17927313535911604,-0.034850697513812146,-4.723345151933701,-0.03712063701687507,-0.009644742448724278,-1.0782509410872254,-0.9949043412886173,0.0936886566240538,0.03725301739514245,0.09349977797482009,0.9955961858740023,-0.006784260593335572,-0.037724570292078805,-0.003266541461404922,-0.9992828360895423
0.642,-0.35,0.01,-10.16,-0.91,-0.49,-0.71,-50.17,3.66,-43.75,10.166031674158802,66.66698583256934,71.84397277519851,-26.854055448123297,-16.32772587987179,-25.736506016989647,-0.1842927831491713,-0.03470727900552485,-4.869058356353591,-0.039691745581794106,-0.010144565953744538,-1.1459924526688603,-0.9948781976427313,0.09380135202880968,0.037665344983390664,0.09360209179053072,0.9955849151481756,-0.007023186017560336,-0.03815783363331274,-0.003461659568402719,-0.9992657287455848
0.654,-0.39,-0.03,-9.62,-0.86,-0.46,-0.81,-50.17,3.66,-43.75,10.166031674158802,66.66698583256934,71.84397277519851,-27.601827493955373,-16.73037236608906,-26.319932558243245,-0.18931243093922656,-0.03456386049723756,-5.014771560773481,-0.04233484518653088,-0.010642332571912863,-1.2158237612920613,-0.9948262135462346,0.09409502060393789,0.038300547500083736,0.09387692048026347,0.9955558790043393,-0.007457585469834329,-0.038832056891232994,-0.003823464063136787,-0.9992384362504045
0.666,-0.39,-0.03,-9.62,-0.86,-0.46,-0.81,-50.17,3.66,-43.75,9.627948898908842,66.66698583256934,72.63920874000402,-28.30851316364283,-17.10836702661956,-26.98553185178608,-0.194905752762431,-0.03499411602209944,-5.152740165745857,-0.04504993583108538,-0.011138042303229253,-1.2877448669568285,-0.9947727333798619,0.09445595068483409,0.03879796778418296,0.09421621308839026,0.9955198897247712,-0.007965824104399574,-0.03937656809882428,-0.004268787017805672,-0.9992153238127183
0.68,-0.25,0.01,-9.85,-0.8,-0.49,-1.04,-49.06,2.62,-43.42,9.627948898908842,66.66698583256934,72.63920874000402,-29.015198833330285,-17.486361687150062,-27.651131145328918,-0.20049907458563543,-0.03542437154696132,-5.290708770718233,-0.04784524506286535,-0.011639922695101449,-1.3616446977731573,-0.994850604573092,0.09368141514262843,0.03867902580763724,0.09343833573062056,0.9955925315794362,-0.008049129092094898,-0.03926260302686505,-0.004393577144410127,-0.999219267470074
0.6910000000000001,-0.24,-0.07,-10.24,-0.77,-0.52,-1.07,-49.06,2.62,-43.42,9.85317715257368,65.56709845646672,80.24887050182102,-29.672580851644195,-17.889008173367333,-28.505727769137003,-0.20408453729281775,-0.035280953038674026,-5.431976001381216,-0.0507207728818708,-0.012147973747529451,-1.4375232537410478,-0.9949062582832352,0.09319234009253186,0.03842817946417101,0.09293453112724478,0.9956364039403618,-0.008445358066057822,-0.03904753709277734,-0.00483103475278738,-0.9992256756860313
0.7030000000000001,-0.24,-0.07,-10.24,-0.77,-0.52,-1.07,-49.06,2.62,-43.42,10.243051303200625,65.56709845646672,81.19440690154455,-30.305311044271335,-18.316306485271376,-29.38497621863186,-0.20752658149171277,-0.036284882596685074,-5.578836553867403,-0.05364772287217463,-0.012653967913105517,-1.5154278432580945,-0.9950744096075471,0.09163385956673739,0.03781739183358682,0.09140709027342964,0.9957839459720546,-0.007686142860332037,-0.03836226260189399,-0.004191506319665835,-0.9992551066083353
0.715,-0.62,-0.17,-9.76,-0.76,-0.5,-1.03,-49.06,2.62,-43.42,10.243051303200625,65.56709845646672,81.19440690154455,-30.938041236898474,-18.74360479717542,-30.264224668126715,-0.2109686256906078,-0.03728881215469612,-5.725697106353591,-0.05662403814692491,-0.013174360286645129,-1.595438684911523,-0.9951328388274305,0.09060517448620206,0.03874707012903288,0.09038119992543002,0.9958790244772073,-0.007497153217416296,-0.039266675276865,-0.003958656672514904,-0.9992209251462113
0.729,-0.62,-0.17,-9.76,-0.76,-0.5,-1.03,-49.06,2.62,-43.42,9.781150239107873,65.56709845646672,78.7374103714186,-31.56255415429669,-19.154468558621613,-31.110604016705878,-0.21986057320441993,-0.0397269267955801,-5.865673570441989,-0.05964971870612163,-0.013709150868148287,-1.677555778701333,-0.9953419878279386,0.087924388877896,0.03954275037445282,0.08771085271079719,0.9961206285792392,-0.007106309565870998,-0.04001416728450824,-0.0036048799355412834,-0.9991926096890317
0.74,-0.59,-0.3,-10.36,-0.64,-0.38,-0.95,-49.06,2.62,-43.42,9.781150239107873,65.56709845646672,78.7374103714186,-32.187067071694905,-19.565332320067807,-31.95698336528504,-0.22875252071823207,-0.042165041436464074,-6.005650034530387,-0.06280292625013834,-0.014278908526134346,-1.761680394058632,-0.9952872903353107,0.0876038095677209,0.04157862727673245,0.08729149672614302,0.9961396623185514,-0.009271879808966264,-0.04223037172823265,-0.0055987235245763,-0.9990922129606408
0.752,-1.08,-2.43,-6.23,-0.49,-0.33,-0.94,-49.06,2.62,-43.42,10.381122290003137,65.56709845646672,69.14772193494234,-32.712972686346035,-19.877588778766913,-32.73762451203281,-0.23721421270718235,-0.04646759668508286,-6.154231609116022,-0.06608366077897503,-0.014883633260603303,-1.8478125309834197,-0.994350874791242,0.09595112338075688,0.04538413515605227,0.09508914647892465,0.9952516412085791,-0.02079001908463315,-0.04716346068517092,-0.01635703498805842,-0.99875325049914
0.765,-1.08,-2.43,-6.23,-0.49,-0.33,-0.94,-49.06,2.62,-43.42,6.773787714417983,65.56709845646672,63.61121840543911,-33.11561917256331,-20.1487588613214,-33.510048383551656,-0.25270341160221,-0.08131829419889501,-6.243581339779006,-0.06948575163207589,-0.015550064600630317,-1.9360756026868122,-0.9934299122856901,0.10385994380898404,0.04806372278591009,0.1024050881149364,0.994234095924656,-0.0318081817942191,-0.051090187944636135,-0.02667722948277537,-0.9983376774032446
0.779,-0.8,2.49,-10.34,-1.83,-0.06,-0.98,-49.06,2.62,-43.42,6.773787714417983,65.56709845646672,63.61121840543911,-33.51826565878058,-20.419928943875888,-34.2824722550705,-0.26819261049723764,-0.11616899171270717,-6.332931070441989,-0.07310998626518576,-0.016716319445677592,-2.0256201148989605,-0.9945656137437914,0.09094920947861472,0.05067031925743862,0.09001816327661043,0.9957318288590679,-0.02036799639830826,-0.052306502834171605,-0.015696059766420703,-0.9985077182821712
0.79,1.15,0.39,-11.25,-0.1,0.3,-1.0,-48.13,2.79,-42.24,10.665631720624898,65.56709845646672,118.9891402900519,-35.02202702567365,-20.46923259524943,-35.087765227505045,-0.27966609116022106,-0.08045778314917126,-6.48122580801105,-0.07695636467830463,-0.018382397795745128,-2.116446067619864,-0.9953457983576247,0.08570701987067066,0.04405733124817431,0.08502424205209504,0.9962313108447342,-0.01714798985448631,-0.04536099596888987,-0.013322238455728021,-0.9988818238446624
0.802,1.15,0.39,-11.25,-0.1,0.3,-1.0,-48.13,2.79,-42.24,11.315347984043619,64.09757093681476,60.09232051612684,-35.10419977796289,-20.222714338381714,-35.90949275039743,-0.2631729627071824,-0.07486446132596684,-6.642571629834254,-0.08096729403957834,-0.01953631131968079,-2.209398841345669,-0.9958283237144449,0.08244518659881778,0.03909911629135756,0.0818724689227523,0.9965138560832002,-0.016032263305092866,-0.040284594084735954,-0.012764240708987983,-0.9991067138391929
0.8140000000000001,-0.08,-1.65,-11.36,2.47,0.47,-0.89,-48.13,2.79,-42.24,11.315347984043619,64.09757093681476,60.09232051612684,-35.18637253025213,-19.976196081513997,-36.73122027328982,-0.2466798342541437,-0.06927113950276242,-6.803917451657458,-0.08474168141287948,-0.020610006256390978,-2.304665612779901,-0.9954375986401497,0.08740279427426723,0.038271905708791853,0.08653137319593789,0.9959632266151123,-0.023865721929995348,-0.04020334148249192,-0.020445116372000912,-0.9989823264453569
