time,ax,ay,az,gx,gy,gz,mx,my,mz
2808.00,0.22,-0.81,9.65,-0.01,-0.02,-0.04,10.85,10.54,-117.60
2859.00,0.26,-0.83,9.65,-0.02,-0.03,-0.04,10.85,10.54,-117.60
2912.00,0.33,-0.84,9.59,-0.02,-0.04,-0.04,10.85,10.54,-117.60
2964.00,-0.81,0.32,10.59,-0.04,-0.14,-0.05,10.16,8.47,-117.27
3016.00,0.97,0.56,10.39,-0.13,-0.59,-0.17,10.16,8.47,-117.27
3068.00,4.06,0.67,5.49,0.05,0.32,0.04,8.44,9.50,-118.27
3121.00,-3.78,-1.56,14.46,0.26,0.72,0.24,8.44,9.50,-118.27
3173.00,3.62,-0.78,5.56,-0.14,-0.52,-0.14,8.44,9.50,-118.27
3225.00,-1.46,-1.64,10.91,0.08,0.45,0.18,8.61,7.95,-118.77
3278.00,0.39,-2.19,9.39,-0.03,-0.11,-0.04,8.61,7.95,-118.77
3330.00,0.92,-0.92,9.65,0.00,-0.11,-0.04,7.40,8.81,-118.60
3382.00,0.86,-0.92,9.63,0.00,-0.01,-0.03,7.40,8.81,-118.60
3436.00,0.88,-0.07,9.72,-0.02,0.23,-0.01,8.78,9.85,-116.94
3487.00,0.26,-0.06,9.54,-0.02,0.06,-0.02,8.78,9.85,-116.94
3539.00,-0.31,1.16,9.96,-0.05,-0.42,-0.06,8.78,9.85,-116.94
3591.00,-0.18,0.36,9.72,-0.01,0.56,0.08,7.58,9.68,-119.10
3642.00,0.67,-2.63,9.17,0.07,-0.51,-0.08,7.58,9.68,-119.10
3694.00,0.96,-3.85,9.30,0.02,0.09,-0.00,7.40,9.50,-119.93
3745.00,0.58,-4.05,9.20,0.03,0.38,-0.01,7.40,9.50,-119.93
3797.00,0.65,-0.94,9.61,-0.01,0.03,-0.04,7.40,9.50,-119.93
3850.00,0.66,-1.81,9.33,-0.01,-0.10,-0.05,8.95,8.64,-120.76
3901.00,0.86,-0.01,9.64,-0.03,-0.21,-0.05,8.95,8.64,-120.76
3954.00,0.99,-0.55,9.50,0.01,-0.62,-0.10,7.23,9.33,-121.43
4007.00,1.30,-1.04,9.56,0.00,-0.55,-0.08,7.23,9.33,-121.43
4058.00,1.62,-0.19,9.79,0.02,0.17,-0.01,7.23,9.33,-121.43
4111.00,1.15,-0.91,9.45,0.02,0.31,0.02,5.34,9.16,-120.60
4164.00,1.18,0.03,9.70,-0.02,0.07,-0.01,5.34,9.16,-120.60
4215.00,1.28,-1.93,9.52,0.02,0.61,0.05,6.89,9.33,-119.76
4268.00,0.15,-0.24,9.65,-0.06,0.63,0.04,6.89,9.33,-119.76
