time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr,posAngX,posAngY,posAngZ
4.571,0.13,-0.77,9.63,0.0,0.0,0.0,12.57,10.19,-113.94,9.661609596749397,0.0,0.0,0.0,0.0
4.622,0.11,-0.78,9.63,0.0,0.01,0.0,12.57,10.19,-113.94,9.662163318843252,0.5729577951308232,0.0,0.0,0.0
4.674,0.11,-0.77,9.63,-0.0,-0.0,0.0,12.74,8.98,-113.44,9.661361187741612,0.0,0.0,0.02979380534680309,0.0
4.727,0.11,-0.77,9.63,-0.0,-0.01,0.0,12.74,8.98,-113.44,9.661361187741612,0.5729577951308232,0.0,0.02979380534680309,0.0
4.7780000000000005,0.13,-0.76,9.61,-0.0,-0.0,0.0,12.74,11.06,-115.77,9.640881702417056,0.0,0.0,0.0005729577951310155,0.0
4.831,0.11,-0.76,9.64,0.0,-0.0,0.0,12.74,11.06,-115.77,9.670537730653864,0.0,0.0,0.0005729577951310155,0.0
4.883,0.12,-0.76,9.64,0.0,0.0,0.0,12.91,10.19,-114.94,9.6706566478187,0.0,0.0,0.0005729577951310155,0.0
4.934,0.11,-0.75,9.62,-0.0,-0.0,0.0,12.91,10.19,-114.94,9.64981865114573,0.0,0.0,0.0005729577951310155,0.0
4.987,0.11,-0.78,9.62,-0.0,-0.0,0.0,12.91,10.19,-114.94,9.652196641179664,0.0,0.0,0.0005729577951310155,0.0
5.04,0.11,-0.76,9.63,0.0,-0.0,-0.0,13.43,8.98,-114.77,9.660569341400123,0.0,0.0,0.0005729577951310155,0.0
5.091,0.11,-0.76,9.63,0.0,-0.0,0.0,13.43,8.98,-114.77,9.660569341400123,0.0,0.0,0.0005729577951310155,0.0
5.143,0.13,-0.76,9.63,-0.0,-0.0,0.0,13.6,10.89,-114.61,9.660817770768684,0.0,0.0,0.0005729577951310155,0.0
5.196,0.11,-0.76,9.62,-0.0,-0.0,0.0,13.6,10.89,-114.61,9.650601017553258,0.0,0.0,0.0005729577951310155,0.0
5.248,0.11,-0.77,9.63,0.0,-0.0,0.0,13.6,10.89,-114.61,9.661361187741612,0.0,0.0,0.0005729577951310155,0.0
5.3,0.11,-0.76,9.6,0.0,-0.0,0.0,12.91,9.5,-114.61,9.630664566892566,0.0,0.0,0.0005729577951310155,0.0
5.353,0.11,-0.75,9.62,-0.0,-0.0,0.0,12.91,9.5,-114.61,9.64981865114573,0.0,0.0,0.0005729577951310155,0.0
5.405,0.11,-0.76,9.6,-0.0,-0.0,0.0,13.26,10.54,-114.61,9.630664566892566,0.0,0.0,0.0005729577951310155,0.0
5.457,0.11,-0.77,9.63,-0.0,-0.0,0.0,13.26,10.54,-114.61,9.661361187741612,0.0,0.0,0.0005729577951310155,0.0
5.51,0.11,-0.77,9.62,0.0,-0.0,0.0,13.26,10.54,-114.61,9.651393681743585,0.0,0.0,0.0005729577951310155,0.0
5.561,0.42,-1.74,10.0,-0.08,0.19,0.04,13.6,10.89,-114.27,10.15893695226031,12.032113697747288,0.0,0.0005729577951310155,0.0
5.614,-0.12,-0.34,9.76,-0.06,-0.26,-0.01,13.6,10.89,-114.27,9.766657565411004,15.299153334607682,-0.24293410513546876,0.5775414574918694,0.12146705256773438
5.667,0.24,-0.66,9.72,-0.11,0.02,0.01,12.4,10.71,-114.44,9.745337346649423,6.4314352993828665,-0.4251346839870703,-0.2119943841984041,0.09110028942580078
5.718,0.15,-1.66,9.52,-0.04,0.09,0.01,12.4,10.71,-114.44,9.664807292439926,5.671992791789768,-0.7465640070554631,-0.15355268909505995,0.12032113697747286
5.771,0.08,-0.2,9.75,-0.04,0.11,0.01,13.26,10.19,-114.27,9.752379196893443,6.7307300963686005,-0.8680310596231975,0.1197481791823424,0.15068790011940647
5.823,0.11,-0.54,9.65,0.0,-0.02,-0.0,13.26,10.19,-114.27,9.665722942439434,1.1459155902616465,-0.9872062810104099,0.4474800379971764,0.18048170546620956
5.8740000000000006,0.12,-0.57,9.69,0.0,0.06,0.0,13.26,10.19,-114.27,9.707491952095555,3.437746770784939,-0.9872062810104099,0.38903834289383227,0.18048170546620956
5.9270000000000005,-0.04,-1.17,9.52,0.0,-0.03,-0.0,13.26,10.19,-114.27,9.591709962253862,1.7188733853924696,-0.9872062810104099,0.5712389217454339,0.18048170546620956
5.978,0.12,-0.52,9.66,-0.01,-0.03,-0.01,13.26,10.19,-114.27,9.674729970391938,1.9002860271582585,-0.9872062810104099,0.4835763790904192,0.18048170546620956
6.03,-0.05,-0.77,9.54,-0.03,-0.05,-0.01,12.74,10.02,-115.11,9.57115458030012,3.3896640283427946,-1.0170000863572128,0.3941949630500099,0.15068790011940647
6.083,-1.38,1.89,9.83,0.03,0.04,0.1,12.74,10.02,-115.11,10.104721668606217,6.405862890754594,-1.1081003757830137,0.24236114734034192,0.12032113697747288
6.135,0.33,-1.75,9.68,0.07,-0.3,-0.02,12.74,10.02,-115.11,9.842448882265023,17.68760710656247,-1.0187189597426058,0.36153636872755224,0.41825919044549864
6.187,0.63,-1.75,9.55,0.05,-0.63,-0.07,12.23,10.89,-113.94,9.72943472150361,36.431286105622846,-0.8101623223149842,-0.5322777916765403,0.35867157975189246
6.2410000000000005,0.7,-0.99,9.61,0.05,0.04,0.01,12.23,10.89,-113.94,9.68618603992304,3.713190901374359,-0.6554637176296612,-2.4814802107116107,0.1420935331924402
6.292,0.84,-0.46,9.52,0.03,-0.17,-0.02,11.88,9.5,-115.27,9.568051003208542,9.956944901442144,-0.5093594798713034,-2.3645968205049246,0.17131438074411176
6.344,0.75,-1.3,9.43,-0.0,-0.57,-0.05,11.88,9.5,-115.27,9.548685773445474,32.78400218084798,-0.4199780638308941,-2.8710915114005773,0.11172677005050557
6.397,1.74,-2.27,9.48,-0.09,-1.16,-0.16,9.13,7.78,-113.94,9.90206544110874,67.2902281061017,-0.4199780638308941,-4.601997010490792,-0.0401070456591624
