time,ax,ay,az,gx,gy,gz,mx,my,mz
3105.00,0.21,-0.71,9.56,-0.02,-0.06,-0.04,13.43,7.95,-118.77
3157.00,0.07,-0.79,9.72,0.01,0.05,-0.03,13.43,7.95,-118.77
3209.00,0.13,-0.81,9.56,0.02,0.05,-0.03,14.81,7.26,-118.43
3263.00,-2.40,-1.04,11.30,-0.03,0.59,0.07,14.81,7.26,-118.43
3315.00,0.23,0.97,9.97,-0.06,-0.31,-0.05,14.29,8.81,-117.27
3367.00,0.18,-1.09,9.71,-0.05,0.19,-0.02,14.29,8.81,-117.27
3421.00,-0.57,-0.47,9.59,-0.04,0.42,0.01,14.29,8.81,-117.27
3473.00,-0.34,-0.05,9.69,-0.00,-0.12,-0.05,15.33,7.43,-117.60
3527.00,-0.19,0.00,9.78,-0.01,-0.07,-0.05,15.33,7.43,-117.60
3580.00,-0.24,-1.16,9.54,0.01,0.07,-0.04,14.64,8.47,-117.27
3632.00,-0.31,-0.83,9.56,0.00,0.07,-0.04,14.64,8.47,-117.27
3685.00,1.67,-3.85,9.60,0.13,-0.02,-0.09,14.64,8.47,-117.27
3738.00,-0.26,-2.26,9.50,0.14,-0.06,-0.05,16.19,7.60,-117.43
3790.00,-0.23,-0.42,9.73,0.05,-0.34,-0.07,16.19,7.60,-117.43
3843.00,-0.23,-0.45,9.75,0.06,0.07,-0.03,14.81,8.29,-116.77
3897.00,-0.41,-1.36,9.55,0.08,0.05,-0.03,14.81,8.29,-116.77
3949.00,-0.43,2.00,9.57,0.06,0.08,-0.03,16.36,6.39,-117.27
4002.00,-0.40,-1.97,9.53,-0.07,-0.08,-0.03,16.36,6.39,-117.27
4055.00,-0.41,-0.45,9.52,-0.06,-0.57,-0.08,14.12,6.57,-116.77
4107.00,0.33,-1.29,9.75,-0.05,-0.74,-0.11,14.12,6.57,-116.77
4160.00,0.32,-0.78,9.67,0.00,0.06,-0.04,14.12,6.57,-116.77
4214.00,0.22,-1.32,9.52,-0.03,-0.03,-0.04,13.43,8.98,-117.77
4265.00,0.56,0.32,9.81,-0.02,-0.13,-0.05,13.43,8.98,-117.77
4319.00,0.31,-0.88,9.60,-0.02,-0.10,-0.04,12.57,8.47,-117.27
4372.00,0.55,-0.35,9.75,-0.02,-0.29,-0.06,12.57,8.47,-117.27
4424.00,0.62,-1.14,9.62,-0.01,-0.06,-0.03,12.57,8.47,-117.27
4477.00,0.64,-0.83,9.69,-0.01,0.15,-0.02,11.88,6.39,-118.60
4531.00,0.34,-0.97,9.58,-0.01,0.21,-0.01,11.88,6.39,-118.60
4582.00,0.41,-0.82,9.60,0.03,-0.01,-0.04,13.60,8.12,-117.93
4636.00,0.45,-0.81,9.65,0.01,0.07,-0.03,13.60,8.12,-117.93
4690.00,0.34,-0.82,9.61,0.04,0.11,-0.03,13.60,8.12,-117.93
4742.00,0.34,-0.73,9.58,0.03,0.08,-0.03,13.43,7.26,-117.77
4795.00,0.28,-0.68,9.59,0.01,0.01,-0.03,13.43,7.26,-117.77
4849.00,0.30,-0.65,9.58,-0.03,-0.07,-0.04,14.64,9.16,-118.60
4901.00,0.45,-0.74,9.68,-0.04,-0.11,-0.05,14.64,9.16,-118.60
4954.00,0.46,-0.72,9.63,-0.02,-0.04,-0.04,12.91,7.08,-118.27
5006.00,0.50,-0.96,9.74,0.02,0.05,-0.03,12.91,7.08,-118.27
5058.00,0.36,-0.67,9.58,0.08,0.25,-0.01,12.57,7.78,-118.60
5111.00,0.17,-0.87,9.50,0.03,0.21,-0.01,12.57,7.78,-118.60
5163.00,0.19,-0.45,9.50,-0.12,-0.01,-0.04,12.57,7.78,-118.60
5215.00,0.58,-1.05,9.91,-0.11,0.06,-0.04,12.57,7.43,-117.60
5269.00,0.86,-3.20,9.54,0.06,0.06,-0.05,12.57,7.43,-117.60
5321.00,-0.14,0.15,9.53,0.10,0.15,-0.01,14.12,7.26,-117.77
5374.00,0.02,-0.73,9.79,0.02,-0.07,-0.04,14.12,7.26,-117.77
5428.00,0.11,-1.04,9.59,0.06,-0.01,-0.04,14.12,7.26,-117.77
5479.00,-0.03,-0.70,9.60,0.01,0.11,-0.03,13.95,7.78,-116.94
5533.00,-0.02,-0.59,9.59,0.01,-0.02,-0.03,13.95,7.78,-116.94
5586.00,0.10,-0.67,9.57,-0.05,-0.17,-0.05,13.78,7.26,-117.77
5639.00,0.18,-0.68,9.71,-0.15,-0.17,-0.06,13.78,7.26,-117.77
5692.00,0.33,-1.08,9.73,-0.08,-0.04,-0.04,13.78,7.26,-117.77
5746.00,0.22,-0.75,9.63,0.10,0.20,-0.01,14.46,8.29,-117.10
5798.00,0.06,-0.54,9.76,0.01,0.27,-0.01,14.46,8.29,-117.10
5852.00,-0.05,-0.87,9.58,0.04,0.24,-0.02,14.64,6.74,-117.93
5909.00,-0.14,-0.92,9.63,0.01,0.11,-0.03,14.64,6.74,-117.93
5959.00,-0.23,-0.80,9.56,0.05,0.14,-0.03,15.84,7.26,-117.10
6011.00,-0.29,-0.52,9.52,-0.00,0.12,-0.03,15.84,7.26,-117.10
6063.00,-0.34,-0.28,9.62,0.02,-0.00,-0.03,15.84,7.26,-117.10
6113.00,-0.21,-0.99,9.64,-0.01,0.04,-0.03,14.98,7.08,-116.60
6165.00,-0.47,-0.68,9.59,0.01,0.04,-0.03,14.98,7.08,-116.60
6216.00,-0.29,-1.19,9.60,-0.00,-0.02,-0.03,16.01,6.74,-116.94
6267.00,-0.30,-0.62,9.65,0.03,0.08,-0.03,16.01,6.74,-116.94
6319.00,-0.41,-0.69,9.63,-0.01,0.24,-0.02,15.67,7.08,-116.60
