time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr
5.7,-5.31,0.37,9.23,0.09,0.69,0.05,-36.0,63.0,93.0,5.001699711098218,11.770064909357789
5.712,-5.31,0.37,9.23,0.09,0.69,0.05,-36.0,63.0,93.0,10.654853354223135,39.97176316539859
5.723,0.58,-0.92,9.74,0.1,0.59,-0.0,-36.0,61.0,95.0,10.654853354223135,39.97176316539859
5.735,0.58,-0.92,9.74,0.1,0.59,-0.0,-36.0,61.0,95.0,9.800530597880913,34.28662937559196
5.747,-1.26,1.09,12.28,-0.02,0.34,-0.06,-36.0,61.0,95.0,9.800530597880913,34.28662937559196
5.76,-1.26,4.57,14.8,-0.03,0.11,-0.08,-36.0,61.0,95.0,12.392501765180427,19.814732888974422
5.771,-1.26,4.57,14.8,-0.03,0.11,-0.08,-36.0,61.0,95.0,15.540672443623539,7.980378637021419
5.783,-0.26,1.05,13.27,0.13,0.04,-0.13,-36.0,61.0,95.0,15.540672443623539,7.980378637021419
5.794,-0.26,1.05,13.27,0.13,0.04,-0.13,-36.0,61.0,95.0,13.314015171990754,10.780136584961053
5.807,2.24,3.27,10.13,0.19,0.35,-0.17,-36.0,61.0,95.0,13.314015171990754,10.780136584961053
5.819,-3.12,-2.84,6.68,0.24,0.98,-0.18,-36.0,61.0,95.0,10.877839859089672,24.80980029398064
5.83,-3.12,-2.84,6.68,0.24,0.98,-0.18,-36.0,61.0,95.0,7.900784771147737,58.72188510302046
5.841,6.19,-1.7,5.58,0.14,0.76,-0.27,-36.0,61.0,95.0,7.900784771147737,58.72188510302046
5.855,6.19,-1.7,5.58,0.14,0.76,-0.27,-36.0,61.0,95.0,8.505439436031509,46.90211653159023
5.866,-1.43,-4.54,11.05,0.1,0.71,-0.31,-42.0,66.0,87.0,8.505439436031509,46.90211653159023
5.877,-1.43,-4.54,11.05,0.1,0.71,-0.31,-42.0,66.0,87.0,12.031583436937966,44.75676970891851
5.889,1.26,1.29,6.42,0.07,0.26,-0.43,-42.0,66.0,87.0,12.031583436937966,44.75676970891851
5.902,-3.14,4.25,7.84,0.15,0.65,-0.4,-42.0,66.0,87.0,6.668440597321085,29.06878660166301
5.913,-3.14,4.25,7.84,0.15,0.65,-0.4,-42.0,66.0,87.0,9.454506861809346,44.56565764977675
5.925,-2.15,4.12,8.07,0.06,0.52,-0.51,-42.0,66.0,87.0,9.454506861809346,44.56565764977675
5.937,-2.15,4.12,8.07,0.06,0.52,-0.51,-42.0,66.0,87.0,9.312454026732158,41.8729849848476
5.948,-1.46,7.25,11.61,0.05,0.26,-0.66,-42.0,66.0,87.0,9.312454026732158,41.8729849848476
5.953,-1.46,7.25,11.61,0.05,0.26,-0.66,-42.0,66.0,87.0,13.765398650238938,40.74451093338757
6.031,5.11,-23.72,6.61,1.78,0.1,-1.62,-46.0,63.0,90.0,13.765398650238938,40.74451093338757
6.109,-75.38,27.43,-17.82,8.69,-5.05,-6.29,-55.0,76.0,64.0,25.148411480648235,138.01981266415393
6.187,-8.38,40.68,0.95,-8.74,-21.01,-12.0,-55.0,76.0,64.0,82.17117316918385,679.342167292592
6.277,-10.36,35.24,-1.14,-12.37,-20.17,5.99,31.0,16.0,48.0,41.54502737994043,1473.9696469217631
6.288,-10.05,32.0,-1.2,-8.86,-21.18,9.77,31.0,16.0,48.0,36.748970053594704,1398.4465550697537
6.3,-7.56,29.31,-1.77,-3.99,-22.07,12.09,31.0,16.0,48.0,33.56251629422324,1429.5783822118415
6.311,-7.56,29.31,-1.77,-3.99,-22.07,12.09,31.0,16.0,48.0,30.320992727811532,1459.8320365496877
6.324,-4.88,27.67,-1.11,1.52,-22.17,12.52,31.0,16.0,48.0,30.320992727811532,1459.8320365496877
6.336,-4.88,27.67,-1.11,1.52,-22.17,12.52,31.0,16.0,48.0,28.118950905039114,1461.4014993441178
6.348,-1.8,26.99,0.39,6.67,-21.62,10.94,31.0,16.0,48.0,28.118950905039114,1461.4014993441178
6.361,0.75,27.01,1.02,10.59,-20.73,7.75,-82.0,-8.0,-34.0,27.052766956450128,1439.934135288046
6.374,0.75,27.01,1.02,10.59,-20.73,7.75,-82.0,-8.0,-34.0,27.039656062901393,1405.7254156300562
6.386,1.84,26.93,0.87,12.89,-19.81,3.63,-82.0,-8.0,-34.0,27.039656062901393,1405.7254156300562
6.397,1.84,26.93,0.87,12.89,-19.81,3.63,-82.0,-8.0,-34.0,27.00680284669031,1370.0343429984155
6.409,1.48,26.65,0.66,13.5,-19.32,-0.9,-82.0,-8.0,-34.0,27.00680284669031,1370.0343429984155
6.421,0.06,26.55,-0.42,12.44,-19.51,-5.38,-82.0,-8.0,-34.0,26.699222835131362,1351.406196291024
6.433,0.06,26.55,-0.42,12.44,-19.51,-5.38,-82.0,-8.0,-34.0,26.553389614134012,1361.1071589825551
6.445,-2.08,26.85,-1.34,9.73,-20.19,-9.35,-82.0,-8.0,-34.0,26.553389614134012,1361.1071589825551
6.457,-2.08,26.85,-1.34,9.73,-20.19,-9.35,-82.0,-8.0,-34.0,26.963762719620572,1391.3929398275498
6.47,-4.91,27.83,-2.67,5.54,-20.92,-12.22,-82.0,-8.0,-34.0,26.963762719620572,1391.3929398275498
6.482,-45.17,55.68,-3.02,-1.43,-11.58,-10.24,3.0,70.0,79.0,28.385663635011248,1423.9660038459115
6.494,-45.17,55.68,-3.02,-1.43,-11.58,-10.24,3.0,70.0,79.0,71.76149176264384,889.4676606070877
6.505,-34.6,68.74,11.03,-5.81,20.52,-4.05,3.0,70.0,79.0,71.76149176264384,889.4676606070877
6.519,-34.6,68.74,11.03,-5.81,20.52,-4.05,3.0,70.0,79.0,77.74322156947188,1243.7658756814662
6.531,-30.14,6.05,0.27,-2.48,10.65,0.35,3.0,70.0,79.0,77.74322156947188,1243.7658756814662
6.542,12.13,48.62,22.86,2.28,0.06,-1.3,3.0,70.0,79.0,30.742397434162484,626.8467270291802
6.554,12.13,48.62,22.86,2.28,0.06,-1.3,3.0,70.0,79.0,55.07831605995231,150.4164265108068
6.568,-3.22,17.69,3.29,1.98,4.62,-0.29,3.0,70.0,79.0,55.07831605995231,150.4164265108068
6.58,-5.59,4.73,15.1,0.23,3.83,-0.26,3.0,70.0,79.0,18.27918488335845,288.4710208769899
6.591,-5.59,4.73,15.1,0.23,3.83,-0.26,3.0,70.0,79.0,16.781865212186634,220.34231602863687
6.603,-5.05,-12.74,12.34,-0.03,1.7,-0.43,-44.0,69.0,85.0,16.781865212186634,220.34231602863687
