time,ax,ay,az,gx,gy,gz
8.079,0.3,-4.47,14.92,0.16,1.14,-0.04
8.093,3.35,-2.45,6.28,0.23,1.03,-0.12
8.105,3.02,-8.78,15.05,-0.04,0.58,-0.13
8.116,3.02,-8.78,15.05,-0.04,0.58,-0.13
8.127,-0.57,-0.25,6.38,-0.02,-0.2,-0.23
8.139,-0.57,-0.25,6.38,-0.02,-0.2,-0.23
8.151,-1.59,5.36,9.33,-0.11,-0.27,-0.25
8.163,2.03,2.85,10.13,-0.17,0.18,-0.19
8.174,2.03,2.85,10.13,-0.17,0.18,-0.19
8.188,1.54,0.72,9.71,0.03,0.44,-0.24
8.199,1.54,0.72,9.71,0.03,0.44,-0.24
8.211,-1.92,-2.25,7.38,0.09,0.83,-0.31
8.222,-1.92,-2.25,7.38,0.09,0.83,-0.31
8.235,-1.42,-3.05,4.68,0.02,0.76,-0.39
8.247,0.11,-0.1,10.7,0.02,0.62,-0.45
8.258,0.11,-0.1,10.7,0.02,0.62,-0.45
8.27,1.61,3.53,9.82,-0.01,0.67,-0.47
8.283,2.29,5.29,13.07,0.12,0.72,-0.58
8.295,2.29,5.29,13.07,0.12,0.72,-0.58
8.307,-3.27,-0.62,8.22,0.25,0.68,-0.73
8.318,-3.27,-0.62,8.22,0.25,0.68,-0.73
8.33,-2.5,-4.73,10.37,0.53,0.37,-0.91
8.343,1.67,-15.37,12.99,1.12,0.09,-1.32
8.355,1.67,-15.37,12.99,1.12,0.09,-1.32
8.367,6.84,-21.26,11.6,2.14,-0.12,-1.86
8.379,6.84,-21.26,11.6,2.14,-0.12,-1.86
8.392,5.93,-17.74,16.28,3.08,-0.61,-3.15
8.404,0.82,5.6,12.73,5.13,-0.36,-4.48
8.415,0.82,5.6,12.73,5.13,-0.36,-4.48
8.427,-13.72,33.31,-1.0,7.64,-1.65,-5.08
8.441,-13.72,33.31,-1.0,7.64,-1.65,-5.08
8.453,-75.41,36.57,-0.65,9.21,-6.24,-7.78
8.465,-49.76,58.71,14.58,8.21,-13.39,-13.55
8.477,-49.76,58.71,14.58,8.21,-13.39,-13.55
8.49,-9.69,47.04,1.62,1.64,-21.05,-16.13
8.502,-9.69,47.04,1.62,1.64,-21.05,-16.13
8.514,-11.1,48.06,7.3,-5.48,-22.21,-15.27
8.525,-9.06,50.28,5.33,-11.25,-21.81,-12.11
8.538,-9.06,50.28,5.33,-11.25,-21.81,-12.11
8.549,-9.87,50.67,0.11,-14.88,-20.68,-7.24
8.561,-9.87,50.67,0.11,-14.88,-20.68,-7.24
8.573,-11.22,48.21,-0.5,-16.25,-19.97,-1.58
8.586,-11.22,45.49,-3.76,-15.42,-20.55,4.03
8.597,-11.22,45.49,-3.76,-15.42,-20.55,4.03
8.608,-10.55,42.13,-2.02,-12.4,-21.66,9.09
8.62,-10.55,42.13,-2.02,-12.4,-21.66,9.09
8.624,-9.48,38.35,-0.95,-7.31,-22.67,12.82
8.634,-8.042337662337692,37.95779220779222,-0.4279220779220888,-4.9957142857143335,-22.48688311688312,12.499220779220787
8.644,-6.604675324675385,37.56558441558443,0.09415584415582234,-2.6814285714286674,-22.303766233766243,12.178441558441572
8.654,-5.167012987013077,37.17337662337665,0.6162337662337336,-0.36714285714300043,-22.120649350649362,11.857662337662358
8.664,-3.729350649350769,36.78116883116886,1.1383116883116446,1.9471428571426648,-21.937532467532485,11.536883116883143
8.674000000000001,-2.2916883116882056,36.38896103896101,1.6603896103896487,4.261428571428742,-21.75441558441557,11.216103896103872
8.684000000000001,-0.8540259740258982,35.99675324675322,2.1824675324675598,6.575714285714409,-21.571298701298694,10.895324675324659
8.694,0.5836363636364101,35.60454545454544,2.704545454545471,8.890000000000075,-21.388181818181813,10.574545454545444
8.701,1.59,35.33,3.07,10.51,-21.26,10.35
8.711,1.3310256410256447,35.21076923076923,2.4430769230769314,10.738205128205125,-21.094615384615388,7.90641025641029
8.721,1.072051282051289,35.09153846153846,1.816153846153863,10.96641025641025,-20.929230769230774,5.462820512820579
8.731,0.8130769230769337,34.972307692307695,1.1892307692307948,11.194615384615375,-20.76384615384616,3.0192307692308678
8.741,0.5541025641025783,34.85307692307693,0.5623076923077264,11.4228205128205,-20.59846153846155,0.5756410256411577
