time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gy_normalized_1,gz_normalized_1,ax_filter,ay_filter,az_filter,gx_filter,gy_filter,gz_filter,thetaGyrx,thetaGyry,thetaGyrz,vx,vy,vz,posx,posy,posz
8.079,0.3,-4.47,14.92,525.2490160018791,3742.3992390133876,-131.31225400046978,-41.0,63.0,87.0,15.578103222151277,3781.359742345286,0.010117681459070748,-0.15075345374015414,0.5031860245644519,0.0002610146592826683,0.001859729447389011,-6.525366482066707e-05,0.003978252221190823,-0.07613694430250383,0.575839444230027,0.009846153846153846,0.05028672254080282,-0.0024798512089274647,0.3,-4.47,14.92,525.2490160018791,3742.3992390133876,-131.31225400046978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.093,3.35,-2.45,6.28,755.0454605027011,3381.2905405120964,-393.93676200140925,-42.0,66.0,87.0,7.527509548316761,3486.8905258465566,0.1129807762929567,-0.08262773191574446,0.21179679854321437,0.00037520857271883566,0.0016802818691321769,-0.00019576099446200117,0.0444238164699642,-0.04173053994208823,0.24237746043998457,0.014153846153846154,0.04543449492721658,-0.007439553626782393,1.825,-3.46,10.6,640.1472382522901,3561.8448897627422,-262.6245080009395,8.02014843664407,57.14355761108898,-2.0050371091610173,0.004580769230769227,-0.06825346153846147,0.22781692307692286,0.0,0.0,0.0
8.105,3.02,-8.78,15.05,-131.31225400046978,1904.0276830068115,-426.76482550152673,-42.0,66.0,87.0,17.683644986257782,1955.6821168053666,0.10185132668797887,-0.29611081070213724,0.507570353196716,-6.525366482066707e-05,0.0009461781398996725,-0.00021207441066716797,0.04004773902665429,-0.1495486288536876,0.5808568120416828,-0.0024615384615384616,0.02558447287163652,-0.00805951642901426,2.223333333333333,-5.233333333333333,12.083333333333334,382.99407416803683,3009.239154177432,-317.33794716780193,19.549111814319918,108.77326317198518,-8.02014843664407,0.05573269230769226,-0.10566307692307683,0.32370769230769203,6.994482248520698e-05,-0.0010421778550295838,0.0034785891715976265
8.116,3.02,-8.78,15.05,-131.31225400046978,1904.0276830068115,-426.76482550152673,-42.0,66.0,87.0,17.683644986257782,1955.6821168053666,0.10185132668797887,-0.29611081070213724,0.507570353196716,-6.525366482066707e-05,0.0009461781398996725,-0.00021207441066716797,0.04004773902665429,-0.1495486288536876,0.5808568120416828,-0.0024615384615384616,0.02558447287163652,-0.00805951642901426,2.4225,-6.119999999999999,12.825,254.41749212591017,2732.9362863847764,-344.6946667512331,17.544074705158902,137.84630125481993,-14.536519041417375,0.10184576923076914,-0.23972692307692287,0.5535096153846149,0.0009209401627218918,-0.002655571760355025,0.00842135662721892
8.127,-0.57,-0.25,6.38,-65.65612700023489,-656.5612700023487,-755.0454605027011,-42.0,66.0,87.0,6.4102886050473575,1002.7347982919033,-0.019223594772234422,-0.008431401215892292,0.21516935902957127,-3.2626832410333536e-05,-0.0003262683241033353,-0.00037520857271883566,-0.007558679220262565,-0.0042582183614375746,0.2462369741412582,-0.0012307692307692308,-0.008822232024702248,-0.014259144451332922,1.8239999999999998,-4.946,11.536,190.40276830068117,2055.0367751073513,-426.7648255015267,15.539037595997884,166.9193393376547,-21.052889646190682,0.14795884615384602,-0.3737907692307689,0.7833115384615377,0.002476046715976327,-0.00631601747041419,0.01687302267751476
8.139,-0.57,-0.25,6.38,-65.65612700023489,-656.5612700023487,-755.0454605027011,-42.0,66.0,87.0,6.4102886050473575,1002.7347982919033,-0.019223594772234422,-0.008431401215892292,0.21516935902957127,-3.2626832410333536e-05,-0.0003262683241033353,-0.00037520857271883566,-0.007558679220262565,-0.0042582183614375746,0.2462369741412582,-0.0012307692307692308,-0.008822232024702248,-0.014259144451332922,1.4249999999999998,-4.163333333333333,10.676666666666668,147.7262857505285,1603.1037675890682,-481.4782646683891,14.536519041417376,156.89415379184962,-32.58185302386653,0.1392553846153845,-0.37760807692307663,0.8807292307692299,0.004735264482248512,-0.01202351498520708,0.02883358732248515
8.151,-1.59,5.36,9.33,-361.1086985012919,-886.3577145031709,-820.7015875029359,-42.0,66.0,87.0,10.876883744896789,1260.7857018234386,-0.05362371173307497,0.18076924206873074,0.3146598933771003,-0.00017944757825683446,-0.00044046223753950274,-0.00040783540512916915,-0.021084736772311367,0.0912962016692216,0.36009262832883054,-0.00676923076923077,-0.011910013233348038,-0.015499070055796654,0.9942857142857141,-2.8028571428571425,10.484285714285715,75.03557371455416,1247.4664130044625,-529.9387393590387,13.534000486836868,146.86896824604455,-44.11081640154238,0.13055192307692298,-0.38142538461538433,0.9781469230769222,0.006861587085798804,-0.017789299852070974,0.04228164519230761
8.163,2.03,2.85,10.13,-558.0770795019965,590.905143002114,-623.7332065022314,-42.0,66.0,87.0,10.717289769340008,1024.530149671244,0.0684629778730454,0.09611797386117212,0.34164037726795565,-0.00027732807548783503,0.0002936414916930018,-0.00030995490789816857,0.02691950669672457,0.04854368932038835,0.3909687379390197,-0.010461538461538463,0.007940008822232024,-0.011779293242405458,1.1237499999999998,-2.0962499999999995,10.44,-4.103507937514678,1165.396254254169,-541.6630477519377,8.020148436644071,133.33496775920767,-56.642298333798735,0.10627384615384608,-0.2995823076923075,1.120608846153845,0.008855014526627203,-0.023613372071005875,0.05721719628698214
8.174,2.03,2.85,10.13,-558.0770795019965,590.905143002114,-623.7332065022314,-42.0,66.0,87.0,10.717289769340008,1024.530149671244,0.0684629778730454,0.09611797386117212,0.34164037726795565,-0.00027732807548783503,0.0002936414916930018,-0.00030995490789816857,0.02691950669672457,0.04854368932038835,0.3909687379390197,-0.010461538461538463,0.007940008822232024,-0.011779293242405458,1.2244444444444442,-1.5466666666666662,10.405555555555555,-65.65612700023489,1101.5639085594962,-550.7819542797481,-0.5012592772902522,142.35763475043225,-66.16622460231356,0.13727038461538452,-0.2560649999999998,1.2752861538461526,0.010477734408284006,-0.028187763461538413,0.0743280313609466
8.188,1.54,0.72,9.71,98.48419050035231,1444.4347940051675,-787.8735240028185,-42.0,66.0,87.0,9.857692427743931,1648.2826516516761,0.05193743148989651,0.024282435501769797,0.3274756232252566,4.894024861550029e-05,0.0007177903130273378,-0.00039152198892400235,0.02042169473544623,0.012263668880940213,0.37475878039367044,0.0018461538461538461,0.01940891045434495,-0.014879107253564786,1.2559999999999998,-1.3199999999999996,10.335999999999999,-49.24209525017616,1135.8509971040633,-574.4911112520551,-9.022666991224575,151.38030174165684,-75.69015087082839,0.16826692307692295,-0.21254769230769216,1.4299634615384602,0.012573747588757376,-0.03209767903846148,0.09380066994082821
