time,ax,ay,az,gx,gy,gz
5.7,-5.31,0.37,9.23,0.09,0.69,0.05
5.712,-5.31,0.37,9.23,0.09,0.69,0.05
5.723,0.58,-0.92,9.74,0.1,0.59,-0.0
5.735,0.58,-0.92,9.74,0.1,0.59,-0.0
5.747,-1.26,1.09,12.28,-0.02,0.34,-0.06
5.76,-1.26,4.57,14.8,-0.03,0.11,-0.08
5.771,-1.26,4.57,14.8,-0.03,0.11,-0.08
5.783,-0.26,1.05,13.27,0.13,0.04,-0.13
5.794,-0.26,1.05,13.27,0.13,0.04,-0.13
5.807,2.24,3.27,10.13,0.19,0.35,-0.17
5.819,-3.12,-2.84,6.68,0.24,0.98,-0.18
5.83,-3.12,-2.84,6.68,0.24,0.98,-0.18
5.841,6.19,-1.7,5.58,0.14,0.76,-0.27
5.855,6.19,-1.7,5.58,0.14,0.76,-0.27
5.866,-1.43,-4.54,11.05,0.1,0.71,-0.31
5.877,-1.43,-4.54,11.05,0.1,0.71,-0.31
5.889,1.26,1.29,6.42,0.07,0.26,-0.43
5.902,-3.14,4.25,7.84,0.15,0.65,-0.4
5.913,-3.14,4.25,7.84,0.15,0.65,-0.4
5.925,-2.15,4.12,8.07,0.06,0.52,-0.51
5.937,-2.15,4.12,8.07,0.06,0.52,-0.51
5.948,-1.46,7.25,11.61,0.05,0.26,-0.66
5.953,-1.46,7.25,11.61,0.05,0.26,-0.66
5.963,-0.6176923076923191,3.279487179487234,10.968974358974368,0.2717948717948688,0.23948717948717976,-0.7830769230769214
5.973,0.2246153846153618,-0.691025641025532,10.327948717948734,0.4935897435897375,0.21897435897435955,-0.9061538461538429
5.9830000000000005,1.0669230769231173,-4.661538461538651,9.686923076923046,0.715384615384626,0.1984615384615375,-1.0292307692307752
5.993,1.9092307692307982,-8.632051282051416,9.045897435897414,0.9371794871794948,0.17794871794871725,-1.1523076923076965
6.003,2.7515384615384795,-12.602564102564184,8.40487179487178,1.1589743589743635,0.15743589743589703,-1.275384615384618
6.013,3.59384615384616,-16.573076923076947,7.763846153846149,1.3807692307692323,0.1369230769230768,-1.3984615384615395
6.023000000000001,4.436153846153916,-20.54358974359007,7.12282051282046,1.6025641025641209,0.11641025641025474,-1.5215384615384717
6.031,5.11,-23.72,6.61,1.78,0.1,-1.62
6.0409999999999995,-5.209230769230509,-17.162307692307856,3.477948717948797,2.6658974358974135,-0.5602564102563936,-2.218717948717934
6.050999999999999,-15.52846153846102,-10.604615384615713,0.3458974358975935,3.5517948717948276,-1.220512820512787,-2.8174358974358675
6.061,-25.847692307692448,-4.046923076922987,-2.786153846153888,4.43769230769232,-1.8807692307692394,-3.4161538461538545
6.071,-36.166923076922956,2.5107692307691565,-5.918205128205092,5.323589743589733,-2.541025641025633,-4.014871794871788
6.0809999999999995,-46.48615384615347,9.0684615384613,-9.050256410256296,6.209487179487147,-3.2012820512820266,-4.613589743589722
6.090999999999999,-56.80538461538398,15.626153846153443,-12.1823076923075,7.09538461538456,-3.8615384615384203,-5.212307692307656
6.101,-67.12461538461541,22.18384615384617,-15.314358974358981,7.981282051282053,-4.521794871794873,-5.811025641025642
6.109,-75.38,27.43,-17.82,8.69,-5.05,-6.29
6.119,-66.79025641025662,29.128717948717906,-15.413589743589805,6.455384615384671,-7.096153846153795,-7.0220512820512635
6.129,-58.20051282051325,30.827435897435812,-13.00717948717961,4.220769230769342,-9.14230769230759,-7.754102564102528
6.139,-49.61076923076911,32.52615384615387,-10.600769230769199,1.9861538461538153,-11.188461538461567,-8.486153846153856
6.149,-41.02102564102574,34.224871794871774,-8.194358974359004,-0.2484615384615143,-13.234615384615363,-9.21820512820512
6.159,-32.43128205128236,35.92358974358968,-5.787948717948806,-2.483076923076842,-15.280769230769156,-9.950256410256383
6.169,-23.84153846153899,37.62230769230759,-3.381538461538611,-4.717692307692172,-17.326923076922952,-10.682307692307647
6.179,-15.25179487179485,39.32102564102564,-0.9751282051282004,-6.9523076923076985,-19.37307692307693,-11.414358974358976
6.187,-8.38,40.68,0.95,-8.74,-21.01,-12.0
6.197,-8.599999999999996,40.07555555555557,0.7177777777777823,-9.143333333333326,-20.91666666666667,-10.00111111111115
6.207,-8.819999999999991,39.471111111111135,0.48555555555556473,-9.54666666666665,-20.823333333333338,-8.0022222222223
6.2170000000000005,-9.040000000000006,38.866666666666646,0.2533333333333265,-9.950000000000012,-20.73,-6.0033333333332735
6.227,-9.260000000000002,38.26222222222222,0.02111111111110886,-10.353333333333337,-20.636666666666667,-4.004444444444424
6.237,-9.479999999999999,37.65777777777778,-0.2111111111111088,-10.756666666666662,-20.543333333333337,-2.005555555555574
