time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr
6.363,-1.86,-1.69,5.7,-0.05,-0.04,-0.05,-33.0,32.0,90.0,11.172958426486693,16.69461766905721
6.442,-1.6,-1.31,10.67,0.02,0.15,-0.0,-35.0,30.0,87.0,6.2294221240818155,4.654731131878351
6.531,-3.52,0.87,10.11,0.05,0.52,-0.22,-36.0,29.0,87.0,10.868532559642079,8.670424754028428
6.543,-3.52,0.87,10.11,0.05,0.52,-0.22,-36.0,29.0,87.0,10.74054933418212,32.47715628343673
6.555,-1.13,5.2,10.16,0.03,0.16,-0.31,-36.0,29.0,87.0,10.74054933418212,32.47715628343673
6.566,-1.13,5.2,10.16,0.03,0.16,-0.31,-36.0,29.0,87.0,11.469197879538047,20.061706271188395
6.579,-0.54,9.24,5.8,0.04,0.4,-0.32,-36.0,29.0,87.0,11.469197879538047,20.061706271188395
6.591,-0.1,16.42,8.67,0.08,0.9,-0.35,-36.0,29.0,87.0,10.922875079391872,29.439104544858363
6.603,-0.1,16.42,8.67,0.08,0.9,-0.35,-36.0,29.0,87.0,18.568664464629652,55.517806891357175
6.614,-2.87,9.61,7.0,0.26,1.2,-0.48,-36.0,29.0,87.0,18.568664464629652,55.517806891357175
6.627,-2.87,9.61,7.0,0.26,1.2,-0.48,-36.0,29.0,87.0,12.230658199786307,75.53487562921124
6.639,-4.03,-0.62,15.78,0.38,1.06,-0.71,-36.0,29.0,87.0,12.230658199786307,75.53487562921124
6.65,7.2,-13.91,14.41,1.19,0.72,-1.23,-42.0,31.0,87.0,16.298272914637305,76.27228286117973
6.662,7.2,-13.91,14.41,1.19,0.72,-1.23,-42.0,31.0,87.0,21.283237535675816,106.38207842973593
6.676,3.05,-20.68,9.47,2.32,0.67,-1.85,-42.0,31.0,87.0,21.283237535675816,106.38207842973593
6.688,3.05,-20.68,9.47,2.32,0.67,-1.85,-42.0,31.0,87.0,22.94876467263543,174.29410030674782
