time,ax,ay,az,gx,gy,gz
6.6,-1.43,2.04,9.52,0.08,0.59,0.24
6.61,5.74,0.89,15.16,-0.01,0.76,0.22
6.62,5.74,0.89,15.16,-0.01,0.76,0.22
6.63,5.74,0.89,15.16,-0.01,0.76,0.22
6.64,-0.83,3.0,7.31,0.1,0.61,0.15
6.65,-0.83,3.0,7.31,0.1,0.61,0.15
6.66,-0.02,2.79,11.44,-0.02,0.48,0.11
6.67,-1.5250000000000001,-0.355,10.864999999999998,0.02,0.47,0.095
6.68,-3.03,-3.5,10.29,0.06,0.46,0.08
6.69,-3.03,-3.5,10.29,0.06,0.46,0.08
6.7,-1.47,3.29,13.26,0.01,0.46,-0.0
6.71,1.4,1.72,7.85,0.01,0.69,-0.04
6.72,1.4,1.72,7.85,0.01,0.69,-0.04
6.73,1.4,1.72,7.85,0.01,0.69,-0.04
6.74,5.73,-1.18,16.68,-0.05,0.68,-0.09
6.75,5.73,-1.18,16.68,-0.05,0.68,-0.09
6.76,0.57,-0.44,4.16,0.16,0.45,-0.22
6.77,-1.4649999999999097,-1.0999999999999708,6.779999999999884,0.09500000000000289,0.48499999999999843,-0.24499999999999889
6.78,-3.5,-1.76,9.4,0.03,0.52,-0.27
6.79,-3.5,-1.76,9.4,0.03,0.52,-0.27
6.8,-0.24,-1.79,6.66,0.07,0.42,-0.33
6.81,-0.24,-1.79,6.66,0.07,0.42,-0.33
6.819999999999999,-1.6499999999999375,-1.4450000000000154,5.965000000000031,0.07499999999999979,0.38500000000000156,-0.36499999999999844
6.83,-3.06,-1.1,5.27,0.08,0.35,-0.4
6.84,2.95,0.93,0.97,-0.01,0.13,-0.47
6.85,2.95,0.93,0.97,-0.01,0.13,-0.47
6.86,3.77,0.12,17.59,-0.08,0.09,-0.47
6.87,4.56,-1.525,19.994999999999997,-0.020000000000000004,0.095,-0.485
6.88,5.35,-3.17,22.4,0.04,0.1,-0.5
6.89,5.35,-3.17,22.4,0.04,0.1,-0.5
6.9,1.47,1.49,0.34,0.18,0.15,-0.6
6.91,1.47,1.49,0.34,0.18,0.15,-0.6
6.92,3.48,0.98,16.22,0.05,0.13,-0.64
6.93,3.8049999999999926,1.571249999999987,15.215000000000021,0.038750000000000256,0.057500000000001605,-0.6012500000000008
6.9399999999999995,4.129999999999986,2.162499999999974,14.210000000000043,0.027500000000000503,-0.014999999999996794,-0.5625000000000018
6.95,4.455000000000007,2.7537500000000135,13.204999999999977,0.016249999999999758,-0.08750000000000163,-0.5237499999999992
6.96,4.78,3.345,12.2,0.0050000000000000044,-0.16000000000000003,-0.485
6.97,5.104999999999993,3.936249999999987,11.195000000000022,-0.006249999999999742,-0.23249999999999843,-0.44625000000000087
6.9799999999999995,5.4299999999999855,4.527499999999974,10.190000000000044,-0.017499999999999488,-0.30499999999999683,-0.40750000000000175
6.99,5.755000000000008,5.118750000000013,9.184999999999977,-0.028750000000000234,-0.3775000000000017,-0.36874999999999913
7.0,6.08,5.71,8.18,-0.04,-0.45,-0.33
7.01,5.898750000000004,4.236250000000033,8.278749999999997,0.02624999999999853,-0.407500000000001,-0.29250000000000087
7.02,5.717500000000008,2.7625000000000655,8.377499999999996,0.09249999999999706,-0.3650000000000019,-0.25500000000000167
7.03,5.536249999999996,1.2887499999999674,8.476250000000002,0.15875000000000147,-0.32249999999999907,-0.21749999999999917
7.04,5.355,-0.1849999999999996,8.575000000000001,0.225,-0.28,-0.18
7.05,5.173750000000004,-1.6587499999999666,8.673749999999998,0.29124999999999857,-0.23750000000000093,-0.14250000000000082
7.06,4.992500000000008,-3.1324999999999337,8.772499999999996,0.3574999999999971,-0.1950000000000019,-0.10500000000000165
7.07,4.811249999999996,-4.606250000000032,8.871250000000003,0.4237500000000015,-0.15249999999999903,-0.06749999999999912
7.08,4.63,-6.08,8.97,0.49,-0.11,-0.03
7.09,1.5112500000000693,-3.6612500000000536,6.867500000000048,1.4574999999999785,0.42999999999998806,0.6887499999999841
7.1,-1.6074999999998614,-1.2425000000001072,4.765000000000094,2.424999999999957,0.9699999999999761,1.4074999999999682
7.11,-4.726250000000069,1.1762500000000538,2.6624999999999535,3.3925000000000214,1.510000000000012,2.126250000000016
7.12,-7.845,3.5950000000000006,0.5600000000000005,4.36,2.0500000000000003,2.8450000000000006
7.13,-10.96374999999993,6.013749999999947,-1.5424999999999542,5.327499999999978,2.5899999999999883,3.5637499999999847
7.14,-14.082499999999861,8.432499999999893,-3.644999999999907,6.294999999999957,3.1299999999999764,4.282499999999969
7.15,-17.20125000000007,10.851250000000055,-5.747500000000047,7.2625000000000215,3.6700000000000124,5.001250000000017
7.16,-20.32,13.27,-7.85,8.23,4.21,5.72
7.17,-18.07500000000005,12.79750000000001,-6.883750000000021,7.500000000000017,3.718750000000011,5.942499999999995
7.18,-15.8300000000001,12.32500000000002,-5.917500000000043,6.770000000000033,3.227500000000022,6.16499999999999
7.19,-13.584999999999951,11.852499999999988,-4.951249999999979,6.039999999999985,2.7362499999999894,6.387500000000005
7.2,-11.34,11.379999999999999,-3.9849999999999994,5.3100000000000005,2.245,6.609999999999999
7.21,-9.09500000000005,10.90750000000001,-3.018750000000021,4.580000000000017,1.7537500000000112,6.832499999999995
7.22,-6.850000000000099,10.43500000000002,-2.052500000000043,3.8500000000000334,1.262500000000022,7.05499999999999
7.23,-4.604999999999951,9.96249999999999,-1.0862499999999784,3.119999999999985,0.7712499999999896,7.277500000000005
7.24,-2.36,9.49,-0.12,2.39,0.28,7.5
7.25,-2.36,9.49,-0.12,2.39,0.28,7.5
7.26,-3.04,9.15,-1.08,2.13,0.39,7.45
7.27,-3.04,9.15,-1.08,2.13,0.39,7.45
7.28,0.48,9.74,-2.36,1.97,0.36,7.42
7.29,-0.43000000000000005,9.515,-0.5449999999999999,1.885,0.7200000000000001,7.51
7.3,-1.34,9.29,1.27,1.8,1.08,7.6
7.31,-1.34,9.29,1.27,1.8,1.08,7.6
7.32,-1.48,9.73,1.79,1.59,1.15,7.61
7.33,-0.81,9.8,1.345,1.46,1.205,7.625
7.34,-0.14,9.87,0.9,1.33,1.26,7.64
7.35,-0.14,9.87,0.9,1.33,1.26,7.64
7.36,-0.79,9.53,1.39,1.06,1.61,7.74
7.37,-0.79,9.53,1.39,1.06,1.61,7.74
7.38,-1.02,9.61,1.4849999999999999,0.915,1.6800000000000002,7.755
7.39,-1.25,9.69,1.58,0.77,1.75,7.77
7.4,-0.56,9.79,0.51,0.44,1.78,7.78
7.41,-0.56,9.79,0.51,0.44,1.78,7.78
7.42,-0.65,9.72,0.63,0.11,1.89,7.8
7.43,-92.24,-34.54,-44.34,0.32,2.9,6.47
7.4399999999999995,-92.24,-34.54,-44.34,0.32,2.9,6.47
7.45,-92.24,-34.54,-44.34,0.32,2.9,6.47
7.46,-11.73,-4.3,-22.66,1.47,8.04,2.99
7.47,-11.73,-4.3,-22.66,1.47,8.04,2.99
7.4799999999999995,-7.125000000000204,-1.4300000000001267,-12.805000000000437,1.7649999999999868,10.139999999999906,2.8000000000000087
7.49,-2.52,1.44,-2.95,2.06,12.24,2.61
7.5,-14.41,69.39,34.12,4.64,5.63,0.64
7.51,-14.41,69.39,34.12,4.64,5.63,0.64
7.52,7.82,1.39,13.81,1.33,-0.56,-0.56
7.53,3.94,61.96,2.76,0.49,-1.49,-0.25
7.54,3.94,61.96,2.76,0.49,-1.49,-0.25
7.55,3.94,61.96,2.76,0.49,-1.49,-0.25
7.56,50.19,50.49,41.12,4.59,3.07,-0.16
7.57,50.19,50.49,41.12,4.59,3.07,-0.16
7.58,16.754999999999995,28.02,-1.4600000000000009,2.59,0.565,-0.095
7.59,-16.68,5.55,-44.04,0.59,-1.94,-0.03
7.6,0.15,-6.03,21.04,0.19,-3.04,0.01
7.61,0.15,-6.03,21.04,0.19,-3.04,0.01
7.62,1.44,-5.45,8.02,0.28,-2.39,0.03
7.63,1.44,-5.45,8.02,0.28,-2.39,0.03
7.64,2.269999999999963,-3.5900000000000825,8.005,0.18000000000000446,-1.375000000000045,0.03
7.65,3.1,-1.73,7.99,0.08,-0.36,0.03
7.66,-0.66,-0.56,9.63,0.0,-0.05,0.04
7.67,-0.66,-0.56,9.63,0.0,-0.05,0.04
7.68,0.54,-0.49,9.74,-0.0,-0.05,0.04
7.6899999999999995,0.18500000000001576,-0.5299999999999983,9.72,-0.004999999999999778,-0.02500000000000111,0.04
7.7,-0.17,-0.57,9.7,-0.01,0.0,0.04
7.71,-0.17,-0.57,9.7,-0.01,0.0,0.04
7.72,0.73,-0.64,9.77,-0.01,-0.02,0.04
7.73,0.73,-0.64,9.77,-0.01,-0.02,0.04
7.74,0.485,-0.475,9.719999999999999,-0.005,-0.01,0.04
7.75,0.24,-0.31,9.67,-0.0,-0.0,0.04
7.76,0.41,-0.44,9.77,0.0,-0.02,0.04
7.77,0.41,-0.44,9.77,0.0,-0.02,0.04
