time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gz_normalized_1,gy_normalized_1
7.72,0.73,-0.64,9.77,-0.01,-0.02,0.04,-23.0,-100.0,78.0,9.818115908869684,2.6256224662019982,0.06602704910099427,-0.05788672797895388,0.8836770818037177,-0.0043732488393797226,-0.008746497678759445,0.01749299535751889,0.7849462365591398,-0.5423728813559322,0.946705426356589,-0.5,1.0,-0.5
7.73,0.73,-0.64,9.77,-0.01,-0.02,0.04,-23.0,-100.0,78.0,9.818115908869684,2.6256224662019982,0.06602704910099427,-0.05788672797895388,0.8836770818037177,-0.0043732488393797226,-0.008746497678759445,0.01749299535751889,0.7849462365591398,-0.5423728813559322,0.946705426356589,-0.5,1.0,-0.5
7.75,0.24,-0.31,9.67,-0.0,-0.0,0.04,-18.0,-100.0,81.0,9.677943996531495,2.291831180523293,0.021707522992107705,-0.028038883864805783,0.8746322805570063,-0.0,-0.0,0.01749299535751889,0.25806451612903225,-0.2627118644067797,0.937015503875969,-0.0,1.0,-0.0
7.76,0.41,-0.44,9.77,0.0,-0.02,0.04,-18.0,-100.0,81.0,9.788493244621462,2.5623451563018373,0.03708368511151733,-0.03979712548553079,0.8836770818037177,0.0,-0.008746497678759445,0.01749299535751889,0.4408602150537634,-0.3728813559322034,0.946705426356589,0.0,1.0,-0.5
7.77,0.41,-0.44,9.77,0.0,-0.02,0.04,-18.0,-100.0,81.0,9.788493244621462,2.5623451563018373,0.03708368511151733,-0.03979712548553079,0.8836770818037177,0.0,-0.008746497678759445,0.01749299535751889,0.4408602150537634,-0.3728813559322034,0.946705426356589,0.0,1.0,-0.5
7.78,0.58,-0.51,9.69,-0.0,-0.02,0.04,-18.0,-100.0,81.0,9.7207304252304,2.5623451563018373,0.05245984723092695,-0.04612848635822887,0.8764412408063486,-0.0,-0.008746497678759445,0.01749299535751889,0.6236559139784945,-0.4322033898305085,0.9389534883720929,-0.0,1.0,-0.5
7.8,0.41,-0.56,9.92,-0.01,-0.0,0.04,-18.0,-100.0,81.0,9.94424959461497,2.362365508345388,0.03708368511151733,-0.050650886981584646,0.8972442836737851,-0.0043732488393797226,-0.0,0.01749299535751889,0.4408602150537634,-0.47457627118644075,0.9612403100775193,-0.5,1.0,-0.0
7.81,0.41,-0.56,9.92,-0.01,-0.0,0.04,-18.0,-100.0,81.0,9.94424959461497,2.362365508345388,0.03708368511151733,-0.050650886981584646,0.8972442836737851,-0.0043732488393797226,-0.0,0.01749299535751889,0.4408602150537634,-0.47457627118644075,0.9612403100775193,-0.5,1.0,-0.0
7.82,0.54,-0.52,9.62,-0.01,-0.0,0.04,-18.0,-100.0,81.0,9.649165767049501,2.362365508345388,0.04884192673224234,-0.04703296648290003,0.8701098799336504,-0.0043732488393797226,-0.0,0.01749299535751889,0.5806451612903226,-0.44067796610169496,0.9321705426356588,-0.5,1.0,-0.0
7.83,0.54,-0.52,9.62,-0.01,-0.0,0.04,-18.0,-100.0,81.0,9.649165767049501,2.362365508345388,0.04884192673224234,-0.04703296648290003,0.8701098799336504,-0.0043732488393797226,-0.0,0.01749299535751889,0.5806451612903226,-0.44067796610169496,0.9321705426356588,-0.5,1.0,-0.0
