time,ax,ay,az,gx,gy,gz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gy_normalized_1,gz_normalized_1
7.72,0.73,-0.64,9.77,-0.01,-0.02,0.04,9.818115908869684,2.6256224662019982,0.0665850551776075,-0.058375938785847674,0.8911451905277058,-0.0044440462440252316,-0.008888092488050463,0.017776184976100926,0.7849462365591398,-0.5423728813559322,0.946705426356589,-0.5,-0.5,1.0
7.73,0.73,-0.64,9.77,-0.01,-0.02,0.04,9.818115908869684,2.6256224662019982,0.0665850551776075,-0.058375938785847674,0.8911451905277058,-0.0044440462440252316,-0.008888092488050463,0.017776184976100926,0.7849462365591398,-0.5423728813559322,0.946705426356589,-0.5,-0.5,1.0
7.74,0.485,-0.475,9.72,-0.005,-0.01,0.04,9.743677437189719,2.379672446739311,0.04423801611115019,-0.043325892067621316,0.8865845703100615,-0.0022220231220126158,-0.0044440462440252316,0.017776184976100926,0.521505376344086,-0.4025423728813559,0.9418604651162791,-0.25,-0.25,1.0
7.75,0.24,-0.31,9.67,-0.0,-0.0,0.04,9.677943996531495,2.291831180523293,0.021890977044692877,-0.028275845349394965,0.8820239500924172,-0.0,-0.0,0.017776184976100926,0.25806451612903225,-0.2627118644067797,0.937015503875969,-0.0,-0.0,1.0
7.76,0.41,-0.44,9.77,0.0,-0.02,0.04,9.788493244621462,2.5623451563018373,0.03739708578468366,-0.040133457915270274,0.8911451905277058,0.0,-0.008888092488050463,0.017776184976100926,0.4408602150537634,-0.3728813559322034,0.946705426356589,0.0,-0.5,1.0
7.77,0.41,-0.44,9.77,0.0,-0.02,0.04,9.788493244621462,2.5623451563018373,0.03739708578468366,-0.040133457915270274,0.8911451905277058,0.0,-0.008888092488050463,0.017776184976100926,0.4408602150537634,-0.3728813559322034,0.946705426356589,0.0,-0.5,1.0
7.78,0.58,-0.51,9.69,-0.0,-0.02,0.04,9.7207304252304,2.5623451563018373,0.05290319452467445,-0.046518326219972365,0.8838481981794749,-0.0,-0.008888092488050463,0.017776184976100926,0.6236559139784945,-0.4322033898305085,0.9389534883720929,-0.0,-0.5,1.0
7.79,0.4949999999999999,-0.535,9.805,-0.005,-0.01,0.04,9.832053447779868,2.379672446739311,0.04515014015467905,-0.04879863632879454,0.894337624680057,-0.0022220231220126158,-0.0044440462440252316,0.017776184976100926,0.5322580645161289,-0.45338983050847464,0.9500968992248061,-0.25,-0.25,1.0
7.8,0.41,-0.56,9.92,-0.01,-0.0,0.04,9.94424959461497,2.362365508345388,0.03739708578468366,-0.05107894643761672,0.9048270511806389,-0.0044440462440252316,-0.0,0.017776184976100926,0.4408602150537634,-0.47457627118644075,0.9612403100775193,-0.5,-0.0,1.0
7.81,0.41,-0.56,9.92,-0.01,-0.0,0.04,9.94424959461497,2.362365508345388,0.03739708578468366,-0.05107894643761672,0.9048270511806389,-0.0044440462440252316,-0.0,0.017776184976100926,0.4408602150537634,-0.47457627118644075,0.9612403100775193,-0.5,-0.0,1.0
