time,ax,ay,az,gx,gy,gz
7.257,1.8,-1.24,7.71,0.08,0.17,0.02
7.269,-0.27,-2.67,9.64,-0.05,0.45,0.05
7.28,-0.27,-2.67,9.64,-0.05,0.45,0.05
7.292,1.54,2.5,8.61,0.1,0.38,-0.01
7.304,-2.71,3.35,7.62,0.05,0.34,-0.04
7.316,-2.71,3.35,7.62,0.05,0.34,-0.04
7.328,1.26,4.12,8.37,-0.01,0.29,-0.07
7.339,1.26,4.12,8.37,-0.01,0.29,-0.07
7.352,-0.23,9.15,11.95,0.13,0.34,-0.11
7.364,-2.93,10.37,11.71,0.04,0.59,-0.12
7.376,-2.93,10.37,11.71,0.04,0.59,-0.12
7.387,3.23,10.01,8.78,0.23,0.6,-0.18
7.399,3.23,10.01,8.78,0.23,0.6,-0.18
7.412,-0.75,12.13,9.12,0.08,0.56,-0.3
7.424,-0.53,4.72,13.37,0.14,0.42,-0.41
7.435,-0.53,4.72,13.37,0.14,0.42,-0.41
7.447,1.67,-6.25,0.86,0.4,0.3,-0.5
7.461,1.67,-6.25,0.86,0.4,0.3,-0.5
7.473,-1.76,-23.7,20.0,0.33,0.1,-0.65
7.485,-1.65,-27.81,11.58,0.81,-0.59,-0.74
7.497,-1.65,-27.81,11.58,0.81,-0.59,-0.74
7.51,-1.8,-25.0,11.91,0.73,-1.89,-0.24
7.522,-1.8,-25.0,11.91,0.73,-1.89,-0.24
7.533,2.46,-14.71,17.84,1.78,-3.3,0.19
7.545,7.2,8.4,12.31,4.92,-1.35,-0.55
7.559,7.2,8.4,12.31,4.92,-1.35,-0.55
7.571,-0.67,22.04,3.37,8.03,3.07,-1.03
7.582,-0.67,22.04,3.37,8.03,3.07,-1.03
7.594,1.31,17.47,3.75,9.48,1.45,-0.87
7.608,6.45,43.4,-5.84,6.28,4.91,-0.87
7.62,6.45,43.4,-5.84,6.28,4.91,-0.87
7.632,-3.23,7.51,-9.63,0.08,21.48,-1.41
7.644,-3.51,2.64,-3.59,-0.2,23.6,-2.89
7.656,-3.51,2.64,-3.59,-0.2,23.6,-2.89
7.668,-5.73,3.87,4.34,1.43,24.18,-2.76
