time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr
5.2,0.14,1.52,10.2,0.06,-0.17,0.39,12.0,16.0,-100.0,14.790077755035638,24.96807813723816
5.22,0.14,1.52,10.2,0.06,-0.17,0.39,12.0,16.0,-100.0,10.313583276436953,24.617190177032146
5.23,0.19,0.71,12.76,0.07,0.01,0.44,12.0,16.0,-100.0,10.313583276436953,24.617190177032146
5.24,1.74,3.53,3.3,0.12,0.1,0.46,12.0,16.0,-100.0,12.781150182984316,25.533611987189207
5.25,1.74,3.53,3.3,0.12,0.1,0.46,12.0,16.0,-100.0,5.136000389408085,27.834192975596967
5.27,-3.3,4.37,12.02,-0.07,0.08,0.49,12.0,16.0,-100.0,5.136000389408085,27.834192975596967
5.28,5.88,2.22,14.2,0.15,0.17,0.49,12.0,16.0,-100.0,13.208607042379601,28.727991861474628
5.29,5.88,2.22,14.2,0.15,0.17,0.49,12.0,16.0,-100.0,15.528773293470415,30.93441531738435
5.3,-4.59,-1.63,11.23,0.27,0.3,0.44,12.0,16.0,-100.0,15.528773293470415,30.93441531738435
5.32,-4.59,-1.63,11.23,0.27,0.3,0.44,12.0,16.0,-100.0,12.240829220277522,34.20994685437537
5.33,3.77,0.25,10.46,0.04,0.33,0.37,12.0,16.0,-100.0,12.240829220277522,34.20994685437537
5.34,2.31,-3.46,9.41,0.11,0.57,0.33,12.0,16.0,-100.0,11.121465730738914,28.498531383088945
5.36,2.31,-3.46,9.41,0.11,0.57,0.33,12.0,16.0,-100.0,10.288624786627219,38.2596831072898
5.37,0.79,-0.42,9.37,-0.0,0.44,0.25,12.0,16.0,-100.0,10.288624786627219,38.2596831072898
5.38,1.48,-1.79,9.94,0.0,0.18,0.19,12.0,16.0,-100.0,9.4126191891524,28.995287655721018
5.39,1.48,-1.79,9.94,0.0,0.18,0.19,12.0,16.0,-100.0,10.207747057994727,14.99574056109949
5.41,0.89,0.04,13.52,0.13,-0.02,0.16,12.0,16.0,-100.0,10.207747057994727,14.99574056109949
5.42,0.89,0.04,13.52,0.13,-0.02,0.16,12.0,16.0,-100.0,13.54932101619856,11.86728243598777
5.43,-3.22,3.31,15.58,-0.01,-0.16,0.19,12.0,16.0,-100.0,13.54932101619856,11.86728243598777
5.44,-1.43,-0.32,29.12,0.17,-0.28,0.23,12.0,16.0,-100.0,16.249950769156193,14.243504920865712
5.45,-1.43,-0.32,29.12,0.17,-0.28,0.23,12.0,16.0,-100.0,29.15684653730578,22.932631276673888
5.47,-2.03,-0.7,10.18,0.37,-0.49,0.18,12.0,16.0,-100.0,29.15684653730578,22.932631276673888
5.48,5.97,2.06,9.68,0.15,-0.22,0.27,12.0,16.0,-100.0,10.404004036908098,36.66034532972661
5.49,5.97,2.06,9.68,0.15,-0.22,0.27,12.0,16.0,-100.0,11.557979927305636,21.727115619236915
5.51,1.59,5.11,7.83,-0.05,0.05,0.33,12.0,16.0,-100.0,11.557979927305636,21.727115619236915
5.52,1.59,5.11,7.83,-0.05,0.05,0.33,12.0,16.0,-100.0,9.484149935550365,19.336795061910795
5.53,-1.13,3.12,8.03,0.17,0.58,0.28,12.0,16.0,-100.0,9.484149935550365,19.336795061910795
5.54,-0.86,-10.08,5.86,0.26,1.66,0.18,12.0,16.0,-100.0,8.688624747334874,38.165182791389995
5.55,-0.86,-10.08,5.86,0.26,1.66,0.18,12.0,16.0,-100.0,11.691261694102995,96.82139129910051
