time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normMag,normGyr,thetaGyrx,thetaGyry,thetaGyrz,vx,vy,vz,posx,posy,posz
5.382,-0.07,2.13,12.68,0.07,0.26,0.3,96.0,57.0,68.0,14.10705142827515,130.72490198887127,17.226888693001463,6.603218145839847,-51.35568565249899,2.907986580041382,-10.70361346382978,1.3522700425531884,41.45124788085107,-45.07444265433355,3.663866486300418,87.1499168727881
5.3950000000000005,-0.07,2.13,12.68,0.07,0.26,0.3,96.0,57.0,68.0,12.857845853796817,130.72490198887127,23.096667116207662,6.65944993053678,-51.14682473791039,3.148979943028238,-10.704594893617015,1.382133548936167,41.62902687659575,-45.22451186982558,3.682825887731074,87.73108100690652
5.407,-0.8,3.04,12.86,0.04,0.17,0.28,96.0,57.0,68.0,12.857845853796817,130.72490198887127,23.096667116207662,6.715681715233712,-50.93796382332178,3.3899733060150936,-10.70557632340425,1.4119970553191457,41.80680587234043,-45.37459484538085,3.702203988229096,88.31473767819591
5.4190000000000005,1.78,1.51,11.52,-0.01,0.05,0.25,90.0,57.0,68.0,13.238625306277083,130.72490198887127,18.90760723931717,6.74781416363196,-50.80140091762923,3.6149004448028257,-10.716792663829782,1.4546191489361668,41.98710854468086,-45.52469158099937,3.7220007877944807,88.90088688665628
5.431,1.78,1.51,11.52,-0.01,0.05,0.25,90.0,57.0,44.0,11.754101411847696,126.38433447227548,14.618847197565358,6.739781051532398,-50.76123535713142,3.815728247291872,-10.691836306382974,1.4757899914893584,42.14862384680852,-45.674945574483566,3.7423951672494375,89.48956401530741
5.4430000000000005,1.6,0.18,12.29,-0.02,0.13,0.25,90.0,57.0,44.0,11.754101411847696,115.26057435220424,14.618847197565358,6.731747939432836,-50.72106979663361,4.016556049780919,-10.666879948936169,1.49696083404255,42.31013914893618,-45.82484966921663,3.7630863709258593,90.08050565722428
5.455,1.6,0.18,12.29,-0.02,0.13,0.25,90.0,57.0,44.0,12.395019160937187,115.26057435220424,16.185423897165535,6.715681715233712,-50.6166393393393,4.217383852269965,-10.644447268085102,1.4994845106382946,42.48245017872341,-45.97440386519857,3.784074398823746,90.67371181240688
5.466,-4.7,0.52,6.1,-0.05,0.19,0.22,90.0,57.0,44.0,12.395019160937187,115.26057435220424,16.185423897165535,6.699615491034589,-50.512208882045,4.418211654759011,-10.622014587234036,1.5020081872340392,42.65476120851064,-46.12364354544915,3.80509780974141,91.26933384155096
5.478,-4.7,0.52,6.1,-0.05,0.19,0.22,90.0,57.0,44.0,7.718186315450023,115.26057435220424,16.89982699470683,6.65944993053678,-50.35957975215332,4.594940120949372,-10.687910587234038,1.509298808510635,42.74028580425532,-46.272568709968375,3.826156603678851,91.86737174465652
5.49,2.75,0.68,8.63,-0.08,0.3,0.2,90.0,57.0,44.0,7.718186315450023,115.26057435220424,16.89982699470683,6.6192843700389705,-50.20695062226165,4.771668587139732,-10.753806587234038,1.5165894297872309,42.8258104,-46.42241776444845,3.8473176152289823,92.46660873898784
5.503,-2.07,4.61,0.56,-0.11,0.38,0.2,90.0,57.0,44.0,9.08305014849087,115.26057435220424,21.16068964239119,6.555019473242476,-49.9659572592748,4.9323308291309695,-10.715250417021272,1.5261233191489327,42.94680667234043,-46.573190708889385,3.8685808443918033,93.06704482454494
5.514,-2.07,4.61,0.56,-0.11,0.38,0.2,90.0,57.0,44.0,5.084348532506402,115.26057435220424,25.398256786191205,6.466655240147295,-49.66069899949144,5.092993071122207,-10.744272697872336,1.5907574808510605,42.9546581106383,-46.72342307941705,3.8899777427404496,93.66917732932804
5.526,0.4,6.2,18.27,-0.37,0.13,0.17,90.0,57.0,44.0,5.084348532506402,115.26057435220424,25.398256786191205,6.378291007052114,-49.355440739708094,5.253655313113444,-10.7732949787234,1.6553916425531885,42.96250954893617,-46.87406235467216,3.9122808395400575,94.2714199146171
