time,ax,ay,az,gx,gy,gz
23.244,0.41,-1.41,9.81,-0.04,0.02,0.03
23.256,0.41,-1.41,9.81,-0.04,0.02,0.03
23.268,-0.16,0.24,9.29,-0.05,0.11,0.03
23.281,0.15,0.93,8.82,0.01,0.18,0.03
23.292,0.15,0.93,8.82,0.01,0.18,0.03
23.303,0.66,-0.48,9.71,0.02,0.15,0.03
23.314,0.66,-0.48,9.71,0.02,0.15,0.03
23.3279999999999,-0.51,-1.58,10.38,0.04,0.01,0.01
23.339,0.57,-1.93,9.65,0.01,-0.22,0.0
23.351,0.57,-1.93,9.65,0.01,-0.22,0.0
23.3619999999999,-0.28,0.95,10.62,-0.0,-0.38,0.02
23.374,-0.28,0.95,10.62,-0.0,-0.38,0.02
23.387,-0.3,3.4,9.89,0.01,-0.3,0.06
23.399,0.11,7.0,10.61,0.02,-0.14,0.08
23.41,0.11,7.0,10.61,0.02,-0.14,0.08
23.422,-0.03,9.48,11.77,0.03,0.11,0.08
23.4349999999999,-0.03,9.48,11.77,0.03,0.11,0.08
23.447,-0.41,10.9,6.7,0.06,0.42,0.03
23.459,0.18,8.07,9.33,0.09,0.67,-0.05
23.4699999999999,0.18,8.07,9.33,0.09,0.67,-0.05
23.483,0.67,-0.14,11.18,0.17,0.49,-0.18
23.495,0.67,-0.14,11.18,0.17,0.49,-0.18
23.507,0.17,-14.15,10.51,0.15,-0.02,-0.31
23.518,-0.33,-22.91,8.01,0.16,-0.38,-0.34
23.531,-0.33,-22.91,8.01,0.16,-0.38,-0.34
23.5429999999999,0.4,-29.75,11.16,0.15,-0.71,-0.25
23.554,0.4,-29.75,11.16,0.15,-0.71,-0.25
23.566,1.57,-28.43,12.13,0.4,-0.69,-0.24
23.579,-0.21,-16.82,16.26,1.45,0.19,-0.32
23.591,-0.21,-16.82,16.26,1.45,0.19,-0.32
23.602,0.56,0.55,15.71,3.6,-0.1,-0.47
23.614,0.56,0.55,15.71,3.6,-0.1,-0.47
23.627,1.8,17.73,6.83,6.32,0.86,-0.54
23.639,2.05,15.4,8.78,8.06,0.58,-0.51
23.6499999999999,2.05,15.4,8.78,8.06,0.58,-0.51
23.662,0.1,11.4,0.05,8.34,-1.04,-0.5
23.674,0.1,11.4,0.05,8.34,-1.04,-0.5
23.687,-0.42,12.29,42.48,5.51,-0.98,-0.62
23.698,3.82,31.16,23.34,2.91,0.94,-0.51
23.709,3.82,31.16,23.34,2.91,0.94,-0.51
23.7199999999999,0.65,11.6,6.55,-0.91,3.2,-0.14
23.734,0.65,11.6,6.55,-0.91,3.2,-0.14
23.745,0.31,22.46,7.09,-3.37,3.2,0.02
23.757,0.31,22.46,7.09,-3.37,3.2,0.02
23.769,2.38,17.3,2.22,-5.66,3.38,0.16
23.782,6.02,17.7,-0.1,-6.79,5.51,-0.55
23.7929999999999,6.02,17.7,-0.1,-6.79,5.51,-0.55
23.805,9.49,17.97,-25.78,-6.85,2.44,-1.41
23.817,9.49,17.97,-25.78,-6.85,2.44,-1.41
23.8299999999999,-0.38,11.18,-2.01,-6.84,-1.69,-1.56
23.841,-0.68,8.69,0.24,-7.02,-2.34,-1.39
23.853,-0.68,8.69,0.24,-7.02,-2.34,-1.39
23.864,-9.35,-0.87,-15.99,-6.98,-2.59,-1.11
23.877,-9.35,-0.87,-15.99,-6.98,-2.59,-1.11
23.889,3.28,-2.61,-29.13,-5.17,-2.95,-0.64
23.8999999999999,-15.03,3.44,-21.61,-3.18,-2.55,-0.48
23.912,-15.03,3.44,-21.61,-3.18,-2.55,-0.48
23.925,-1.24,1.51,-15.91,-1.87,-1.41,-0.96
23.937,-1.24,1.51,-15.91,-1.87,-1.41,-0.96
23.948,-0.17,1.16,-4.61,-1.01,0.25,-1.03
23.96,0.31,0.39,-0.83,-0.67,1.01,-1.0
23.9729999999999,0.31,0.39,-0.83,-0.67,1.01,-1.0
23.985,3.11,1.42,-4.3,-0.51,1.38,-0.95
23.996,3.11,1.42,-4.3,-0.51,1.38,-0.95
24.0079999999999,10.76,3.09,-14.73,-0.15,2.22,-0.69
24.012,10.76,3.09,-14.73,-0.15,2.22,-0.69
24.022000000000002,11.575384615384749,1.8617948717946704,-12.90820512820483,-0.475641025641079,1.3110256410254921,-0.5630769230769022
24.032,12.390769230769209,0.633589743589777,-11.086410256410307,-0.8012820512820423,0.40205128205130714,-0.43615384615384956
24.042,13.206153846153958,-0.5946153846155524,-9.264615384615137,-1.1269230769231213,-0.5069230769232012,-0.3092307692307518
24.052,14.021538461538418,-1.8228205128204458,-7.442820512820613,-1.4525641025640845,-1.415897435897386,-0.18230769230769917
24.062,14.836923076923167,-3.051025641025775,-5.621025641025442,-1.7782051282051636,-2.324871794871894,-0.05538461538460149
24.072,15.652307692307627,-4.279230769230669,-3.7992307692309186,-2.103846153846127,-3.233846153846079,0.07153846153845123
24.082,16.467692307692374,-5.5074358974359985,-1.9774358974357487,-2.429487179487206,-4.142820512820586,0.1984615384615489
24.09,17.12,-6.49,-0.52,-2.69,-4.87,0.3
24.1,14.584935064934726,-5.5977922077920885,0.7877922077923827,-2.2874025974025436,-3.7466233766232264,0.2662337662337617
24.11,12.049870129870353,-4.705584415584494,2.095584415584301,-1.88480519480523,-2.623246753246852,0.2324675324675354
24.12,9.514805194805078,-3.8133766233765822,3.403376623376684,-1.4822077922077737,-1.4998701298700783,0.1987012987012971
24.13,6.979740259740705,-2.9211688311689876,4.711168831168601,-1.07961038961046,-0.37649350649370383,0.16493506493507082
24.14,4.444675324675432,-2.028961038961076,6.018961038960985,-0.6770129870130037,0.7468831168830699,0.13116883116883254
24.15,1.909610389611057,-1.1367532467534813,7.326753246752903,-0.27441558441569036,1.8702597402594447,0.09740259740260626
24.16,-0.6254545454542182,-0.24454545454556964,8.634545454545286,0.128181818181766,2.9936363636362184,0.06363636363636796
24.167,-2.4,0.38,9.55,0.41,3.78,0.04
24.177000000000003,-2.2236842105260504,0.32999999999992474,9.272368421052214,0.3494736842104352,3.4628947368416276,0.04
24.187,-2.0473684210521634,0.27999999999986724,8.994736842104526,0.2889473684208919,3.1457894736833687,0.04
24.197000000000003,-1.8710526315782139,0.22999999999979198,8.717105263156741,0.22842105263132712,2.8286842105249965,0.04
24.207,-1.694736842104327,0.17999999999973448,8.439473684209052,0.16789473684178385,2.511578947366737,0.04
24.217000000000002,-1.5184210526303772,0.12999999999965922,8.161842105261266,0.10736842105221905,2.194473684208365,0.04
24.227,-1.3421052631564903,0.07999999999960172,7.884210526313579,0.04684210526267579,1.8773684210501058,0.04
24.237000000000002,-1.1657894736825407,0.02999999999952646,7.606578947365792,-0.013684210526889007,1.5602631578917339,0.04
24.2429999999999,-1.06,0.0,7.44,-0.05,1.37,0.04
24.2529999999999,-1.0499999999999985,0.4911111111111886,7.648888888888922,-0.04444444444444357,1.2744444444444294,0.04
24.2629999999999,-1.0400000000000005,0.9822222222222028,7.85777777777777,-0.03888888888888911,1.1788888888888929,0.04
24.2729999999999,-1.029999999999999,1.4733333333333913,8.066666666666691,-0.033333333333332674,1.0833333333333222,0.04
24.282999999999898,-1.020000000000001,1.9644444444444056,8.27555555555554,-0.027777777777778217,0.9877777777777854,0.04
24.2929999999999,-1.0099999999999991,2.4555555555555943,8.484444444444462,-0.022222222222221786,0.8922222222222147,0.04
24.302999999999898,-1.000000000000001,2.946666666666608,8.693333333333308,-0.016666666666667322,0.7966666666666781,0.04
24.3129999999999,-0.9899999999999995,3.437777777777797,8.902222222222232,-0.011111111111110891,0.7011111111111074,0.04
24.322999999999897,-0.9800000000000015,3.928888888888811,9.111111111111079,-0.005555555555556431,0.6055555555555707,0.04
24.3329999999999,-0.97,4.42,9.32,0.0,0.51,0.04
24.344,-0.23,5.77,9.77,-0.01,0.38,0.04
24.356,-0.23,5.77,9.77,-0.01,0.38,0.04
24.367,-0.94,2.89,10.68,-0.03,0.14,0.04
24.38,-0.76,0.33,10.7,-0.04,-0.06,0.04
24.392,-0.76,0.33,10.7,-0.04,-0.06,0.04
24.4029999999999,0.27,-0.09,8.81,-0.03,-0.18,0.04
24.415,0.27,-0.09,8.81,-0.03,-0.18,0.04
