time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr
5.169,-0.15,-1.35,9.48,-0.06,0.29,0.11,-32.0,30.0,86.0,10.768532862001212,11.936238753916985
5.181,-0.15,-1.35,9.48,-0.06,0.29,0.11,-32.0,30.0,86.0,9.576815754727665,18.10038877292894
5.194,-0.46,-1.11,10.95,-0.06,0.43,0.1,-32.0,30.0,86.0,9.576815754727665,18.10038877292894
5.205,-1.8,2.1,9.06,-0.08,0.15,0.07,-27.0,29.0,86.0,11.01572512365845,25.527182775961222
5.217,-1.8,2.1,9.06,-0.08,0.15,0.07,-27.0,29.0,86.0,9.472782062308834,10.533700899038141
5.228,-1.44,0.0,9.35,-0.07,0.07,0.11,-27.0,29.0,86.0,9.472782062308834,10.533700899038141
5.241,-1.44,0.0,9.35,-0.07,0.07,0.11,-27.0,29.0,86.0,9.460237840561938,8.479001065294025
5.253,0.93,3.44,12.58,-0.07,0.01,0.09,-27.0,29.0,86.0,9.460237840561938,8.479001065294025
5.265,0.57,2.72,7.01,0.06,0.13,0.09,-27.0,29.0,86.0,13.074972275305214,6.55780170370787
5.276,0.57,2.72,7.01,0.06,0.13,0.09,-27.0,29.0,86.0,7.540782452769739,9.689595533887669
5.288,-0.13,4.08,9.63,-0.05,-0.04,0.07,-27.0,29.0,86.0,7.540782452769739,9.689595533887669
5.301,-0.13,4.08,9.63,-0.05,-0.04,0.07,-27.0,29.0,86.0,10.459455052726218,5.4355549072846
5.313,-1.69,9.86,7.84,-0.06,-0.11,0.11,-27.0,29.0,86.0,10.459455052726218,5.4355549072846
5.325,-0.04,7.63,12.16,-0.1,0.1,0.14,-30.0,29.0,86.0,12.709889850034106,9.553115540509625
5.336,-0.04,7.63,12.16,-0.1,0.1,0.14,-30.0,29.0,86.0,14.355629557772797,11.401716162949553
5.349,-1.85,4.98,8.15,0.12,0.33,0.1,-30.0,29.0,86.0,14.355629557772797,11.401716162949553
5.361,-1.85,4.98,8.15,0.12,0.33,0.1,-30.0,29.0,86.0,9.728586742173809,20.91884524672826
5.372,-0.91,1.39,10.11,0.07,0.76,0.09,-30.0,29.0,86.0,9.728586742173809,20.91884524672826
5.384,0.06,-4.41,9.16,0.21,1.1,-0.01,-30.0,29.0,86.0,10.24559905520414,44.032095456802146
5.398,0.06,-4.41,9.16,0.21,1.1,-0.01,-30.0,29.0,86.0,10.16647923324491,64.16615715612656
5.409,-0.93,-11.09,11.18,0.38,1.36,-0.18,-30.0,29.0,86.0,10.16647923324491,64.16615715612656
5.421,-0.93,-11.09,11.18,0.38,1.36,-0.18,-30.0,29.0,86.0,15.77483438898805,81.56150309836008
5.433,-0.77,-18.59,14.11,0.35,0.51,-0.37,-30.0,29.0,86.0,15.77483438898805,81.56150309836008
5.446,4.73,-12.89,12.55,0.63,-0.52,-0.74,-33.0,30.0,86.0,23.35108348663933,41.29670566559881
5.458,4.73,-12.89,12.55,0.63,-0.52,-0.74,-33.0,30.0,86.0,18.60181442763044,63.15284185711098
5.469,4.02,1.97,15.67,1.61,0.22,-1.81,-33.0,30.0,86.0,18.60181442763044,63.15284185711098
5.481,4.02,1.97,15.67,1.61,0.22,-1.81,-33.0,30.0,86.0,16.296938362772316,139.36661024248056
5.493,0.76,19.57,11.27,3.95,-0.91,-3.45,-33.0,30.0,86.0,16.296938362772316,139.36661024248056
5.507,-4.59,31.12,16.65,6.21,-2.12,-5.3,-33.0,30.0,86.0,22.59591556011838,304.97881991298635
5.519,-4.59,31.12,16.65,6.21,-2.12,-5.3,-33.0,30.0,86.0,35.59136131141938,483.2874378605454
5.531,-7.0,23.05,4.89,7.38,-2.66,-7.29,-33.0,30.0,86.0,35.59136131141938,483.2874378605454
5.543,-7.0,23.05,4.89,7.38,-2.66,-7.29,-33.0,30.0,86.0,24.58077704223363,613.5842987930688
