time,ax,ay,az,gx,gy,gz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized
27.85,-0.84,-2.39,8.84,-0.07,0.46,0.01,9.195830576951709,26.665630602191726,-0.04493865162987564,-0.1278611635659557,0.4729258100096437,-0.0003022506177693473,0.001986218345341425,4.317865968133532e-05
27.86,-1.47,0.47,8.84,-0.08,0.4,-0.02,8.973706034855388,23.4002585281009,-0.07864264035228237,0.02514424555481137,0.4729258100096437,-0.00034542927745068256,0.0017271463872534129,-8.635731936267064e-05
27.87,-1.47,0.47,8.84,-0.08,0.4,-0.02,8.973706034855388,23.4002585281009,-0.07864264035228237,0.02514424555481137,0.4729258100096437,-0.00034542927745068256,0.0017271463872534129,-8.635731936267064e-05
27.88,-1.19,0.96,10.86,-0.05,0.31,-0.05,10.967100801943966,18.217895651973286,-0.06366308980899049,0.05135845900557216,0.5809925675005351,-0.0002158932984066766,0.0013385384501213948,-0.0002158932984066766
27.89,-0.48,1.38,9.86,-0.02,0.22,-0.1,9.967667731219775,13.893488164629161,-0.02567922950278608,0.07382778482050999,0.5274941727030641,-8.635731936267064e-05,0.000949930512989377,-0.0004317865968133532
27.9,-0.48,1.38,9.86,-0.02,0.22,-0.1,9.967667731219775,13.893488164629161,-0.02567922950278608,0.07382778482050999,0.5274941727030641,-8.635731936267064e-05,0.000949930512989377,-0.0004317865968133532
27.91,-0.48,1.38,9.86,-0.02,0.22,-0.1,9.967667731219775,13.893488164629161,-0.02567922950278608,0.07382778482050999,0.5274941727030641,-8.635731936267064e-05,0.000949930512989377,-0.0004317865968133532
27.92,-1.1,1.16,9.64,0.01,0.19,-0.15,9.771652879630958,13.881668946696912,-0.05884823427721811,0.06205813796506636,0.5157245258476205,4.317865968133532e-05,0.0008203945339453711,-0.0006476798952200298
27.93,-1.1,1.16,9.64,0.01,0.19,-0.15,9.771652879630958,13.881668946696912,-0.05884823427721811,0.06205813796506636,0.5157245258476205,4.317865968133532e-05,0.0008203945339453711,-0.0006476798952200298
27.94,-0.91,1.77,9.43,0.01,0.07,-0.21,9.637733135960966,12.695896651500302,-0.048683539265698614,0.09469215879152368,0.5044898629401515,4.317865968133532e-05,0.0003022506177693473,-0.0009067518533080417
27.95,-0.91,1.77,9.43,0.01,0.07,-0.21,9.637733135960966,12.695896651500302,-0.048683539265698614,0.09469215879152368,0.5044898629401515,4.317865968133532e-05,0.0003022506177693473,-0.0009067518533080417
27.96,0.66,0.25,6.05,0.02,-0.06,-0.25,6.091026186120037,14.775202952101234,0.03530894056633087,0.013374598699367751,0.32366528852469956,8.635731936267064e-05,-0.0002590719580880119,-0.001079466492033383
27.97,0.1949999999999174,-0.510000000000135,6.830000000000139,0.0250000000000008,-0.0850000000000044,-0.2600000000000018,6.851789912132595,15.73809833202194,0.010432186985502427,-0.027284181346717437,0.3653940364667344,0.00010794664920334175,-0.00036701860729136925,-0.001122645151714726
27.98,-0.27,-1.27,7.61,0.03,-0.11,-0.27,7.719967616512391,16.792649149732416,-0.014444566595317173,-0.06794296139278817,0.4071227844087544,0.00012953597904400595,-0.0004749652564946885,-0.0011658238113960537
27.99,-0.27,-1.27,7.61,0.03,-0.11,-0.27,7.719967616512391,16.792649149732416,-0.014444566595317173,-0.06794296139278817,0.4071227844087544,0.00012953597904400595,-0.0004749652564946885,-0.0011658238113960537
28.0,0.32,-2.16,9.43,0.03,-0.1,-0.29,9.679509285082586,17.659745277073384,0.017119486335190722,-0.11555653276253738,0.5044898629401515,0.00012953597904400595,-0.0004317865968133532,-0.0012521811307587242
28.01,0.32,-2.16,9.43,0.03,-0.1,-0.29,9.679509285082586,17.659745277073384,0.017119486335190722,-0.11555653276253738,0.5044898629401515,0.00012953597904400595,-0.0004317865968133532,-0.0012521811307587242
28.02,-0.2,-0.87,10.09,0.01,-0.09,-0.3,10.129412618705983,17.954709231038894,-0.010699678959494202,-0.04654360347379977,0.5397988035064825,4.317865968133532e-05,-0.00038860793713201783,-0.0012953597904400596
28.03,-0.33,-0.4,9.17,0.02,-0.15,-0.29,9.184650238305213,18.741939052596894,-0.017654470283165434,-0.021399357918988404,0.4905802802928091,8.635731936267064e-05,-0.0006476798952200298,-0.0012521811307587242
28.040000000000003,-0.33,-0.4,9.17,0.02,-0.15,-0.29,9.184650238305213,18.741939052596894,-0.017654470283165434,-0.021399357918988404,0.4905802802928091,8.635731936267064e-05,-0.0006476798952200298,-0.0012521811307587242
28.05,-0.33,-0.4,9.17,0.02,-0.15,-0.29,9.184650238305213,18.741939052596894,-0.017654470283165434,-0.021399357918988404,0.4905802802928091,8.635731936267064e-05,-0.0006476798952200298,-0.0012521811307587242
28.06,2.24,0.25,11.21,-0.0,-0.27,-0.27,11.43434300692436,21.87768648261768,0.11983640434633507,0.013374598699367751,0.59971700567965,-0.0,-0.0011658238113960537,-0.0011658238113960537
28.07,2.24,0.25,11.21,-0.0,-0.27,-0.27,11.43434300692436,21.87768648261768,0.11983640434633507,0.013374598699367751,0.59971700567965,-0.0,-0.0011658238113960537,-0.0011658238113960537
28.08,0.83,1.73,10.17,-0.01,-0.36,-0.23,10.349429935991644,24.48347278292327,0.04440366768190093,0.09255222299962484,0.5440786750902801,-4.317865968133532e-05,-0.0015544317485280713,-0.0009931091726707124
28.09,2.1,5.28,9.36,0.03,-0.52,-0.18,10.949794518619973,31.57512135366334,0.11234662907468912,0.28247152453064694,0.5007449753043286,0.00012953597904400595,-0.0022452903034294366,-0.0007772158742640357
28.1,2.1,5.28,9.36,0.03,-0.52,-0.18,10.949794518619973,31.57512135366334,0.11234662907468912,0.28247152453064694,0.5007449753043286,0.00012953597904400595,-0.0022452903034294366,-0.0007772158742640357
