time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr
15.53,0.23,1.56,12.08,-0.06,0.17,0.02,-58.0,-45.0,89.0,12.18248332648151,10.392513118364894
15.54,3.52,4.28,12.45,-0.03,0.18,-0.01,-58.0,-45.0,89.0,12.18248332648151,10.392513118364894
15.55,0.6,2.03,6.49,0.04,0.12,-0.03,-58.0,-45.0,89.0,13.627593331179206,10.471185801540924
15.57,0.6,2.03,6.49,0.04,0.12,-0.03,-58.0,-45.0,89.0,6.826492510799378,7.4484513367007015
15.58,1.49,0.45,7.13,-0.01,0.04,-0.05,-58.0,-45.0,89.0,6.826492510799378,7.4484513367007015
15.59,1.49,0.45,7.13,-0.01,0.04,-0.05,-58.0,-45.0,89.0,7.297910659908081,3.713190901374359
15.6,0.48,-1.16,14.2,0.03,0.07,-0.09,-55.0,-45.0,84.0,7.297910659908081,3.713190901374359
15.62,3.07,-0.65,12.1,0.02,0.29,-0.11,-55.0,-45.0,84.0,14.255384947450558,6.755072780152946
15.63,3.07,-0.65,12.1,0.02,0.29,-0.11,-55.0,-45.0,84.0,12.500295996495442,17.80783797688912
15.64,0.91,2.38,8.61,0.05,0.4,-0.15,-55.0,-45.0,84.0,12.500295996495442,17.80783797688912
15.65,-0.52,1.82,13.98,-0.05,0.33,-0.18,-55.0,-45.0,84.0,8.979120224164502,24.643846590014565
15.66,-0.52,1.82,13.98,-0.05,0.33,-0.18,-55.0,-45.0,84.0,14.107558257898495,21.72711561923692
15.68,1.11,3.93,8.31,0.01,0.09,-0.21,-55.0,-45.0,84.0,14.107558257898495,21.72711561923692
15.69,1.11,3.93,8.31,0.01,0.09,-0.21,-55.0,-45.0,84.0,9.259217029533328,13.103082542120163
15.7,-0.56,2.67,11.0,-0.03,-0.02,-0.18,-55.0,-45.0,84.0,9.259217029533328,13.103082542120163
15.71,-0.74,0.95,10.19,0.09,-0.32,-0.18,-58.0,-45.0,86.0,11.333247548694946,10.518106958735292
15.73,-0.74,0.95,10.19,0.09,-0.32,-0.18,-58.0,-45.0,86.0,10.260906392712098,21.65901723109057
15.74,-1.26,0.43,13.72,0.08,-0.71,-0.14,-58.0,-45.0,86.0,10.260906392712098,21.65901723109057
15.75,-1.26,0.43,13.72,0.08,-0.71,-0.14,-58.0,-45.0,86.0,13.784444130976048,41.71589200941561
15.76,0.21,1.84,9.1,0.15,-0.86,-0.05,-58.0,-45.0,86.0,13.784444130976048,41.71589200941561
15.78,1.87,0.64,7.89,0.11,-0.7,0.07,-58.0,-45.0,86.0,9.286533260587612,50.100236877872945
15.79,1.87,0.64,7.89,0.11,-0.7,0.07,-58.0,-45.0,86.0,8.133793702817892,40.79684815590481
15.8,2.68,-1.55,10.25,0.11,-0.35,0.15,-58.0,-45.0,86.0,8.133793702817892,40.79684815590481
15.81,-3.5,-6.16,6.8,0.32,-0.55,0.33,-58.0,-45.0,86.0,10.707352613975129,22.70966484972521
15.83,-3.5,-6.16,6.8,0.32,-0.55,0.33,-58.0,-45.0,86.0,9.820162931438562,41.06952523022435
15.84,0.16,5.89,15.18,1.73,-1.29,0.79,-41.0,-41.0,89.0,9.820162931438562,41.06952523022435
15.85,0.16,5.89,15.18,1.73,-1.29,0.79,-41.0,-41.0,89.0,16.283430228302635,131.66939133696573
15.86,-10.3,10.78,16.72,4.3,-0.22,2.1,-41.0,-41.0,89.0,16.283430228302635,131.66939133696573
