time,ax,ay,az,gx,gy,gz
16.172,-0.68,-1.64,12.41,0.07,0.06,-0.19
16.183,1.35,-4.18,10.66,0.01,0.21,-0.22
16.195,0.87,-1.11,12.89,-0.13,0.38,-0.25
16.2059999999999,0.87,-1.11,12.89,-0.13,0.38,-0.25
16.218,-0.82,3.23,8.81,-0.06,0.5,-0.32
16.23,-0.82,3.23,8.81,-0.06,0.5,-0.32
16.242,-4.39,0.02,13.89,0.05,0.18,-0.36
16.254,2.43,-5.42,4.54,0.1,-0.17,-0.39
16.267,2.43,-5.42,4.54,0.1,-0.17,-0.39
16.279,1.78,-2.38,18.76,0.05,-0.1,-0.37
16.291,1.78,-2.38,18.76,0.05,-0.1,-0.37
16.302,5.61,0.82,12.47,0.02,0.06,-0.42
16.315,-0.47,3.29,14.99,0.03,0.16,-0.38
16.327,-0.47,3.29,14.99,0.03,0.16,-0.38
16.337999999999997,-7.93,9.39,-2.32,0.18,-0.01,-0.33
16.35,-7.93,9.39,-2.32,0.18,-0.01,-0.33
16.364,3.85,12.34,11.17,0.08,-0.4,-0.32
16.376,-0.45,9.61,5.04,0.06,-0.87,-0.23
16.387,-0.45,9.61,5.04,0.06,-0.87,-0.23
16.399,0.33,0.73,17.92,0.02,-0.94,-0.13
16.410999999999998,0.33,0.73,17.92,0.02,-0.94,-0.13
16.424,-1.12,-9.25,11.72,0.35,-1.23,-0.08
16.436,-3.51,2.73,17.09,1.38,-1.54,0.5
16.447,-3.51,2.73,17.09,1.38,-1.54,0.5
16.4589999999999,-7.37,6.84,12.22,3.4,-0.73,2.0
16.472,-7.37,6.84,12.22,3.4,-0.73,2.0
16.483,-10.11,15.43,8.98,5.49,0.89,3.77
16.495,-25.15,24.32,-3.61,7.85,3.39,5.41
16.507,-25.15,24.32,-3.61,7.85,3.39,5.41
16.52,-38.95,18.31,-21.23,9.35,6.13,7.16
16.532,-38.95,18.31,-21.23,9.35,6.13,7.16
16.544,5.43,-14.47,-26.61,6.34,4.87,8.94
16.555,-0.97,12.93,-12.53,3.08,4.08,9.72
16.567999999999998,-0.97,12.93,-12.53,3.08,4.08,9.72
16.5799999999999,-3.09,16.38,5.82,2.01,4.68,10.02
16.592,-3.09,16.38,5.82,2.01,4.68,10.02
16.604,-0.98,18.35,6.63,1.11,4.63,10.07
16.6179999999999,-0.74,18.08,5.13,0.18,4.93,10.14
16.629,-0.74,18.08,5.13,0.18,4.93,10.14
16.641,-1.91,16.56,1.4,-0.79,5.17,10.12
16.6529999999999,-1.91,16.56,1.4,-0.79,5.17,10.12
16.666,-1.37,15.91,-2.75,-1.81,5.04,9.96
16.677999999999997,-0.77,16.06,-2.54,-2.79,4.91,9.72
16.69,-0.77,16.06,-2.54,-2.79,4.91,9.72
16.701,-0.96,16.12,-1.37,-3.69,4.8,9.42
16.714,-0.93,16.35,-0.79,-4.52,4.51,9.05
16.7259999999999,-0.93,16.35,-0.79,-4.52,4.51,9.05
16.738,-86.28,-33.2,-82.42,-4.79,3.4,8.52
16.749,-86.28,-33.2,-82.42,-4.79,3.4,8.52
16.763,13.83,4.3,-82.0,-2.45,-0.57,6.79
16.774,-5.02,10.14,-40.48,0.32,1.4,6.38
16.785,-5.02,10.14,-40.48,0.32,1.4,6.38
16.797,-7.54,13.29,-10.02,1.74,0.19,6.16
16.809,-7.54,13.29,-10.02,1.74,0.19,6.16
16.822,-3.94,8.93,1.24,2.45,-3.5,5.43
16.8329999999999,-3.94,8.93,1.24,2.45,-3.5,5.43
16.845,-54.4,110.46,-18.45,3.02,0.38,4.61
16.857,31.89,28.51,-3.5,-0.16,-1.54,-2.76
16.87,31.89,28.51,-3.5,-0.16,-1.54,-2.76
16.882,-1.75,4.97,28.54,-0.54,3.44,-0.55
16.892999999999997,-1.75,4.97,28.54,-0.54,3.44,-0.55
16.904,-9.48,-15.94,11.15,0.14,-0.05,0.51
16.918,-1.98,-4.23,6.48,0.25,-1.89,0.36
16.929,-1.98,-4.23,6.48,0.25,-1.89,0.36
