time,ax,ay,az,gx,gy,gz,normAccel,normGyr
40.15,-0.51,2.83,9.89,-0.04,0.11,-0.02,10.299567952103622,6.803496860818383
40.16,-0.51,2.83,9.89,-0.04,0.11,-0.02,10.299567952103622,6.803496860818383
40.17,-0.37,2.43,10.06,0.0,-0.17,-0.06,10.355935496129744,10.329143545104875
40.18,-0.37,2.43,10.06,0.0,-0.17,-0.06,10.355935496129744,10.329143545104875
40.19,0.7,2.56,9.63,0.03,-0.22,-0.1,9.98901897084994,13.9524340727952
40.2,0.0300000000002379,3.199999999999773,9.610000000000008,0.0250000000000017,-0.1950000000000089,-0.0900000000000035,10.128820266941196,12.388349238823661
40.21,-0.64,3.84,9.59,0.02,-0.17,-0.08,10.35003864727084,10.825718761145575
40.22,-0.64,3.84,9.59,0.02,-0.17,-0.08,10.35003864727084,10.825718761145575
40.23,0.24,3.77,10.84,-0.0,-0.32,-0.09,11.479377160804502,19.045999623970847
40.24,-0.26,2.07,9.69,-0.03,-0.21,-0.07,9.912043179889805,12.798907643450905
40.25,-0.26,2.07,9.69,-0.03,-0.21,-0.07,9.912043179889805,12.798907643450905
40.26,-0.26,2.07,9.69,-0.03,-0.21,-0.07,9.912043179889805,12.798907643450905
40.27,-0.73,0.5,9.07,0.01,-0.08,-0.05,9.11305656736531,5.4355549072846
40.28,-0.73,0.5,9.07,0.01,-0.08,-0.05,9.11305656736531,5.4355549072846
40.29,-0.21,-2.61,9.76,0.03,-0.2,-0.07,10.105137307330367,12.26183227868241
40.3,-0.5249999999998881,-3.3499999999997367,9.934999999999938,0.0200000000000035,-0.3199999999999574,-0.07,10.497730707157471,18.803144521493625
40.31,-0.84,-4.09,10.11,0.01,-0.44,-0.07,10.938272258451057,25.533611987189207
40.32,-0.84,-4.09,10.11,0.01,-0.44,-0.07,10.938272258451057,25.533611987189207
40.33,-0.05,-1.55,8.62,-0.03,-0.42,-0.05,8.758390263056333,24.295032038096007
40.34,0.01,0.64,10.23,-0.05,-0.23,-0.02,10.25000487804762,13.534422571009644
40.35,0.01,0.64,10.23,-0.05,-0.23,-0.02,10.25000487804762,13.534422571009644
40.36,0.01,0.64,10.23,-0.05,-0.23,-0.02,10.25000487804762,13.534422571009644
40.37,0.34,3.38,10.52,-0.05,-0.09,-0.0,11.054881274803451,5.898961545062359
40.38,0.34,3.38,10.52,-0.05,-0.09,-0.0,11.054881274803451,5.898961545062359
40.39,-0.37,4.31,10.24,0.01,-0.01,0.0,11.11623137578559,0.8102846845413955
40.4,-0.625,3.835,10.3,0.0199999999999999,0.13,0.005,11.008535324919478,7.541526371627527
40.41,-0.88,3.36,10.36,0.03,0.27,0.01,10.926737848049617,15.57560237248845
40.42,-0.88,3.36,10.36,0.03,0.27,0.01,10.926737848049617,15.57560237248845
40.43,-1.79,-0.59,10.02,0.11,0.75,0.01,10.19571478612461,43.43534055756613
40.44,-2.65,-10.39,11.36,0.11,0.58,0.0,15.621273955731011,33.823926634545145
40.45,-2.65,-10.39,11.36,0.11,0.58,0.0,15.621273955731011,33.823926634545145
40.46,-2.72,-13.82,10.25,0.095,-0.18,0.045,17.419911021586763,11.943112488292583
40.47,-2.79,-17.25,9.14,0.08,-0.94,0.09,19.720197767770994,54.29814345763165
40.48,-2.79,-17.25,9.14,0.08,-0.94,0.09,19.720197767770994,54.29814345763165
40.49,-4.16,-17.04,12.2,0.25,-1.85,0.87,21.366029111652917,118.00566196634303
40.5,-0.22,-10.01,16.22,1.76,-2.2,2.01,19.061398164877623,198.29389707839138
40.51,-0.22,-10.01,16.22,1.76,-2.2,2.01,19.061398164877623,198.29389707839138
40.52,-0.22,-10.01,16.22,1.76,-2.2,2.01,19.061398164877623,198.29389707839138
40.53,2.44,0.84,15.76,4.91,-0.13,2.73,15.969871633798439,321.9691454783142
40.54,0.18,19.28,5.97,8.43,2.74,3.59,20.18394659128883,547.9483903214646
40.55,0.18,19.28,5.97,8.43,2.74,3.59,20.18394659128883,547.9483903214646
40.56,-4.439999999998359,20.10499999999971,10.479999999998398,9.654999999999564,4.009999999999549,4.329999999999737,23.103138856006993,648.3493422348909
40.57,-9.06,20.93,14.99,10.88,5.28,5.07,27.291914553581616,751.3346987151696
40.58,-9.06,20.93,14.99,10.88,5.28,5.07,27.291914553581616,751.3346987151696
40.59,16.19,-14.03,-48.49,7.63,4.98,6.15,53.01166947003273,629.8362190078856
40.6,-0.55,9.35,-13.14,4.92,4.33,7.08,16.13643702928252,552.7831363472372
40.61,-0.55,9.35,-13.14,4.92,4.33,7.08,16.13643702928252,552.7831363472372
40.62,-0.55,9.35,-13.14,4.92,4.33,7.08,16.13643702928252,552.7831363472372
40.63,-4.56,13.46,11.13,4.24,5.21,7.73,18.051096919578047,586.756340259687
40.64,-1.42,13.51,2.62,3.47,4.82,7.95,13.83477141119433,568.574517158909
40.65,-1.42,13.51,2.62,3.47,4.82,7.95,13.83477141119433,568.574517158909
40.66,-1.285000000000048,12.15500000000048,-0.1599999999990125,3.040000000000153,5.139999999999887,8.169999999999922,12.223782147928336,579.821116022289
40.67,-1.15,10.8,-2.94,2.61,5.46,8.39,11.251937610918398,592.715908164769
40.68,-1.15,10.8,-2.94,2.61,5.46,8.39,11.251937610918398,592.715908164769
40.69,-1.26,10.58,-2.44,1.65,5.64,8.62,10.930580954368345,597.7366922927295
40.7,-1.0000000000000924,11.064999999999827,-0.8700000000005579,1.1300000000001846,5.595000000000016,8.659999999999986,11.144107187208732,594.2666904531991
40.71,-0.74,11.55,0.7,0.61,5.55,8.7,11.59483074477588,592.297043274289
40.72,-0.74,11.55,0.7,0.61,5.55,8.7,11.59483074477588,592.297043274289
40.73,-1.23,11.79,2.79,-0.42,5.78,8.75,12.177893906583355,601.3254159576564
40.74,-1.34,11.28,0.54,-1.41,5.7,8.63,11.372141399050575,598.0620083783366
40.75,-1.34,11.28,0.54,-1.41,5.7,8.63,11.372141399050575,598.0620083783366
40.76,-1.34,11.28,0.54,-1.41,5.7,8.63,11.372141399050575,598.0620083783366
40.77,-0.73,10.82,-1.16,-2.39,5.52,8.39,10.90646138763623,591.4928348086405
40.78,-0.73,10.82,-1.16,-2.39,5.52,8.39,10.90646138763623,591.4928348086405
40.79,-19.76,-13.97,-60.36,-3.03,9.25,7.99,65.03036290841379,721.5254124471898
40.8,-14.350000000001923,-14.92999999999966,-51.90000000000301,-1.9000000000004011,9.165000000000031,6.675000000000467,55.87877414546921,658.6843274404494
40.81,-8.94,-15.89,-43.44,-0.77,9.08,5.36,47.11103161680924,605.7356309924551
40.82,-8.94,-15.89,-43.44,-0.77,9.08,5.36,47.11103161680924,605.7356309924551
40.83,-9.59,-1.8,-3.15,1.63,2.28,4.04,10.253321413083665,281.7234119550573
40.84,-5.17,3.42,-3.85,2.1,-0.12,3.74,7.297109016590063,245.85164330631642
40.85,-5.17,3.42,-3.85,2.1,-0.12,3.74,7.297109016590063,245.85164330631642
40.86,12.15,13.04,15.295,2.0700000000000003,-0.095,3.765,23.486190091200402,246.23290377063626
40.87,29.47,22.66,34.44,2.04,-0.07,3.79,50.676129489139164,246.6421929628579
40.88,29.47,22.66,34.44,2.04,-0.07,3.79,50.676129489139164,246.6421929628579
40.89,11.46,31.65,23.23,-2.26,8.68,4.52,40.89849630487654,575.4744283734289
40.9,-3.33,-1.89,19.15,-4.48,1.07,2.81,19.52904247524696,309.1392708436311
40.91,-3.33,-1.89,19.15,-4.48,1.07,2.81,19.52904247524696,309.1392708436311
40.92,-3.33,-1.89,19.15,-4.48,1.07,2.81,19.52904247524696,309.1392708436311
