time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr
7.257,1.8,-1.24,7.71,0.08,0.17,0.02,-9.0,60.0,93.0,8.013844271010013,10.825718761145575
7.269,-0.27,-2.67,9.64,-0.05,0.45,0.05,-9.0,60.0,93.0,8.013844271010013,10.825718761145575
7.28,-0.27,-2.67,9.64,-0.05,0.45,0.05,-9.0,60.0,93.0,10.006567843171805,26.09946968096166
7.292,1.54,2.5,8.61,0.1,0.38,-0.01,-9.0,60.0,93.0,10.006567843171805,26.09946968096166
7.304,-2.71,3.35,7.62,0.05,0.34,-0.04,-9.0,60.0,93.0,9.096906067449526,22.520958706876012
7.316,-2.71,3.35,7.62,0.05,0.34,-0.04,-9.0,60.0,93.0,8.753913410583863,19.823014909352356
7.328,1.26,4.12,8.37,-0.01,0.29,-0.07,-9.0,60.0,93.0,8.753913410583863,19.823014909352356
7.339,1.26,4.12,8.37,-0.01,0.29,-0.07,-9.0,60.0,93.0,9.413761203684741,17.10257424442433
7.352,-0.23,9.15,11.95,0.13,0.34,-0.11,-9.0,60.0,93.0,9.413761203684741,17.10257424442433
7.364,-2.93,10.37,11.71,0.04,0.59,-0.12,-11.0,63.0,95.0,15.052504774953569,21.78746883444009
7.376,-2.93,10.37,11.71,0.04,0.59,-0.12,-11.0,63.0,95.0,15.913701643552326,34.572674065499704
7.387,3.23,10.01,8.78,0.23,0.6,-0.18,-11.0,63.0,95.0,15.913701643552326,34.572674065499704
7.399,3.23,10.01,8.78,0.23,0.6,-0.18,-11.0,63.0,95.0,13.701145937475449,38.23393345786213
7.412,-0.75,12.13,9.12,0.08,0.56,-0.3,-11.0,63.0,95.0,13.701145937475449,38.23393345786213
7.424,-0.53,4.72,13.37,0.14,0.42,-0.41,-11.0,63.0,95.0,15.194531911184367,36.68719945028259
7.435,-0.53,4.72,13.37,0.14,0.42,-0.41,-11.0,63.0,95.0,14.188594010683369,34.572674065499704
7.447,1.67,-6.25,0.86,0.4,0.3,-0.5,-11.0,63.0,95.0,14.188594010683369,34.572674065499704
7.461,1.67,-6.25,0.86,0.4,0.3,-0.5,-11.0,63.0,95.0,6.526178054573749,40.51423422706978
7.473,-1.76,-23.7,20.0,0.33,0.1,-0.65,-11.0,63.0,95.0,6.526178054573749,40.51423422706978
7.485,-1.65,-27.81,11.58,0.81,-0.59,-0.74,-19.0,63.0,87.0,31.061030246918726,42.15817071335471
7.497,-1.65,-27.81,11.58,0.81,-0.59,-0.74,-19.0,63.0,87.0,30.16976963783449,71.37407718456487
7.51,-1.8,-25.0,11.91,0.73,-1.89,-0.24,-19.0,63.0,87.0,30.16976963783449,71.37407718456487
7.522,-1.8,-25.0,11.91,0.73,-1.89,-0.24,-19.0,63.0,87.0,27.750461257427776,116.89743244639244
7.533,2.46,-14.71,17.84,1.78,-3.3,0.19,-19.0,63.0,87.0,27.750461257427776,116.89743244639244
7.545,7.2,8.4,12.31,4.92,-1.35,-0.55,-19.0,63.0,87.0,23.252984754650317,215.10349625294452
7.559,7.2,8.4,12.31,4.92,-1.35,-0.55,-19.0,63.0,87.0,16.551015074610984,294.00831131908376
7.571,-0.67,22.04,3.37,8.03,3.07,-1.03,-19.0,63.0,87.0,16.551015074610984,294.00831131908376
7.582,-0.67,22.04,3.37,8.03,3.07,-1.03,-19.0,63.0,87.0,22.30621886380567,496.0858381363304
7.594,1.31,17.47,3.75,9.48,1.45,-0.87,-19.0,63.0,87.0,22.30621886380567,496.0858381363304
7.608,6.45,43.4,-5.84,6.28,4.91,-0.87,-19.0,63.0,87.0,17.91590075882315,551.7372348095777
7.62,6.45,43.4,-5.84,6.28,4.91,-0.87,-19.0,63.0,87.0,44.263620502620434,459.4514227286114
7.632,-3.23,7.51,-9.63,0.08,21.48,-1.41,-25.0,94.0,45.0,44.263620502620434,459.4514227286114
7.644,-3.51,2.64,-3.59,-0.2,23.6,-2.89,-25.0,94.0,45.0,12.632098004686316,1233.370541329554
7.656,-3.51,2.64,-3.59,-0.2,23.6,-2.89,-25.0,94.0,45.0,5.672547928400429,1362.3294256061838
7.668,-5.73,3.87,4.34,1.43,24.18,-2.76,-25.0,94.0,45.0,5.672547928400429,1362.3294256061838
7.68,-5.73,3.87,4.34,1.43,24.18,-2.76,-25.0,94.0,45.0,8.163663393354726,1396.8129379962068
