time,ax,ay,az,gx,gy,gz
9.04,1.65,-1.23,5.99,0.11,-0.22,0.18
9.049999999999999,2.2149999999999497,-0.020000000000107487,10.069999999999638,0.05000000000000533,-0.2299999999999991,0.20999999999999733
9.06,2.78,1.19,14.15,-0.01,-0.24,0.24
9.07,0.5,6.82,9.2,0.09,-0.17,0.27
9.08,0.5,6.82,9.2,0.09,-0.17,0.27
9.09,2.73,3.88,11.19,0.12,0.09,0.31
9.1,2.73,3.88,11.19,0.12,0.09,0.31
9.11,2.73,3.88,11.19,0.12,0.09,0.31
9.12,1.33,-1.34,14.84,0.14,0.43,0.31
9.13,1.26,-3.09,7.9,0.2,0.92,0.21
9.14,1.26,-3.09,7.9,0.2,0.92,0.21
9.15,1.73,-7.52,11.120000000000001,0.195,1.2850000000000001,0.09499999999999999
9.16,2.2,-11.95,14.34,0.19,1.65,-0.02
9.17,2.2,-11.95,14.34,0.19,1.65,-0.02
9.18,4.75,-22.33,12.63,0.4,1.09,-0.54
9.19,3.63,-21.56,15.18,1.29,0.46,-1.01
9.2,3.63,-21.56,15.18,1.29,0.46,-1.01
9.21,3.63,-21.56,15.18,1.29,0.46,-1.01
9.22,2.52,-4.93,18.37,3.51,0.5,-1.04
9.23,-5.73,11.96,11.23,6.74,1.42,-0.47
9.24,-5.73,11.96,11.23,6.74,1.42,-0.47
9.25,-5.04,13.48,10.635,7.735,0.3799999999999999,-0.07499999999999996
9.26,-4.35,15.0,10.04,8.73,-0.66,0.32
9.27,-4.35,15.0,10.04,8.73,-0.66,0.32
9.28,14.91,23.33,106.81,8.48,-2.22,0.36
9.29,-7.95,7.21,-27.48,5.79,-1.64,0.63
9.299999999999999,-7.95,7.21,-27.48,5.79,-1.64,0.63
9.31,-7.95,7.21,-27.48,5.79,-1.64,0.63
9.32,-11.15,6.91,-10.24,2.46,-4.23,1.19
9.33,-17.23,13.67,9.47,1.08,-12.11,1.27
9.34,-17.23,13.67,9.47,1.08,-12.11,1.27
9.35,-15.92,10.11,7.755000000000001,0.135,-17.134999999999998,1.075
9.36,-14.61,6.55,6.04,-0.81,-22.16,0.88
9.37,-14.61,6.55,6.04,-0.81,-22.16,0.88
9.38,-9.16,2.98,1.36,-0.59,-28.67,1.61
9.39,-9.3,-1.69,-0.23,1.35,-29.6,1.42
9.4,-9.3,-1.69,-0.23,1.35,-29.6,1.42
9.41,-9.3,-1.69,-0.23,1.35,-29.6,1.42
9.42,-7.77,-0.82,-2.74,2.66,-28.91,0.1
9.43,-6.54,0.5,-6.13,3.17,-28.24,-1.59
9.44,-6.54,0.5,-6.13,3.17,-28.24,-1.59
9.45,-7.194999999999942,0.6549999999999863,-6.384999999999977,3.0500000000000105,-28.075000000000014,-2.4299999999999256
9.46,-7.85,0.81,-6.64,2.93,-27.91,-3.27
9.47,-7.85,0.81,-6.64,2.93,-27.91,-3.27
9.48,-8.84,1.83,-4.7,1.84,-27.84,-4.65
9.49,-8.99,3.02,-3.84,0.19,-27.88,-5.35
9.5,-8.99,3.02,-3.84,0.19,-27.88,-5.35
9.51,-8.99,3.02,-3.84,0.19,-27.88,-5.35
9.52,-9.76,4.21,-2.58,-1.59,-27.83,-5.17
