time,ax,ay,az,gx,gy,gz,normAccel,normGyr
33.13,-1.5,-1.42,9.06,0.03,0.03,0.24,9.292470069900682,13.964193395635052
33.14,-1.5,-1.42,9.06,0.03,0.03,0.24,9.292470069900682,13.964193395635052
33.15,-1.5,-1.42,9.06,0.03,0.03,0.24,9.292470069900682,13.964193395635052
33.16,-0.54,0.53,11.15,0.04,-0.16,0.25,11.175643158225839,17.16006205105487
33.17,-0.54,0.53,11.15,0.04,-0.16,0.25,11.175643158225839,17.16006205105487
33.18,-1.12,-0.5,10.02,0.04,-0.27,0.27,10.094790735820133,21.9974011190352
33.19,0.38,-3.46,9.8,0.01,-0.18,0.28,10.399807690529668,19.080440881077735
33.2,0.38,-3.46,9.8,0.01,-0.18,0.28,10.399807690529668,19.080440881077735
33.21,0.22,-4.855,9.255,-0.0049999999999999,-0.035,0.285,10.453442016866981,16.454466072079597
33.22,0.06,-6.25,8.71,-0.02,0.11,0.29,10.720550359006761,17.80783797688912
33.23,0.06,-6.25,8.71,-0.02,0.11,0.29,10.720550359006761,17.80783797688912
33.24,0.23,-5.85,7.53,-0.03,0.28,0.25,9.53814971574676,21.575493978856322
33.25,-0.8,-4.46,10.38,-0.01,0.33,0.23,11.325899522775222,23.05398768254424
33.26,-0.8,-4.46,10.38,-0.01,0.33,0.23,11.325899522775222,23.05398768254424
33.27,-1.0,-0.04,10.47,0.05,0.11,0.21,10.517723137637729,13.88166894669691
33.28,-1.0,-0.04,10.47,0.05,0.11,0.21,10.517723137637729,13.88166894669691
33.29,-1.0,-0.04,10.47,0.05,0.11,0.21,10.517723137637729,13.88166894669691
33.3,-0.15,4.07,10.88,0.08,-0.12,0.21,11.617306056052756,14.596373937240788
33.31,-0.15,4.07,10.88,0.08,-0.12,0.21,11.617306056052756,14.596373937240788
33.32,0.74,8.65,11.19,0.1,-0.04,0.27,14.162845759239207,16.655243515961942
33.33,9.22,14.74,21.5,0.07,-0.23,0.44,27.650063291066804,28.727991861474628
33.34,9.22,14.74,21.5,0.07,-0.23,0.44,27.650063291066804,28.727991861474628
33.35,11.52,17.23,47.43,-0.65,-1.08,0.9,51.76087518580032,88.74189626688836
33.36,11.52,17.23,47.43,-0.65,-1.08,0.9,51.76087518580032,88.74189626688836
33.37,11.52,17.23,47.43,-0.65,-1.08,0.9,51.76087518580032,88.74189626688836
33.38,5.27,11.45,64.86,-2.74,0.85,1.68,66.07340614801086,190.48154026966708
33.39,5.27,11.45,64.86,-2.74,0.85,1.68,66.07340614801086,190.48154026966708
33.4,-8.42,8.81,49.66,-5.65,1.93,1.8,51.13343426761006,357.2951212309605
33.41,-12.48,3.48,9.89,-7.86,3.39,1.11,16.299475451682486,494.55186557125126
33.42,-12.48,3.48,9.89,-7.86,3.39,1.11,16.299475451682486,494.55186557125126
33.43,-4.4,2.03,-0.66,-7.96,0.52,-0.18,4.8904498770563025,457.1628775280071
33.44,-4.4,2.03,-0.66,-7.96,0.52,-0.18,4.8904498770563025,457.1628775280071
33.45,-1.170000000001147,-7.499999999996616,0.4549999999996038,-7.500000000000163,-0.9149999999994902,-0.2749999999999662,7.604335934185941,433.19114368229384
33.46,2.06,-17.03,1.57,-7.04,-2.35,-0.37,17.225835248254292,425.76971411080723
33.47,2.06,-17.03,1.57,-7.04,-2.35,-0.37,17.225835248254292,425.76971411080723
33.48,0.77,-2.62,-2.09,-4.07,-2.54,0.02,3.4388079329907333,274.8818391192574
33.49,4.53,4.86,0.06,-3.28,-2.82,0.2,6.644102648213678,248.10329564074758
33.5,4.53,4.86,0.06,-3.28,-2.82,0.2,6.644102648213678,248.10329564074758
33.51,12.39,9.92,-27.1,-2.57,-1.04,1.05,31.40586728622536,169.86048690102479
33.52,12.39,9.92,-27.1,-2.57,-1.04,1.05,31.40586728622536,169.86048690102479
33.53,-8.62,9.52,-32.25,-1.16,1.53,1.88,34.713071025191645,153.96368524038323
33.54,-8.62,9.52,-32.25,-1.16,1.53,1.88,34.713071025191645,153.96368524038323
33.55,-8.62,9.52,-32.25,-1.16,1.53,1.88,34.713071025191645,153.96368524038323
33.56,-10.73,13.15,-30.42,0.53,2.19,1.53,34.834347991601625,156.04976521530597
33.57,-3.63,10.09,-19.92,2.23,2.14,1.03,22.62280707604607,186.65941421534205
33.58,-3.63,10.09,-19.92,2.23,2.14,1.03,22.62280707604607,186.65941421534205
33.59,-1.890000000000618,8.90500000000042,-16.195000000001325,2.8199999999997907,2.2599999999999576,1.0050000000000088,18.5781901701983,214.91665225109836
33.6,-0.15,7.72,-12.47,3.41,2.38,0.98,14.667031056079484,244.7871238977438
33.61,-0.15,7.72,-12.47,3.41,2.38,0.98,14.667031056079484,244.7871238977438
33.62,-0.17,7.21,-12.14,4.18,2.82,1.2,14.120644461213518,296.9712713913511
33.63,-0.49,6.32,-10.73,4.85,3.01,1.49,12.462559929645273,338.0096515745574
33.64,-0.49,6.32,-10.73,4.85,3.01,1.49,12.462559929645273,338.0096515745574
33.65,0.35,5.45,-6.5,5.44,2.78,1.76,8.489699641330075,364.2660010829101
33.66,0.35,5.45,-6.5,5.44,2.78,1.76,8.489699641330075,364.2660010829101
33.67,0.87,6.13,-0.69,5.78,2.26,2.03,6.22975922488181,374.1238913312216
33.68,0.87,6.13,-0.69,5.78,2.26,2.03,6.22975922488181,374.1238913312216
33.69,0.87,6.13,-0.69,5.78,2.26,2.03,6.22975922488181,374.1238913312216
33.7,-0.38,6.43,0.92,5.82,2.03,2.32,6.506588968115321,377.35132621498025
33.71,-38.53,-2.68,50.44,5.85,2.0,2.76,63.529024075614444,387.9228935821826
33.72,-38.53,-2.68,50.44,5.85,2.0,2.76,63.529024075614444,387.9228935821826
33.73,39.91,4.08,-19.66,4.87,-2.63,2.7,44.67628117916709,352.84060346929374
33.74,39.91,4.08,-19.66,4.87,-2.63,2.7,44.67628117916709,352.84060346929374
33.75,15.25,-0.6500000000000004,21.085,2.45,-4.359999999999999,0.6550000000000002,26.030025451389786,288.9953056737125
33.76,-9.41,-5.38,61.83,0.03,-6.09,-1.39,62.772935250791,357.90880802858607
33.77,-9.41,-5.38,61.83,0.03,-6.09,-1.39,62.772935250791,357.90880802858607
33.78,-0.07,16.62,8.68,-1.17,-5.51,-0.52,18.75024533172833,324.11083523474775
33.79,1.71,0.7,7.64,-0.38,-0.74,-0.01,7.860260809922276,47.665818726243735
33.8,1.71,0.7,7.64,-0.38,-0.74,-0.01,7.860260809922276,47.665818726243735
33.81,-0.51,-0.58,9.56,-0.09,0.61,0.04,9.59114695956641,35.40304315217103
33.82,-0.51,-0.58,9.56,-0.09,0.61,0.04,9.59114695956641,35.40304315217103
33.83,-0.51,-0.58,9.56,-0.09,0.61,0.04,9.59114695956641,35.40304315217103
33.84,-0.68,-2.62,10.25,0.22,0.76,0.04,10.601381985382849,45.39040939744177
33.85,-0.68,-2.62,10.25,0.22,0.76,0.04,10.601381985382849,45.39040939744177
33.86,-0.95,-4.39,9.77,0.16,0.53,0.04,10.753022830813668,31.803028730588196
33.87,0.03,-2.47,10.12,-0.02,0.36,0.04,10.41711092385984,20.785026236729784
33.88,0.03,-2.47,10.12,-0.02,0.36,0.04,10.41711092385984,20.785026236729784
33.89,-0.325,-1.5950000000000002,10.05,-0.045,0.26,0.04,10.180969993080227,15.291104678197271
33.9,-0.68,-0.72,9.98,-0.07,0.16,0.04,10.029017898079553,10.265382790494321
33.91,-0.68,-0.72,9.98,-0.07,0.16,0.04,10.029017898079553,10.265382790494321
33.92,0.44,1.17,10.37,-0.04,0.18,0.04,10.445065820759579,10.810546057457879
33.93,-0.95,1.91,10.0,0.01,0.13,0.04,10.22499877750604,7.814102514698565
33.94,-0.95,1.91,10.0,0.01,0.13,0.04,10.22499877750604,7.814102514698565
33.95,-0.23,1.11,10.36,0.02,0.03,0.04,10.42183285223861,3.0854721543118906
33.96,-0.23,1.11,10.36,0.02,0.03,0.04,10.42183285223861,3.0854721543118906
33.97,-0.23,1.11,10.36,0.02,0.03,0.04,10.42183285223861,3.0854721543118906
33.98,-0.08,1.42,11.83,0.01,-0.08,0.04,11.915187787022074,5.156620156177409
