time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr
14.68,1.82,-1.73,5.69,0.08,-0.45,-0.02,-37.0,-90.0,89.0,11.369019306870758,4.654731131878351
14.76,4.29,-0.36,10.95,0.15,-0.02,0.15,-27.0,-90.0,89.0,6.219437273580304,26.21242775969937
14.77,4.29,-0.36,10.95,0.15,-0.02,0.15,-27.0,-90.0,89.0,11.765891381446625,12.208169735489967
14.79,-1.9,0.78,9.29,0.18,0.27,0.11,-27.0,-90.0,89.0,11.765891381446625,12.208169735489967
14.8,-1.9,0.78,9.29,0.18,0.27,0.11,-27.0,-90.0,89.0,9.51433129547211,19.631644492792212
14.81,0.16,1.85,3.33,0.15,0.68,0.09,-27.0,-90.0,89.0,9.51433129547211,19.631644492792212
14.82,-0.99,-2.72,7.61,0.11,1.22,-0.01,-27.0,-90.0,89.0,3.812741795611132,40.229634979151754
14.84,-0.99,-2.72,7.61,0.11,1.22,-0.01,-27.0,-90.0,89.0,8.141903954235765,70.18674525027943
14.85,-0.71,-12.83,13.1,0.14,0.97,-0.24,-47.0,-87.0,89.0,8.141903954235765,70.18674525027943
14.86,4.98,-21.87,11.82,0.55,0.15,-0.51,-47.0,-87.0,89.0,18.350013623973144,57.81198098099525
14.87,4.98,-21.87,11.82,0.55,0.15,-0.51,-47.0,-87.0,89.0,25.35369203883332,43.82659004978452
14.89,1.38,-22.55,19.75,1.86,0.83,-0.62,-47.0,-87.0,89.0,25.35369203883332,43.82659004978452
14.9,1.38,-22.55,19.75,1.86,0.83,-0.62,-47.0,-87.0,89.0,30.00782231352352,121.98619964556744
14.91,0.0,-8.56,16.74,4.38,0.77,-0.55,-47.0,-87.0,89.0,30.00782231352352,121.98619964556744
14.92,-0.92,3.11,9.1,7.15,1.22,-0.19,-47.0,-87.0,89.0,18.801627589121107,256.7451945937174
14.94,-0.92,3.11,9.1,7.15,1.22,-0.19,-47.0,-87.0,89.0,9.66066767878908,415.72816347833384
14.95,2.29,15.71,21.91,8.55,-1.18,0.17,-47.0,-87.0,89.0,9.66066767878908,415.72816347833384
14.96,17.55,30.12,98.58,8.06,-3.93,-0.17,-47.0,-87.0,89.0,27.057278133618688,494.61824053203424
14.97,17.55,30.12,98.58,8.06,-3.93,-0.17,-47.0,-87.0,89.0,104.56210259936437,513.8680837514962
14.99,1.14,9.11,-22.6,4.71,-2.66,-0.02,-27.0,12.0,95.0,104.56210259936437,513.8680837514962
15.0,1.14,9.11,-22.6,4.71,-2.66,-0.02,-27.0,12.0,95.0,24.393681558961124,309.9278014021631
15.01,1.35,12.82,-12.12,2.54,-0.19,0.03,-27.0,12.0,95.0,24.393681558961124,309.9278014021631
15.02,-0.4,13.09,3.25,0.95,1.18,0.13,-27.0,12.0,95.0,17.693764438355114,145.94799513075267
15.03,-0.4,13.09,3.25,0.95,1.18,0.13,-27.0,12.0,95.0,13.493353919615389,87.11596707812609
15.05,0.93,8.73,0.85,-0.48,1.09,0.2,-27.0,12.0,95.0,13.493353919615389,87.11596707812609
15.06,1.04,4.53,-0.74,-1.55,1.51,0.28,-27.0,12.0,95.0,8.820447834435619,69.19518091234482
15.07,1.04,4.53,-0.74,-1.55,1.51,0.28,-27.0,12.0,95.0,4.706389274167618,125.01776286754581
15.08,0.24,2.87,-0.48,-2.65,2.48,0.33,-27.0,12.0,95.0,4.706389274167618,125.01776286754581
15.1,0.24,2.87,-0.48,-2.65,2.48,0.33,-27.0,12.0,95.0,2.919743139387436,208.80990728312193
15.11,0.3,3.19,-0.85,-3.62,3.55,0.29,-50.0,8.0,92.0,2.919743139387436,208.80990728312193
15.12,0.6,5.23,-0.6,-4.48,4.46,0.24,-50.0,8.0,92.0,3.3149057301829865,290.9757010012226
15.13,0.6,5.23,-0.6,-4.48,4.46,0.24,-50.0,8.0,92.0,5.298386546864998,362.45909700948323
15.15,13.46,12.7,-24.8,-4.94,4.89,0.12,-50.0,8.0,92.0,5.298386546864998,362.45909700948323
15.16,9.36,2.91,-13.34,-4.5,3.39,0.14,-50.0,8.0,92.0,30.943522747095233,398.31941852827435
15.17,9.36,2.91,-13.34,-4.5,3.39,0.14,-50.0,8.0,92.0,16.553951189972743,322.90480090448955
15.18,4.08,0.9,-6.87,-4.32,1.74,0.08,-50.0,8.0,92.0,16.553951189972743,322.90480090448955
15.2,4.08,0.9,-6.87,-4.32,1.74,0.08,-50.0,8.0,92.0,8.040727579019203,266.88027220533706
15.21,7.02,-1.82,-9.61,-4.14,0.45,0.02,-50.0,8.0,92.0,8.040727579019203,266.88027220533706
15.22,11.17,1.78,-14.24,-4.15,-1.81,-0.06,-80.0,-58.0,75.0,12.039306458430236,238.60441975176963
15.23,11.17,1.78,-14.24,-4.15,-1.81,-0.06,-80.0,-58.0,75.0,18.185568454134174,259.43159473975174
15.25,8.98,-1.8,-24.61,-3.79,-3.56,0.29,-80.0,-58.0,75.0,18.185568454134174,259.43159473975174
15.26,-0.23,-1.37,-13.47,-3.11,-2.9,0.92,-80.0,-58.0,75.0,26.258950854898984,298.3883665020279
15.27,-0.23,-1.37,-13.47,-3.11,-2.9,0.92,-80.0,-58.0,75.0,13.541443793037729,249.27615208077424
15.28,-1.55,-2.26,-10.08,-2.59,-2.12,1.18,-80.0,-58.0,75.0,13.541443793037729,249.27615208077424
15.3,-1.55,-2.26,-10.08,-2.59,-2.12,1.18,-80.0,-58.0,75.0,10.445884357008746,203.33867732864528
15.31,-0.48,-0.26,-1.05,-2.21,-1.67,1.38,-80.0,-58.0,75.0,10.445884357008746,203.33867732864528
15.32,1.33,-1.41,2.03,-2.03,-1.68,1.46,-80.0,-58.0,75.0,1.183427226321923,177.3153956558834
15.33,1.33,-1.41,2.03,-2.03,-1.68,1.46,-80.0,-58.0,75.0,2.806759697587237,172.60109891226526
15.35,-1.28,31.38,70.56,2.09,-3.19,1.81,-80.0,-58.0,75.0,2.806759697587237,172.60109891226526
15.36,-25.48,25.6,75.63,1.48,-6.6,0.57,-57.0,-58.0,75.0,77.23377758468118,241.86896038788086
15.37,-25.48,25.6,75.63,1.48,-6.6,0.57,-57.0,-68.0,78.0,83.81221450361517,388.91681298022604
