time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr
32.96,-6.12,2.3,1.4,0.2,-0.04,0.74,12.0,16.0,-100.0,11.192689578470404,43.18900980662411
32.97,3.73,-1.02,7.62,0.15,-0.11,0.74,12.0,16.0,-100.0,6.686134907403529,43.97987609608421
32.98,3.73,-1.02,7.62,0.15,-0.11,0.74,12.0,16.0,-100.0,8.545039496690464,43.717843690841356
32.99,3.72,-1.52,7.26,0.16,-0.06,0.72,12.0,16.0,-100.0,8.545039496690464,43.717843690841356
33.01,-1.8,0.66,7.82,0.21,-0.04,0.72,12.0,16.0,-100.0,8.297975656749061,42.398876839680916
33.02,-1.8,0.66,7.82,0.21,-0.04,0.72,12.0,16.0,-100.0,8.051583695149668,43.03290673474922
33.03,1.92,-2.37,13.82,0.16,0.11,0.73,12.0,16.0,-100.0,8.051583695149668,43.03290673474922
33.04,1.92,-2.37,13.82,0.16,0.11,0.73,12.0,16.0,-100.0,14.152586336072995,43.2801259623479
33.06,-1.59,4.45,16.9,0.23,0.06,0.6,12.0,16.0,-100.0,14.152586336072995,43.2801259623479
33.07,3.26,4.6,4.74,0.34,0.21,0.55,12.0,16.0,-100.0,17.54823637862221,36.976869050527945
33.08,3.26,4.6,4.74,0.34,0.21,0.55,12.0,16.0,-100.0,7.365812921870878,38.95270330767081
33.09,0.97,8.16,8.11,0.14,0.45,0.54,12.0,16.0,-100.0,7.365812921870878,38.95270330767081
33.1,0.97,8.16,8.11,0.14,0.45,0.54,12.0,16.0,-100.0,11.545501288380683,41.06552839062263
33.12,4.48,13.28,10.28,0.11,0.68,0.47,12.0,16.0,-100.0,11.545501288380683,41.06552839062263
33.13,-13.19,15.64,10.44,0.12,1.38,0.34,12.0,16.0,-100.0,17.38123125673207,47.77932121533506
33.14,-13.19,15.64,10.44,0.12,1.38,0.34,12.0,16.0,-100.0,22.9690944531995,81.72234234567614
33.15,-4.52,7.98,5.54,0.17,1.93,-0.06,12.0,16.0,-100.0,22.9690944531995,81.72234234567614
33.17,1.21,-14.38,-21.93,0.24,0.2,-0.84,12.0,16.0,-100.0,10.714588186206692,111.06221940666468
33.18,1.21,-14.38,-21.93,0.24,0.2,-0.84,12.0,16.0,-100.0,26.252112295965823,51.34929464295914
33.19,10.24,-14.84,28.43,0.31,-0.45,-2.45,12.0,16.0,-100.0,26.252112295965823,51.34929464295914
33.2,10.24,-14.84,28.43,0.31,-0.45,-2.45,12.0,16.0,-100.0,33.665235778173304,143.82381962685807
33.22,26.86,-5.81,18.88,2.25,-0.03,-5.08,12.0,16.0,-100.0,33.665235778173304,143.82381962685807
33.23,0.59,1.99,-5.32,5.21,0.32,-7.3,12.0,16.0,-100.0,33.3417171123504,318.33877467816035
33.24,0.59,1.99,-5.32,5.21,0.32,-7.3,12.0,16.0,-100.0,5.710569148517511,514.1845326414641
33.25,13.57,9.81,-1.14,6.45,-0.33,-7.86,12.0,16.0,-100.0,5.710569148517511,514.1845326414641
33.27,-18.94,14.67,-6.81,7.21,-2.66,-7.82,12.0,16.0,-100.0,16.783342932800963,582.8729809907691
33.28,-18.94,14.67,-6.81,7.21,-2.66,-7.82,12.0,16.0,-100.0,24.905995262185368,628.1982531241605
33.29,-17.21,15.84,-24.13,4.73,-2.97,-8.02,12.0,16.0,-100.0,24.905995262185368,628.1982531241605
33.3,-17.21,15.84,-24.13,4.73,-2.97,-8.02,12.0,16.0,-100.0,33.605752483763844,559.9594827095008
33.32,-0.84,8.82,-11.6,1.41,-2.01,-8.01,12.0,16.0,-100.0,33.605752483763844,559.9594827095008
33.33,0.06,10.43,0.34,0.82,-1.67,-8.05,12.0,16.0,-100.0,14.596506431334863,480.0152049013961
33.34,0.06,10.43,0.34,0.82,-1.67,-8.05,12.0,16.0,-100.0,10.435712721228004,473.38867341322367
