time,ax,ay,az,gx,gy,gz
5.169,-0.15,-1.35,9.48,-0.06,0.29,0.11
5.181,-0.15,-1.35,9.48,-0.06,0.29,0.11
5.194,-0.46,-1.11,10.95,-0.06,0.43,0.1
5.205,-1.8,2.1,9.06,-0.08,0.15,0.07
5.217,-1.8,2.1,9.06,-0.08,0.15,0.07
5.228,-1.44,0.0,9.35,-0.07,0.07,0.11
5.241,-1.44,0.0,9.35,-0.07,0.07,0.11
5.253,0.93,3.44,12.58,-0.07,0.01,0.09
5.265,0.57,2.72,7.01,0.06,0.13,0.09
5.276,0.57,2.72,7.01,0.06,0.13,0.09
5.288,-0.13,4.08,9.63,-0.05,-0.04,0.07
5.301,-0.13,4.08,9.63,-0.05,-0.04,0.07
5.313,-1.69,9.86,7.84,-0.06,-0.11,0.11
5.325,-0.04,7.63,12.16,-0.1,0.1,0.14
5.336,-0.04,7.63,12.16,-0.1,0.1,0.14
5.349,-1.85,4.98,8.15,0.12,0.33,0.1
5.361,-1.85,4.98,8.15,0.12,0.33,0.1
5.372,-0.91,1.39,10.11,0.07,0.76,0.09
5.384,0.06,-4.41,9.16,0.21,1.1,-0.01
5.398,0.06,-4.41,9.16,0.21,1.1,-0.01
5.409,-0.93,-11.09,11.18,0.38,1.36,-0.18
5.421,-0.93,-11.09,11.18,0.38,1.36,-0.18
5.433,-0.77,-18.59,14.11,0.35,0.51,-0.37
5.446,4.73,-12.89,12.55,0.63,-0.52,-0.74
5.458,4.73,-12.89,12.55,0.63,-0.52,-0.74
5.469,4.02,1.97,15.67,1.61,0.22,-1.81
5.481,4.02,1.97,15.67,1.61,0.22,-1.81
5.493,0.76,19.57,11.27,3.95,-0.91,-3.45
5.507,-4.59,31.12,16.65,6.21,-2.12,-5.3
5.519,-4.59,31.12,16.65,6.21,-2.12,-5.3
5.531,-7.0,23.05,4.89,7.38,-2.66,-7.29
5.543,-7.0,23.05,4.89,7.38,-2.66,-7.29
5.556,-1.19,20.64,1.54,7.37,-3.02,-8.39
5.568,9.03,17.28,5.89,5.45,-4.09,-8.5
5.579,9.03,17.28,5.89,5.45,-4.09,-8.5
5.59,-0.03,10.23,-5.37,2.59,-4.89,-8.16
5.604,-0.03,10.23,-5.37,2.59,-4.89,-8.16
5.615,-1.43,11.11,-0.09,1.32,-5.22,-8.25
5.627,-1.0,11.88,2.21,0.41,-5.46,-8.33
5.638,-1.0,11.88,2.21,0.41,-5.46,-8.33
5.651,-0.99,11.78,2.54,-0.49,-5.57,-8.32
5.662,-0.99,11.78,2.54,-0.49,-5.57,-8.32
5.674,-1.33,11.89,0.89,-1.38,-5.61,-8.22
5.684,6.43,3.65,-10.52,-2.23,-5.89,-8.01
5.698,6.43,3.65,-10.52,-2.23,-5.89,-8.01
5.71,8.43,-4.05,-19.78,-3.15,-10.02,-7.36
5.722,8.43,-4.05,-19.78,-3.15,-10.02,-7.36
5.733,14.31,-10.88,-91.42,-4.2,-16.8,-5.85
5.747,-7.7,-14.85,-45.5,-2.7,-10.62,-3.78
5.759,-7.7,-14.85,-45.5,-2.7,-10.62,-3.78
5.77,0.47,-1.28,-4.93,-1.38,-3.54,-3.16
5.782,0.47,-1.28,-4.93,-1.38,-3.54,-3.16
5.795,58.14,59.14,17.31,2.65,0.54,-2.65
5.806,-23.2,9.01,-75.9,0.7,5.79,-1.45
5.818,-23.2,9.01,-75.9,0.7,5.79,-1.45
5.831,1.31,29.55,11.44,-7.08,-0.59,1.4
5.844,1.31,29.55,11.44,-7.08,-0.59,1.4
5.855,-16.41,39.35,-4.57,-2.07,0.21,-0.58
5.866,-2.17,-0.57,-24.99,2.16,0.79,0.12
5.878,-2.17,-0.57,-24.99,2.16,0.79,0.12
5.891,-2.6,-13.02,-4.1,-0.65,1.19,-0.49
5.903,-2.6,-13.02,-4.1,-0.65,1.19,-0.49
5.914,-4.24,3.52,28.44,-0.66,-1.41,-0.57
5.925,-0.55,0.76,16.53,0.86,-2.27,0.14
5.939,-0.55,0.76,16.53,0.86,-2.27,0.14
5.95,14.82,-9.91,-4.09,-0.78,-0.63,0.57
5.962,14.82,-9.91,-4.09,-0.78,-0.63,0.57
5.974,-10.71,-0.37,15.18,-0.75,0.87,-0.33
5.987,2.63,-9.43,12.76,-0.19,0.86,-0.41
5.999,2.63,-9.43,12.76,-0.19,0.86,-0.41
6.01,3.06,1.73,9.03,-0.12,-0.24,-0.45
6.022,3.06,1.73,9.03,-0.12,-0.24,-0.45
6.035,1.33,-1.59,11.57,-0.09,-0.37,-0.47
6.047,0.56,-3.85,13.6,-0.11,-0.42,-0.43
6.059,0.56,-3.85,13.6,-0.11,-0.42,-0.43
6.07,-2.15,-8.9,10.46,0.15,-0.49,-0.49
6.082,-2.15,-8.9,10.46,0.15,-0.49,-0.49
6.094,0.89,-13.44,9.45,0.33,-0.32,-0.53
6.106,-0.46,-6.4,5.15,0.23,-0.04,-0.62
6.117,-0.46,-6.4,5.15,0.23,-0.04,-0.62
6.13,2.55,-6.12,-3.09,-0.41,0.34,-0.73
6.142,2.55,-6.12,-3.09,-0.41,0.34,-0.73
6.153,1.65,-0.6,-7.32,-1.19,1.34,-1.15
6.165,4.77,15.05,9.59,-0.47,0.82,-0.97
6.178,4.77,15.05,9.59,-0.47,0.82,-0.97
6.19,-0.36,5.28,13.3,-0.15,0.29,-0.84
6.202,-0.36,5.28,13.3,-0.15,0.29,-0.84
6.213,-0.59,-3.69,11.44,-0.29,0.06,-0.93
6.226,5.53,7.79,12.69,-0.54,-0.38,-1.01
6.238,5.53,7.79,12.69,-0.54,-0.38,-1.01
6.249,7.7,7.29,-6.48,-0.34,-0.37,-0.88
6.261,7.7,7.29,-6.48,-0.34,-0.37,-0.88
6.265,0.54,3.95,35.57,0.19,1.63,-0.38
6.2749999999999995,0.09189873417722827,3.593037974683555,31.991518987341877,0.1786075949367092,1.475569620253169,-0.36987341772151927
6.284999999999999,-0.3562025316455435,3.23607594936711,28.413037974683753,0.16721518987341838,1.321139240506338,-0.3597468354430386
6.295,-0.8043037974683551,2.8791139240506327,24.834556962025314,0.15582278481012657,1.1667088607594933,-0.34962025316455697
6.305,-1.2524050632911268,2.5221518987341875,21.25607594936719,0.14443037974683576,1.0122784810126624,-0.33949367088607624
6.3149999999999995,-1.7005063291138987,2.165189873417742,17.677594936709067,0.13303797468354495,0.8578481012658316,-0.3293670886075955
6.324999999999999,-2.1486075949366703,1.8082278481012968,14.099113924050943,0.12164556962025415,0.7034177215190006,-0.3192405063291148
