time,ax,ay,az,gx,gy,gz,normAccel,normGyr
25.88,0.18,2.76,10.26,0.15,0.09,0.6,10.626269335942883,35.80871626175095
25.89,0.18,2.76,10.26,0.15,0.09,0.6,10.626269335942883,35.80871626175095
25.9,1.31,1.79,7.54,0.17,0.3,0.59,7.859503801131468,39.154445028061424
25.91,-0.3950000000000002,1.355,5.705,0.15,0.275,0.55,5.8769954058175,36.26533184700583
25.92,-2.1,0.92,3.87,0.13,0.25,0.51,4.498144061721456,33.38431901101155
25.93,-2.1,0.92,3.87,0.13,0.25,0.51,4.498144061721456,33.38431901101155
25.94,0.37,3.47,15.64,0.04,0.08,0.43,16.0245873581818,25.16452552537531
25.95,0.37,3.47,15.64,0.04,0.08,0.43,16.0245873581818,25.16452552537531
25.96,2.590000000000394,5.540000000000369,10.90499999999916,0.1050000000000115,0.0249999999999902,0.3949999999999938,12.50274869778593,23.46155482354504
25.97,4.81,7.61,6.17,0.17,-0.03,0.36,10.91407806459162,22.875299608789216
25.98,12.55,3.92,16.42,0.1,0.09,0.3,21.035334558784655,18.838029791787395
25.99,12.55,3.92,16.42,0.1,0.09,0.3,21.035334558784655,18.838029791787395
26.0,1.67,2.91,4.08,0.36,0.65,0.23,5.282366893732392,44.56565764977675
26.01,1.67,2.91,4.08,0.36,0.65,0.23,5.282366893732392,44.56565764977675
26.020000000000003,0.6549999999998197,1.0699999999996732,5.565000000000264,0.2349999999999777,1.0050000000000632,0.1499999999999858,5.704660375517722,59.75677875543195
26.03,-0.36,-0.77,7.05,0.11,1.36,0.07,7.10105625945887,78.27953968267776
26.04,2.43,-7.33,3.71,0.1,0.74,-0.35,8.567257437476709,47.25078410611814
26.05,2.43,-7.33,3.71,0.1,0.74,-0.35,8.567257437476709,47.25078410611814
26.06,4.835000000000427,-11.750000000000783,10.550000000001216,0.0149999999999849,0.3649999999999333,-0.74500000000007,16.514909173230357,47.54082563254994
26.07,7.24,-16.17,17.39,-0.07,-0.01,-1.14,24.825362031599862,65.442716662936
26.08,11.39,-14.05,7.47,-0.01,-0.34,-2.83,19.568737823375326,163.3140792194764
26.09,11.39,-14.05,7.47,-0.01,-0.34,-2.83,19.568737823375326,163.3140792194764
26.1,12.98,-10.16,20.42,0.88,-0.58,-4.9,26.242759001294054,287.17019649917546
26.11,12.98,-10.16,20.42,0.88,-0.58,-4.9,26.242759001294054,287.17019649917546
26.12,11.139999999999674,-4.594999999999011,18.59999999999968,1.9650000000001928,-0.5749999999999991,-5.860000000000171,22.16243725315363,355.656138334725
26.13,9.3,0.97,16.78,3.05,-0.57,-6.82,19.209354492017685,429.29720698880556
26.14,7.06,10.19,-1.65,5.65,-0.75,-7.9,12.50608651817186,558.141477211974
26.15,7.06,10.19,-1.65,5.65,-0.75,-7.9,12.50608651817186,558.141477211974
26.16,-1.8199999999999996,12.645,-2.715,6.285,-0.925,-7.99,13.060614457214484,584.8575972934404
26.17,-10.7,15.1,-3.78,6.92,-1.1,-8.08,18.888843267918766,612.7777592015913
26.18,3.05,26.24,15.99,6.43,-1.4,-8.09,30.879122396855774,597.5073547520793
26.19,3.05,26.24,15.99,6.43,-1.4,-8.09,30.879122396855774,597.5073547520793
26.2,4.7,6.41,12.43,3.49,-0.74,-7.23,14.754084180321055,461.9354743192749
26.21,4.7,6.41,12.43,3.49,-0.74,-7.23,14.754084180321055,461.9354743192749
26.22,4.7,6.41,12.43,3.49,-0.74,-7.23,14.754084180321055,461.9354743192749
26.23,-0.1,8.01,8.5,1.77,-0.38,-6.79,11.679901540680897,402.62833170614056
26.24,-0.17,9.21,7.94,1.41,-0.79,-6.83,12.161274604250988,402.137603176529
26.25,-0.17,9.21,7.94,1.41,-0.79,-6.83,12.161274604250988,402.137603176529
26.26,0.1,7.19,3.55,1.02,-1.95,-6.64,8.019264305408571,400.79411388136634
26.270000000000003,-0.5950000000001235,6.899999999999949,2.019999999999728,0.7849999999999583,-2.3350000000000684,-6.589999999999991,7.214182212835932,403.09749272809205
26.28,-1.29,6.61,0.49,0.55,-2.72,-6.54,6.752503239540133,407.05213855348774
26.29,-1.29,6.61,0.49,0.55,-2.72,-6.54,6.752503239540133,407.05213855348774
26.3,-0.63,6.55,-1.39,0.1,-3.03,-6.57,6.72543678878926,414.5768357011097
26.31,-0.63,6.55,-1.39,0.1,-3.03,-6.57,6.72543678878926,414.5768357011097
26.32,-0.63,6.55,-1.39,0.1,-3.03,-6.57,6.72543678878926,414.5768357011097
