time,ax,ay,az,gx,gy,gz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gz_normalized_1,gy_normalized_1
7.924,-0.42,-0.1,9.6,0.01,0.31,0.02,9.609703429346819,17.80783797688912,-0.024180391818008306,-0.005757236147144835,0.5526946701259041,4.242947013104615e-05,0.0013153135740624307,8.48589402620923e-05,-0.014522821576763484,-0.002538071065989848,0.20347604917337855,0.0017857142857142859,0.002506265664160401,0.0542907180385289
7.936,-0.42,-0.1,9.6,0.01,0.31,0.02,9.609703429346819,17.80783797688912,-0.024180391818008306,-0.005757236147144835,0.5526946701259041,4.242947013104615e-05,0.0013153135740624307,8.48589402620923e-05,-0.014522821576763484,-0.002538071065989848,0.20347604917337855,0.0017857142857142859,0.002506265664160401,0.0542907180385289
7.949,0.21,0.07,10.45,0.01,0.31,-0.01,10.452344234668125,17.780164552279345,0.012090195909004153,0.004030065303001385,0.6016311773766352,4.242947013104615e-05,0.0013153135740624307,-4.242947013104615e-05,0.007261410788381742,0.0017766497461928937,0.2214921576939381,0.0017857142857142859,-0.0012531328320802004,0.0542907180385289
7.961,-0.44,0.18,9.78,0.02,0.29,-0.02,9.791547375159862,16.694617669057205,-0.025331839047437275,0.010363025064860703,0.5630576951907649,8.48589402620923e-05,0.0012304546338003384,-8.48589402620923e-05,-0.015214384508990318,0.004568527918781726,0.2072912250953794,0.0035714285714285718,-0.002506265664160401,0.05078809106830122
7.972,-0.44,0.18,9.78,0.02,0.29,-0.02,9.791547375159862,16.694617669057205,-0.025331839047437275,0.010363025064860703,0.5630576951907649,8.48589402620923e-05,0.0012304546338003384,-8.48589402620923e-05,-0.015214384508990318,0.004568527918781726,0.2072912250953794,0.0035714285714285718,-0.002506265664160401,0.05078809106830122
7.984,-0.58,-0.19,9.94,0.01,0.16,-0.03,9.958719797243017,9.344658843976724,-0.03339196965344004,-0.010938748679575186,0.5722692730261966,4.242947013104615e-05,0.0006788715220967384,-0.00012728841039313845,-0.020055325034578145,-0.004822335025380711,0.21068249258160238,0.0017857142857142859,-0.0037593984962406013,0.028021015761821366
7.995,-0.58,-0.19,9.94,0.01,0.16,-0.03,9.958719797243017,9.344658843976724,-0.03339196965344004,-0.010938748679575186,0.5722692730261966,4.242947013104615e-05,0.0006788715220967384,-0.00012728841039313845,-0.020055325034578145,-0.004822335025380711,0.21068249258160238,0.0017857142857142859,-0.0037593984962406013,0.028021015761821366
8.01,-0.79,0.98,9.58,0.02,0.06,-0.04,9.662344436005167,4.28762353292191,-0.0454821655624442,0.05642091424201938,0.5515432228964752,8.48589402620923e-05,0.0002545768207862769,-0.0001697178805241846,-0.02731673582295989,0.024873096446700507,0.2030521407376007,0.0035714285714285718,-0.005012531328320802,0.010507880910683012
8.021,-0.97,1.05,8.08,0.04,0.1,-0.05,8.205473782786708,6.803496860818383,-0.0558451906273049,0.06045097954502077,0.4651846806893027,0.0001697178805241846,0.0004242947013104615,-0.00021214735065523075,-0.03354080221300138,0.026649746192893405,0.17125900805426028,0.0071428571428571435,-0.006265664160401002,0.017513134851138354
8.032,-0.97,1.05,8.08,0.04,0.1,-0.05,8.205473782786708,6.803496860818383,-0.0558451906273049,0.06045097954502077,0.4651846806893027,0.0001697178805241846,0.0004242947013104615,-0.00021214735065523075,-0.03354080221300138,0.026649746192893405,0.17125900805426028,0.0071428571428571435,-0.006265664160401002,0.017513134851138354
