time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gz_normalized_1,gy_normalized_1
6.66,2.68,2.27,7.48,0.13,-0.03,0.63,80.0,8.0,20.0,8.263516200746508,36.896880536840385,0.10051801703860998,0.08514026070061367,0.28055028636149354,0.0004402710231143075,-0.00010160100533407096,0.0021336211120154902,0.058528062895828785,0.05035492457852706,0.10342920353982303,0.018571428571428572,0.07308584686774942,-0.0036991368680641184
6.68,0.77,-1.04,8.05,0.14,-0.05,0.67,77.0,2.0,20.0,8.153342872711782,39.32177247855864,0.028880176537212567,-0.03900699168662477,0.30192911834358593,0.0004741380248923312,-0.00016933500889011827,0.0022690891191275847,0.016815898667831404,-0.023070097604259095,0.11131084070796463,0.02,0.07772621809744781,-0.006165228113440198
6.69,0.77,-1.04,8.05,0.14,-0.05,0.67,77.0,2.0,20.0,8.153342872711782,39.32177247855864,0.028880176537212567,-0.03900699168662477,0.30192911834358593,0.0004741380248923312,-0.00016933500889011827,0.0022690891191275847,0.016815898667831404,-0.023070097604259095,0.11131084070796463,0.02,0.07772621809744781,-0.006165228113440198
6.7,1.63,1.98,3.91,0.07,-0.02,0.67,77.0,2.0,20.0,4.676045337675844,38.61412493085056,0.061135958124229194,0.07426331109568945,0.1466512860525989,0.0002370690124461656,-6.77340035560473e-05,0.0022690891191275847,0.0355972919851496,0.04392191659272405,0.05406526548672567,0.01,0.07772621809744781,-0.002466091245376079
6.72,-2.91,3.56,11.65,0.13,-0.15,0.62,77.0,2.0,20.0,12.52454390387131,37.299508457015584,-0.10914456327699815,0.1335239330811386,0.4369533203357486,0.0004402710231143075,-0.0005080050266703548,0.0020997541102374664,-0.06355099366673947,0.07897071872227152,0.16108960176991152,0.018571428571428572,0.07192575406032484,-0.018495684340320593
6.73,-2.91,3.56,11.65,0.13,-0.15,0.62,77.0,2.0,20.0,12.52454390387131,37.299508457015584,-0.10914456327699815,0.1335239330811386,0.4369533203357486,0.0004402710231143075,-0.0005080050266703548,0.0020997541102374664,-0.06355099366673947,0.07897071872227152,0.16108960176991152,0.018571428571428572,0.07192575406032484,-0.018495684340320593
6.74,2.08,-0.2,6.69,0.17,-0.14,0.61,77.0,2.0,20.0,7.008744538075275,37.15842234023048,0.07801398337324954,-0.007501344555120148,0.2509199753687689,0.0005757390302264021,-0.0004741380248923312,0.0020658871084594426,0.045424765232583535,-0.004436557231588288,0.09250553097345134,0.02428571428571429,0.07076566125290024,-0.017262638717632554
6.75,-0.91,1.45,9.65,0.15,-0.08,0.62,77.0,2.0,20.0,9.800668344556916,36.834547159695795,-0.03413111772579667,0.054384748024621066,0.3619398747845471,0.0005080050266703548,-0.0002709360142241892,0.0020997541102374664,-0.019873334789255296,0.032165039929015087,0.13343473451327437,0.02142857142857143,0.07192575406032484,-0.009864364981504316
6.76,-0.91,1.45,9.65,0.15,-0.08,0.62,77.0,2.0,20.0,9.800668344556916,36.834547159695795,-0.03413111772579667,0.054384748024621066,0.3619398747845471,0.0005080050266703548,-0.0002709360142241892,0.0020997541102374664,-0.019873334789255296,0.032165039929015087,0.13343473451327437,0.02142857142857143,0.07192575406032484,-0.009864364981504316
6.78,-1.44,3.15,9.89,0.23,0.07,0.63,77.0,2.0,20.0,10.478940786167275,38.63537300648643,-0.05400968079686506,0.11814617674314232,0.3709414882506913,0.000778941040894544,0.0002370690124461656,0.0021336211120154902,-0.0314479143917886,0.06987577639751553,0.1367533185840708,0.032857142857142856,0.07308584686774942,0.008631319358816277
6.79,-1.44,3.15,9.89,0.23,0.07,0.63,77.0,2.0,20.0,10.478940786167275,38.63537300648643,-0.05400968079686506,0.11814617674314232,0.3709414882506913,0.000778941040894544,0.0002370690124461656,0.0021336211120154902,-0.0314479143917886,0.06987577639751553,0.1367533185840708,0.032857142857142856,0.07308584686774942,0.008631319358816277
6.8,0.55,4.61,7.17,0.3,0.07,0.54,77.0,-3.0,20.0,8.541867477314314,35.62028430935861,0.020628697526580406,0.1729059919955194,0.26892320230105726,0.0010160100533407096,0.0002370690124461656,0.0018288180960132773,0.012011356191308147,0.10226264418811004,0.09914269911504425,0.04285714285714286,0.06264501160092809,0.008631319358816277
6.82,-2.44,5.38,13.08,0.27,0.24,0.49,77.0,-3.0,20.0,14.352156632367137,34.879908734317986,-0.0915164035724658,0.20178616853273196,0.4905879339048576,0.0009144090480066386,0.0008128080426725677,0.001659483087123159,-0.05328674383053068,0.11934338952972494,0.1808628318584071,0.038571428571428576,0.05684454756380511,0.029593094944512947
