time,ax,ay,az,gx,gy,gz,normAccel,normGyr
46.33,-0.32,-3.54,9.38,-0.06,0.12,0.26,10.03087234491597,16.763299900705867
46.34,-0.56,-4.11,9.44,-0.09,-0.02,0.22,10.311125059856465,13.667175323221263
46.35,0.11,-2.95,10.25,-0.14,-0.05,0.19,10.666634895786018,13.822421262958365
46.36,0.11,-2.95,10.25,-0.14,-0.05,0.19,10.666634895786018,13.822421262958365
46.37,0.534999999999849,-0.9200000000007212,10.105000000000052,-0.1499999999999964,-0.0300000000000071,0.1800000000000035,10.160888248573656,13.534422571009717
46.38,0.96,1.11,9.96,-0.16,-0.01,0.17,10.067536938099607,13.3881001904916
46.39,-2.21,4.76,8.3,-0.03,0.19,0.22,9.819964358387459,16.74370515420655
46.4,-2.21,4.76,8.3,-0.03,0.19,0.22,9.819964358387459,16.74370515420655
46.41,-0.57,5.18,9.62,-0.04,-0.05,0.16,10.940827208214193,9.874175843853946
46.42,-0.57,5.18,9.62,-0.04,-0.05,0.16,10.940827208214193,9.874175843853946
46.43,-0.0499999999999999,4.15,10.77,-0.02,-0.035,0.1699999999999999,11.542005891525093,10.01037780676176
46.44,0.47,3.12,11.92,-0.0,-0.02,0.18,12.330519048280165,10.376707005615279
46.45,0.36,4.97,10.64,-0.03,-0.06,0.17,11.749046769844778,10.471185801540926
46.46,0.36,4.97,10.64,-0.03,-0.06,0.17,11.749046769844778,10.471185801540926
46.47,-0.07,5.26,12.2,-0.03,0.03,0.18,13.285800690963265,10.59584716624403
46.48,0.264999999999881,5.489999999999919,11.760000000000156,-0.0250000000000017,0.0050000000000088,0.1849999999999982,12.981060241752317,10.699900534895546
46.49,0.6,5.72,11.32,-0.02,-0.02,0.19,12.697275298267735,11.006159835084777
46.5,0.6,5.72,11.32,-0.02,-0.02,0.19,12.697275298267735,11.006159835084777
46.51,0.3,5.43,10.59,-0.02,-0.09,0.19,11.904746952371562,12.10013071047267
46.52,0.3,5.43,10.59,-0.02,-0.09,0.19,11.904746952371562,12.10013071047267
46.53,0.3,5.43,10.59,-0.02,-0.09,0.19,11.904746952371562,12.10013071047267
46.54,-1.24,6.63,12.3,-0.03,0.07,0.21,14.02798987738443,12.798907643450905
46.55,-1.99,9.89,10.1,-0.03,0.2,0.21,14.275230295865633,16.704446705922294
46.56,-1.99,9.89,10.1,-0.03,0.2,0.21,14.275230295865633,16.704446705922294
46.57,-1.77,10.445,10.96,0.015,0.345,0.21,15.24311401912352,23.15699499664018
46.58,-1.55,11.0,11.82,0.06,0.49,0.21,16.22081687215536,30.73746358327863
46.59,-1.55,11.0,11.82,0.06,0.49,0.21,16.22081687215536,30.73746358327863
46.6,-3.71,2.13,12.04,0.34,1.37,0.18,12.777425405769348,81.53131041593028
46.61,-2.83,-13.33,10.85,0.71,2.29,-0.07,17.418963803854695,137.4274834676549
46.62,-2.83,-13.33,10.85,0.71,2.29,-0.07,17.418963803854695,137.4274834676549
46.63,-2.83,-13.33,10.85,0.71,2.29,-0.07,17.418963803854695,137.4274834676549
46.64,1.72,-24.3,14.32,0.83,0.31,-0.65,28.257933399312837,62.96021495864814
46.65,4.53,-24.17,9.73,1.43,0.84,-1.09,26.445844664143365,113.70866761226364
46.66,4.53,-24.17,9.73,1.43,0.84,-1.09,26.445844664143365,113.70866761226364
46.67,3.365000000000414,-17.180000000002483,12.904999999998871,2.1349999999997493,1.2099999999998683,-1.219999999999954,21.748899972183857,157.02310569845136
46.68,2.2,-10.19,16.08,2.84,1.58,-1.35,19.163572213968877,201.63312039870942
46.69,2.2,-10.19,16.08,2.84,1.58,-1.35,19.163572213968877,201.63312039870942
46.7,1.89,1.07,12.07,5.13,1.15,-1.56,12.26384523711874,314.20349355776295
46.71,-0.31,10.91,8.73,7.77,1.05,-1.59,13.97630494801827,458.3787693850759
46.72,-0.31,10.91,8.73,7.77,1.05,-1.59,13.97630494801827,458.3787693850759
46.73,-0.31,10.91,8.73,7.77,1.05,-1.59,13.97630494801827,458.3787693850759
46.74,10.23,17.54,30.88,9.41,-1.83,-2.03,36.957798906320164,561.4340315965827
46.75,-45.95,-20.81,-37.42,7.27,-4.77,-3.01,62.806966174143454,527.2018153890019
46.76,-45.95,-20.81,-37.42,7.27,-4.77,-3.01,62.806966174143454,527.2018153890019
46.77,-38.00500000000282,-9.685000000003951,-19.76500000000627,6.585000000000243,-3.4650000000004635,-4.419999999999499,43.91849809591101,495.88115232047664
46.78,-30.06,1.44,-2.11,5.9,-2.16,-5.83,30.168349308505427,491.09034515090786
46.79,-30.06,1.44,-2.11,5.9,-2.16,-5.83,30.168349308505427,491.09034515090786
46.8,-12.46,16.52,-5.74,5.73,0.49,-7.55,21.473462692355884,543.78343426449
46.81,-6.85,26.05,-1.19,5.8,-0.43,-8.31,26.961845263260454,581.1526478435406
46.82,-6.85,26.05,-1.19,5.8,-0.43,-8.31,26.961845263260454,581.1526478435406
46.83,-6.85,26.05,-1.19,5.8,-0.43,-8.31,26.961845263260454,581.1526478435406
46.84,-1.35,20.46,-6.35,5.09,-2.76,-8.35,21.465241671129633,582.1888410020262
46.85,-4.69,24.74,-10.75,4.9,-2.13,-8.42,27.379302401631783,571.3607413063335
46.86,-4.69,24.74,-10.75,4.9,-2.13,-8.42,27.379302401631783,571.3607413063335
46.87,-4.69,24.74,-10.75,4.9,-2.13,-8.42,27.379302401631783,571.3607413063335
46.88,-2.24,23.28,-7.25,4.88,-2.24,-8.81,24.48547528638152,591.1416908209784
46.89,-2.98,20.16,-1.72,4.75,-2.01,-9.05,20.451513391433895,596.8259639867048
46.9,-2.98,20.16,-1.72,4.75,-2.01,-9.05,20.451513391433895,596.8259639867048
46.91,-1.72,17.2,2.45,4.35,-2.33,-9.41,17.4585480495945,608.7915862700066
46.92,-1.72,17.2,2.45,4.35,-2.33,-9.41,17.4585480495945,608.7915862700066
46.93,-1.72,17.2,2.45,4.35,-2.33,-9.41,17.4585480495945,608.7915862700066
46.94,-0.63,16.95,1.46,3.72,-2.95,-9.75,17.02442363194713,621.3446614424004
46.95,2.72,11.05,-1.21,2.99,-3.21,-9.99,11.44399405802013,625.1394916118346
46.96,2.72,11.05,-1.21,2.99,-3.21,-9.99,11.44399405802013,625.1394916118346
46.97,47.815,-0.2699999999999996,-24.37,2.55,-4.13,-10.095,53.667904980537486,641.7854332375988
46.98,92.91,-11.59,-47.53,2.11,-5.05,-10.2,105.00331947133861,663.2332348030243
