time,ax,ay,az,gx,gy,gz,normAccel,normGyr
7.64,-1.54,0.57,8.88,-0.03,0.27,-0.05,9.030553692880632,15.826500703121207
7.65,-0.64,0.67,11.32,-0.03,0.32,-0.08,11.357856311822227,18.976929588220752
7.66,-2.05,-0.02,9.06,0.02,0.33,-0.12,9.289052696588604,20.151504794839834
7.67,-2.05,-0.02,9.06,0.02,0.33,-0.12,9.289052696588604,20.151504794839834
7.68,0.18,0.3,8.38,0.01,0.25,-0.19,8.387299923098018,18.000360739334063
7.689999999999999,0.18,0.3,8.38,0.01,0.25,-0.19,8.387299923098018,18.000360739334063
7.7,0.18,0.3,8.38,0.01,0.25,-0.19,8.387299923098018,18.000360739334063
7.71,-0.45,-0.26,11.12,0.04,0.25,-0.23,11.132138159401364,19.598171928814537
7.72,-0.54,-0.23,9.02,0.06,0.3,-0.29,9.039076280240144,24.152736664756787
7.73,-0.54,-0.23,9.02,0.06,0.3,-0.29,9.039076280240144,24.152736664756787
7.74,-0.65,-1.41,9.56,0.05,0.27,-0.35,9.685256837069423,25.48857345296759
7.75,-0.65,-1.41,9.56,0.05,0.27,-0.35,9.685256837069423,25.48857345296759
7.76,-0.65,-1.41,9.56,0.05,0.27,-0.35,9.685256837069423,25.48857345296759
7.77,0.3,-1.7,9.4,0.05,0.12,-0.42,9.557196241576293,25.190602760896173
7.78,0.3,-1.7,9.4,0.05,0.12,-0.42,9.557196241576293,25.190602760896173
7.79,0.08,-2.01,8.61,0.06,-0.05,-0.47,8.841866318826586,27.298297409411195
7.8,0.1,-2.38,10.81,0.06,-0.18,-0.5,11.069349574387829,30.641191492880278
7.81,0.1,-2.38,10.81,0.06,-0.18,-0.5,11.069349574387829,30.641191492880278
7.819999999999999,0.1349999999999984,-1.92500000000002,9.870000000000042,0.0500000000000004,-0.2349999999999975,-0.5099999999999996,10.056875757410992,32.30105150289194
7.83,0.17,-1.47,8.93,0.04,-0.29,-0.52,9.051778830705047,34.19074935182296
7.84,0.17,-1.47,8.93,0.04,-0.29,-0.52,9.051778830705047,34.19074935182296
7.85,0.07,1.53,9.19,0.02,-0.37,-0.51,9.316753726486494,36.11907035756412
7.86,-0.43,4.24,11.4,-0.01,-0.52,-0.47,12.17055873820097,40.164300571474804
7.87,-0.43,4.24,11.4,-0.01,-0.52,-0.47,12.17055873820097,40.164300571474804
7.88,0.06,6.025,10.33,-0.01,-0.53,-0.425,11.958809514328758,38.92846620821544
7.89,0.55,7.81,9.26,-0.01,-0.54,-0.38,12.12626075919531,37.83691120110258
7.9,0.55,7.81,9.26,-0.01,-0.54,-0.38,12.12626075919531,37.83691120110258
7.91,2.58,10.43,9.1,0.04,-0.6,-0.29,14.080174004606619,38.25110181681352
7.92,0.39,10.2,9.3,0.15,-0.78,-0.19,13.808768953096434,46.79350206447294
7.93,0.39,10.2,9.3,0.15,-0.78,-0.19,13.808768953096434,46.79350206447294
7.939999999999999,1.2599999999999612,7.225000000000131,8.86500000000002,0.2149999999999971,-0.9449999999999928,-0.1700000000000008,11.505496512537047,56.37596090324157
7.95,2.13,4.25,8.43,0.28,-1.11,-0.15,9.678031824704856,66.15119700024827
