time,ax,ay,az,gx,gy,gz,normAccel,normGyr
48.93,-0.46,2.88,9.73,-0.01,0.23,-0.16,10.157701511660992,16.063268008438477
48.94,-1.26,3.06,9.01,0.01,0.18,-0.17,9.598505091940098,14.197334605154628
48.95,0.0,3.0,6.25,0.05,0.13,-0.2,6.932712311931024,13.964193395635052
48.96,0.0,3.0,6.25,0.05,0.13,-0.2,6.932712311931024,13.964193395635052
48.97,-0.375,2.38,8.195,0.05,0.11,-0.22,8.541841136429547,14.381126522311801
48.98,-0.75,1.76,10.14,0.05,0.09,-0.24,10.318900135188828,14.962867140718751
48.99,-0.76,1.23,8.63,0.07,0.15,-0.27,8.750279995520145,18.145673779338644
49.0,-0.76,1.23,8.63,0.07,0.15,-0.27,8.750279995520145,18.145673779338644
49.01,-0.68,-1.35,7.48,0.13,0.2,-0.31,7.631205671451924,22.411367016578815
49.02,-0.68,-1.35,7.48,0.13,0.2,-0.31,7.631205671451924,22.411367016578815
49.03,-0.68,-1.35,7.48,0.13,0.2,-0.31,7.631205671451924,22.411367016578815
49.04,0.09,-4.82,9.08,0.15,0.15,-0.37,10.280413415811642,24.436498829970226
49.05,0.44,-7.39,7.25,0.12,0.15,-0.42,10.361862766896694,26.461719416120804
49.06,0.44,-7.39,7.25,0.12,0.15,-0.42,10.361862766896694,26.461719416120804
49.07,0.7650000000000001,-7.13,8.504999999999999,0.1,0.2,-0.435,11.124619094602744,28.023728322290722
49.08,1.09,-6.87,9.76,0.08,0.25,-0.45,11.985099081776504,29.84884660071788
49.09,-0.65,-5.19,11.86,-0.0,0.33,-0.46,12.962183458044404,32.436698894597214
49.1,-0.65,-5.19,11.86,-0.0,0.33,-0.46,12.962183458044404,32.436698894597214
49.11,-0.71,-0.57,12.49,-0.04,0.44,-0.46,12.523142576845478,36.54374944070159
49.12,-0.71,-0.57,12.49,-0.04,0.44,-0.46,12.523142576845478,36.54374944070159
49.13,-0.71,-0.57,12.49,-0.04,0.44,-0.46,12.523142576845478,36.54374944070159
49.14,-0.26,4.23,7.81,-0.04,0.43,-0.47,8.885752641166643,36.57068917855917
49.15,-4.08,7.6,-7.73,0.01,0.35,-0.48,11.58271557105673,34.04160163027212
49.16,-4.08,7.6,-7.73,0.01,0.35,-0.48,11.58271557105673,34.04160163027212
49.17,-1.88500000000078,9.324999999999388,2.624999999996321,0.0399999999999893,0.1850000000000586,-0.5099999999999894,9.869117235091101,31.168324772551667
49.18,0.31,11.05,12.98,0.07,0.02,-0.54,17.04931083651184,31.21962852627313
49.19,1.95,12.68,10.39,0.09,-0.36,-0.53,16.50869467886544,37.06997084049185
49.2,1.95,12.68,10.39,0.09,-0.36,-0.53,16.50869467886544,37.06997084049185
49.21,0.72,14.16,8.49,0.13,-0.91,-0.47,16.525861550914676,59.15355685398401
49.22,0.72,14.16,8.49,0.13,-0.91,-0.47,16.525861550914676,59.15355685398401
49.23,1.0599999999998793,12.030000000000758,10.449999999999305,0.1799999999999822,-1.2349999999998846,-0.425000000000016,15.970190981951452,75.5403080342343
49.24,1.4,9.9,12.41,0.23,-1.56,-0.38,15.936690371592215,92.93403696303038
49.25,1.9,2.95,3.94,0.32,-1.98,-0.2,5.275992797569003,115.48759950240421
49.26,1.9,2.95,3.94,0.32,-1.98,-0.2,5.275992797569003,115.48759950240421
49.27,0.9300000000003446,-3.694999999997639,7.62999999999869,0.3349999999999947,-1.7300000000000888,-0.0600000000000497,8.528471433965361,101.02149360626815
49.28,-0.04,-10.34,11.32,0.35,-1.48,0.08,15.331653531175299,87.25716456304454
49.29,-4.0,-7.69,14.65,0.85,-1.33,0.51,17.022297142277832,95.04021081656603
49.3,-4.0,-7.69,14.65,0.85,-1.33,0.51,17.022297142277832,95.04021081656603
49.31,-9.15,-0.57,10.2,2.76,-1.27,1.61,13.714495980530966,197.00585360249792
49.32,-9.15,-0.57,10.2,2.76,-1.27,1.61,13.714495980530966,197.00585360249792
49.33,-9.15,-0.57,10.2,2.76,-1.27,1.61,13.714495980530966,197.00585360249792
49.34,-15.4,2.94,12.93,4.63,0.9,3.71,20.322118491928936,343.82719419829624
49.35,-15.65,12.59,7.24,6.2,2.98,5.66,21.35060186505289,510.40217545728774
49.36,-15.65,12.59,7.24,6.2,2.98,5.66,21.35060186505289,510.40217545728774
49.37,-12.550000000001102,13.754999999999589,6.435000000000287,6.774999999999796,4.01999999999963,6.524999999999693,19.70055202272312,586.0903164734292
49.38,-9.45,14.92,5.63,7.35,5.06,7.39,18.53660702501944,663.835834656541
49.39,-9.45,14.92,5.63,7.35,5.06,7.39,18.53660702501944,663.835834656541
49.4,1.57,23.16,118.94,6.59,4.95,8.74,121.1840505182097,688.3085815114214
49.41,1.25,6.54,-0.17,2.98,4.48,9.6,6.6605555323861685,630.5420709952685
49.42,1.25,6.54,-0.17,2.98,4.48,9.6,6.6605555323861685,630.5420709952685
49.43,1.355,10.125,-2.465,2.13,4.34,9.7,10.508466824423056,620.9723350425962
49.44,1.46,13.71,-4.76,1.28,4.2,9.8,14.586065267919242,615.2787789231759
49.45,0.64,15.8,4.82,0.17,4.48,9.89,16.531243147446595,622.1577715168194
49.46,0.64,15.8,4.82,0.17,4.48,9.89,16.531243147446595,622.1577715168194
49.47,-1.26,15.92,5.2,-0.8,4.96,9.94,16.79505879715817,638.1350721034511
49.48,-1.26,15.92,5.2,-0.8,4.96,9.94,16.79505879715817,638.1350721034511
49.49,-1.26,15.92,5.2,-0.8,4.96,9.94,16.79505879715817,638.1350721034511
49.5,-0.71,14.67,-0.52,-1.8,4.71,9.72,14.69637370237978,627.3887856682514
49.51,-0.42,13.89,-2.77,-2.79,4.86,9.51,14.169735353915401,632.447310334672
49.52,-0.42,13.89,-2.77,-2.79,4.86,9.51,14.169735353915401,632.447310334672
49.53,-0.42,13.89,-2.77,-2.79,4.86,9.51,14.169735353915401,632.447310334672
49.54,-0.96,14.33,-0.91,-3.73,4.84,9.18,14.390920748861069,631.8425711762727
49.55,-0.41,14.91,0.88,-4.62,4.58,8.72,14.941572875704887,623.3380570303004
49.56,-0.41,14.91,0.88,-4.62,4.58,8.72,14.941572875704887,623.3380570303004
49.57,-0.435,14.88,0.72,-5.005,4.51,8.485,14.903758754086166,620.7683725660893
49.58,-0.46,14.85,0.56,-5.39,4.44,8.25,14.867672985373332,619.2934335357045
49.59,-0.46,14.85,0.56,-5.39,4.44,8.25,14.867672985373332,619.2934335357045
49.6,-25.46,-24.78,-65.65,-6.28,5.12,7.71,74.6470528554209,640.8345322209035
49.61,5.69,6.47,-66.41,-4.69,8.41,6.39,66.96659689725915,662.1476192844565
49.62,5.69,6.47,-66.41,-4.69,8.41,6.39,66.96659689725915,662.1476192844565
49.63,5.69,6.47,-66.41,-4.69,8.41,6.39,66.96659689725915,662.1476192844565
49.64,5.83,6.25,-32.28,-3.91,6.61,5.57,33.39236140197336,543.570891249193
49.65,2.05,8.46,-11.65,-2.94,1.79,5.14,14.542922677371285,354.43495233653863
49.66,2.05,8.46,-11.65,-2.94,1.79,5.14,14.542922677371285,354.43495233653863
49.67,-2.97,4.01,-14.32,-1.96,-0.97,4.39,15.164544173828636,281.00995289667674
49.68,-2.97,4.01,-14.32,-1.96,-0.97,4.39,15.164544173828636,281.00995289667674
49.69,-2.97,4.01,-14.32,-1.96,-0.97,4.39,15.164544173828636,281.00995289667674
49.7,-63.33,14.6,10.51,-0.58,-1.01,1.72,65.83546916366588,119.01672621806432
49.71,29.87,7.21,30.55,0.11,-1.21,-4.81,43.33016847417051,284.2488605577761
49.72,29.87,7.21,30.55,0.11,-1.21,-4.81,43.33016847417051,284.2488605577761
49.73,9.3250000000073,12.659999999998064,27.48000000000109,-0.0149999999999555,1.7999999999989305,-3.0800000000006147,31.660411004915066,204.39923034154995
