time,ax,ay,az,gx,gy,gz,normAccel,normGyr
47.19,-0.58,-0.1,7.6,0.02,-0.29,0.06,7.622755407331393,17.006329393376888
47.2,-0.58,-0.1,7.6,0.02,-0.29,0.06,7.622755407331393,17.006329393376888
47.21,-0.81,-0.3,9.72,0.02,-0.04,0.08,9.75830415594841,5.2512449324039965
47.22,-0.81,-0.3,9.72,0.02,-0.04,0.08,9.75830415594841,5.2512449324039965
47.23,-0.5500000000000924,-0.1150000000000657,9.430000000000105,0.0249999999999982,0.0799999999999573,0.08,9.446725623198871,6.638650107430345
47.24,-0.29,0.07,9.14,0.03,0.2,0.08,9.144867412926226,12.461008801680363
47.25,-0.02,0.42,8.01,0.05,0.38,0.07,8.021028612341437,22.323306294807292
47.26,-0.02,0.42,8.01,0.05,0.38,0.07,8.021028612341437,22.323306294807292
47.27,-1.13,-1.49,7.57,0.07,0.48,0.05,7.797557309824661,27.940138690292727
47.28,-1.13,-1.49,7.57,0.07,0.48,0.05,7.797557309824661,27.940138690292727
47.29,-0.13,-1.45,9.46,0.05,0.44,0.0,9.571363539224702,25.37239297420137
47.3,-0.7749999999997709,-1.2650000000000658,11.394999999999314,0.0450000000000017,0.4100000000000107,-0.0199999999999928,11.491165084532733,23.660104666627767
47.31,-1.42,-1.08,13.33,0.04,0.38,-0.04,13.448854969847805,22.012319670169553
47.32,-1.42,-1.08,13.33,0.04,0.38,-0.04,13.448854969847805,22.012319670169553
47.33,-0.4,3.13,8.7,0.02,0.43,-0.06,9.25456103767218,24.902251294154482
47.34,-0.4,3.13,8.7,0.02,0.43,-0.06,9.25456103767218,24.902251294154482
47.35,-1.17,5.55,8.97,0.02,0.45,-0.09,10.612836567101184,26.31866523690892
47.36,-1.02,7.34,9.84,0.07,0.23,-0.16,12.31834404455404,16.546481486738486
47.37,-1.02,7.34,9.84,0.07,0.23,-0.16,12.31834404455404,16.546481486738486
47.38,-1.02,7.34,9.84,0.07,0.23,-0.16,12.31834404455404,16.546481486738486
47.39,-0.21,4.44,8.71,0.18,-0.1,-0.23,9.77863998723749,17.68760710656247
47.4,-0.21,4.44,8.71,0.18,-0.1,-0.23,9.77863998723749,17.68760710656247
47.41,0.4,-1.0,9.98,0.22,-0.28,-0.27,10.037947997474385,25.604226762340343
47.42,0.4,-1.0,9.98,0.22,-0.28,-0.27,10.037947997474385,25.604226762340343
47.43,0.315,-0.825,9.865,0.1699999999999999,-0.245,-0.275,9.904447233440138,23.241897187932672
47.44,0.23,-0.65,9.75,0.12,-0.21,-0.28,9.774349083187074,21.199438419840458
47.45,0.27,1.66,8.71,0.09,0.38,-0.27,8.870884961490598,27.201921830867892
47.46,0.27,1.66,8.71,0.09,0.38,-0.27,8.870884961490598,27.201921830867892
47.47,-0.05,-1.41,11.67,0.22,1.28,-0.37,11.754977669055776,77.37476294320014
47.48,-0.05,-1.41,11.67,0.22,1.28,-0.37,11.754977669055776,77.37476294320014
47.49,1.11,-11.23,10.67,0.71,1.08,-0.79,15.530418539112203,86.79128672128871
47.5,0.1650000000000001,-14.045,10.925,1.06,0.44,-0.895,17.794518116543646,83.38898296989612
47.51,-0.78,-16.86,11.18,1.41,-0.2,-1.0,20.24500926154394,99.70288816514073
47.52,-0.78,-16.86,11.18,1.41,-0.2,-1.0,20.24500926154394,99.70288816514073
47.53,0.64,-10.99,18.41,2.58,-2.26,-0.58,21.45035664039179,199.30697418224509
47.54,0.64,-10.99,18.41,2.58,-2.26,-0.58,21.45035664039179,199.30697418224509
47.55,0.82,0.7,12.29,5.3,-2.28,-0.11,12.337199844373114,330.63437942622676
47.56,0.82,0.7,12.29,5.3,-2.28,-0.11,12.337199844373114,330.63437942622676
47.57,-4.93,13.22,2.95,8.59,1.67,1.08,14.414430269698487,505.18959529220615
47.58,-3.0400000000006715,24.60999999999596,44.24999999998533,9.114999999999814,1.959999999999897,1.5149999999998456,50.72431566811431,541.1951096308533
47.59,-1.15,36.0,85.55,9.64,2.25,1.95,92.82308441330744,578.076084332249
47.6,-1.15,36.0,85.55,9.64,2.25,1.95,92.82308441330744,578.076084332249
47.61,1.94,-4.47,-13.73,5.39,2.44,1.92,14.56905624946242,356.3967895131624
47.62,1.94,-4.47,-13.73,5.39,2.44,1.92,14.56905624946242,356.3967895131624
47.63,17.62,9.52,-6.4,2.76,5.65,1.45,21.025099286329183,369.7358404469319
47.64,9.615,7.13,-2.045,2.19,10.06,1.305,12.143605313085567,594.6151608759809
47.65,1.61,4.74,2.31,1.62,14.47,1.16,5.5132386126486495,836.8928780320218
47.66,1.61,4.74,2.31,1.62,14.47,1.16,5.5132386126486495,836.8928780320218
47.67,-5.31,-1.2,-7.25,0.9,18.68,0.54,9.066344357016227,1071.9732580542814
47.68,-5.31,-1.2,-7.25,0.9,18.68,0.54,9.066344357016227,1071.9732580542814
47.69,-3.09,-0.95,-5.54,0.97,19.43,0.48,6.414218580622273,1114.9826411587392
47.7,-4.59,1.26,0.5,1.24,19.5,0.81,4.785989970737506,1120.4858798226717
47.71,-4.59,1.26,0.5,1.24,19.5,0.81,4.785989970737506,1120.4858798226717
47.72,-4.59,1.26,0.5,1.24,19.5,0.81,4.785989970737506,1120.4858798226717
47.73,-4.54,2.12,1.98,1.44,19.25,1.19,5.387615427997808,1108.1249647020243
47.74,-4.54,2.12,1.98,1.44,19.25,1.19,5.387615427997808,1108.1249647020243
47.75,-4.74,1.02,-1.91,1.51,19.34,1.7,5.211151504226297,1115.7324410093347
47.76,-4.74,1.02,-1.91,1.51,19.34,1.7,5.211151504226297,1115.7324410093347
47.77,-4.4,0.32,-3.95,1.38,19.27,2.15,5.921562293854554,1113.7506681722655
47.78,-3.89,0.68,-2.64,1.07,19.2,2.52,4.75016841806688,1111.20625956821
47.79,-3.89,0.68,-2.64,1.07,19.2,2.52,4.75016841806688,1111.20625956821
47.8,-4.009999999999957,0.9299999999999112,-1.5600000000003835,0.8600000000000746,19.2,2.6549999999999523,4.402113128941678,1111.639456153023
47.81,-4.13,1.18,-0.48,0.65,19.2,2.79,4.322001850994513,1112.2564504017657
47.82,-4.13,1.18,-0.48,0.65,19.2,2.79,4.322001850994513,1112.2564504017657
47.83,-4.17,0.96,-0.53,0.18,19.18,2.9,4.311774576667941,1111.4713739199042
47.84,-4.17,0.96,-0.53,0.18,19.18,2.9,4.311774576667941,1111.4713739199042
47.84,-4.17,0.96,-0.53,0.18,19.18,2.9,4.311774576667941,1111.4713739199042
47.85,-3.986250000000033,0.6525000000000546,-0.7012499999999696,0.0712500000000193,18.39125000000014,2.9799999999999858,4.09971912147653,1067.492109777588
47.86000000000001,-3.8024999999999354,0.3449999999998907,-0.8725000000000609,-0.0375000000000386,17.60249999999972,3.0600000000000285,3.9165402461866186,1023.6769531650824
47.870000000000005,-3.618749999999968,0.0374999999999453,-1.0437500000000304,-0.1462500000000193,16.81374999999986,3.1400000000000143,3.7664534876989824,980.0479146732329
47.88,-3.435,-0.27,-1.215,-0.2549999999999999,16.025,3.22,3.6535393798343,936.6310032661505
47.89,-3.2512500000000326,-0.5774999999999453,-1.3862499999999691,-0.3637499999999806,15.23625000000014,3.2999999999999856,3.5813156625743092,893.4571439713031
47.900000000000006,-3.067499999999935,-0.8850000000001093,-1.5575000000000607,-0.4725000000000386,14.44749999999972,3.3800000000000283,3.552265122425406,850.5633489384
47.91,-2.883749999999968,-1.1925000000000543,-1.7287500000000302,-0.5812500000000194,13.65874999999986,3.460000000000014,3.567442623925443,807.9942225110946
47.92,-2.7,-1.5,-1.9,-0.69,12.87,3.54,3.626292872893749,765.8039091538433
