time,ax,ay,az,gx,gy,gz,normAccel,normGyr
64.47,-1.47,-2.73,9.74,0.02,0.08,0.13,10.221614353907118,8.820573138706937
64.48,-1.47,-2.73,9.74,0.02,0.08,0.13,10.221614353907118,8.820573138706937
64.49,0.25,-3.0,9.92,0.03,0.02,0.12,10.366720792999105,7.17914059586413
64.5,0.25,-3.0,9.92,0.03,0.02,0.12,10.366720792999105,7.17914059586413
64.51,-0.26,-2.65,9.75,0.0,0.15,0.14,10.10705694057375,11.756111063421203
64.52000000000001,-0.7300000000003339,-2.3649999999997977,9.119999999999552,-0.0100000000000071,0.2050000000000391,0.1299999999999929,9.449895502067276,13.920044712912752
64.53,-1.2,-2.08,8.49,-0.02,0.26,0.12,8.823066360398748,16.446982800531156
64.54,-1.2,-2.08,8.49,-0.02,0.26,0.12,8.823066360398748,16.446982800531156
64.55,-1.22,-0.28,9.63,-0.01,0.27,0.1,9.711009216348218,16.506753982869398
64.56,-1.22,-0.28,9.63,-0.01,0.27,0.1,9.711009216348218,16.506753982869398
64.57,-0.49,0.5,10.17,-0.03,0.1,0.07,10.19406690187974,7.201967809577154
64.58,-0.25,-0.31,9.535,-0.025,0.05,0.075,9.543313103948755,5.359529416152388
64.59,-0.01,-1.12,8.9,-0.02,0.0,0.08,8.97020066665178,4.724731016690776
64.6,-0.01,-1.12,8.9,-0.02,0.0,0.08,8.97020066665178,4.724731016690776
64.61,-0.4,-4.38,10.82,-0.04,-0.01,0.08,11.679760271512425,5.156620156177409
64.62,-1.43,-6.61,10.3,-0.04,0.13,0.07,12.321809931986454,8.764568933511494
64.63000000000001,-1.43,-6.61,10.3,-0.04,0.13,0.07,12.321809931986454,8.764568933511494
64.64,-1.43,-6.61,10.3,-0.04,0.13,0.07,12.321809931986454,8.764568933511494
64.65,-0.71,-7.47,7.51,-0.05,0.27,0.07,10.6162658218415,16.236050933214734
64.66,-0.71,-7.47,7.51,-0.05,0.27,0.07,10.6162658218415,16.236050933214734
64.67,0.14,-7.13,10.49,-0.05,0.31,0.04,12.684502355236488,18.136625823762717
64.68,-0.1800000000002273,-6.694999999999691,9.5049999999993,-0.0449999999999964,0.2499999999999573,0.0349999999999964,11.627572833570325,14.691647882834664
64.69,-0.5,-6.26,8.52,-0.04,0.19,0.03,10.584328037244498,11.256834595500342
64.7,-0.5,-6.26,8.52,-0.04,0.19,0.03,10.584328037244498,11.256834595500342
64.71,-0.62,-7.57,9.01,-0.04,0.04,0.02,11.784286147238618,3.437746770784939
64.72,-2.01,-2.82,10.45,0.0,-0.13,0.01,11.008860068145111,7.470455672192939
64.73,-2.01,-2.82,10.45,0.0,-0.13,0.01,11.008860068145111,7.470455672192939
64.74,-2.01,-2.82,10.45,0.0,-0.13,0.01,11.008860068145111,7.470455672192939
64.75,-0.64,9.56,11.56,0.1,-0.86,-0.08,15.014552940397527,49.81768361344071
64.76,-0.64,9.56,11.56,0.1,-0.86,-0.08,15.014552940397527,49.81768361344071
64.77,6.6,14.97,45.95,-0.15,-1.21,-0.15,48.77564351190048,70.38524747987124
64.78,6.23,13.225,63.99,-1.135,-1.26,0.005,65.63865953079785,97.16408102627882
64.79,5.86,11.48,82.03,-2.12,-1.31,0.16,83.03644320417392,143.0800778561021
64.8,5.86,11.48,82.03,-2.12,-1.31,0.16,83.03644320417392,143.0800778561021
64.81,-0.9,15.34,74.7,-5.81,0.37,0.61,76.2641173816363,335.3888606733792
64.82,-5.08,24.4,31.61,-9.28,3.22,0.33,40.25367685069278,563.120748457939
64.83,-5.08,24.4,31.61,-9.28,3.22,0.33,40.25367685069278,563.120748457939
64.84,-5.08,24.4,31.61,-9.28,3.22,0.33,40.25367685069278,563.120748457939
64.85,-8.21,13.49,-8.61,-10.85,3.29,-1.05,17.986558870445453,652.3901353893295
64.86,-8.21,13.49,-8.61,-10.85,3.29,-1.05,17.986558870445453,652.3901353893295
64.87,3.75,34.98,-16.03,-5.47,-2.93,-3.24,38.66036471633448,401.0843710395177
64.88000000000001,3.4999999999998224,21.179999999990194,-15.059999999999311,-4.574999999999364,-2.274999999999535,-2.919999999999773,26.22300516721077,337.1828633511849
64.89,3.25,7.38,-14.09,-3.68,-1.62,-2.6,16.23437710538966,274.3432970302888
64.9,3.25,7.38,-14.09,-3.68,-1.62,-2.6,16.23437710538966,274.3432970302888
64.91,2.21,-5.39,-7.51,-3.09,0.98,-1.79,9.504541019954619,212.16929644783912
64.92,0.4,0.46,-1.73,-2.58,1.7,-1.45,1.8342573429047517,195.55327379170058
64.93,0.4,0.46,-1.73,-2.58,1.7,-1.45,1.8342573429047517,195.55327379170058
64.94,0.4,0.46,-1.73,-2.58,1.7,-1.45,1.8342573429047517,195.55327379170058
64.95,-0.61,1.42,1.57,-2.38,2.09,-1.41,2.203043349550798,198.6486899301155
64.96,-0.61,1.42,1.57,-2.38,2.09,-1.41,2.203043349550798,198.6486899301155
64.97,0.32,-4.04,-2.64,-2.13,1.92,-1.55,4.836693085156427,186.76842268958313
64.98,0.184999999999904,-2.164999999998668,-1.2749999999990305,-1.8899999999998291,2.070000000000107,-1.5600000000000072,2.5193401913976854,183.79893096922584
64.99,0.05,-0.29,0.09,-1.65,2.22,-1.57,0.30773365106858236,182.2312060966749
65.0,0.05,-0.29,0.09,-1.65,2.22,-1.57,0.30773365106858236,182.2312060966749
65.01,2.32,17.81,-59.42,-0.52,5.16,-1.22,62.07507470796955,305.2547928555314
65.02,2.09,0.01,-13.89,2.15,9.14,-0.64,14.046362518460073,539.2251284865489
65.03,2.09,0.01,-13.89,2.15,9.14,-0.64,14.046362518460073,539.2251284865489
65.04,2.09,0.01,-13.89,2.15,9.14,-0.64,14.046362518460073,539.2251284865489
65.05,-1.68,1.18,-0.98,2.75,8.79,-0.05,2.274906591488978,527.7096816866081
65.06,-1.68,1.18,-0.98,2.75,8.79,-0.05,2.274906591488978,527.7096816866081
65.07,2.64,6.34,-11.73,2.91,8.0,0.25,13.59257517911893,487.9589268065109
65.08,0.585,0.5600000000000014,-11.645,3.255,7.67,0.5349999999999999,11.673125117122662,478.3773856279905
65.09,-1.47,-5.22,-11.56,3.6,7.34,0.82,12.768825317937434,470.7607577916758
65.1,-1.47,-5.22,-11.56,3.6,7.34,0.82,12.768825317937434,470.7607577916758
65.11,-2.15,3.98,-1.45,5.16,5.2,1.43,4.750305253349515,427.6526431139287
65.12,-7.82,-9.77,11.5,5.62,3.69,1.84,16.995743584792045,399.3729555219101
65.13000000000001,-7.82,-9.77,11.5,5.62,3.69,1.84,16.995743584792045,399.3729555219101
65.14,-7.82,-9.77,11.5,5.62,3.69,1.84,16.995743584792045,399.3729555219101
65.15,1.22,7.01,2.56,6.73,-3.18,1.11,7.561884685711624,431.19556626681026
65.16,1.22,7.01,2.56,6.73,-3.18,1.11,7.561884685711624,431.19556626681026
65.17,5.55,28.6,-16.61,6.29,-7.97,-1.34,33.53587034803182,586.7731245319964
65.18,7.605000000001461,19.669999999993657,-13.509999999997795,5.774999999999634,-8.36500000000028,-2.110000000000547,25.045259531490448,594.8172602056512
65.19,9.66,10.74,-10.41,5.26,-8.76,-2.88,17.805372784640035,608.252383903083
65.2,9.66,10.74,-10.41,5.26,-8.76,-2.88,17.805372784640035,608.252383903083
65.21,10.49,25.81,52.9,8.21,-10.76,-4.24,59.7880105037791,812.6296988197745
65.22,53.95,-6.14,-44.13,1.11,-0.81,-2.35,69.96970058532479,155.97401391908855
65.23,53.95,-6.14,-44.13,1.11,-0.81,-2.35,69.96970058532479,155.97401391908855
65.24,53.95,-6.14,-44.13,1.11,-0.81,-2.35,69.96970058532479,155.97401391908855
65.25,11.69,-1.83,-0.05,0.27,0.41,0.01,11.832476494800233,28.133336293227497
65.26,11.69,-1.83,-0.05,0.27,0.41,0.01,11.832476494800233,28.133336293227497
65.27,3.31,-25.57,10.65,0.1,0.64,0.27,27.896299037685985,40.20922938058853
65.28,-3.1250000000000004,-21.61,25.505000000000003,0.105,-0.4349999999999999,0.085,33.57473380385912,26.09789737639196
65.29,-9.56,-17.65,40.36,0.11,-1.51,-0.1,45.075999156979314,86.93489966059109
65.3,-9.56,-17.65,40.36,0.11,-1.51,-0.1,45.075999156979314,86.93489966059109
65.31,-3.83,6.68,19.38,-1.35,-3.48,-0.91,20.853673537293133,220.13065332325561
65.32,-3.83,6.68,19.38,-1.35,-3.48,-0.91,20.853673537293133,220.13065332325561
65.33,0.3650000000000002,2.875,13.275,-1.76,-2.325,-0.8200000000000001,13.587658922713656,173.55633095720395
65.34,4.56,-0.93,7.17,-2.17,-1.17,-0.73,8.54794712197028,147.31479198648938
65.35,5.29,-2.74,9.02,-2.41,4.04,-0.3,10.80981498454067,270.0795665268958
65.36,5.29,-2.74,9.02,-2.41,4.04,-0.3,10.80981498454067,270.0795665268958
65.37,-0.88,-4.19,4.66,-2.44,5.11,-0.69,6.328198795866009,326.84618351881085
65.38000000000001,-1.505000000000444,-2.944999999999116,4.3399999999997725,-2.264999999999876,4.669999999999687,-0.9900000000002132,5.456523618568342,302.7431404960261
65.39,-2.13,-1.7,4.02,-2.09,4.23,-1.29,4.856675817882021,280.25251150465357
65.4,-2.13,-1.7,4.02,-2.09,4.23,-1.29,4.856675817882021,280.25251150465357
65.41,2.59,1.96,-2.08,-1.32,1.6,-1.48,3.856954757318265,145.9952227621036
65.42,2.59,1.96,-2.08,-1.32,1.6,-1.48,3.856954757318265,145.9952227621036
65.43,-4.67,1.61,-1.7,-0.78,0.91,-1.27,5.224078866173442,100.05293440837113
65.44000000000001,-3.239999999998984,0.1699999999989769,0.3200000000014353,-0.5999999999998721,0.6849999999998402,-1.2299999999999716,3.260199380405129,87.68547669095382
65.45,-1.81,-1.27,2.34,-0.42,0.46,-1.19,3.2194098838141127,76.95785168555699
65.46,-1.81,-1.27,2.34,-0.42,0.46,-1.19,3.2194098838141127,76.95785168555699
65.47,-0.48,-0.07,0.29,-0.05,-0.94,-1.2,0.5651548460377916,87.38498641507199
65.48,0.19,-1.7,2.57,0.34,-1.04,-1.06,3.087231769725104,87.28537665100183
65.49000000000001,0.19,-1.7,2.57,0.34,-1.04,-1.06,3.087231769725104,87.28537665100183
65.5,0.19,-1.7,2.57,0.34,-1.04,-1.06,3.087231769725104,87.28537665100183
65.51,0.49,-0.33,-0.2,0.95,-0.03,-0.8,0.623698645180507,71.1806386639522
65.52,0.49,-0.33,-0.2,0.95,-0.03,-0.8,0.623698645180507,71.1806386639522
65.53,0.01,-1.09,1.59,1.29,0.84,-0.74,1.9277707332564213,97.8617952261722
65.54,-0.280000000000206,-0.7249999999997407,1.7450000000001102,1.5450000000001811,0.7749999999999537,-0.7450000000000035,1.9102486749112337,107.84208819393973
65.55,-0.57,-0.36,1.9,1.8,0.71,-0.75,2.016060514964767,118.90220278430749
65.56,-0.57,-0.36,1.9,1.8,0.71,-0.75,2.016060514964767,118.90220278430749
65.57,0.11,0.18,0.91,2.21,-0.16,-0.78,0.9341306118525396,134.5914325653747
65.58,0.11,0.98,1.17,2.62,0.11,-0.76,1.5301633899685352,156.43007004288702
65.59,0.11,0.98,1.17,2.62,0.11,-0.76,1.5301633899685352,156.43007004288702
65.6,0.11,0.98,1.17,2.62,0.11,-0.76,1.5301633899685352,156.43007004288702
65.61,-0.45,1.6,2.12,3.03,0.49,-0.7,2.69386339668514,180.37708761083374
65.62,-0.45,1.6,2.12,3.03,0.49,-0.7,2.69386339668514,180.37708761083374
65.63,2.12,-1.72,30.86,0.85,-0.42,-0.53,30.980516457928847,62.23387286473384
65.64,0.94,0.405,14.715,0.15,-0.1649999999999999,-0.405,14.75055422687568,26.489617915610072
65.65,-0.24,2.53,-1.43,-0.55,0.09,-0.28,2.9160589843142746,35.7353000568705
65.66,-0.24,2.53,-1.43,-0.55,0.09,-0.28,2.9160589843142746,35.7353000568705
