time,ax,ay,az,gx,gy,gz,normAccel,normGyr
48.88,-0.4,0.22,8.79,-0.12,0.17,0.19,8.80184639720553,16.14480796389144
48.89,-0.485,-1.57,9.38,-0.11,0.155,0.185,9.522842275287353,15.196888718528085
48.9,-0.57,-3.36,9.97,-0.1,0.14,0.18,10.536384579161867,14.266534046527493
48.91,-0.57,-3.36,9.97,-0.1,0.14,0.18,10.536384579161867,14.266534046527493
48.92,-2.05,-4.25,8.51,-0.11,0.24,0.18,9.730626906833907,18.307772347727045
48.93,-1.19,-3.04,9.61,-0.09,0.36,0.14,10.149374364954719,22.72411579923072
48.94,-1.19,-3.04,9.61,-0.09,0.36,0.14,10.149374364954719,22.72411579923072
48.95,-1.19,-3.04,9.61,-0.09,0.36,0.14,10.149374364954719,22.72411579923072
48.96,0.07,-1.7,11.54,-0.04,0.22,0.1,11.66475460521995,14.03454242220617
48.97,-1.61,-0.57,8.62,-0.02,-0.02,0.07,8.787570767851602,4.325736491635492
48.98,-1.61,-0.57,8.62,-0.02,-0.02,0.07,8.787570767851602,4.325736491635492
48.99,-0.6700000000003341,-2.0849999999994617,10.69999999999926,-7.105427357601002e-15,-0.1149999999999662,0.07,10.921818758795732,7.713680385778073
49.0,0.27,-3.6,12.78,0.02,-0.21,0.07,13.28010918629813,12.734623421624217
49.01,0.27,-3.6,12.78,0.02,-0.21,0.07,13.28010918629813,12.734623421624217
49.02,-0.2,-3.74,8.6,0.01,-0.28,0.09,9.38017057414203,16.860932059379667
49.03,-0.59,-4.74,11.41,0.0,-0.25,0.12,12.369470481795087,15.888606242081245
49.04,-0.59,-4.74,11.41,0.0,-0.25,0.12,12.369470481795087,15.888606242081245
49.05,-0.59,-4.74,11.41,0.0,-0.25,0.12,12.369470481795087,15.888606242081245
49.06,-1.37,-3.9,9.11,0.01,-0.19,0.13,10.003949220182998,13.202916995331888
49.07,-0.43,-2.21,11.81,0.03,-0.17,0.14,12.022691046516998,12.734623421624221
49.08,-0.43,-2.21,11.81,0.03,-0.17,0.14,12.022691046516998,12.734623421624221
49.09,0.0499999999998294,-2.6149999999998563,10.845000000000343,0.0150000000000053,-0.1450000000000089,0.1549999999999947,11.155928916948453,12.191351750186906
49.1,0.53,-3.02,9.88,0.0,-0.12,0.17,10.344839293096825,11.922479396313022
49.11,0.53,-3.02,9.88,0.0,-0.12,0.17,10.344839293096825,11.922479396313022
49.12,-0.82,-4.26,7.32,0.01,-0.0,0.2,8.508959983452737,11.473470906202312
49.13,-0.28,-6.31,10.6,-0.0,0.16,0.2,12.339145027107834,14.674879780113034
49.14,-0.28,-6.31,10.6,0.0,0.16,0.2,12.339145027107834,14.674879780113034
49.15,-0.28,-6.31,10.6,-0.0,0.16,0.2,12.339145027107834,14.674879780113034
49.16,0.54,-5.85,9.69,0.03,0.39,0.18,11.331822448309008,24.670474200796736
49.17,-1.09,-0.27,10.45,0.07,0.42,0.14,10.510161749468939,25.681039615197808
49.18,-1.09,-0.27,10.45,0.07,0.42,0.14,10.510161749468939,25.681039615197808
49.19,-1.0800000000000036,5.814999999997838,9.340000000000394,0.1349999999999769,0.175000000000087,0.1100000000000106,11.055144729942807,14.14521286631286
49.2,-1.07,11.9,8.23,0.2,-0.07,0.08,14.508197682689605,12.977209474906477
49.21,-1.07,11.9,8.23,0.2,-0.07,0.08,14.508197682689605,12.977209474906477
49.22,-0.37,21.1,21.82,0.18,-0.63,0.06,30.355548092564565,37.69783639574139
49.23,6.9,18.86,50.47,-0.74,-1.26,0.1,54.318785884811525,83.9182708475645
49.24,6.9,18.86,50.47,-0.74,-1.26,0.1,54.318785884811525,83.9182708475645
49.25,4.8950000000000005,15.535,57.45,-2.135,-0.26,0.35,59.714317797325634,124.85123732634575
49.26,2.89,12.21,64.43,-3.53,0.74,0.6,65.64039229011357,209.49032600607597
49.27,-5.68,7.46,39.3,-6.55,2.43,0.56,40.40301968912719,401.5653504959397
49.28,-5.68,7.46,39.3,-6.55,2.43,0.56,40.40301968912719,401.5653504959397
49.29,-1.33,-1.03,1.68,-8.1,3.61,-0.34,2.3774355932390683,508.47446118002813
49.3,-1.33,-1.03,1.68,-8.1,3.61,-0.34,2.3774355932390683,508.47446118002813
49.31,-1.33,-1.03,1.68,-8.1,3.61,-0.34,2.3774355932390683,508.47446118002813
49.32,4.42,1.71,-7.08,-7.57,0.08,-1.31,8.51979459846304,440.1994133852103
49.33,3.77,-19.94,-15.18,-6.41,-0.33,-1.02,25.342630092395698,372.36702986164875
49.34,3.77,-19.94,-15.18,-6.41,-0.33,-1.02,25.342630092395698,372.36702986164875
49.35,9.095,-10.205,-16.045,-5.045,-0.8400000000000001,-0.89,21.078497930355475,297.4402937751882
49.36,14.42,-0.47,-16.91,-3.68,-1.35,-0.76,22.228481729528898,228.77093398214345
49.37,14.41,1.81,-14.74,-2.92,-0.0,-0.03,20.692795847830716,167.31250577424015
49.38,14.41,1.81,-14.74,-2.92,-0.0,-0.03,20.692795847830716,167.31250577424015
49.39,-1.68,7.47,-36.89,-2.02,1.59,0.68,37.67619142110837,152.3561466442954
49.4,-1.68,7.47,-36.89,-2.02,1.59,0.68,37.67619142110837,152.3561466442954
49.41,-1.68,7.47,-36.89,-2.02,1.59,0.68,37.67619142110837,152.3561466442954
49.42,-2.57,6.57,-28.86,-0.18,0.5,0.35,29.709752607519302,36.45830894487229
49.43,-0.27,6.78,-25.01,1.59,0.27,0.17,25.91411584445821,92.91637326056095
49.44,-0.27,6.78,-25.01,1.59,0.27,0.17,25.91411584445821,92.91637326056095
49.45,-3.104999999998993,6.095000000000244,-22.15000000000101,2.294999999999749,0.9199999999997692,0.214999999999984,23.18216016681883,142.2003450552939
49.46,-5.94,5.41,-19.29,3.0,1.57,0.26,20.896310679160568,194.57380150346663
49.47,-5.72,4.24,-14.74,4.16,2.55,0.18,16.36959376404925,279.75658131213817
49.48,-5.72,4.24,-14.74,4.16,2.55,0.18,16.36959376404925,279.75658131213817
49.49,-2.41,2.07,-9.3,5.04,3.55,0.27,9.82766503295671,353.5525666564976
49.5,-2.41,2.07,-9.3,5.04,3.55,0.27,9.82766503295671,353.5525666564976
49.51,-2.41,2.07,-9.3,5.04,3.55,0.27,9.82766503295671,353.5525666564976
49.52,-2.84,1.36,-4.98,5.58,4.11,0.5,5.891994568904489,398.1067273596893
49.53,-1.43,2.56,-5.29,5.93,4.43,0.81,6.0483551483027185,426.6358548013939
49.54,-1.43,2.56,-5.29,5.93,4.43,0.81,6.0483551483027185,426.6358548013939
49.55,3.794999999998144,1.400000000000412,-10.764999999998054,5.840000000000032,2.955000000000524,0.7600000000000178,11.499880434158658,377.52321295146885
49.56,9.02,0.24,-16.24,5.75,1.48,0.71,18.578363760030104,342.6124730032021
49.57,11.95,5.63,-12.97,5.49,-2.71,0.22,18.512706447194585,351.016036118652
49.58,11.95,5.63,-12.97,5.49,-2.71,0.22,18.512706447194585,351.016036118652
49.59,12.694999999999734,10.619999999998228,-13.58999999999978,5.579999999999968,-2.26000000000016,0.3699999999999467,21.41577747829739,345.5885552780117
49.6,13.44,15.61,-14.21,5.67,-1.81,0.52,25.0245839126248,342.31722975364414
49.61,13.44,15.61,-14.21,5.67,-1.81,0.52,25.0245839126248,342.31722975364414
49.62,-43.02,16.9,23.69,2.07,-1.3,0.64,51.93791004651612,144.77250133105383
49.63,15.62,-2.57,-6.76,-0.42,-9.28,-1.02,17.212986376570452,535.4479892011414
49.64,15.62,-2.57,-6.76,-0.42,-9.28,-1.02,17.212986376570452,535.4479892011414
49.65,15.62,-2.57,-6.76,-0.42,-9.28,-1.02,17.212986376570452,535.4479892011414
49.66,7.12,15.8,6.07,-0.17,-4.52,0.1,18.36244264797034,259.22335546839787
49.67,-3.6,9.5,11.84,-0.15,1.81,1.09,15.601140983915247,121.36295666552333
49.68,-3.6,9.5,11.84,-0.15,1.81,1.09,15.601140983915247,121.36295666552333
49.69,-4.87,-0.68,7.65,0.14,2.77,0.68,9.094053001824875,163.618328752346
49.7,-4.87,-0.68,7.65,0.14,2.77,0.68,9.094053001824875,163.618328752346
49.71,-4.87,-0.68,7.65,0.14,2.77,0.68,9.094053001824875,163.618328752346
49.72,0.24,-3.71,10.84,0.05,1.86,0.11,11.45981238938928,106.79478367977906
49.73,-1.82,-0.99,10.37,0.03,0.01,-0.14,10.574942080219635,8.223491400265578
49.74,-1.82,-0.99,10.37,0.03,0.01,-0.14,10.574942080219635,8.223491400265578
49.75,-0.7650000000000001,-0.285,9.725,0.025,-0.525,-0.08,9.759204629476727,30.461208361304703
49.76,0.29,0.42,9.08,0.02,-1.06,-0.02,9.094333400530244,60.75514348557828
49.77,0.04,-0.3,10.29,0.02,-0.83,0.15,10.294449961022686,48.33944103874557
49.78,0.04,-0.3,10.29,0.02,-0.83,0.15,10.294449961022686,48.33944103874557
49.79,-1.85,-1.14,8.51,0.04,-0.2,0.26,8.783063246954333,18.933632863803037
49.8,-1.85,-1.14,8.51,0.04,-0.2,0.26,8.783063246954333,18.933632863803037
49.81,-1.85,-1.14,8.51,0.04,-0.2,0.26,8.783063246954333,18.933632863803037
49.82,0.14,-2.07,7.77,0.04,0.17,0.25,8.042226059991101,17.472864406018044
49.83,-0.49,-1.46,7.26,0.03,0.04,0.17,7.421542966257084,10.152837996854316
49.84,-0.49,-1.46,7.26,0.03,0.04,0.17,7.421542966257084,10.152837996854316
49.85,-0.49,-1.46,7.26,0.03,0.04,0.17,7.421542966257084,10.152837996854316
49.86,0.67,-0.69,10.79,0.03,-0.23,0.13,10.83277896017453,15.234645021982963
49.87,-1.29,0.65,9.06,0.04,-0.35,0.15,9.17443186251879,21.93762546201666
49.88,-1.29,0.65,9.06,0.04,-0.35,0.15,9.17443186251879,21.93762546201666
49.89,0.34,0.59,9.13,0.05,-0.2,0.17,9.155359086349373,15.309878294448932
49.9,0.34,0.59,9.13,0.05,-0.2,0.17,9.155359086349373,15.309878294448932
