time,ax,ay,az,gx,gy,gz,normAccel,normGyr
9.64,-0.76,-0.95,10.36,-0.16,-0.3,0.04,10.4311888104856,19.614915350859313
9.65,-0.76,-0.95,10.36,-0.16,-0.3,0.04,10.4311888104856,19.614915350859313
9.66,-0.6,-0.55,10.35,-0.13,-0.36,0.04,10.381955499808308,22.049571887833544
9.67,-0.6,-0.55,10.35,-0.13,-0.36,0.04,10.381955499808308,22.049571887833544
9.68,-0.99,-0.51,8.95,-0.11,-0.42,0.04,9.019018793638253,24.98122269099798
9.69,-0.76,-0.2,6.95,-0.1,-0.47,0.04,6.994290528709828,27.627024385151046
9.7,-0.76,-0.2,6.95,-0.1,-0.47,0.04,6.994290528709828,27.627024385151046
9.71,-1.0899999999999703,0.1199999999999715,7.074999999999989,-0.0850000000000013,-0.5049999999999969,0.04,7.159477983763884,29.43073997456722
9.72,-1.42,0.44,7.2,-0.07,-0.54,0.04,7.351870510285121,31.282656104277667
9.73,-1.42,0.44,7.2,-0.07,-0.54,0.04,7.351870510285121,31.282656104277667
9.74,-1.65,0.31,8.63,-0.05,-0.52,0.04,8.791785939159348,30.018833139851118
9.75,-1.65,0.31,8.63,-0.05,-0.52,0.04,8.791785939159348,30.018833139851118
9.76,-1.82,-0.21,9.52,-0.05,-0.53,0.04,9.69468411037719,30.587576068615622
9.77,-1.39,-0.64,10.03,-0.03,-0.55,0.23,10.146063275970636,34.20034945010335
9.78,-1.39,-0.64,10.03,-0.03,-0.55,0.23,10.146063275970636,34.20034945010335
9.79,-1.569999999999984,-0.8799999999999788,10.25499999999998,-0.0399999999999991,-0.5699999999999983,0.3049999999999933,10.411739768165525,37.11090586321839
9.8,-1.75,-1.12,10.48,-0.05,-0.59,0.38,10.683973979751169,40.31115407992945
9.81,-1.75,-1.12,10.48,-0.05,-0.59,0.38,10.683973979751169,40.31115407992945
9.82,-0.71,-1.5,9.14,-0.05,-0.65,0.35,9.289440241478493,42.39500532647012
9.83,-0.71,-1.5,9.14,-0.05,-0.65,0.35,9.289440241478493,42.39500532647012
9.84,-1.03,-1.44,9.94,-0.03,-0.69,0.29,10.096439966641707,42.91832525846726
9.85,-1.03,-1.44,9.94,-0.03,-0.69,0.29,10.096439966641707,42.91832525846726
9.86,-0.83,-2.63,10.11,-0.02,-0.72,0.25,10.479403608984626,43.68403977726679
9.87,-0.4750000000000314,-2.6799999999999957,9.42500000000006,-0.0249999999999995,-0.7449999999999978,0.2200000000000026,9.81012996855807,44.530654337485174
9.88,-0.12,-2.73,8.74,-0.03,-0.77,0.19,9.157232114563877,45.473505691472674
9.89,-0.12,-2.73,8.74,-0.03,-0.77,0.19,9.157232114563877,45.473505691472674
9.9,-0.66,-3.13,10.63,-0.03,-0.86,0.14,11.100873839477684,49.95258858801941
9.91,-0.66,-3.13,10.63,-0.03,-0.86,0.14,11.100873839477684,49.95258858801941
9.92,-1.09,-3.49,8.79,-0.02,-0.97,0.08,9.520099789392965,55.77737514356632
9.93,-1.06,-4.01,8.945,-0.01,-1.045,0.04,9.859854207847091,59.92067569017054
9.94,-1.03,-4.53,9.1,0.0,-1.12,0.0,10.217230544526242,64.1712730546522
9.95,-1.03,-4.53,9.1,0.0,-1.12,0.0,10.217230544526242,64.1712730546522
