time,ax,ay,az,gx,gy,gz,normAccel,normGyr
21.44,-0.25,-1.25,8.79,-0.02,0.23,0.15,8.881953613929763,15.774559307026303
21.45,-0.25,-1.25,8.79,-0.02,0.23,0.15,8.881953613929763,15.774559307026303
21.46,-0.2800000000000053,-0.2749999999998268,9.315000000000094,-0.0300000000000017,0.1999999999999946,0.1399999999999982,9.323263913458723,14.092898359659808
21.47,-0.31,0.7,9.84,-0.04,0.17,0.13,9.86973657196584,12.47417416066317
21.48,-0.66,2.22,9.59,-0.06,-0.02,0.13,9.865703218726985,8.283154756205239
21.49,-0.66,2.22,9.59,-0.06,-0.02,0.13,9.865703218726985,8.283154756205239
21.5,0.39,3.12,9.75,-0.08,-0.12,0.13,10.244461918519683,11.12482806138786
21.51,0.39,3.12,9.75,-0.08,-0.12,0.13,10.244461918519683,11.12482806138786
21.52,-0.24,2.97,9.7,-0.04,0.03,0.15,10.147339552808903,9.059258178807665
21.53,-0.24,2.97,9.7,-0.04,0.03,0.15,10.147339552808903,9.059258178807665
21.540000000000003,-0.5150000000000489,2.379999999999895,10.225000000000094,-0.0199999999999964,0.0750000000000079,0.1550000000000009,10.510958567133706,9.932186608086722
21.55,-0.79,1.79,10.75,0.0,0.12,0.16,10.926605145240675,11.459155902616464
21.56,-0.79,1.79,10.75,0.0,0.12,0.16,10.926605145240675,11.459155902616464
21.57,-0.32,0.09,10.1,0.03,0.06,0.13,10.10546881643796,8.381649950352934
21.58,0.46,-0.89,10.3,0.06,0.13,0.13,10.348608602126182,11.080476410806497
21.59,0.46,-0.89,10.3,0.06,0.13,0.13,10.348608602126182,11.080476410806497
21.6,-0.79,-2.2,10.28,0.06,0.19,0.11,10.542414334487143,13.040297885041136
21.610000000000003,-0.79,-2.2,10.28,0.06,0.19,0.11,10.542414334487143,13.040297885041136
21.62,-0.79,-2.2,10.28,0.06,0.19,0.11,10.542414334487143,13.040297885041136
21.63,-0.91,0.29,8.97,0.05,0.11,0.08,9.020703963660486,8.302947268906784
21.64,0.05,1.91,10.79,0.03,-0.03,0.05,10.957860192574095,3.7571355185899935
21.65,0.05,1.91,10.79,0.03,-0.03,0.05,10.957860192574095,3.7571355185899935
21.66,-0.8,2.81,9.7,0.04,-0.0,0.07,10.130454086564924,4.619333423241533
21.67,-0.8,2.81,9.7,0.04,-0.0,0.07,10.130454086564924,4.619333423241533
21.68,-1.16,2.11,9.36,0.13,0.05,0.1,9.66474521133382,9.82417969554432
21.69,-1.16,2.11,9.36,0.13,0.05,0.1,9.66474521133382,9.82417969554432
21.700000000000003,-1.149999999999998,1.974999999999976,9.715000000000064,0.1500000000000035,0.0550000000000008,0.1100000000000017,9.980197893829617,11.1137567419481
21.71,-1.14,1.84,10.07,0.17,0.06,0.12,10.300004854367788,12.408207679417314
21.72,-0.22,0.98,10.37,0.13,0.27,0.12,10.418526767254571,18.495091826515047
21.73,-0.22,0.98,10.37,0.13,0.27,0.12,10.418526767254571,18.495091826515047
21.74,-0.96,5.12,10.12,0.09,0.53,0.11,11.382020910189894,31.43967226274053
21.75,-0.96,5.12,10.12,0.09,0.53,0.11,11.382020910189894,31.43967226274053
21.76,-0.43,5.63,11.1,0.13,1.04,0.08,12.453585828989175,60.226013782484195
21.770000000000003,-0.43,5.63,11.1,0.13,1.04,0.08,12.453585828989175,60.226013782484195
21.78,-0.43,5.63,11.1,0.13,1.04,0.08,12.453585828989175,60.226013782484195
21.79,-1.41,-7.44,9.35,0.3,2.06,0.01,12.031799532904461,119.27572208561932
21.8,-0.23,-23.74,12.38,0.69,2.16,-0.36,26.77507983181376,131.54716687491566
21.81,-0.23,-23.74,12.38,0.69,2.16,-0.36,26.77507983181376,131.54716687491566
21.82,-1.68,-24.22,13.04,1.81,1.73,-0.57,27.558526811134154,147.12748482639958
21.83,-1.68,-24.22,13.04,1.81,1.73,-0.57,27.558526811134154,147.12748482639958
21.84,-2.51,-19.14,14.445,2.7350000000000003,1.58,-0.135,24.110116652558943,181.13850238813086
21.85,-3.34,-14.06,15.85,3.66,1.43,0.3,21.44904892996424,225.7955358700818
21.86,-3.34,-14.06,15.85,3.66,1.43,0.3,21.44904892996424,225.7955358700818
21.87,-3.94,-5.04,12.12,6.03,0.99,1.16,13.70472911078508,356.3714580888379
21.88,-5.41,10.3,17.77,7.65,-0.42,1.77,21.239844632200114,450.5350437786789
21.89,-5.41,10.3,17.77,7.65,-0.42,1.77,21.239844632200114,450.5350437786789
21.9,-9.49,16.47,45.04,8.01,-5.0,1.39,48.886834628558226,546.8437186221853
21.91,-9.49,16.47,45.04,8.01,-5.0,1.39,48.886834628558226,546.8437186221853
21.92,2.55,4.5,25.75,5.51,-6.56,0.44,26.26432942224111,491.5006161951572
21.930000000000003,2.55,4.5,25.75,5.51,-6.56,0.44,26.26432942224111,491.5006161951572
