time,ax,ay,az,gx,gy,gz,normAccel,normGyr
26.4,-0.2511111111111029,-2.066666666666639,8.498888888888875,0.0344444444444426,-0.0344444444444426,0.41111111111111,8.75015886980992,23.71970434520339
26.41,-0.2855555555555392,-2.1833333333332776,8.554444444444417,0.0422222222222185,-0.0422222222222185,0.4155555555555534,8.833289657474094,24.05412019718411
26.42,-0.32,-2.3,8.61,0.05,-0.05,0.42,8.917651036007184,24.402890646235544
26.43,-0.09,-1.63,8.63,0.04,-0.08,0.42,8.783046168613712,24.603851140465093
26.44,-0.09,-1.63,8.63,0.04,-0.08,0.42,8.783046168613712,24.603851140465093
26.450000000000003,-0.8600000000001367,-1.1099999999999075,8.650000000000004,0.0349999999999991,-0.1300000000000089,0.4250000000000009,8.763229998122844,25.543252769857713
26.46,-1.63,-0.59,8.67,0.03,-0.18,0.43,8.841600533840012,26.763937407873353
26.47,-1.63,-0.59,8.67,0.03,-0.18,0.43,8.841600533840012,26.763937407873353
26.48,-0.71,1.85,9.54,0.02,-0.26,0.45,9.74362355594673,29.799314047108144
26.49,-1.31,2.77,9.17,0.03,-0.27,0.49,9.668396971577035,32.100979942498434
26.5,-1.31,2.77,9.17,0.03,-0.27,0.49,9.668396971577035,32.100979942498434
26.51,-1.2999999999999985,3.355000000000104,8.82999999999994,0.0450000000000026,-0.2099999999999893,0.5200000000000053,9.534931829855923,32.23492329659668
26.52,-1.29,3.94,8.49,0.06,-0.15,0.55,9.448163842779188,32.84402786830293
26.53,-1.29,3.94,8.49,0.06,-0.15,0.55,9.448163842779188,32.84402786830293
26.54,-1.03,3.04,9.79,0.08,-0.01,0.59,10.302747206449354,34.118662513559414
26.55,-1.03,3.04,9.79,0.08,-0.01,0.59,10.302747206449354,34.118662513559414
26.56,-1.28,1.99,7.46,0.1,0.05,0.61,7.8262443100123065,35.532623351147556
26.57,-1.0399999999999574,1.7799999999999627,9.085000000000289,0.0849999999999973,0.0149999999999937,0.6150000000000009,9.315966133472417,35.58224752655151
26.58,-0.8,1.57,10.71,0.07,-0.02,0.62,10.853985443144838,35.76743818893906
26.59,-0.8,1.57,10.71,0.07,-0.02,0.62,10.853985443144838,35.76743818893906
26.6,-1.52,1.97,9.36,0.07,-0.16,0.63,9.685086473542711,37.457595144309785
26.61,-1.52,1.97,9.36,0.07,-0.16,0.63,9.685086473542711,37.457595144309785
26.62,-0.59,3.09,9.54,0.07,-0.28,0.64,10.045287452333058,40.22555468754643
26.63,-0.48,3.78,10.2,0.1,-0.15,0.67,10.888470967036648,39.75352785471566
26.64,-0.48,3.78,10.2,0.1,-0.15,0.67,10.888470967036648,39.75352785471566
26.65,-0.48,3.78,10.2,0.1,-0.15,0.67,10.888470967036648,39.75352785471566
26.66,-1.62,6.05,11.7,0.19,0.03,0.66,13.270904264593275,39.38850442725074
26.67,-1.62,6.05,11.7,0.19,0.03,0.66,13.270904264593275,39.38850442725074
26.68,-0.17,7.26,9.4,0.27,0.01,0.57,11.878404775052921,36.141785327646346
26.69,-0.17,7.26,9.4,0.27,0.01,0.57,11.878404775052921,36.141785327646346
26.7,-0.41,5.61,12.77,0.27,0.2,0.47,13.953963594620705,33.10288144004869
26.71,-0.42,1.22,9.24,0.2,0.97,0.31,9.329651654804696,59.46076386124423
26.72,-0.42,1.22,9.24,0.2,0.97,0.31,9.329651654804696,59.46076386124423
26.73,-0.42,1.22,9.24,0.2,0.97,0.31,9.329651654804696,59.46076386124423
26.74,3.19,-6.54,11.56,0.18,1.81,-0.17,13.659476563909761,104.67109396834063
26.75,3.19,-6.54,11.56,0.18,1.81,-0.17,13.659476563909761,104.67109396834063
26.76,11.6,-12.69,8.51,0.12,0.61,-1.6,19.18374833029249,98.35033762173673
26.77,12.27,-12.36,12.24,0.44,0.2,-3.4,21.287087635465777,196.7640845517761
26.78,12.27,-12.36,12.24,0.44,0.2,-3.4,21.287087635465777,196.7640845517761
26.790000000000003,13.650000000000244,-9.524999999999498,15.540000000000584,1.130000000000123,-0.0600000000000461,-4.265000000000153,22.7714673440254,252.82131964954547
26.8,15.03,-6.69,18.84,1.82,-0.32,-5.13,25.012049096385525,312.4154502527751
26.81,15.03,-6.69,18.84,1.82,-0.32,-5.13,25.012049096385525,312.4154502527751
26.82,14.88,-1.96,13.56,4.48,-1.17,-6.61,20.2269523161548,462.4000146033247
26.83,7.4,6.4,6.9,7.29,-0.75,-6.85,11.972050785057672,574.7572082853479
26.84,7.4,6.4,6.9,7.29,-0.75,-6.85,11.972050785057672,574.7572082853479
26.85,-3.5600000000019474,8.165000000000314,3.874999999999463,7.905000000000109,-0.8400000000000161,-6.579999999999952,9.713724826245327,591.2608672060608
26.86,-14.52,9.93,0.85,8.52,-0.93,-6.31,17.611297510405077,609.7934660151093
26.87,-14.52,9.93,0.85,8.52,-0.93,-6.31,17.611297510405077,609.7934660151093
26.88,-1.8,9.35,18.46,6.76,-0.66,-6.43,20.77099179143837,535.8858667355972
26.89,-3.4,9.43,3.52,3.95,1.22,-6.26,10.624278799052668,429.8271945435001
26.9,-3.4,9.43,3.52,3.95,1.22,-6.26,10.624278799052668,429.8271945435001
26.91,-2.705,8.875,1.035,4.0600000000000005,1.73,-6.199999999999999,9.335623974861027,436.03744560582766
26.92,-2.01,8.32,-1.45,4.17,2.24,-6.14,8.681301745706113,444.20342947172406
26.93,-2.01,8.32,-1.45,4.17,2.24,-6.14,8.681301745706113,444.20342947172406
26.94,0.0,8.53,-2.83,4.32,1.63,-6.15,8.987202011749819,440.62577840058856
26.95,-0.44,9.47,1.98,4.41,1.31,-6.08,9.68477671399811,436.8426522330354
26.96,-0.44,9.47,1.98,4.41,1.31,-6.08,9.68477671399811,436.8426522330354
26.97,-0.44,9.47,1.98,4.41,1.31,-6.08,9.68477671399811,436.8426522330354
26.98,-0.94,9.96,3.88,4.46,0.97,-6.05,10.730312204218478,434.2211219101675
26.99,-0.94,9.96,3.88,4.46,0.97,-6.05,10.730312204218478,434.2211219101675
27.0,-3.46,-1.93,-3.17,4.3,-0.98,-5.91,5.073992510834048,422.5092722108162
27.01,-0.77,-3.71,-5.31,3.54,-5.37,-5.74,6.523273718003867,493.92850189891635
27.020000000000003,-0.77,-3.71,-5.31,3.54,-5.37,-5.74,6.523273718003867,493.92850189891635
27.03,-0.77,-3.71,-5.31,3.54,-5.37,-5.74,6.523273718003867,493.92850189891635
27.04,-1.1,0.3,-2.35,2.44,-8.91,-5.89,2.6119915773217954,627.7322047306794
27.05,-1.1,0.3,-2.35,2.44,-8.91,-5.89,2.6119915773217954,627.7322047306794
