time,ax,ay,az,gx,gy,gz,mx,my,mz
2.00,9.58,-0.21,-0.91,-0.00,0.00,-0.00,32.00,43.00,32.00
13.00,9.58,-0.22,-0.91,0.00,0.00,-0.00,32.00,43.00,32.00
24.00,9.58,-0.22,-0.91,0.00,0.00,-0.00,32.00,43.00,32.00
85.00,9.59,-0.22,-0.92,0.00,0.00,-0.00,31.00,45.00,32.00
97.00,9.59,-0.22,-0.91,-0.00,0.00,-0.00,31.00,45.00,32.00
109.00,9.59,-0.22,-0.91,-0.00,0.00,-0.00,31.00,45.00,32.00
121.00,9.59,-0.23,-0.91,-0.00,0.00,-0.00,31.00,45.00,32.00
133.00,9.57,-0.22,-0.91,-0.00,0.00,-0.00,31.00,45.00,32.00
146.00,9.57,-0.22,-0.91,-0.00,0.00,-0.00,31.00,45.00,32.00
158.00,9.57,-0.22,-0.91,-0.00,0.00,-0.00,31.00,45.00,32.00
170.00,9.57,-0.22,-0.91,-0.00,0.00,-0.00,31.00,45.00,32.00
181.00,9.56,-0.23,-0.92,-0.00,0.00,-0.00,32.00,43.00,29.00
194.00,9.59,-0.23,-0.93,0.00,0.00,-0.00,32.00,43.00,29.00
206.00,9.59,-0.23,-0.93,0.00,0.00,-0.00,32.00,43.00,29.00
217.00,9.58,-0.23,-0.93,0.00,0.00,-0.00,32.00,43.00,29.00
229.00,9.58,-0.23,-0.93,0.00,0.00,-0.00,32.00,43.00,29.00
243.00,9.58,-0.23,-0.92,-0.00,0.00,-0.00,32.00,43.00,29.00
255.00,9.58,-0.23,-0.92,-0.00,0.00,-0.00,32.00,43.00,29.00
266.00,9.58,-0.23,-0.92,-0.00,0.00,-0.00,32.00,43.00,29.00
278.00,9.59,-0.21,-0.92,-0.00,0.00,-0.00,32.00,43.00,29.00
290.00,9.59,-0.21,-0.92,-0.00,0.00,-0.00,32.00,43.00,29.00
304.00,9.58,-0.23,-0.91,-0.00,0.00,-0.00,31.00,45.00,32.00
315.00,9.58,-0.22,-0.93,-0.00,0.00,-0.00,31.00,45.00,32.00
327.00,9.58,-0.22,-0.93,-0.00,0.00,-0.00,31.00,45.00,32.00
338.00,9.58,-0.22,-0.90,-0.00,0.00,-0.00,31.00,45.00,32.00
351.00,9.58,-0.22,-0.90,-0.00,0.00,-0.00,31.00,45.00,32.00
363.00,9.58,-0.22,-0.91,-0.00,0.00,-0.00,31.00,45.00,32.00
374.00,9.58,-0.25,-1.02,-0.00,0.00,-0.00,31.00,45.00,32.00
385.00,9.58,-0.25,-1.02,-0.00,0.00,-0.00,31.00,45.00,32.00
399.00,9.56,-0.23,-0.77,-0.00,0.00,-0.00,31.00,45.00,32.00
410.00,9.56,-0.23,-0.77,-0.00,0.00,-0.00,31.00,45.00,32.00
422.00,9.64,-0.13,-0.61,-0.00,0.00,-0.01,31.00,45.00,32.00
433.00,9.59,-0.22,-0.96,0.00,0.01,-0.00,32.00,45.00,29.00
447.00,9.59,-0.22,-0.96,0.00,0.01,-0.00,32.00,45.00,29.00
459.00,9.58,-0.29,-1.26,0.01,0.02,-0.00,32.00,45.00,29.00
470.00,9.58,-0.29,-1.26,0.01,0.02,-0.00,32.00,45.00,29.00
482.00,9.66,-0.23,-1.08,0.00,0.02,-0.00,32.00,45.00,29.00
493.00,9.91,-0.28,-1.96,-0.00,0.08,-0.00,32.00,45.00,29.00
507.00,9.91,-0.28,-1.96,-0.00,0.08,-0.00,32.00,45.00,29.00
518.00,10.08,-0.23,-2.57,0.01,0.25,0.00,32.00,45.00,29.00
530.00,10.08,-0.23,-2.57,0.01,0.25,0.00,32.00,45.00,29.00
541.00,10.23,-0.35,-2.75,0.04,0.51,0.02,32.00,45.00,29.00
554.00,10.19,0.12,-2.63,0.04,0.83,0.03,32.00,42.00,32.00
566.00,10.19,0.12,-2.63,0.04,0.83,0.03,32.00,42.00,32.00
578.00,10.13,-0.31,-2.61,0.00,1.18,0.03,32.00,42.00,32.00
590.00,10.13,-0.31,-2.61,0.00,1.18,0.03,32.00,42.00,32.00
603.00,10.04,-0.25,-2.46,-0.01,1.55,0.02,32.00,42.00,32.00
614.00,9.66,-0.37,-1.67,0.02,1.90,0.04,32.00,42.00,32.00
626.00,9.66,-0.37,-1.67,0.02,1.90,0.04,32.00,42.00,32.00
638.00,9.38,-0.08,-0.77,0.03,2.18,0.05,32.00,42.00,32.00
649.00,9.38,-0.08,-0.77,0.03,2.18,0.05,32.00,42.00,32.00
662.00,9.28,-0.20,-0.43,0.02,2.42,0.04,32.00,42.00,32.00
673.00,9.28,-0.20,-0.43,0.02,2.42,0.04,32.00,42.00,32.00
685.00,10.01,-0.49,-0.15,0.01,2.69,0.04,25.00,45.00,56.00
696.00,13.70,-0.90,1.96,0.08,2.97,-0.02,25.00,45.00,56.00
710.00,13.70,-0.90,1.96,0.08,2.97,-0.02,25.00,45.00,56.00
721.00,8.81,-0.21,0.91,0.03,3.20,0.04,25.00,45.00,56.00
733.00,8.81,-0.21,0.91,0.03,3.20,0.04,25.00,45.00,56.00
744.00,8.41,-0.13,1.35,-0.02,3.40,0.04,25.00,45.00,56.00
756.00,7.74,-0.18,2.50,0.03,3.62,0.07,25.00,45.00,56.00
770.00,7.74,-0.18,2.50,0.03,3.62,0.07,25.00,45.00,56.00
782.00,6.87,-0.16,3.90,0.04,3.79,0.08,25.00,45.00,56.00
793.00,6.87,-0.16,3.90,0.04,3.79,0.08,25.00,45.00,56.00
805.00,6.46,0.15,4.44,-0.01,3.87,0.06,11.00,48.00,85.00
