time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr
0.002,9.58,0.06,-1.02,-0.0,0.0,-0.0,34.0,13.0,27.0,9.634334434718363,0.0
0.013,9.58,0.06,-1.02,-0.0,0.0,-0.0,34.0,13.0,27.0,9.634334434718363,0.0
0.025,9.57,0.05,-1.03,-0.0,0.0,-0.0,34.0,13.0,27.0,9.62539869304124,0.0
0.085,9.58,0.05,-1.02,-0.0,-0.0,-0.0,34.0,13.0,27.0,9.634277347056187,0.0
0.096,9.58,0.05,-1.02,-0.0,-0.0,-0.0,34.0,13.0,27.0,9.634277347056187,0.0
0.107,9.58,0.04,-1.03,-0.0,0.0,-0.0,34.0,13.0,27.0,9.635294494720958,0.0
0.118,9.58,0.04,-1.03,-0.0,0.0,-0.0,34.0,13.0,27.0,9.635294494720958,0.0
0.13,9.58,0.06,-1.03,-0.0,0.0,-0.0,31.0,16.0,29.0,9.635398279261736,0.0
0.142,9.57,0.06,-1.02,-0.0,0.0,-0.0,31.0,16.0,29.0,9.624390889817393,0.0
0.154,9.57,0.06,-1.02,-0.0,0.0,-0.0,31.0,16.0,29.0,9.624390889817393,0.0
0.166,9.57,0.06,-0.98,-0.0,0.0,-0.0,31.0,16.0,29.0,9.620233884890741,0.0
0.178,9.57,0.06,-0.98,-0.0,0.0,-0.0,31.0,16.0,29.0,9.620233884890741,0.0
0.191,9.57,0.07,-0.99,0.0,0.0,-0.0,31.0,16.0,29.0,9.621325272539123,0.0
0.202,9.57,0.06,-1.0,-0.0,0.0,-0.0,31.0,16.0,29.0,9.622291826794696,0.0
0.214,9.57,0.06,-1.0,-0.0,0.0,-0.0,31.0,16.0,29.0,9.622291826794696,0.0
0.225,9.57,0.05,-1.02,-0.0,0.0,-0.0,31.0,16.0,29.0,9.624333743174121,0.0
0.238,9.57,0.05,-1.02,-0.0,0.0,-0.0,31.0,16.0,29.0,9.624333743174121,0.0
0.249,9.59,0.06,-1.02,-0.0,0.0,-0.0,31.0,16.0,29.0,9.644278096363667,0.0
0.26,9.59,0.06,-1.02,-0.0,0.0,-0.0,31.0,16.0,29.0,9.644278096363667,0.0
0.271,9.59,0.06,-1.0,-0.0,0.0,-0.0,31.0,16.0,29.0,9.642183362703697,0.0
0.283,9.59,0.04,-1.02,-0.0,0.0,-0.0,31.0,16.0,29.0,9.644174407381898,0.0
0.295,9.59,0.04,-1.02,-0.0,0.0,-0.0,31.0,16.0,29.0,9.644174407381898,0.0
0.307,9.57,0.05,-1.01,-0.0,0.0,-0.0,31.0,16.0,29.0,9.623279066929317,0.0
0.319,9.57,0.05,-1.01,-0.0,0.0,-0.0,31.0,16.0,29.0,9.623279066929317,0.0
0.331,9.58,0.05,-1.0,-0.0,0.0,-0.0,31.0,16.0,29.0,9.632180438509236,0.0
0.345,9.59,0.06,-1.0,-0.0,0.0,-0.0,31.0,16.0,29.0,9.642183362703697,0.0
0.357,9.59,0.06,-1.0,-0.0,0.0,-0.0,31.0,16.0,29.0,9.642183362703697,0.0
0.368,9.57,0.05,-1.02,-0.0,0.0,-0.0,31.0,16.0,29.0,9.624333743174121,0.0
0.38,9.57,0.05,-1.02,-0.0,0.0,-0.0,31.0,16.0,29.0,9.624333743174121,0.0
0.394,9.56,0.06,-1.02,0.0,0.0,-0.0,32.0,15.0,29.0,9.614447462022975,0.0
0.405,9.57,0.05,-1.01,-0.0,0.0,-0.0,32.0,15.0,29.0,9.623279066929317,0.0
0.417,9.57,0.05,-1.01,-0.0,0.0,-0.0,32.0,15.0,29.0,9.623279066929317,0.0
0.427,9.57,0.04,-1.01,-0.0,0.0,-0.0,32.0,15.0,29.0,9.623232305208058,0.0
0.439,9.57,0.04,-1.01,-0.0,0.0,-0.0,32.0,15.0,29.0,9.623232305208058,0.0
0.451,9.58,0.04,-1.01,-0.0,0.0,-0.0,32.0,15.0,29.0,9.633177046021732,0.0
0.463,9.58,0.05,-1.0,-0.0,0.0,-0.0,32.0,15.0,29.0,9.632180438509236,0.0
0.475,9.58,0.05,-1.0,-0.0,0.0,-0.0,32.0,15.0,29.0,9.632180438509236,0.0
0.487,9.57,0.06,-1.02,-0.0,0.0,-0.0,32.0,15.0,29.0,9.624390889817393,0.0
0.5,9.57,0.06,-1.02,-0.0,0.0,-0.0,32.0,15.0,29.0,9.624390889817393,0.0
0.511,9.58,0.05,-1.02,0.0,0.0,-0.0,31.0,13.0,27.0,9.634277347056187,0.0
0.523,9.57,0.06,-1.01,-0.0,0.0,-0.0,31.0,13.0,27.0,9.623336219835615,0.0
0.535,9.57,0.06,-1.01,-0.0,0.0,-0.0,31.0,13.0,27.0,9.623336219835615,0.0
0.548,9.57,0.06,-1.01,-0.0,0.0,-0.0,31.0,13.0,27.0,9.623336219835615,0.0
0.559,9.57,0.06,-1.01,-0.0,0.0,-0.0,31.0,13.0,27.0,9.623336219835615,0.0
0.571,9.57,0.05,-1.01,-0.0,0.0,-0.0,31.0,13.0,27.0,9.623279066929317,0.0
0.583,9.58,0.04,-1.0,-0.0,0.0,-0.0,31.0,13.0,27.0,9.632133720002022,0.0
0.594,9.58,0.04,-1.0,-0.0,0.0,-0.0,31.0,13.0,27.0,9.632133720002022,0.0
0.607,9.58,0.05,-0.98,-0.0,0.0,-0.0,31.0,13.0,27.0,9.63012460978569,0.0
0.619,9.58,0.05,-0.98,-0.0,0.0,-0.0,31.0,13.0,27.0,9.63012460978569,0.0
0.631,9.6,0.05,-0.94,-0.0,-0.0,-0.0,32.0,15.0,29.0,9.646040638521072,0.0
0.642,9.57,0.04,-1.07,-0.0,-0.01,-0.0,32.0,15.0,29.0,9.629714429826048,0.5729577951308232
0.656,9.57,0.04,-1.07,-0.0,-0.01,-0.0,32.0,15.0,29.0,9.629714429826048,0.5729577951308232
0.667,9.52,0.07,-1.27,-0.0,0.0,-0.01,32.0,15.0,29.0,9.604592651435041,0.5729577951308232
0.679,9.52,0.07,-1.27,-0.0,0.0,-0.01,32.0,15.0,29.0,9.604592651435041,0.5729577951308232
0.691,9.67,0.01,-0.46,0.01,0.03,-0.01,32.0,15.0,29.0,9.68094003700054,1.9002860271582585
0.704,9.52,0.06,-1.2,-0.0,0.0,-0.0,32.0,15.0,29.0,9.595519787901019,0.0
0.716,9.52,0.06,-1.2,-0.0,0.0,-0.0,32.0,15.0,29.0,9.595519787901019,0.0
0.726,9.59,0.09,-0.97,-0.01,-0.0,-0.01,32.0,15.0,29.0,9.63935163794744,0.8102846845413955
0.738,9.59,0.09,-0.97,-0.01,-0.0,-0.01,32.0,15.0,29.0,9.63935163794744,0.8102846845413955
0.749,9.6,-0.38,-0.95,0.02,0.03,-0.0,31.0,15.0,32.0,9.654372066582063,2.0658287090209746
0.763,9.73,-0.09,-1.3,0.04,0.03,0.01,31.0,15.0,32.0,9.816873229292513,2.9215229778371645
0.774,9.73,-0.09,-1.3,0.04,0.03,0.01,31.0,15.0,32.0,9.816873229292513,2.9215229778371645
0.786,9.56,0.43,-0.79,0.0,0.06,-0.0,31.0,15.0,32.0,9.602218493660724,3.437746770784939
0.797,9.56,0.43,-0.79,0.0,0.06,-0.0,31.0,15.0,32.0,9.602218493660724,3.437746770784939
0.81,9.91,0.06,-2.12,-0.06,0.12,-0.02,31.0,15.0,32.0,10.134401807704291,7.771977665962254
0.821,9.91,0.06,-2.12,-0.06,0.12,-0.02,31.0,15.0,32.0,10.134401807704291,7.771977665962254
0.833,10.44,-0.18,-3.96,-0.04,0.33,-0.01,31.0,15.0,32.0,11.16725570585719,19.05461577443374
0.844,10.57,0.02,-4.3,0.05,0.75,0.03,31.0,15.0,32.0,11.411191874646574,43.101509410595426
0.857,10.57,0.02,-4.3,0.05,0.75,0.03,31.0,15.0,32.0,11.411191874646574,43.101509410595426
0.868,10.4,0.56,-3.85,0.05,1.29,0.04,31.0,15.0,32.0,11.103877701055609,74.0025509904192
0.88,10.4,0.56,-3.85,0.05,1.29,0.04,31.0,15.0,32.0,11.103877701055609,74.0025509904192
