time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr
0.002,-10.04,-0.06,-0.23,-0.0,0.0,-0.01,-85.0,11.0,-36.0,10.042813350849451,0.5729577951308232
0.014,-10.04,-0.06,-0.23,-0.0,0.0,-0.01,-85.0,11.0,-36.0,10.042813350849451,0.5729577951308232
0.025,-10.02,-0.07,-0.24,-0.0,0.0,-0.0,-85.0,11.0,-39.0,10.02311827726282,0.0
0.086,-10.04,-0.05,-0.24,-0.0,0.0,-0.0,-85.0,11.0,-39.0,10.042992581895097,0.0
0.097,-10.04,-0.05,-0.24,0.0,0.0,-0.01,-85.0,11.0,-39.0,10.042992581895097,0.5729577951308232
0.108,-10.04,-0.05,-0.24,0.0,0.0,-0.01,-85.0,11.0,-39.0,10.042992581895097,0.5729577951308232
0.12,-10.05,-0.07,-0.21,0.0,0.0,-0.0,-85.0,11.0,-39.0,10.052437515349201,0.0
0.133,-10.05,-0.07,-0.21,0.0,0.0,-0.0,-85.0,11.0,-39.0,10.052437515349201,0.0
0.144,-10.03,-0.05,-0.25,-0.0,0.0,-0.0,-87.0,12.0,-34.0,10.03323975593128,0.0
0.156,-10.03,-0.05,-0.25,-0.0,0.0,-0.0,-87.0,12.0,-34.0,10.03323975593128,0.0
0.167,-10.04,-0.05,-0.22,0.0,0.0,-0.01,-87.0,12.0,-34.0,10.042534540642615,0.5729577951308232
0.179,-10.01,-0.05,-0.19,0.0,0.0,-0.0,-87.0,12.0,-34.0,10.011927886276448,0.0
0.191,-10.01,-0.05,-0.19,0.0,0.0,-0.0,-87.0,12.0,-34.0,10.011927886276448,0.0
0.203,-10.05,-0.05,-0.27,-0.0,0.0,-0.0,-87.0,12.0,-34.0,10.053750543951248,0.0
0.215,-10.05,-0.05,-0.27,-0.0,0.0,-0.0,-87.0,12.0,-34.0,10.053750543951248,0.0
