time,ax,ay,az,gx,gy,gz
0.002,-10.04,-0.06,-0.23,-0.0,0.0,-0.01
0.014,-10.04,-0.06,-0.23,-0.0,0.0,-0.01
0.025,-10.02,-0.07,-0.24,-0.0,0.0,-0.0
0.035,-10.02327868852459,-0.06672131147540984,-0.24,0.0,0.0,0.0
0.045,-10.02655737704918,-0.06344262295081968,-0.24,0.0,0.0,0.0
0.055,-10.02983606557377,-0.06016393442622951,-0.24,0.0,0.0,0.0
0.065,-10.03311475409836,-0.05688524590163935,-0.24,0.0,0.0,0.0
0.07500000000000001,-10.03639344262295,-0.05360655737704918,-0.24,0.0,0.0,0.0
0.086,-10.04,-0.05,-0.24,-0.0,0.0,-0.0
0.097,-10.04,-0.05,-0.24,0.0,0.0,-0.01
0.108,-10.04,-0.05,-0.24,0.0,0.0,-0.01
0.12,-10.05,-0.07,-0.21,0.0,0.0,-0.0
0.133,-10.05,-0.07,-0.21,0.0,0.0,-0.0
0.144,-10.03,-0.05,-0.25,-0.0,0.0,-0.0
0.156,-10.03,-0.05,-0.25,-0.0,0.0,-0.0
0.167,-10.04,-0.05,-0.22,0.0,0.0,-0.01
0.179,-10.01,-0.05,-0.19,0.0,0.0,-0.0
0.191,-10.01,-0.05,-0.19,0.0,0.0,-0.0
0.203,-10.05,-0.05,-0.27,-0.0,0.0,-0.0
0.215,-10.05,-0.05,-0.27,-0.0,0.0,-0.0
0.228,-10.05,-0.06,-0.24,0.0,0.0,-0.01
0.24,-10.01,-0.06,-0.22,-0.0,0.0,-0.0
0.252,-10.01,-0.06,-0.22,-0.0,0.0,-0.0
0.264,-10.04,-0.03,-0.26,-0.0,0.0,-0.0
0.278,-10.02,-0.05,-0.23,0.0,0.0,-0.0
0.289,-10.02,-0.05,-0.23,0.0,0.0,-0.0
0.301,-10.04,-0.06,-0.23,-0.0,0.0,-0.0
0.313,-10.04,-0.06,-0.23,-0.0,0.0,-0.0
0.326,-10.04,-0.04,-0.27,-0.0,0.0,-0.0
0.338,-10.01,-0.07,-0.21,-0.0,0.0,-0.0
0.35,-10.01,-0.07,-0.21,-0.0,0.0,-0.0
0.362,-10.04,-0.05,-0.25,-0.0,0.0,-0.0
0.375,-10.04,-0.05,-0.25,-0.0,0.0,-0.0
0.387,-10.06,-0.09,-0.29,-0.0,-0.0,-0.0
0.398,-10.39,0.03,-1.12,0.0,-0.04,-0.0
0.41,-10.39,0.03,-1.12,0.0,-0.04,-0.0
0.423,-10.76,-0.01,-1.95,0.0,-0.21,-0.01
0.435,-10.76,-0.01,-1.95,0.0,-0.21,-0.01
0.446,-10.63,0.05,-1.58,-0.01,-0.54,-0.01
0.458,-10.31,-0.01,-0.81,-0.02,-0.83,-0.01
0.471,-10.31,-0.01,-0.81,-0.02,-0.83,-0.01
0.483,-10.3,0.1,-0.68,-0.03,-1.02,-0.02
0.494,-10.3,0.1,-0.68,-0.03,-1.02,-0.02
0.506,-10.6,-0.13,-1.39,-0.05,-1.24,-0.01
0.519,-10.61,-0.19,-1.74,-0.05,-1.6,-0.02
0.531,-10.61,-0.19,-1.74,-0.05,-1.6,-0.02
0.543,-10.54,-0.22,-1.95,-0.01,-2.04,-0.05
