time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr
0.002,-9.99,-0.22,-0.21,-0.0,0.0,-0.0,-85.0,15.0,-27.0,9.99462855738021,0.0
0.014,-9.99,-0.22,-0.21,-0.0,0.0,-0.0,-85.0,15.0,-27.0,9.99462855738021,0.0
0.026,-10.02,-0.19,-0.31,-0.01,0.0,-0.0,-85.0,15.0,-27.0,10.026594636266093,0.5729577951308232
0.089,-10.02,-0.17,-0.45,-0.0,0.02,-0.01,-85.0,17.0,-27.0,10.031540260598069,1.2811725781509187
0.1,-10.0,-0.18,-0.35,0.01,0.01,-0.01,-85.0,17.0,-27.0,10.007742003069424,0.9923920117592256
0.112,-10.0,-0.18,-0.35,0.01,0.01,-0.01,-85.0,17.0,-27.0,10.007742003069424,0.9923920117592256
0.123,-9.99,-0.21,-0.39,0.01,0.0,-0.01,-85.0,17.0,-27.0,9.999814998288718,0.8102846845413955
0.136,-9.99,-0.21,-0.39,0.01,0.0,-0.01,-85.0,17.0,-27.0,9.999814998288718,0.8102846845413955
0.147,-9.95,-0.19,-0.57,0.0,-0.01,-0.0,-85.0,17.0,-27.0,9.968124196658065,0.5729577951308232
0.159,-10.05,-0.16,0.46,0.0,-0.03,0.0,-85.0,17.0,-27.0,10.061794074617112,1.7188733853924696
0.171,-10.05,-0.16,0.46,0.0,-0.03,0.0,-85.0,17.0,-27.0,10.061794074617112,1.7188733853924696
0.184,-10.05,-0.2,-0.16,0.0,0.0,-0.0,-84.0,16.0,-27.0,10.053263151832843,0.0
0.194,-10.05,-0.2,-0.16,0.0,0.0,-0.0,-84.0,16.0,-27.0,10.053263151832843,0.0
0.206,-10.02,-0.19,-0.43,-0.0,0.0,-0.0,-84.0,16.0,-27.0,10.03102188214142,0.0
0.217,-10.03,-0.15,-0.35,-0.01,0.0,-0.0,-84.0,16.0,-27.0,10.037225712317124,0.5729577951308232
0.231,-10.03,-0.15,-0.35,-0.01,0.0,-0.0,-84.0,16.0,-27.0,10.037225712317124,0.5729577951308232
0.243,-10.04,-0.15,-0.39,-0.0,0.0,-0.0,-84.0,16.0,-27.0,10.048691457100272,0.0
0.254,-10.04,-0.15,-0.39,-0.0,0.0,-0.0,-84.0,16.0,-27.0,10.048691457100272,0.0
0.266,-10.02,-0.19,-0.36,0.0,0.0,-0.0,-84.0,16.0,-27.0,10.02826505433517,0.0
0.279,-10.04,-0.19,-0.33,0.0,0.0,-0.01,-84.0,16.0,-27.0,10.047218520565778,0.5729577951308232
0.291,-10.04,-0.19,-0.33,0.0,0.0,-0.01,-84.0,16.0,-27.0,10.047218520565778,0.5729577951308232
0.302,-10.04,-0.18,-0.36,0.0,0.0,-0.01,-81.0,17.0,-24.0,10.048064490238902,0.5729577951308232
0.314,-10.04,-0.18,-0.36,0.0,0.0,-0.01,-81.0,17.0,-24.0,10.048064490238902,0.5729577951308232
0.327,-10.02,-0.21,-0.34,0.0,0.0,-0.0,-81.0,17.0,-24.0,10.027965895434626,0.0
