time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr
0.001,-10.0,0.19,-0.75,-0.0,0.0,-0.0,-84.0,-9.0,35.0,10.029885343312754,0.0
0.013,-10.01,0.18,-0.77,-0.0,0.0,-0.0,-82.0,-9.0,35.0,10.041185189010308,0.0
0.024,-10.01,0.18,-0.77,-0.0,0.0,-0.0,-82.0,-9.0,35.0,10.041185189010308,0.0
0.085,-10.02,0.19,-0.76,-0.0,0.0,-0.0,-82.0,-9.0,35.0,10.05057709785861,0.0
0.097,-10.01,0.17,-0.76,-0.0,0.0,-0.0,-82.0,-9.0,35.0,10.040249000896342,0.0
0.109,-10.01,0.17,-0.76,-0.0,0.0,-0.0,-82.0,-9.0,35.0,10.040249000896342,0.0
0.121,-10.0,0.19,-0.76,-0.0,0.0,-0.0,-82.0,-9.0,35.0,10.030638065447283,0.0
0.134,-10.0,0.19,-0.73,-0.0,0.0,-0.0,-82.0,-10.0,35.0,10.028409644604672,0.0
0.146,-10.0,0.19,-0.73,-0.0,0.0,-0.0,-82.0,-10.0,35.0,10.028409644604672,0.0
0.157,-9.99,0.19,-0.75,0.0,0.0,-0.0,-82.0,-10.0,35.0,10.019915169301585,0.0
0.169,-9.99,0.19,-0.75,0.0,0.0,-0.0,-82.0,-10.0,35.0,10.019915169301585,0.0
0.18,-10.02,0.17,-0.77,-0.0,0.0,-0.0,-82.0,-10.0,35.0,10.05098005171635,0.0
0.192,-10.02,0.17,-0.77,-0.0,0.0,-0.0,-82.0,-10.0,35.0,10.05098005171635,0.0
0.204,-10.0,0.17,-0.78,-0.0,0.0,-0.0,-82.0,-10.0,35.0,10.031814392222376,0.0
0.216,-10.01,0.17,-0.77,0.0,0.0,-0.0,-82.0,-10.0,35.0,10.041010905282395,0.0
0.228,-10.01,0.17,-0.77,0.0,0.0,-0.0,-82.0,-10.0,35.0,10.041010905282395,0.0
0.232,-10.01,0.17,-0.77,0.0,0.0,-0.0,-82.0,-10.0,35.0,10.041010905282395,0.0
0.311,-10.01,0.18,-0.77,-0.0,0.0,-0.0,-82.0,-10.0,37.0,10.041185189010308,0.0
0.389,-10.01,0.19,-0.71,0.0,0.0,-0.0,-82.0,-10.0,37.0,10.036946746894694,0.0
0.468,-10.02,0.19,-0.71,-0.0,-0.0,-0.0,-82.0,-10.0,37.0,10.04691992602708,0.0
0.558,-10.0,0.17,-0.74,0.0,0.0,-0.0,-82.0,-11.0,35.0,10.028783575289676,0.0
0.57,-10.0,0.17,-0.74,0.0,0.0,-0.0,-82.0,-11.0,35.0,10.028783575289676,0.0
0.581,-10.01,0.19,-0.73,-0.0,0.0,-0.0,-82.0,-11.0,35.0,10.038381343623085,0.0
0.592,-10.01,0.19,-0.73,-0.0,0.0,-0.0,-82.0,-11.0,35.0,10.038381343623085,0.0
0.605,-10.01,0.2,-0.75,0.0,0.0,-0.0,-82.0,-11.0,35.0,10.040049800673302,0.0
0.617,-10.01,0.18,-0.78,0.0,0.0,-0.0,-82.0,-11.0,35.0,10.041956980588992,0.0
0.628,-10.01,0.18,-0.78,0.0,0.0,-0.0,-82.0,-11.0,35.0,10.041956980588992,0.0
0.64,-10.01,0.17,-0.8,-0.0,0.0,-0.0,-84.0,-10.0,37.0,10.04335601280767,0.0
0.653,-10.0,0.19,-0.77,-0.0,0.0,-0.0,-84.0,-10.0,37.0,10.031400699802596,0.0
0.665,-10.0,0.19,-0.77,-0.0,0.0,-0.0,-84.0,-10.0,37.0,10.031400699802596,0.0
0.677,-10.01,0.18,-0.76,0.0,0.0,-0.0,-84.0,-10.0,37.0,10.040423297849548,0.0
0.689,-10.01,0.18,-0.76,0.0,0.0,-0.0,-84.0,-10.0,37.0,10.040423297849548,0.0
0.702,-10.02,0.19,-0.76,0.0,0.0,-0.0,-84.0,-10.0,37.0,10.05057709785861,0.0
0.714,-10.01,0.18,-0.73,-0.01,-0.0,-0.0,-84.0,-10.0,37.0,10.038197049271348,0.5729577951308232
0.726,-10.01,0.18,-0.73,-0.01,-0.0,-0.0,-84.0,-10.0,37.0,10.038197049271348,0.5729577951308232
0.738,-10.0,0.19,-0.72,-0.0,0.0,-0.0,-84.0,-10.0,37.0,10.027686672408548,0.0
0.751,-10.0,0.19,-0.72,-0.0,0.0,-0.0,-84.0,-10.0,37.0,10.027686672408548,0.0
0.763,-9.99,0.19,-0.79,0.0,0.0,-0.0,-84.0,-10.0,37.0,10.022988576268059,0.0
0.774,-10.02,0.18,-0.76,-0.0,0.0,-0.0,-82.0,-9.0,39.0,10.050393027140778,0.0
