time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr
0.002,9.58,-0.3,-0.83,-0.0,0.0,-0.0,31.0,13.0,-2.0,9.620566511385906,0.0
0.013,9.58,-0.3,-0.83,-0.0,0.0,-0.0,31.0,13.0,-2.0,9.620566511385906,0.0
0.025,9.58,-0.3,-0.84,-0.0,0.0,-0.0,29.0,14.0,0.0,9.621434404494996,0.0
0.088,9.59,-0.3,-0.8,-0.0,0.0,-0.0,29.0,14.0,0.0,9.627985251338933,0.0
0.099,9.6,-0.3,-0.81,-0.0,0.0,-0.0,29.0,14.0,0.0,9.638781043264755,0.0
0.111,9.6,-0.3,-0.81,-0.0,0.0,-0.0,29.0,14.0,0.0,9.638781043264755,0.0
0.123,9.58,-0.3,-0.8,-0.0,0.0,-0.0,29.0,14.0,0.0,9.618024745237454,0.0
0.134,9.58,-0.31,-0.84,-0.0,0.0,-0.0,31.0,11.0,-2.0,9.621751399823216,0.0
0.146,9.58,-0.31,-0.84,-0.0,0.0,-0.0,31.0,11.0,-2.0,9.621751399823216,0.0
0.158,9.58,-0.31,-0.82,0.0,0.0,-0.0,31.0,11.0,-2.0,9.620025987490886,0.0
0.17,9.58,-0.31,-0.82,0.0,0.0,-0.0,31.0,11.0,-2.0,9.620025987490886,0.0
0.182,9.58,-0.3,-0.82,-0.0,0.0,-0.0,31.0,11.0,-2.0,9.619708935305683,0.0
0.195,9.56,-0.32,-0.82,0.0,0.0,-0.01,31.0,11.0,-2.0,9.600437490031378,0.5729577951308232
0.206,9.56,-0.32,-0.82,0.0,0.0,-0.01,31.0,11.0,-2.0,9.600437490031378,0.5729577951308232
0.218,9.58,-0.31,-0.82,-0.0,0.0,-0.0,31.0,11.0,-2.0,9.620025987490886,0.0
0.229,9.58,-0.31,-0.82,-0.0,0.0,-0.0,31.0,11.0,-2.0,9.620025987490886,0.0
0.243,9.58,-0.31,-0.81,-0.0,0.0,-0.01,31.0,11.0,-2.0,9.619178759124917,0.5729577951308232
0.254,9.58,-0.31,-0.81,-0.0,0.0,-0.01,31.0,11.0,-2.0,9.619178759124917,0.5729577951308232
0.265,9.58,-0.3,-0.85,-0.0,0.0,-0.0,29.0,14.0,-2.0,9.622312611841293,0.0
0.277,9.58,-0.29,-0.85,-0.0,0.0,-0.0,29.0,14.0,-2.0,9.622006027850949,0.0
0.288,9.58,-0.29,-0.85,-0.0,0.0,-0.0,29.0,14.0,-2.0,9.622006027850949,0.0
0.301,9.56,-0.29,-0.81,-0.0,0.0,-0.0,29.0,14.0,-2.0,9.598635319669146,0.0
0.312,9.56,-0.29,-0.81,-0.0,0.0,-0.0,29.0,14.0,-2.0,9.598635319669146,0.0
0.323,9.58,-0.3,-0.83,-0.0,0.0,-0.0,29.0,14.0,-2.0,9.620566511385906,0.0
0.335,9.57,-0.3,-0.84,-0.0,0.0,-0.0,29.0,14.0,-2.0,9.61147751388932,0.0
0.348,9.57,-0.3,-0.84,-0.0,0.0,-0.0,29.0,14.0,-2.0,9.61147751388932,0.0
0.359,9.56,-0.32,-0.81,-0.0,0.0,-0.01,29.0,14.0,-2.0,9.599588532848687,0.5729577951308232
0.371,9.56,-0.32,-0.81,-0.0,0.0,-0.01,29.0,14.0,-2.0,9.599588532848687,0.5729577951308232
0.383,9.58,-0.28,-0.73,-0.0,0.0,-0.01,32.0,10.0,1.0,9.611852058786589,0.5729577951308232
0.396,9.57,-0.31,-0.84,0.0,0.01,-0.0,32.0,10.0,1.0,9.61179483759407,0.5729577951308232
0.408,9.57,-0.31,-0.84,0.0,0.01,-0.0,32.0,10.0,1.0,9.61179483759407,0.5729577951308232
0.42,9.57,-0.3,-0.86,-0.0,0.01,-0.0,32.0,10.0,1.0,9.613246069876709,0.5729577951308232
0.432,9.57,-0.3,-0.86,-0.0,0.01,-0.0,32.0,10.0,1.0,9.613246069876709,0.5729577951308232
0.443,9.91,-0.32,-2.01,-0.0,0.05,-0.01,32.0,10.0,1.0,10.116847335014995,2.9215229778371645
0.455,10.26,-0.39,-3.13,0.01,0.24,-0.0,32.0,10.0,1.0,10.733899570985374,13.762918527539048
0.467,10.26,-0.39,-3.13,0.01,0.24,-0.0,32.0,10.0,1.0,10.733899570985374,13.762918527539048
0.479,10.35,-0.26,-3.5,0.03,0.6,0.01,32.0,10.0,1.0,10.92886544889267,34.425181079469134
0.491,10.35,-0.26,-3.5,0.03,0.6,0.01,32.0,10.0,1.0,10.92886544889267,34.425181079469134
0.504,10.3,-0.23,-3.59,0.03,1.08,0.01,32.0,10.0,1.0,10.910132904781683,61.90596201500878
0.515,10.3,0.09,-2.95,0.02,1.57,0.01,29.0,13.0,1.0,10.71450418824875,89.96349690468327
0.527,10.3,0.09,-2.95,0.02,1.57,0.01,29.0,13.0,1.0,10.71450418824875,89.96349690468327
0.538,9.81,-0.46,-2.33,0.02,2.03,0.03,29.0,13.0,1.0,10.09339387916671,116.3287769041625
0.542,9.81,-0.46,-2.33,0.02,2.03,0.03,29.0,13.0,1.0,10.09339387916671,116.3287769041625
0.621,9.0,-0.23,0.56,0.04,3.2,0.01,29.0,13.0,1.0,9.020338131134553,183.36171300169312
0.7,6.78,-0.64,3.69,0.04,3.84,0.05,20.0,14.0,21.0,7.745585839689597,220.04637879494453
0.779,4.17,-0.73,6.64,0.05,4.14,0.05,0.0,17.0,39.0,7.874731741462689,237.239123561885
0.857,0.83,-0.71,10.73,0.05,3.55,0.06,0.0,17.0,39.0,10.78544853031157,203.4492372675751
0.948,-0.4,-0.52,12.29,0.02,1.92,0.03,-27.0,17.0,43.0,12.30749771480783,110.02729196403185
0.959,-0.41,-0.66,11.51,-0.02,1.52,0.01,-27.0,17.0,43.0,11.536195213327487,87.09900799803715
0.971,-0.41,-0.66,11.51,-0.02,1.52,0.01,-27.0,17.0,43.0,11.536195213327487,87.09900799803715
0.983,0.11,-0.54,11.01,-0.0,1.14,0.0,-27.0,17.0,43.0,11.023783379584344,65.31718864491384
0.996,0.55,0.01,11.04,0.02,0.91,0.02,-27.0,17.0,43.0,11.053696214389102,52.16433823528039
1.008,0.55,0.01,11.04,0.02,0.91,0.02,-27.0,17.0,43.0,11.053696214389102,52.16433823528039
1.02,0.99,0.05,7.86,-0.01,0.84,0.02,-38.0,20.0,43.0,7.922259778623774,48.14550408650108
1.031,0.99,0.05,7.86,-0.01,0.84,0.02,-38.0,20.0,43.0,7.922259778623774,48.14550408650108
1.045,1.5,0.04,4.07,-0.0,1.26,-0.02,-38.0,20.0,43.0,4.337798981050183,72.20177618188247
1.057,-14.28,1.39,41.52,0.13,1.91,0.01,-38.0,20.0,43.0,43.92904392312676,109.68962372726074
1.068,-14.28,1.39,41.52,0.13,1.91,0.01,-38.0,20.0,43.0,43.92904392312676,109.68962372726074
1.08,0.27,-0.69,0.59,0.29,0.34,-0.08,-38.0,20.0,43.0,0.9471536306217698,26.011274262085287
