time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr
0.001,-8.92,0.43,2.79,0.04,-0.05,-0.03,-73.0,12.0,45.0,9.356035485182813,4.051423422706978
0.013,-8.92,0.43,2.79,0.04,-0.05,-0.03,-73.0,12.0,45.0,9.356035485182813,4.051423422706978
0.025,-8.82,0.82,3.14,0.03,0.41,-0.01,-73.0,12.0,45.0,9.398106192207024,23.56103889447547
0.084,-11.23,0.79,-2.9,-0.03,0.64,0.12,-73.0,13.0,37.0,11.625274190314826,37.347883716751475
0.096,-11.23,0.79,-2.9,-0.03,0.64,0.12,-73.0,13.0,37.0,11.625274190314826,37.347883716751475
0.107,-11.11,1.45,-3.19,-0.11,0.04,0.02,-73.0,13.0,37.0,11.649493551223589,6.803496860818383
0.119,-8.85,-0.8,-1.95,-0.06,-0.48,-0.12,-73.0,13.0,37.0,9.09752713653551,28.556069360871728
0.13,-8.85,-0.8,-1.95,-0.06,-0.48,-0.12,-73.0,13.0,37.0,9.09752713653551,28.556069360871728
0.143,-9.59,0.97,0.81,0.02,-0.32,-0.04,-73.0,13.0,37.0,9.672905458030694,18.512832925871344
0.155,-9.59,0.97,0.81,0.02,-0.32,-0.04,-73.0,13.0,37.0,9.672905458030694,18.512832925871344
0.166,-9.62,0.1,0.44,-0.04,-0.2,0.01,-73.0,13.0,37.0,9.630576306743018,11.70012926405045
0.178,-9.62,0.1,0.44,-0.04,-0.2,0.01,-73.0,13.0,37.0,9.630576306743018,11.70012926405045
0.191,-9.72,0.01,0.09,-0.02,-0.0,0.01,-75.0,12.0,40.0,9.720421801547504,1.2811725781509187
0.202,-9.31,0.38,1.5,0.06,0.2,-0.02,-75.0,12.0,40.0,9.437716884925083,12.018464103225366
0.213,-9.31,0.38,1.5,0.06,0.2,-0.02,-75.0,12.0,40.0,9.437716884925083,12.018464103225366
0.225,-10.56,0.46,-1.7,0.04,0.26,0.02,-75.0,12.0,40.0,10.705848868725917,15.115664787260181
0.238,-10.56,0.46,-1.7,0.04,0.26,0.02,-75.0,12.0,40.0,10.705848868725917,15.115664787260181
0.25,-10.48,0.63,-1.99,-0.0,0.05,0.01,-75.0,12.0,40.0,10.685850457497523,2.9215229778371645
0.262,-9.75,-0.06,0.29,0.02,-0.1,-0.02,-75.0,12.0,40.0,9.754496399097189,5.9543520705553545
0.273,-9.75,-0.06,0.29,0.02,-0.1,-0.02,-75.0,12.0,40.0,9.754496399097189,5.9543520705553545
0.287,-10.11,0.68,-0.52,0.02,-0.03,-0.01,-75.0,12.0,40.0,10.14617661979132,2.1438117664609555
0.299,-10.5,0.21,-1.41,-0.01,-0.09,0.0,-73.0,12.0,43.0,10.59632955319907,5.188353502807639
0.309,-10.5,0.21,-1.41,-0.01,-0.09,0.0,-73.0,12.0,43.0,10.59632955319907,5.188353502807639
0.321,-10.61,0.4,-1.49,-0.0,-0.28,-0.01,-73.0,12.0,43.0,10.721576376634175,16.053046392380544
0.334,-10.61,0.4,-1.49,-0.0,-0.28,-0.01,-73.0,12.0,43.0,10.721576376634175,16.053046392380544
0.346,-10.5,0.35,-1.14,0.01,-0.54,-0.02,-73.0,12.0,43.0,10.56750207002582,30.96623539984204
0.358,-10.5,0.35,-1.14,0.01,-0.54,-0.02,-73.0,12.0,43.0,10.56750207002582,30.96623539984204
0.369,-10.49,0.51,-1.11,-0.01,-0.78,-0.01,-73.0,12.0,43.0,10.560885379550335,44.69805302937867
0.382,-10.53,0.2,-1.21,-0.02,-1.03,-0.01,-73.0,12.0,43.0,10.601179179695059,59.02855800290623
0.394,-10.53,0.2,-1.21,-0.02,-1.03,-0.01,-73.0,12.0,43.0,10.601179179695059,59.02855800290623
0.405,-10.43,0.3,-0.92,0.0,-1.3,-0.02,-73.0,12.0,43.0,10.474793554051555,74.49332758079647
0.416,-10.43,0.3,-0.92,0.0,-1.3,-0.02,-73.0,12.0,43.0,10.474793554051555,74.49332758079647
0.428,-10.27,0.44,-0.43,0.01,-1.56,-0.03,-73.0,12.0,43.0,10.288410956022314,89.39977818618227
0.442,-10.23,0.39,-0.32,-0.01,-1.82,-0.02,-69.0,13.0,53.0,10.242431351978885,104.28618871621453
0.454,-10.23,0.39,-0.32,-0.01,-1.82,-0.02,-69.0,13.0,53.0,10.242431351978885,104.28618871621453
0.466,-10.35,0.24,-0.02,-0.01,-2.1,-0.03,-69.0,13.0,53.0,10.35280155320288,120.33477805647793
0.477,-10.35,0.24,-0.02,-0.01,-2.1,-0.03,-69.0,13.0,53.0,10.35280155320288,120.33477805647793
0.49,-11.63,0.36,1.93,-0.03,-2.36,-0.08,-69.0,13.0,53.0,11.794549588687142,135.30662486877904
0.502,-9.4,-0.05,1.75,0.04,-2.55,-0.06,-69.0,13.0,53.0,9.561642118381132,146.16264530984455
0.514,-9.4,-0.05,1.75,0.04,-2.55,-0.06,-69.0,13.0,53.0,9.561642118381132,146.16264530984455
0.525,-8.84,-0.0,2.26,0.03,-2.69,-0.04,-69.0,13.0,53.0,9.124319152682023,154.15226902382918
0.538,-8.84,-0.0,2.26,0.03,-2.69,-0.04,-69.0,13.0,53.0,9.124319152682023,154.15226902382918
0.55,-9.45,0.15,1.94,-0.01,-2.83,-0.01,-69.0,13.0,53.0,9.648243363431499,162.14908059523205
