time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr
0.002,9.58,-0.39,-0.93,0.0,0.0,-0.0,74.0,58.0,19.0,9.632933094338402,0.0
0.013,9.57,-0.38,-0.95,-0.0,-0.01,-0.0,74.0,58.0,19.0,9.624541547523187,0.5729577951308232
0.025,9.57,-0.38,-0.95,-0.0,-0.01,-0.0,74.0,58.0,19.0,9.624541547523187,0.5729577951308232
0.086,9.56,-0.38,-1.06,-0.0,-0.01,0.0,74.0,58.0,19.0,9.626089548721225,0.5729577951308232
0.097,9.55,-0.37,-1.08,-0.0,-0.0,-0.0,76.0,58.0,16.0,9.61799355375122,0.0
0.109,9.57,-0.38,-1.05,-0.0,0.0,-0.0,76.0,58.0,16.0,9.63492605057247,0.0
0.121,9.57,-0.38,-1.05,-0.0,0.0,-0.0,76.0,58.0,16.0,9.63492605057247,0.0
0.132,9.58,-0.37,-1.02,-0.0,0.0,-0.0,76.0,58.0,16.0,9.641249918967976,0.0
0.146,9.58,-0.37,-1.02,-0.0,0.0,-0.0,76.0,58.0,16.0,9.641249918967976,0.0
0.156,9.57,-0.38,-0.98,0.0,0.01,-0.0,76.0,58.0,16.0,9.627549013118553,0.5729577951308232
0.168,9.57,-0.38,-0.98,0.0,0.01,-0.0,76.0,58.0,16.0,9.627549013118553,0.5729577951308232
0.18,9.58,-0.38,-0.99,-0.0,0.0,-0.0,76.0,58.0,16.0,9.63851129583817,0.0
0.192,9.52,-0.39,-1.22,0.0,0.01,-0.0,76.0,58.0,16.0,9.605774305072964,0.5729577951308232
0.204,9.52,-0.39,-1.22,0.0,0.01,-0.0,76.0,58.0,16.0,9.605774305072964,0.5729577951308232
0.216,9.52,-0.44,-1.25,0.01,0.04,-0.0,78.0,58.0,16.0,9.611789635650585,2.362365508345388
0.227,9.52,-0.44,-1.25,0.01,0.04,-0.0,78.0,58.0,16.0,9.611789635650585,2.362365508345388
0.24,9.48,-0.48,-1.46,0.0,0.09,-0.01,78.0,58.0,16.0,9.603770093041588,5.188353502807639
0.251,9.81,-0.02,-1.02,-0.02,0.16,-0.02,78.0,58.0,16.0,9.86290525149664,9.309462263756702
0.263,9.81,-0.02,-1.02,-0.02,0.16,-0.02,78.0,58.0,16.0,9.86290525149664,9.309462263756702
0.275,10.11,-0.54,-2.17,-0.04,0.2,-0.01,78.0,58.0,16.0,10.354351742142045,11.70012926405045
0.287,10.11,-0.54,-2.17,-0.04,0.2,-0.01,78.0,58.0,16.0,10.354351742142045,11.70012926405045
0.3,10.49,-0.97,-2.72,-0.0,0.44,0.02,78.0,58.0,16.0,10.880229776985411,25.236173083537814
0.312,10.73,-0.6,-1.93,0.02,0.81,0.02,78.0,58.0,16.0,10.918690397662168,46.43786699798684
0.323,10.73,-0.6,-1.93,0.02,0.81,0.02,78.0,58.0,16.0,10.918690397662168,46.43786699798684
0.335,10.74,-1.84,-0.27,0.03,1.43,0.04,74.0,58.0,19.0,10.899821099449293,81.98303312889834
0.348,10.74,-1.84,-0.27,0.03,1.43,0.04,74.0,58.0,19.0,10.899821099449293,81.98303312889834
0.36,10.88,-2.05,1.93,-0.04,2.21,0.05,74.0,58.0,19.0,11.23840736047595,126.67680924355258
0.371,10.09,-2.14,3.06,-0.17,2.62,0.0,74.0,58.0,19.0,10.758777811628978,150.4306119529398
0.383,10.09,-2.14,3.06,-0.17,2.62,0.0,74.0,58.0,19.0,10.758777811628978,150.4306119529398
0.395,10.82,-2.38,3.82,-0.33,2.8,-0.08,74.0,58.0,19.0,11.718754199999248,161.60355613738338
0.407,10.82,-2.38,3.82,-0.33,2.8,-0.08,74.0,58.0,19.0,11.718754199999248,161.60355613738338
0.419,11.0,-2.5,3.87,-0.49,2.78,-0.2,74.0,58.0,19.0,11.92589200018179,162.14300679976625
0.431,11.15,-2.75,3.85,-0.63,2.51,-0.36,74.0,58.0,19.0,12.112287149832602,149.70105486933005
0.444,11.15,-2.75,3.85,-0.63,2.51,-0.36,74.0,58.0,19.0,12.112287149832602,149.70105486933005
0.456,11.22,-2.42,3.91,-0.73,2.1,-0.55,70.0,60.0,50.0,12.125712350208545,131.2235970713789
0.468,11.22,-2.42,3.91,-0.73,2.1,-0.55,70.0,60.0,50.0,12.125712350208545,131.2235970713789
0.479,11.15,-2.35,3.97,-0.81,1.54,-0.74,70.0,60.0,50.0,12.066726979591442,108.33751678526228
0.491,10.98,-1.9,3.53,-0.88,0.99,-0.95,70.0,60.0,50.0,11.688939216199218,93.39387812903587
0.504,10.98,-1.9,3.53,-0.88,0.99,-0.95,70.0,60.0,50.0,11.688939216199218,93.39387812903587
0.515,11.39,-2.34,4.35,-0.93,0.6,-1.14,70.0,60.0,50.0,12.414918445161046,91.03540317153897
0.527,11.39,-2.34,4.35,-0.93,0.6,-1.14,70.0,60.0,50.0,12.414918445161046,91.03540317153897
0.538,10.93,-1.63,4.03,-1.0,0.25,-1.33,70.0,60.0,50.0,11.762767531495298,96.41025826862645
0.552,10.44,-1.4,3.66,-1.08,0.03,-1.51,70.0,60.0,50.0,11.151197245139196,106.38207842973594
0.564,10.44,-1.4,3.66,-1.08,0.03,-1.51,70.0,60.0,50.0,11.151197245139196,106.38207842973594
0.576,10.01,-1.11,3.52,-1.17,-0.02,-1.69,70.0,60.0,50.0,10.668767501450203,117.77593112066499
0.587,10.01,-1.11,3.52,-1.17,-0.02,-1.69,70.0,60.0,50.0,10.668767501450203,117.77593112066499
0.6,9.51,-0.53,3.51,-1.25,0.01,-1.86,60.0,66.0,58.0,10.15091621480544,128.40136311982434
0.611,9.04,-0.02,3.37,-1.35,0.07,-2.03,60.0,66.0,58.0,9.647740668156455,139.7394611832136
0.623,9.04,-0.02,3.37,-1.35,0.07,-2.03,60.0,66.0,58.0,9.647740668156455,139.7394611832136
0.635,8.78,0.5,3.42,-1.46,0.13,-2.19,60.0,66.0,58.0,9.435825348108134,150.98932736551797
0.646,8.78,0.5,3.42,-1.46,0.13,-2.19,60.0,66.0,58.0,9.435825348108134,150.98932736551797
0.659,8.83,0.99,3.52,-1.58,0.13,-2.35,60.0,66.0,58.0,9.557164851565553,162.41913454831723
0.671,8.66,1.41,3.51,-1.71,0.13,-2.49,60.0,66.0,58.0,9.45006878281846,173.2295042020624
0.683,8.66,1.41,3.51,-1.71,0.13,-2.49,60.0,66.0,58.0,9.45006878281846,173.2295042020624
0.696,8.52,1.81,3.48,-1.83,0.15,-2.62,60.0,66.0,58.0,9.379600204699559,183.3088902302619
0.709,8.52,1.81,3.48,-1.83,0.15,-2.62,60.0,66.0,58.0,9.379600204699559,183.3088902302619
0.721,8.42,2.13,3.51,-1.93,0.2,-2.74,47.0,72.0,74.0,9.367678474414031,192.3679666173851
0.732,8.55,2.68,3.75,-2.03,0.24,-2.86,47.0,72.0,74.0,9.713258979353943,201.41809539880006
0.744,8.55,2.68,3.75,-2.03,0.24,-2.86,47.0,72.0,74.0,9.713258979353943,201.41809539880006
0.757,8.81,3.31,4.06,-2.11,0.2,-2.97,47.0,72.0,74.0,10.249673165520939,209.0550189249384
0.768,8.81,3.31,4.06,-2.11,0.2,-2.97,47.0,72.0,74.0,10.249673165520939,209.0550189249384
0.78,8.84,3.77,4.18,-2.19,0.12,-3.06,47.0,72.0,74.0,10.480023854934682,215.71004957048584
0.792,8.6,4.05,4.15,-2.26,0.06,-3.14,47.0,72.0,74.0,10.372318930692403,221.68950652828795
0.803,8.6,4.05,4.15,-2.26,0.06,-3.14,47.0,72.0,74.0,10.372318930692403,221.68950652828795
0.817,8.24,4.31,4.07,-2.31,0.06,-3.21,47.0,72.0,74.0,10.15079307246483,226.61766475346468
