time,ax,ay,az,gx,gy,gz,mx,my,mz
2.00,-10.01,0.18,-0.29,-0.00,0.00,-0.00,-73.00,-11.00,-7.00
13.00,-10.01,0.18,-0.29,-0.00,0.00,-0.00,-73.00,-11.00,-7.00
25.00,-10.03,0.17,-0.32,0.00,0.00,-0.00,-73.00,-11.00,-7.00
84.00,-10.03,0.16,-0.41,-0.00,0.00,-0.00,-77.00,-11.00,-7.00
96.00,-10.04,0.17,-0.38,-0.00,0.00,-0.00,-77.00,-11.00,-7.00
107.00,-10.04,0.17,-0.38,-0.00,0.00,-0.00,-77.00,-11.00,-7.00
119.00,-10.01,0.17,-0.37,-0.00,0.00,-0.00,-77.00,-11.00,-7.00
133.00,-10.01,0.17,-0.37,-0.00,0.00,-0.00,-77.00,-11.00,-7.00
145.00,-10.03,0.16,-0.34,-0.00,0.00,-0.00,-77.00,-11.00,-7.00
157.00,-10.03,0.16,-0.35,-0.00,0.00,-0.00,-77.00,-11.00,-7.00
169.00,-10.03,0.16,-0.35,-0.00,0.00,-0.00,-77.00,-11.00,-7.00
182.00,-10.01,0.17,-0.38,-0.00,0.00,-0.00,-77.00,-11.00,-7.00
194.00,-10.02,0.16,-0.38,0.00,0.00,-0.00,-77.00,-11.00,-7.00
205.00,-10.02,0.16,-0.38,0.00,0.00,-0.00,-77.00,-11.00,-7.00
217.00,-10.04,0.16,-0.37,0.00,0.00,-0.00,-73.00,-9.00,-7.00
228.00,-10.04,0.16,-0.37,0.00,0.00,-0.00,-73.00,-9.00,-7.00
241.00,-10.03,0.18,-0.37,-0.00,0.00,-0.00,-73.00,-9.00,-7.00
253.00,-10.03,0.18,-0.37,-0.00,0.00,-0.00,-73.00,-9.00,-7.00
264.00,-10.02,0.19,-0.36,-0.00,0.00,-0.00,-73.00,-9.00,-7.00
276.00,-10.04,0.17,-0.38,0.00,0.00,-0.00,-73.00,-9.00,-7.00
290.00,-10.04,0.17,-0.38,0.00,0.00,-0.00,-73.00,-9.00,-7.00
301.00,-10.03,0.17,-0.36,0.00,0.00,-0.00,-73.00,-9.00,-7.00
313.00,-10.03,0.17,-0.36,0.00,0.00,-0.00,-73.00,-9.00,-7.00
325.00,-10.02,0.17,-0.37,0.00,0.00,-0.00,-73.00,-9.00,-7.00
338.00,-10.05,0.16,-0.38,0.00,0.00,-0.00,-75.00,-12.00,-13.00
350.00,-10.05,0.16,-0.38,0.00,0.00,-0.00,-75.00,-12.00,-13.00
362.00,-10.05,0.16,-0.38,0.00,0.00,-0.00,-75.00,-12.00,-13.00
373.00,-10.05,0.16,-0.38,0.00,0.00,-0.00,-75.00,-12.00,-13.00
386.00,-10.03,0.16,-0.38,0.00,0.00,-0.00,-75.00,-12.00,-13.00
398.00,-10.03,0.16,-0.36,0.00,0.00,-0.00,-75.00,-12.00,-13.00
409.00,-10.03,0.16,-0.36,0.00,0.00,-0.00,-75.00,-12.00,-13.00
421.00,-10.02,0.17,-0.35,0.00,0.00,-0.00,-75.00,-12.00,-13.00
434.00,-10.02,0.17,-0.35,0.00,0.00,-0.00,-75.00,-12.00,-13.00
445.00,-10.02,0.17,-0.38,-0.00,0.00,-0.01,-75.00,-12.00,-13.00
456.00,-10.06,0.17,-0.61,-0.00,0.00,-0.00,-73.00,-14.00,-7.00
468.00,-10.06,0.17,-0.61,-0.00,0.00,-0.00,-73.00,-14.00,-7.00
481.00,-10.05,0.20,-0.66,-0.00,0.00,-0.00,-73.00,-14.00,-7.00
493.00,-10.05,0.20,-0.66,-0.00,0.00,-0.00,-73.00,-14.00,-7.00
504.00,-10.05,0.17,-0.57,-0.00,0.00,-0.00,-73.00,-14.00,-7.00
516.00,-10.02,0.17,-0.41,-0.00,0.00,-0.00,-73.00,-14.00,-7.00
530.00,-10.02,0.17,-0.41,-0.00,0.00,-0.00,-73.00,-14.00,-7.00
542.00,-10.00,0.16,-0.29,-0.00,0.00,-0.00,-73.00,-14.00,-7.00
554.00,-10.00,0.16,-0.29,-0.00,0.00,-0.00,-73.00,-14.00,-7.00
565.00,-10.14,0.25,-0.68,-0.00,-0.00,-0.00,-73.00,-14.00,-7.00
578.00,-10.09,0.31,-0.48,0.00,-0.05,-0.01,-73.00,-11.00,-10.00
590.00,-10.09,0.31,-0.48,0.00,-0.05,-0.01,-73.00,-11.00,-10.00
602.00,-10.08,0.23,-0.48,-0.02,-0.08,0.00,-73.00,-11.00,-10.00
613.00,-10.08,0.23,-0.48,-0.02,-0.08,0.00,-73.00,-11.00,-10.00
617.00,-10.38,1.19,-1.67,-0.06,-0.14,0.00,-73.00,-11.00,-10.00
695.00,-10.42,0.10,3.19,-0.28,-2.36,0.04,-73.00,-11.00,-10.00
773.00,-10.69,1.30,4.26,-0.68,-4.02,0.78,-71.00,-11.00,3.00
851.00,-7.72,3.17,3.49,-1.21,-2.30,1.90,-67.00,1.00,32.00
941.00,-7.19,5.29,4.93,-1.50,-1.28,3.15,-67.00,1.00,32.00
953.00,-7.19,5.29,4.93,-1.50,-1.28,3.15,-67.00,1.00,32.00
965.00,-6.61,5.64,5.18,-1.46,-1.16,3.34,-71.00,18.00,43.00
976.00,-6.32,5.64,5.75,-1.39,-0.96,3.50,-71.00,18.00,43.00
988.00,-6.32,5.64,5.75,-1.39,-0.96,3.50,-71.00,18.00,43.00
1001.00,-6.61,5.57,6.09,-1.36,-0.88,3.62,-71.00,18.00,43.00
1012.00,-6.61,5.57,6.09,-1.36,-0.88,3.62,-71.00,18.00,43.00
1023.00,-6.56,5.93,6.33,-1.37,-1.00,3.73,-71.00,18.00,43.00
1035.00,-4.96,5.78,6.28,-1.36,-1.27,3.89,-71.00,18.00,43.00
1049.00,-4.96,5.78,6.28,-1.36,-1.27,3.89,-71.00,18.00,43.00
1060.00,-3.53,5.00,6.48,-1.34,-1.31,4.05,-71.00,18.00,43.00
1072.00,-3.53,5.00,6.48,-1.34,-1.31,4.05,-71.00,18.00,43.00
1083.00,-3.06,5.21,7.30,-1.35,-1.10,4.17,-71.00,18.00,43.00
1096.00,-2.60,5.31,7.93,-1.42,-0.71,4.24,-63.00,43.00,58.00
1108.00,-2.60,5.31,7.93,-1.42,-0.71,4.24,-63.00,43.00,58.00
1119.00,-2.26,5.39,8.21,-1.53,-0.36,4.25,-63.00,43.00,58.00
1131.00,-2.26,5.39,8.21,-1.53,-0.36,4.25,-63.00,43.00,58.00
1145.00,-2.20,5.28,8.59,-1.68,-0.09,4.21,-63.00,43.00,58.00
1156.00,-2.21,4.58,8.56,-1.85,0.10,4.12,-63.00,43.00,58.00
1168.00,-2.21,4.58,8.56,-1.85,0.10,4.12,-63.00,43.00,58.00
1179.00,-2.16,3.81,8.81,-2.01,0.14,4.01,-63.00,43.00,58.00
1192.00,-2.16,3.81,8.81,-2.01,0.14,4.01,-63.00,43.00,58.00
1204.00,-2.43,2.59,9.29,-2.13,0.08,3.90,-63.00,43.00,58.00
1215.00,-2.98,1.75,9.28,-2.19,0.05,3.78,-46.00,57.00,69.00
1227.00,-2.98,1.75,9.28,-2.19,0.05,3.78,-46.00,57.00,69.00
1239.00,-3.93,2.08,9.43,-2.23,-0.07,3.63,-46.00,57.00,69.00
1252.00,-3.93,2.08,9.43,-2.23,-0.07,3.63,-46.00,57.00,69.00
1264.00,-4.92,1.70,9.08,-2.24,-0.40,3.39,-46.00,57.00,69.00
1276.00,-5.27,0.76,8.57,-2.18,-0.81,3.09,-46.00,57.00,69.00
1287.00,-5.27,0.76,8.57,-2.18,-0.81,3.09,-46.00,57.00,69.00
1300.00,-5.19,-0.07,8.22,-2.05,-1.17,2.79,-46.00,57.00,69.00
1312.00,-5.19,-0.07,8.22,-2.05,-1.17,2.79,-46.00,57.00,69.00
1324.00,-5.33,-0.06,7.98,-1.89,-1.39,2.49,-46.00,57.00,69.00
1336.00,-5.34,-0.09,8.01,-1.76,-1.51,2.14,-27.00,60.00,82.00
1349.00,-5.34,-0.09,8.01,-1.76,-1.51,2.14,-27.00,60.00,82.00
1360.00,-4.87,-0.23,8.06,-1.69,-1.41,1.75,-27.00,60.00,82.00
1372.00,-4.87,-0.23,8.06,-1.69,-1.41,1.75,-27.00,60.00,82.00
1383.00,-3.98,-0.07,7.56,-1.65,-1.09,1.38,-27.00,60.00,82.00
1396.00,-3.33,-0.11,6.93,-1.60,-0.70,1.05,-27.00,60.00,82.00
1408.00,-3.33,-0.11,6.93,-1.60,-0.70,1.05,-27.00,60.00,82.00
1420.00,-2.43,-0.53,6.60,-1.53,-0.26,0.76,-27.00,60.00,82.00
1431.00,-2.43,-0.53,6.60,-1.53,-0.26,0.76,-27.00,60.00,82.00
1445.00,-1.65,-0.91,6.94,-1.44,0.20,0.48,-27.00,60.00,82.00
1456.00,-1.30,-1.27,7.51,-1.36,0.69,0.25,-18.00,51.00,93.00
1468.00,-1.30,-1.27,7.51,-1.36,0.69,0.25,-18.00,51.00,93.00
1479.00,-1.47,-1.17,7.83,-1.27,1.14,0.04,-18.00,51.00,93.00
1495.00,-1.47,-1.17,7.83,-1.27,1.14,0.04,-18.00,51.00,93.00
1506.00,-1.75,-0.83,7.97,-1.16,1.49,-0.15,-18.00,51.00,93.00
1518.00,-1.62,-0.85,8.33,-1.03,1.69,-0.31,-18.00,51.00,93.00
1529.00,-1.62,-0.85,8.33,-1.03,1.69,-0.31,-18.00,51.00,93.00
1540.00,-1.75,-0.98,8.47,-0.88,1.84,-0.45,-18.00,51.00,93.00
1554.00,-1.75,-0.98,8.47,-0.88,1.84,-0.45,-18.00,51.00,93.00
1565.00,-1.66,-1.16,8.18,-0.72,1.95,-0.55,-18.00,51.00,93.00
1577.00,1.14,2.30,24.65,-0.15,0.93,-0.32,-18.00,51.00,93.00
1588.00,1.14,2.30,24.65,-0.15,0.93,-0.32,-18.00,51.00,93.00
1601.00,2.76,1.57,5.37,1.13,-3.28,-0.27,-31.00,42.00,90.00
1613.00,2.76,1.57,5.37,1.13,-3.28,-0.27,-31.00,42.00,90.00
1624.00,-1.77,-1.34,4.16,1.29,-2.42,-0.20,-31.00,42.00,90.00
1636.00,-2.70,-0.42,5.43,1.22,-1.39,-0.22,-31.00,42.00,90.00
1649.00,-2.70,-0.42,5.43,1.22,-1.39,-0.22,-31.00,42.00,90.00
1661.00,8.92,4.14,20.76,1.02,-0.19,-0.27,-31.00,42.00,90.00
1672.00,8.92,4.14,20.76,1.02,-0.19,-0.27,-31.00,42.00,90.00
1684.00,3.46,-1.74,-3.85,0.01,0.04,0.05,-31.00,42.00,90.00
1697.00,1.08,2.65,1.01,0.02,-0.19,0.22,-31.00,42.00,90.00
1709.00,1.08,2.65,1.01,0.02,-0.19,0.22,-31.00,42.00,90.00
1720.00,-7.84,3.16,36.42,0.16,0.79,0.19,-23.00,48.00,87.00
1732.00,-7.84,3.16,36.42,0.16,0.79,0.19,-23.00,48.00,87.00
1744.00,-1.70,2.33,4.71,0.10,-0.05,0.06,-23.00,48.00,87.00
1756.00,-0.79,1.64,16.88,0.07,0.26,0.04,-23.00,48.00,87.00
1767.00,-0.79,1.64,16.88,0.07,0.26,0.04,-23.00,48.00,87.00
1779.00,-0.96,0.70,12.58,0.02,0.03,0.03,-23.00,48.00,87.00
1790.00,-0.96,0.70,12.58,0.02,0.03,0.03,-23.00,48.00,87.00
1804.00,0.54,0.43,9.51,0.01,-0.03,-0.01,-23.00,48.00,87.00
1816.00,-0.30,0.20,9.93,0.00,-0.00,-0.00,-23.00,48.00,87.00
1827.00,-0.30,0.20,9.93,0.00,-0.00,-0.00,-23.00,48.00,87.00
1839.00,0.09,-0.00,9.92,-0.00,-0.00,-0.00,-23.00,49.00,90.00
1853.00,0.09,-0.00,9.92,-0.00,-0.00,-0.00,-23.00,49.00,90.00
