time,ax,ay,az,gx,gy,gz
0.002,-10.01,0.18,-0.29,-0.0,0.0,-0.0
0.013,-10.01,0.18,-0.29,-0.0,0.0,-0.0
0.025,-10.03,0.17,-0.32,0.0,0.0,-0.0
0.035,-10.03,0.16830508474576272,-0.3352542372881356,0.0,0.0,0.0
0.045,-10.03,0.16661016949152543,-0.35050847457627116,0.0,0.0,0.0
0.055,-10.03,0.16491525423728814,-0.3657627118644068,0.0,0.0,0.0
0.065,-10.03,0.16322033898305086,-0.38101694915254236,0.0,0.0,0.0
0.07500000000000001,-10.03,0.16152542372881357,-0.39627118644067794,0.0,0.0,0.0
0.084,-10.03,0.16,-0.41,-0.0,0.0,-0.0
0.096,-10.04,0.17,-0.38,-0.0,0.0,-0.0
0.107,-10.04,0.17,-0.38,-0.0,0.0,-0.0
0.119,-10.01,0.17,-0.37,-0.0,0.0,-0.0
0.133,-10.01,0.17,-0.37,-0.0,0.0,-0.0
0.145,-10.03,0.16,-0.34,-0.0,0.0,-0.0
0.157,-10.03,0.16,-0.35,-0.0,0.0,-0.0
0.169,-10.03,0.16,-0.35,-0.0,0.0,-0.0
0.182,-10.01,0.17,-0.38,-0.0,0.0,-0.0
0.194,-10.02,0.16,-0.38,0.0,0.0,-0.0
0.205,-10.02,0.16,-0.38,0.0,0.0,-0.0
0.217,-10.04,0.16,-0.37,0.0,0.0,-0.0
0.228,-10.04,0.16,-0.37,0.0,0.0,-0.0
0.241,-10.03,0.18,-0.37,-0.0,0.0,-0.0
0.253,-10.03,0.18,-0.37,-0.0,0.0,-0.0
0.264,-10.02,0.19,-0.36,-0.0,0.0,-0.0
0.276,-10.04,0.17,-0.38,0.0,0.0,-0.0
0.29,-10.04,0.17,-0.38,0.0,0.0,-0.0
0.301,-10.03,0.17,-0.36,0.0,0.0,-0.0
0.313,-10.03,0.17,-0.36,0.0,0.0,-0.0
0.325,-10.02,0.17,-0.37,0.0,0.0,-0.0
0.338,-10.05,0.16,-0.38,0.0,0.0,-0.0
0.35,-10.05,0.16,-0.38,0.0,0.0,-0.0
0.362,-10.05,0.16,-0.38,0.0,0.0,-0.0
0.373,-10.05,0.16,-0.38,0.0,0.0,-0.0
0.386,-10.03,0.16,-0.38,0.0,0.0,-0.0
0.398,-10.03,0.16,-0.36,0.0,0.0,-0.0
0.409,-10.03,0.16,-0.36,0.0,0.0,-0.0
0.421,-10.02,0.17,-0.35,0.0,0.0,-0.0
0.434,-10.02,0.17,-0.35,0.0,0.0,-0.0
0.445,-10.02,0.17,-0.38,-0.0,0.0,-0.01
0.456,-10.06,0.17,-0.61,-0.0,0.0,-0.0
0.468,-10.06,0.17,-0.61,-0.0,0.0,-0.0
0.481,-10.05,0.2,-0.66,-0.0,0.0,-0.0
0.493,-10.05,0.2,-0.66,-0.0,0.0,-0.0
0.504,-10.05,0.17,-0.57,-0.0,0.0,-0.0
0.516,-10.02,0.17,-0.41,-0.0,0.0,-0.0
0.53,-10.02,0.17,-0.41,-0.0,0.0,-0.0
0.542,-10.0,0.16,-0.29,-0.0,0.0,-0.0
0.554,-10.0,0.16,-0.29,-0.0,0.0,-0.0
0.565,-10.14,0.25,-0.68,-0.0,-0.0,-0.0
0.578,-10.09,0.31,-0.48,0.0,-0.05,-0.01
0.59,-10.09,0.31,-0.48,0.0,-0.05,-0.01
0.602,-10.08,0.23,-0.48,-0.02,-0.08,0.0
0.613,-10.08,0.23,-0.48,-0.02,-0.08,0.0
0.617,-10.38,1.19,-1.67,-0.06,-0.14,0.0
0.627,-10.385128205128206,1.05025641025641,-1.046923076923076,-0.08820512820512824,-0.424615384615385,0.005128205128205136
0.637,-10.390256410256411,0.9105128205128201,-0.4238461538461522,-0.1164102564102565,-0.70923076923077,0.010256410256410272
0.647,-10.395384615384616,0.7707692307692302,0.19923076923077176,-0.14461538461538476,-0.993846153846155,0.015384615384615406
0.657,-10.400512820512821,0.6310256410256403,0.8223076923076955,-0.172820512820513,-1.2784615384615399,0.020512820512820544
0.667,-10.405641025641026,0.4912820512820504,1.4453846153846195,-0.20102564102564124,-1.5630769230769248,0.02564102564102568
0.677,-10.410769230769231,0.35153846153846047,2.0684615384615435,-0.2292307692307695,-1.8476923076923102,0.030769230769230813
0.687,-10.415897435897437,0.21179487179487044,2.6915384615384674,-0.2574358974358978,-2.132307692307695,0.03589743589743595
0.695,-10.42,0.1,3.19,-0.28,-2.36,0.04
0.705,-10.454615384615385,0.25384615384615383,3.327179487179487,-0.3312820512820513,-2.572820512820513,0.13487179487179488
0.715,-10.489230769230769,0.4076923076923077,3.464358974358974,-0.3825641025641026,-2.7856410256410253,0.22974358974358974
0.725,-10.523846153846154,0.5615384615384615,3.6015384615384614,-0.4338461538461539,-2.9984615384615383,0.3246153846153846
0.735,-10.558461538461538,0.7153846153846154,3.7387179487179485,-0.4851282051282052,-3.2112820512820512,0.41948717948717945
0.745,-10.593076923076923,0.8692307692307693,3.8758974358974356,-0.5364102564102564,-3.4241025641025638,0.5143589743589744
0.7549999999999999,-10.627692307692307,1.0230769230769214,4.013076923076921,-0.5876923076923072,-3.6369230769230745,0.6092307692307682
