time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr
0.001,9.57,0.23,-1.16,-0.0,0.0,-0.0,71.0,0.0,-86.0,9.642790052676663,0.0
0.013,9.57,0.23,-1.14,-0.0,0.0,-0.0,71.0,0.0,-86.0,9.640404555826482,0.0
0.025,9.57,0.23,-1.14,-0.0,0.0,-0.0,71.0,0.0,-86.0,9.640404555826482,0.0
0.085,9.56,0.24,-1.14,-0.0,0.0,0.0,71.0,1.0,-81.0,9.630721675970083,0.0
0.097,9.56,0.23,-1.15,0.0,0.0,-0.0,71.0,1.0,-81.0,9.6316665224664,0.0
0.108,9.56,0.23,-1.15,0.0,0.0,-0.0,71.0,1.0,-81.0,9.6316665224664,0.0
0.12,9.57,0.23,-1.16,0.0,0.0,-0.0,71.0,1.0,-81.0,9.642790052676663,0.0
0.131,9.57,0.23,-1.16,0.0,0.0,-0.0,71.0,1.0,-81.0,9.642790052676663,0.0
0.145,9.57,0.23,-1.14,-0.0,0.0,0.0,71.0,1.0,-81.0,9.640404555826482,0.0
0.157,9.56,0.23,-1.15,0.0,0.0,-0.0,69.0,-2.0,-86.0,9.6316665224664,0.0
0.168,9.56,0.23,-1.15,0.0,0.0,-0.0,69.0,-2.0,-86.0,9.6316665224664,0.0
0.18,9.57,0.23,-1.17,0.0,-0.0,-0.0,69.0,-2.0,-86.0,9.64399813355436,0.0
0.193,9.56,0.24,-1.14,0.0,-0.0,-0.0,69.0,-2.0,-86.0,9.630721675970083,0.0
0.205,9.56,0.24,-1.14,0.0,-0.0,-0.0,69.0,-2.0,-86.0,9.630721675970083,0.0
0.216,9.58,0.24,-1.15,-0.0,0.0,-0.0,69.0,-2.0,-86.0,9.651761497260487,0.0
0.228,9.58,0.24,-1.15,-0.0,0.0,-0.0,69.0,-2.0,-86.0,9.651761497260487,0.0
0.241,9.56,0.24,-1.17,-0.0,-0.0,-0.0,69.0,-2.0,-86.0,9.634318865389499,0.0
0.253,9.56,0.23,-1.13,-0.0,0.0,-0.0,69.0,-2.0,-86.0,9.629299039909395,0.0
0.264,9.56,0.23,-1.13,-0.0,0.0,-0.0,69.0,-2.0,-86.0,9.629299039909395,0.0
0.276,9.58,0.24,-1.13,-0.0,0.0,-0.0,74.0,0.0,-81.0,9.649398945012067,0.0
0.288,9.58,0.24,-1.13,-0.0,0.0,-0.0,74.0,0.0,-81.0,9.649398945012067,0.0
0.301,9.56,0.23,-1.17,0.0,0.0,-0.0,74.0,0.0,-81.0,9.634074942619037,0.0
0.312,9.56,0.23,-1.17,0.0,0.0,-0.0,74.0,0.0,-81.0,9.634074942619037,0.0
0.324,9.56,0.23,-1.16,0.0,0.0,-0.0,74.0,0.0,-81.0,9.632865617250145,0.0
0.336,9.57,0.23,-1.13,-0.0,0.0,-0.0,74.0,0.0,-81.0,9.63922714744289,0.0
0.349,9.57,0.23,-1.13,-0.0,0.0,-0.0,74.0,0.0,-81.0,9.63922714744289,0.0
0.36,9.57,0.23,-1.16,0.0,0.0,-0.0,74.0,0.0,-81.0,9.642790052676663,0.0
0.372,9.57,0.23,-1.16,0.0,0.0,-0.0,74.0,0.0,-81.0,9.642790052676663,0.0
0.383,9.56,0.23,-1.13,-0.0,0.0,-0.0,74.0,0.0,-81.0,9.629299039909395,0.0
0.396,9.56,0.23,-1.14,-0.0,0.0,-0.0,74.0,0.0,-81.0,9.630477662089248,0.0
0.407,9.56,0.23,-1.14,-0.0,0.0,-0.0,74.0,0.0,-81.0,9.630477662089248,0.0
0.419,9.57,0.23,-1.18,-0.0,0.0,-0.0,71.0,0.0,-86.0,9.64521643095685,0.0
0.43,9.57,0.23,-1.18,-0.0,0.0,-0.0,71.0,0.0,-86.0,9.64521643095685,0.0
0.442,9.58,0.24,-1.17,0.0,0.0,-0.0,71.0,0.0,-86.0,9.65416490433015,0.0
0.455,9.57,0.23,-1.15,-0.0,0.0,-0.0,71.0,0.0,-86.0,9.641592192164113,0.0
0.466,9.57,0.23,-1.15,-0.0,0.0,-0.0,71.0,0.0,-86.0,9.641592192164113,0.0
0.478,9.56,0.22,-1.15,-0.0,0.0,0.0,71.0,0.0,-86.0,9.631432915200106,0.0
0.49,9.56,0.22,-1.15,-0.0,0.0,0.0,71.0,0.0,-86.0,9.631432915200106,0.0
0.503,9.57,0.24,-1.13,0.0,0.0,0.0,71.0,0.0,-86.0,9.63947093983897,0.0
0.514,9.57,0.23,-1.15,-0.0,0.0,0.0,71.0,0.0,-86.0,9.641592192164113,0.0
0.526,9.57,0.23,-1.15,-0.0,0.0,0.0,71.0,0.0,-86.0,9.641592192164113,0.0
0.537,9.55,0.24,-1.14,-0.0,0.0,-0.0,74.0,1.0,-86.0,9.62079518543036,0.0
0.549,9.55,0.24,-1.14,-0.0,0.0,-0.0,74.0,1.0,-86.0,9.62079518543036,0.0
0.562,9.55,0.23,-1.15,-0.0,0.0,-0.0,74.0,1.0,-86.0,9.62174100669936,0.0
0.574,9.58,0.23,-1.16,0.0,0.0,-0.0,74.0,1.0,-86.0,9.65271464407811,0.0
0.586,9.58,0.23,-1.16,0.0,0.0,-0.0,74.0,1.0,-86.0,9.65271464407811,0.0
0.597,9.56,0.23,-1.16,-0.0,0.0,-0.0,74.0,1.0,-86.0,9.632865617250145,0.0
0.61,9.56,0.23,-1.16,-0.0,0.0,-0.0,74.0,1.0,-86.0,9.632865617250145,0.0
0.622,9.57,0.22,-1.17,-0.0,-0.0,-0.0,74.0,1.0,-86.0,9.643764825004807,0.0
0.634,9.58,0.22,-1.15,-0.0,0.0,-0.0,74.0,1.0,-86.0,9.651284888552405,0.0
0.645,9.58,0.22,-1.15,-0.0,0.0,-0.0,74.0,1.0,-86.0,9.651284888552405,0.0
0.658,9.56,0.23,-1.17,-0.0,0.0,-0.0,71.0,0.0,-81.0,9.634074942619037,0.0
0.67,9.56,0.23,-1.17,-0.0,0.0,-0.0,71.0,0.0,-81.0,9.634074942619037,0.0
0.681,9.56,0.22,-1.17,-0.0,0.0,-0.0,71.0,0.0,-81.0,9.633841393753585,0.0
0.693,9.56,0.23,-1.16,0.0,0.0,-0.0,71.0,0.0,-81.0,9.632865617250145,0.0
0.705,9.56,0.23,-1.16,0.0,0.0,-0.0,71.0,0.0,-81.0,9.632865617250145,0.0
0.718,9.57,0.23,-1.15,-0.0,0.0,-0.0,71.0,0.0,-81.0,9.641592192164113,0.0
0.73,9.57,0.23,-1.15,-0.0,0.0,-0.0,71.0,0.0,-81.0,9.641592192164113,0.0
0.741,9.57,0.23,-1.15,-0.0,0.0,-0.0,71.0,0.0,-81.0,9.641592192164113,0.0
0.753,9.58,0.23,-1.14,0.0,0.0,-0.0,71.0,0.0,-81.0,9.650331600520264,0.0
