time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr
0.223,-10.0,0.13,-0.66,-0.0,0.0,-0.0,-64.0,74.0,100.0,10.022599463213124,0.0
0.235,-10.01,0.14,-0.66,-0.0,0.0,-0.0,-64.0,74.0,100.0,10.03271149789527,0.0
0.247,-10.01,0.14,-0.66,-0.0,0.0,-0.0,-64.0,74.0,100.0,10.03271149789527,0.0
0.258,-10.0,0.15,-0.67,-0.0,0.0,-0.0,-64.0,74.0,100.0,10.023542288033706,0.0
0.271,-10.0,0.15,-0.67,-0.0,0.0,-0.0,-64.0,74.0,100.0,10.023542288033706,0.0
0.283,-10.01,0.15,-0.69,0.0,0.0,-0.0,-46.0,74.0,100.0,10.034874189545178,0.0
0.294,-10.01,0.15,-0.67,-0.0,0.0,-0.0,-46.0,74.0,100.0,10.033518824420472,0.0
0.305,-10.01,0.15,-0.67,-0.0,0.0,-0.0,-46.0,74.0,100.0,10.033518824420472,0.0
0.318,-10.02,0.13,-0.68,0.0,0.0,-0.0,-46.0,74.0,100.0,10.043888689148243,0.0
0.329,-10.02,0.13,-0.68,0.0,0.0,-0.0,-46.0,74.0,100.0,10.043888689148243,0.0
0.34,-10.01,0.14,-0.67,0.0,0.0,-0.0,-46.0,74.0,100.0,10.033374307779013,0.0
0.352,-10.01,0.14,-0.67,0.0,0.0,-0.0,-46.0,74.0,100.0,10.033374307779013,0.0
0.365,-10.01,0.13,-0.7,0.0,0.0,-0.0,-46.0,74.0,100.0,10.035287738774608,0.0
0.376,-10.02,0.14,-0.66,0.0,0.0,-0.0,-46.0,74.0,100.0,10.042688882963565,0.0
0.388,-10.02,0.14,-0.66,0.0,0.0,-0.0,-46.0,74.0,100.0,10.042688882963565,0.0
0.4,-10.02,0.13,-0.68,-0.0,-0.0,-0.0,-64.0,74.0,34.0,10.043888689148243,0.0
0.413,-10.02,0.13,-0.68,-0.0,-0.0,-0.0,-64.0,74.0,34.0,10.043888689148243,0.0
0.425,-10.02,0.15,-0.68,0.0,0.0,-0.0,-64.0,74.0,34.0,10.044167461766056,0.0
0.437,-10.02,0.15,-0.68,-0.0,0.0,-0.0,-64.0,74.0,34.0,10.044167461766056,0.0
0.449,-10.02,0.15,-0.68,-0.0,0.0,-0.0,-64.0,74.0,34.0,10.044167461766056,0.0
0.462,-10.01,0.14,-0.67,-0.0,0.0,-0.0,-64.0,74.0,34.0,10.033374307779013,0.0
0.473,-10.01,0.14,-0.67,-0.0,0.0,-0.0,-64.0,74.0,34.0,10.033374307779013,0.0
0.485,-10.0,0.15,-0.64,-0.0,0.0,-0.0,-64.0,74.0,34.0,10.021581711486466,0.0
0.497,-10.03,0.16,-0.71,-0.0,0.0,-0.0,-64.0,74.0,34.0,10.056371114870412,0.0
0.509,-10.03,0.16,-0.71,-0.0,0.0,-0.0,-64.0,74.0,34.0,10.056371114870412,0.0
0.522,-10.01,0.14,-0.69,0.0,0.0,-0.0,-82.0,74.0,100.0,10.034729692423209,0.0
0.533,-10.01,0.14,-0.69,0.0,0.0,-0.0,-82.0,74.0,100.0,10.034729692423209,0.0
0.543,-10.01,0.13,-0.66,0.0,0.0,0.0,-82.0,74.0,100.0,10.03257693715827,0.0
0.555,-10.01,0.15,-0.71,0.0,0.0,-0.0,-82.0,74.0,100.0,10.036269227158067,0.0
0.568,-10.01,0.15,-0.71,0.0,0.0,-0.0,-82.0,74.0,100.0,10.036269227158067,0.0
0.579,-10.0,0.14,-0.68,-0.0,-0.0,-0.0,-82.0,74.0,100.0,10.024071029277476,0.0
0.591,-10.0,0.14,-0.68,-0.0,-0.0,-0.0,-82.0,74.0,100.0,10.024071029277476,0.0
0.603,-10.0,0.13,-0.66,-0.0,-0.0,-0.0,-82.0,74.0,100.0,10.022599463213124,0.0
0.616,-10.01,0.14,-0.65,-0.0,0.0,-0.0,-82.0,74.0,100.0,10.032058612268969,0.0
0.627,-10.01,0.14,-0.65,-0.0,0.0,-0.0,-82.0,74.0,100.0,10.032058612268969,0.0
0.639,-10.06,0.19,-0.87,-0.0,0.0,0.0,-82.0,74.0,100.0,10.09933661187704,0.0
0.651,-10.06,0.19,-0.87,-0.0,0.0,0.0,-82.0,74.0,100.0,10.09933661187704,0.0
0.663,-10.04,0.14,-0.76,0.0,-0.02,-0.0,-82.0,87.0,34.0,10.069697115603825,1.1459155902616465
0.675,-9.99,0.13,-0.65,0.0,-0.01,-0.0,-82.0,87.0,34.0,10.011967838542033,0.5729577951308232
0.686,-9.99,0.13,-0.65,0.0,-0.01,-0.0,-82.0,87.0,34.0,10.011967838542033,0.5729577951308232
0.698,-10.0,0.11,-0.67,0.0,-0.01,-0.0,-82.0,87.0,34.0,10.023023495931755,0.5729577951308232
0.711,-10.0,0.11,-0.67,0.0,-0.01,-0.0,-82.0,87.0,34.0,10.023023495931755,0.5729577951308232
0.722,-10.08,0.15,-0.88,0.0,-0.01,-0.0,-82.0,87.0,34.0,10.119451566167012,0.5729577951308232
0.734,-10.2,-0.1,-1.25,0.02,-0.05,-0.01,-82.0,87.0,34.0,10.276794247234884,3.138219088915755
0.746,-10.2,-0.1,-1.25,0.02,-0.05,-0.01,-82.0,87.0,34.0,10.276794247234884,3.138219088915755
0.759,-10.1,0.41,-0.84,0.04,-0.11,-0.02,-82.0,87.0,34.0,10.143160257040208,6.803496860818383
0.77,-10.1,0.41,-0.84,0.04,-0.11,-0.02,-82.0,87.0,34.0,10.143160257040208,6.803496860818383
0.782,-10.18,0.27,-0.94,0.01,-0.18,-0.01,-46.0,74.0,34.0,10.22687146687588,10.34502233010557
