time,ax,ay,az,gx,gy,gz
0.002,9.58,-0.21,-0.91,-0.0,0.0,-0.0
0.013,9.58,-0.22,-0.91,0.0,0.0,-0.0
0.024,9.58,-0.22,-0.91,0.0,0.0,-0.0
0.034,9.581639344262294,-0.22,-0.9116393442622951,0.0,0.0,0.0
0.044,9.58327868852459,-0.22,-0.9132786885245902,0.0,0.0,0.0
0.054,9.584918032786884,-0.22,-0.9149180327868853,0.0,0.0,0.0
0.064,9.58655737704918,-0.22,-0.9165573770491804,0.0,0.0,0.0
0.07400000000000001,9.588196721311474,-0.22,-0.9181967213114755,0.0,0.0,0.0
0.085,9.59,-0.22,-0.92,0.0,0.0,-0.0
0.097,9.59,-0.22,-0.91,-0.0,0.0,-0.0
0.109,9.59,-0.22,-0.91,-0.0,0.0,-0.0
0.121,9.59,-0.23,-0.91,-0.0,0.0,-0.0
0.133,9.57,-0.22,-0.91,-0.0,0.0,-0.0
0.146,9.57,-0.22,-0.91,-0.0,0.0,-0.0
0.158,9.57,-0.22,-0.91,-0.0,0.0,-0.0
0.17,9.57,-0.22,-0.91,-0.0,0.0,-0.0
0.181,9.56,-0.23,-0.92,-0.0,0.0,-0.0
0.194,9.59,-0.23,-0.93,0.0,0.0,-0.0
0.206,9.59,-0.23,-0.93,0.0,0.0,-0.0
0.217,9.58,-0.23,-0.93,0.0,0.0,-0.0
0.229,9.58,-0.23,-0.93,0.0,0.0,-0.0
0.243,9.58,-0.23,-0.92,-0.0,0.0,-0.0
0.255,9.58,-0.23,-0.92,-0.0,0.0,-0.0
0.266,9.58,-0.23,-0.92,-0.0,0.0,-0.0
0.278,9.59,-0.21,-0.92,-0.0,0.0,-0.0
0.29,9.59,-0.21,-0.92,-0.0,0.0,-0.0
0.304,9.58,-0.23,-0.91,-0.0,0.0,-0.0
0.315,9.58,-0.22,-0.93,-0.0,0.0,-0.0
0.327,9.58,-0.22,-0.93,-0.0,0.0,-0.0
0.338,9.58,-0.22,-0.9,-0.0,0.0,-0.0
0.351,9.58,-0.22,-0.9,-0.0,0.0,-0.0
0.363,9.58,-0.22,-0.91,-0.0,0.0,-0.0
0.374,9.58,-0.25,-1.02,-0.0,0.0,-0.0
0.385,9.58,-0.25,-1.02,-0.0,0.0,-0.0
0.399,9.56,-0.23,-0.77,-0.0,0.0,-0.0
0.41,9.56,-0.23,-0.77,-0.0,0.0,-0.0
0.422,9.64,-0.13,-0.61,-0.0,0.0,-0.01
0.433,9.59,-0.22,-0.96,0.0,0.01,-0.0
0.447,9.59,-0.22,-0.96,0.0,0.01,-0.0
0.459,9.58,-0.29,-1.26,0.01,0.02,-0.0
0.47,9.58,-0.29,-1.26,0.01,0.02,-0.0
0.482,9.66,-0.23,-1.08,0.0,0.02,-0.0
0.493,9.91,-0.28,-1.96,-0.0,0.08,-0.0
0.507,9.91,-0.28,-1.96,-0.0,0.08,-0.0
0.518,10.08,-0.23,-2.57,0.01,0.25,0.0
0.53,10.08,-0.23,-2.57,0.01,0.25,0.0
0.541,10.23,-0.35,-2.75,0.04,0.51,0.02
0.554,10.19,0.12,-2.63,0.04,0.83,0.03
0.566,10.19,0.12,-2.63,0.04,0.83,0.03
0.578,10.13,-0.31,-2.61,0.0,1.18,0.03
0.59,10.13,-0.31,-2.61,0.0,1.18,0.03
0.603,10.04,-0.25,-2.46,-0.01,1.55,0.02
0.614,9.66,-0.37,-1.67,0.02,1.9,0.04
0.626,9.66,-0.37,-1.67,0.02,1.9,0.04
0.638,9.38,-0.08,-0.77,0.03,2.18,0.05
0.649,9.38,-0.08,-0.77,0.03,2.18,0.05
0.662,9.28,-0.2,-0.43,0.02,2.42,0.04
0.673,9.28,-0.2,-0.43,0.02,2.42,0.04
0.685,10.01,-0.49,-0.15,0.01,2.69,0.04
0.696,13.7,-0.9,1.96,0.08,2.97,-0.02
0.71,13.7,-0.9,1.96,0.08,2.97,-0.02
0.721,8.81,-0.21,0.91,0.03,3.2,0.04
0.733,8.81,-0.21,0.91,0.03,3.2,0.04
0.744,8.41,-0.13,1.35,-0.02,3.4,0.04
0.756,7.74,-0.18,2.5,0.03,3.62,0.07
0.77,7.74,-0.18,2.5,0.03,3.62,0.07
0.782,6.87,-0.16,3.9,0.04,3.79,0.08
0.793,6.87,-0.16,3.9,0.04,3.79,0.08
0.805,6.46,0.15,4.44,-0.01,3.87,0.06
0.818,6.18,0.09,4.54,-0.01,3.96,0.06
0.83,6.18,0.09,4.54,-0.01,3.96,0.06
0.841,5.16,-0.04,5.78,0.03,4.05,0.1
0.852,5.16,-0.04,5.78,0.03,4.05,0.1
0.864,3.94,-0.1,7.49,0.03,4.03,0.09
0.877,3.39,-0.04,7.83,-0.02,3.89,0.05
0.889,3.39,-0.04,7.83,-0.02,3.89,0.05
0.9,3.4,0.23,7.66,-0.03,3.75,0.05
0.912,3.4,0.23,7.66,-0.03,3.75,0.05
0.925,2.85,0.32,8.58,0.03,3.64,0.09
0.937,1.49,0.1,9.83,0.07,3.45,0.11
0.948,1.49,0.1,9.83,0.07,3.45,0.11
0.959,1.27,-0.35,11.31,0.07,3.19,0.11
0.973,1.27,-0.35,11.31,0.07,3.19,0.11
0.984,0.22,-0.43,11.19,0.02,2.79,0.08
0.996,0.72,-0.16,10.99,-0.02,2.42,0.04
1.008,0.72,-0.16,10.99,-0.02,2.42,0.04
1.019,0.2,-0.2,11.61,-0.02,2.06,0.03
1.032,0.2,-0.2,11.61,-0.02,2.06,0.03
1.043,0.23,-0.7,11.5,-0.01,1.69,0.02
1.056,0.06,-1.37,11.12,0.0,1.37,0.01
1.067,0.06,-1.37,11.12,0.0,1.37,0.01
1.081,1.12,-1.35,10.42,0.02,1.13,0.01
1.092,1.12,-1.35,10.42,0.02,1.13,0.01
1.104,0.76,-0.88,10.12,0.05,0.99,0.03
1.115,0.66,-0.54,9.8,0.05,0.95,0.03
1.129,0.66,-0.54,9.8,0.05,0.95,0.03
1.14,0.71,-0.41,8.87,0.02,1.0,0.01
1.152,0.71,-0.41,8.87,0.02,1.0,0.01
1.164,1.31,-0.2,7.94,0.03,1.19,0.0
1.175,-5.3,-1.03,31.06,0.03,1.4,0.05
1.18,-5.3,-1.03,31.06,0.03,1.4,0.05
1.19,-4.679487179487179,-0.9479487179487179,28.343333333333334,0.026153846153846153,1.2217948717948717,0.04230769230769231
1.2,-4.058974358974359,-0.865897435897436,25.626666666666665,0.022307692307692306,1.0435897435897434,0.03461538461538462
1.21,-3.4384615384615382,-0.7838461538461539,22.91,0.01846153846153846,0.8653846153846153,0.026923076923076925
1.22,-2.8179487179487177,-0.7017948717948719,20.193333333333335,0.014615384615384615,0.6871794871794872,0.019230769230769232
1.23,-2.197435897435897,-0.6197435897435898,17.476666666666667,0.01076923076923077,0.5089743589743589,0.011538461538461539
1.24,-1.5769230769230766,-0.5376923076923077,14.760000000000002,0.006923076923076924,0.3307692307692307,0.0038461538461538464
1.25,-0.9564102564102566,-0.4556410256410257,12.043333333333333,0.003076923076923078,0.15256410256410247,-0.0038461538461538464
1.258,-0.46,-0.39,9.87,0.0,0.01,-0.01
1.268,-0.40871794871794875,-0.38230769230769235,9.868717948717949,0.0,0.008717948717948718,-0.008717948717948718
1.278,-0.35743589743589743,-0.37461538461538463,9.867435897435897,0.0,0.0074358974358974365,-0.0074358974358974365
1.288,-0.30615384615384617,-0.36692307692307696,9.866153846153846,0.0,0.006153846153846154,-0.006153846153846154
1.298,-0.2548717948717949,-0.35923076923076924,9.864871794871794,0.0,0.004871794871794872,-0.004871794871794872
1.308,-0.20358974358974358,-0.3515384615384616,9.863589743589744,0.0,0.00358974358974359,-0.00358974358974359
1.318,-0.1523076923076923,-0.34384615384615386,9.862307692307692,0.0,0.0023076923076923083,-0.0023076923076923083
1.328,-0.10102564102564099,-0.3361538461538462,9.861025641025641,0.0,0.0010256410256410265,-0.0010256410256410265
1.336,-0.06,-0.33,9.86,-0.0,0.0,-0.0
1.346,-0.05871794871794871,-0.33256410256410257,9.858717948717949,0.0,0.0,0.0
1.356,-0.05743589743589743,-0.3351282051282051,9.857435897435897,0.0,0.0,0.0
1.366,-0.056153846153846144,-0.33769230769230774,9.856153846153846,0.0,0.0,0.0
1.3760000000000001,-0.05487179487179486,-0.3402564102564103,9.854871794871794,0.0,0.0,0.0
1.3860000000000001,-0.053589743589743576,-0.34282051282051285,9.853589743589744,0.0,0.0,0.0
1.3960000000000001,-0.05230769230769229,-0.3453846153846154,9.852307692307692,0.0,0.0,0.0
1.4060000000000001,-0.051025641025641,-0.34794871794871796,9.851025641025641,0.0,0.0,0.0
1.414,-0.05,-0.35,9.85,0.0,0.0,-0.0
1.424,-0.051111111111111114,-0.34777777777777774,9.848888888888888,0.0,0.0,0.0
1.434,-0.052222222222222225,-0.34555555555555556,9.847777777777777,0.0,0.0,0.0
1.444,-0.05333333333333334,-0.3433333333333333,9.846666666666666,0.0,0.0,0.0
1.454,-0.05444444444444445,-0.3411111111111111,9.845555555555555,0.0,0.0,0.0
1.464,-0.05555555555555555,-0.3388888888888889,9.844444444444445,0.0,0.0,0.0
1.474,-0.056666666666666664,-0.33666666666666667,9.843333333333334,0.0,0.0,0.0
1.484,-0.057777777777777775,-0.33444444444444443,9.842222222222222,0.0,0.0,0.0
1.494,-0.058888888888888886,-0.33222222222222225,9.841111111111111,0.0,0.0,0.0
1.504,-0.06,-0.33,9.84,0.0,0.0,-0.0
1.515,-0.04,-0.34,9.84,0.0,0.0,-0.0
1.527,-0.04,-0.34,9.84,0.0,0.0,-0.0
1.539,-0.06,-0.34,9.85,-0.0,0.0,-0.0
1.552,-0.06,-0.34,9.85,-0.0,0.0,-0.0
1.564,-0.06,-0.35,9.84,-0.0,0.0,-0.0
1.575,-0.05,-0.35,9.86,-0.0,0.0,-0.0
1.587,-0.05,-0.35,9.86,-0.0,0.0,-0.0
1.6,-0.05,-0.34,9.84,-0.0,0.0,-0.0
1.612,-0.05,-0.34,9.84,-0.0,0.0,-0.0
1.624,-0.05,-0.33,9.84,0.0,0.0,-0.0
1.635,-0.04,-0.35,9.85,-0.0,0.0,-0.0
1.648,-0.04,-0.35,9.85,-0.0,0.0,-0.0
1.659,-0.05,-0.34,9.85,-0.0,0.0,-0.0
1.671,-0.05,-0.34,9.85,-0.0,0.0,-0.0
1.682,-0.04,-0.34,9.82,-0.0,0.0,-0.0
1.696,-0.04,-0.34,9.84,-0.0,0.0,-0.0
1.708,-0.04,-0.34,9.84,-0.0,0.0,-0.0
1.719,-0.06,-0.34,9.86,-0.0,0.0,-0.0
1.731,-0.06,-0.34,9.86,-0.0,0.0,-0.0
1.745,-0.06,-0.35,9.86,-0.0,0.0,-0.0
1.757,-0.05,-0.34,9.86,-0.0,0.0,-0.0
1.768,-0.05,-0.34,9.86,-0.0,0.0,-0.0
1.78,-0.03,-0.34,9.86,-0.0,0.0,-0.01
1.792,-0.03,-0.34,9.86,-0.0,0.0,-0.01
1.805,-0.04,-0.34,9.83,-0.0,0.0,-0.0
1.817,-0.05,-0.35,9.85,-0.0,0.0,-0.01
1.829,-0.05,-0.35,9.85,-0.0,0.0,-0.01
1.84,-0.03,-0.32,9.84,-0.0,0.0,-0.0
1.853,-0.03,-0.32,9.84,-0.0,0.0,-0.0
1.865,-0.04,-0.34,9.83,-0.0,0.0,-0.0
1.876,-0.05,-0.35,9.83,-0.0,0.0,-0.0
1.888,-0.05,-0.35,9.83,-0.0,0.0,-0.0
1.901,-0.04,-0.34,9.84,-0.0,0.0,-0.01
1.912,-0.04,-0.34,9.84,-0.0,0.0,-0.01
1.924,-0.04,-0.35,9.83,-0.0,0.0,-0.0
1.936,-0.07,-0.34,9.82,-0.0,0.0,-0.0
1.949,-0.07,-0.34,9.82,-0.0,0.0,-0.0
1.961,-0.05,-0.34,9.86,-0.0,0.0,-0.0
1.973,-0.05,-0.34,9.86,-0.0,0.0,-0.0
1.985,-0.05,-0.34,9.85,-0.0,0.0,-0.0
1.998,-0.05,-0.34,9.84,-0.0,0.0,-0.0
2.009,-0.05,-0.34,9.84,-0.0,0.0,-0.0
2.02,-0.05,-0.34,9.87,-0.0,0.0,-0.0
2.032,-0.05,-0.34,9.87,-0.0,0.0,-0.0
2.045,-0.04,-0.34,9.83,-0.0,0.0,-0.0
2.057,-0.05,-0.33,9.84,-0.0,0.0,-0.0
2.068,-0.05,-0.33,9.84,-0.0,0.0,-0.0
2.079,-0.04,-0.35,9.84,0.0,0.0,-0.0
2.093,-0.04,-0.35,9.84,0.0,0.0,-0.0
2.105,-0.05,-0.35,9.86,0.0,0.0,-0.0
2.116,-0.05,-0.34,9.85,-0.0,0.0,-0.0
2.128,-0.05,-0.34,9.85,-0.0,0.0,-0.0
2.14,-0.04,-0.34,9.84,-0.0,0.0,-0.0
2.153,-0.04,-0.34,9.84,-0.0,0.0,-0.0
2.165,-0.04,-0.34,9.85,-0.0,0.0,-0.0
2.177,-0.05,-0.34,9.83,-0.0,0.0,-0.01
2.188,-0.05,-0.34,9.83,-0.0,0.0,-0.01
2.201,-0.05,-0.34,9.84,-0.0,0.0,-0.0
2.213,-0.05,-0.34,9.84,-0.0,0.0,-0.0
2.225,-0.06,-0.34,9.84,0.0,0.0,-0.0
2.237,-0.05,-0.35,9.86,-0.0,0.0,-0.0
2.249,-0.05,-0.35,9.86,-0.0,0.0,-0.0
2.261,-0.04,-0.34,9.87,0.0,0.0,-0.0
2.273,-0.04,-0.34,9.87,0.0,0.0,-0.0
2.285,-0.05,-0.31,9.82,-0.0,0.0,-0.0
2.298,-0.04,-0.33,9.85,-0.0,0.0,-0.0
2.309,-0.04,-0.33,9.85,-0.0,0.0,-0.0
2.321,-0.04,-0.34,9.83,-0.0,0.0,-0.0
2.332,-0.04,-0.34,9.83,-0.0,0.0,-0.0
2.345,-0.03,-0.33,9.83,-0.0,0.0,-0.0
2.358,-0.05,-0.34,9.85,0.0,0.0,-0.0
2.369,-0.05,-0.34,9.85,0.0,0.0,-0.0
2.381,-0.05,-0.34,9.84,-0.0,0.0,-0.0
2.395,-0.05,-0.34,9.84,-0.0,0.0,-0.0
2.407,-0.06,-0.34,9.85,-0.0,0.0,-0.0
2.418,-0.06,-0.33,9.85,-0.0,0.0,-0.0
2.43,-0.06,-0.33,9.85,-0.0,0.0,-0.0
2.444,-0.05,-0.34,9.82,-0.0,0.0,-0.01
2.456,-0.05,-0.34,9.83,-0.0,0.0,-0.0
2.467,-0.05,-0.34,9.83,-0.0,0.0,-0.0
2.479,-0.06,-0.35,9.85,-0.0,0.0,-0.0
2.492,-0.06,-0.35,9.85,-0.0,0.0,-0.0
2.503,-0.04,-0.35,9.83,-0.0,0.0,-0.0
2.515,-0.04,-0.35,9.83,-0.0,0.0,-0.0
2.526,-0.05,-0.34,9.85,0.0,0.0,-0.0
2.538,-0.04,-0.34,9.85,-0.0,0.0,-0.0
2.551,-0.04,-0.34,9.85,-0.0,0.0,-0.0
2.562,-0.06,-0.33,9.84,-0.0,0.0,-0.0
2.573,-0.06,-0.33,9.84,-0.0,0.0,-0.0
2.585,-0.05,-0.33,9.86,-0.0,0.0,-0.0
2.598,-0.05,-0.33,9.86,-0.0,0.0,-0.0
2.61,-0.05,-0.33,9.86,-0.0,0.0,-0.0
2.621,-0.04,-0.33,9.85,-0.0,0.0,-0.0
2.633,-0.04,-0.33,9.85,-0.0,0.0,-0.0
2.646,-0.03,-0.34,9.85,0.0,0.0,-0.0
2.658,-0.05,-0.34,9.85,0.0,0.0,-0.0
2.669,-0.05,-0.34,9.85,0.0,0.0,-0.0
