time,ax,ay,az,gx,gy,gz
0.002,9.58,-0.39,-0.93,0.0,0.0,-0.0
0.013,9.57,-0.38,-0.95,-0.0,-0.01,-0.0
0.025,9.57,-0.38,-0.95,-0.0,-0.01,-0.0
0.035,9.568360655737706,-0.38,-0.9680327868852459,0.0,-0.01,0.0
0.045,9.56672131147541,-0.38,-0.9860655737704918,0.0,-0.01,0.0
0.055,9.565081967213116,-0.38,-1.0040983606557377,0.0,-0.01,0.0
0.065,9.56344262295082,-0.38,-1.0221311475409836,0.0,-0.01,0.0
0.07500000000000001,9.561803278688526,-0.38,-1.0401639344262295,0.0,-0.01,0.0
0.086,9.56,-0.38,-1.06,-0.0,-0.01,0.0
0.097,9.55,-0.37,-1.08,-0.0,-0.0,-0.0
0.109,9.57,-0.38,-1.05,-0.0,0.0,-0.0
0.121,9.57,-0.38,-1.05,-0.0,0.0,-0.0
0.132,9.58,-0.37,-1.02,-0.0,0.0,-0.0
0.146,9.58,-0.37,-1.02,-0.0,0.0,-0.0
0.156,9.57,-0.38,-0.98,0.0,0.01,-0.0
0.168,9.57,-0.38,-0.98,0.0,0.01,-0.0
0.18,9.58,-0.38,-0.99,-0.0,0.0,-0.0
0.192,9.52,-0.39,-1.22,0.0,0.01,-0.0
0.204,9.52,-0.39,-1.22,0.0,0.01,-0.0
0.216,9.52,-0.44,-1.25,0.01,0.04,-0.0
0.227,9.52,-0.44,-1.25,0.01,0.04,-0.0
0.24,9.48,-0.48,-1.46,0.0,0.09,-0.01
0.251,9.81,-0.02,-1.02,-0.02,0.16,-0.02
0.263,9.81,-0.02,-1.02,-0.02,0.16,-0.02
0.275,10.11,-0.54,-2.17,-0.04,0.2,-0.01
0.287,10.11,-0.54,-2.17,-0.04,0.2,-0.01
0.3,10.49,-0.97,-2.72,-0.0,0.44,0.02
0.312,10.73,-0.6,-1.93,0.02,0.81,0.02
0.323,10.73,-0.6,-1.93,0.02,0.81,0.02
0.335,10.74,-1.84,-0.27,0.03,1.43,0.04
0.348,10.74,-1.84,-0.27,0.03,1.43,0.04
0.36,10.88,-2.05,1.93,-0.04,2.21,0.05
0.371,10.09,-2.14,3.06,-0.17,2.62,0.0
0.383,10.09,-2.14,3.06,-0.17,2.62,0.0
0.395,10.82,-2.38,3.82,-0.33,2.8,-0.08
0.407,10.82,-2.38,3.82,-0.33,2.8,-0.08
0.419,11.0,-2.5,3.87,-0.49,2.78,-0.2
0.431,11.15,-2.75,3.85,-0.63,2.51,-0.36
0.444,11.15,-2.75,3.85,-0.63,2.51,-0.36
0.456,11.22,-2.42,3.91,-0.73,2.1,-0.55
0.468,11.22,-2.42,3.91,-0.73,2.1,-0.55
0.479,11.15,-2.35,3.97,-0.81,1.54,-0.74
0.491,10.98,-1.9,3.53,-0.88,0.99,-0.95
0.504,10.98,-1.9,3.53,-0.88,0.99,-0.95
0.515,11.39,-2.34,4.35,-0.93,0.6,-1.14
0.527,11.39,-2.34,4.35,-0.93,0.6,-1.14
0.538,10.93,-1.63,4.03,-1.0,0.25,-1.33
0.552,10.44,-1.4,3.66,-1.08,0.03,-1.51
0.564,10.44,-1.4,3.66,-1.08,0.03,-1.51
0.576,10.01,-1.11,3.52,-1.17,-0.02,-1.69
0.587,10.01,-1.11,3.52,-1.17,-0.02,-1.69
0.6,9.51,-0.53,3.51,-1.25,0.01,-1.86
0.611,9.04,-0.02,3.37,-1.35,0.07,-2.03
0.623,9.04,-0.02,3.37,-1.35,0.07,-2.03
0.635,8.78,0.5,3.42,-1.46,0.13,-2.19
0.646,8.78,0.5,3.42,-1.46,0.13,-2.19
0.659,8.83,0.99,3.52,-1.58,0.13,-2.35
0.671,8.66,1.41,3.51,-1.71,0.13,-2.49
0.683,8.66,1.41,3.51,-1.71,0.13,-2.49
0.696,8.52,1.81,3.48,-1.83,0.15,-2.62
0.709,8.52,1.81,3.48,-1.83,0.15,-2.62
0.721,8.42,2.13,3.51,-1.93,0.2,-2.74
0.732,8.55,2.68,3.75,-2.03,0.24,-2.86
0.744,8.55,2.68,3.75,-2.03,0.24,-2.86
0.757,8.81,3.31,4.06,-2.11,0.2,-2.97
0.768,8.81,3.31,4.06,-2.11,0.2,-2.97
0.78,8.84,3.77,4.18,-2.19,0.12,-3.06
0.792,8.6,4.05,4.15,-2.26,0.06,-3.14
0.803,8.6,4.05,4.15,-2.26,0.06,-3.14
0.817,8.24,4.31,4.07,-2.31,0.06,-3.21
0.829,8.24,4.31,4.07,-2.31,0.06,-3.21
0.84,8.09,4.63,4.15,-2.33,0.12,-3.27
0.852,7.88,5.09,4.28,-2.34,0.17,-3.32
0.866,7.88,5.09,4.28,-2.34,0.17,-3.32
0.878,7.56,5.36,4.44,-2.33,0.18,-3.36
0.889,7.56,5.36,4.44,-2.33,0.18,-3.36
0.9,7.0,5.59,4.41,-2.31,0.2,-3.4
0.912,6.3,5.92,4.01,-2.26,0.35,-3.42
0.925,6.3,5.92,4.01,-2.26,0.35,-3.42
0.937,5.85,6.09,3.69,-2.19,0.63,-3.44
0.949,5.85,6.09,3.69,-2.19,0.63,-3.44
0.96,5.59,6.2,4.08,-2.07,0.91,-3.46
0.964,5.59,6.2,4.08,-2.07,0.91,-3.46
0.974,5.29886075949367,6.213924050632912,4.192658227848101,-2.0218987341772148,0.8631645569620253,-3.4536708860759493
0.984,5.007721518987341,6.227848101265823,4.305316455696203,-1.9737974683544302,0.8163291139240505,-3.4473417721518986
0.994,4.716582278481011,6.241772151898735,4.417974683544304,-1.9256962025316453,0.7694936708860758,-3.441012658227848
1.004,4.425443037974682,6.255696202531645,4.530632911392406,-1.8775949367088605,0.7226582278481011,-3.4346835443037973
1.014,4.134303797468352,6.269620253164557,4.643291139240507,-1.8294936708860756,0.6758227848101263,-3.428354430379747
1.024,3.843164556962023,6.283544303797468,4.755949367088609,-1.7813924050632908,0.6289873417721515,-3.4220253164556964
1.034,3.552025316455693,6.2974683544303796,4.86860759493671,-1.7332911392405057,0.5821518987341767,-3.4156962025316457
1.043,3.29,6.31,4.97,-1.69,0.54,-3.41
1.053,2.9458441558441564,6.1697402597402595,5.05051948051948,-1.6588311688311688,0.5698701298701299,-3.360649350649351
1.063,2.6016883116883127,6.029480519480519,5.131038961038961,-1.6276623376623376,0.5997402597402597,-3.3112987012987016
1.073,2.257532467532469,5.88922077922078,5.211558441558441,-1.5964935064935066,0.6296103896103895,-3.2619480519480524
1.083,1.9133766233766254,5.74896103896104,5.2920779220779215,-1.5653246753246755,0.6594805194805193,-3.2125974025974027
1.093,1.5692207792207817,5.6087012987013,5.3725974025974015,-1.5341558441558443,0.6893506493506492,-3.1632467532467534
1.103,1.225064935064938,5.46844155844156,5.453116883116882,-1.5029870129870133,0.719220779220779,-3.113896103896104
1.113,0.8809090909090944,5.32818181818182,5.533636363636362,-1.4718181818181821,0.7490909090909088,-3.064545454545455
1.12,0.64,5.23,5.59,-1.45,0.77,-3.03
1.1300000000000001,0.5982278481012657,5.0135443037974685,5.622911392405063,-1.431012658227848,0.6269620253164555,-2.9793670886075945
1.1400000000000001,0.5564556962025315,4.797088607594937,5.655822784810127,-1.4120253164556962,0.48392405063291105,-2.9287341772151896
1.1500000000000001,0.5146835443037973,4.580632911392405,5.688734177215189,-1.3930379746835442,0.3408860759493666,-2.8781012658227842
1.1600000000000001,0.4729113924050631,4.364177215189873,5.721645569620253,-1.3740506329113924,0.19784810126582209,-2.8274683544303794
1.1700000000000002,0.4311392405063288,4.147721518987341,5.754556962025316,-1.3550632911392404,0.054810126582277574,-2.776835443037974
1.1800000000000002,0.38936708860759456,3.9312658227848085,5.78746835443038,-1.3360759493670884,-0.08822784810126683,-2.726202531645569
1.1900000000000002,0.3475949367088603,3.714810126582276,5.820379746835443,-1.3170886075949366,-0.23126582278481145,-2.675569620253164
1.199,0.31,3.52,5.85,-1.3,-0.36,-2.63
1.209,0.30213483146067416,3.3346067415730336,5.9466292134831455,-1.2685393258426967,-0.34988764044943815,-2.581685393258427
1.219,0.29426966292134826,3.149213483146067,6.043258426966292,-1.237078651685393,-0.3397752808988764,-2.533370786516854
1.229,0.2864044943820224,2.9638202247191003,6.139887640449438,-1.2056179775280897,-0.32966292134831454,-2.4850561797752806
1.239,0.2785393258426966,2.778426966292134,6.236516853932584,-1.1741573033707864,-0.31955056179775276,-2.4367415730337076
1.249,0.27067415730337074,2.5930337078651675,6.333146067415731,-1.142696629213483,-0.30943820224719093,-2.3884269662921347
1.2590000000000001,0.2628089887640449,2.407640449438201,6.429775280898877,-1.1112359550561797,-0.29932584269662915,-2.3401123595505613
1.2690000000000001,0.254943820224719,2.2222471910112347,6.526404494382023,-1.079775280898876,-0.2892134831460673,-2.2917977528089883
1.2790000000000001,0.24707865168539317,2.0368539325842683,6.6230337078651695,-1.0483146067415727,-0.27910112359550554,-2.2434831460674154
1.288,0.24,1.87,6.71,-1.02,-0.27,-2.2
1.299,0.54,1.58,6.86,-0.94,-0.42,-2.12
1.311,0.83,1.26,6.78,-0.86,-0.56,-2.02
1.322,0.83,1.26,6.78,-0.86,-0.56,-2.02
1.333,0.85,0.98,6.83,-0.78,-0.57,-1.91
1.346,0.85,0.98,6.83,-0.78,-0.57,-1.91
1.358,1.22,0.81,6.91,-0.7,-0.48,-1.8
1.37,1.22,0.81,6.91,-0.7,-0.48,-1.8
1.382,1.36,0.64,6.84,-0.63,-0.37,-1.68
1.395,1.04,0.34,7.09,-0.57,-0.31,-1.56
1.406,1.04,0.34,7.09,-0.57,-0.31,-1.56
1.417,0.65,0.21,7.55,-0.53,-0.43,-1.46
1.429,0.65,0.21,7.55,-0.53,-0.43,-1.46
1.442,0.83,0.2,7.72,-0.52,-0.68,-1.37
1.454,1.13,0.09,7.85,-0.53,-0.82,-1.26
1.465,1.13,0.09,7.85,-0.53,-0.82,-1.26
1.477,0.99,-0.2,8.13,-0.53,-0.77,-1.14
1.489,0.99,-0.2,8.13,-0.53,-0.77,-1.14
1.502,0.28,-0.31,8.24,-0.54,-0.59,-1.02
1.514,0.24,0.05,8.57,-0.55,-0.28,-0.92
1.526,0.24,0.05,8.57,-0.55,-0.28,-0.92
1.537,0.22,0.09,9.76,-0.57,-0.04,-0.8
1.55,0.22,0.09,9.76,-0.57,-0.04,-0.8
1.562,-0.19,-0.4,10.58,-0.61,-0.15,-0.69
1.573,-0.21,-1.39,11.01,-0.65,-0.4,-0.61
1.585,-0.21,-1.39,11.01,-0.65,-0.4,-0.61
1.598,-0.05,-1.82,10.82,-0.66,-0.45,-0.54
1.609,-0.05,-1.82,10.82,-0.66,-0.45,-0.54
1.621,-0.11,-1.65,10.54,-0.63,-0.18,-0.48
1.633,-0.46,-1.47,10.7,-0.58,0.18,-0.42
1.646,-0.46,-1.47,10.7,-0.58,0.18,-0.42
1.657,-1.17,-1.29,11.05,-0.52,0.34,-0.37
1.669,-1.17,-1.29,11.05,-0.52,0.34,-0.37
1.681,-2.18,-1.32,11.18,-0.46,0.21,-0.34
