time,ax,ay,az,gx,gy,gz
0.001,9.57,0.23,-1.16,-0.0,0.0,-0.0
0.013,9.57,0.23,-1.14,-0.0,0.0,-0.0
0.025,9.57,0.23,-1.14,-0.0,0.0,-0.0
0.035,9.568333333333333,0.2316666666666667,-1.14,0.0,0.0,0.0
0.045,9.566666666666666,0.23333333333333334,-1.14,0.0,0.0,0.0
0.055,9.565000000000001,0.235,-1.14,0.0,0.0,0.0
0.065,9.563333333333334,0.23666666666666666,-1.14,0.0,0.0,0.0
0.07500000000000001,9.561666666666667,0.23833333333333334,-1.14,0.0,0.0,0.0
0.085,9.56,0.24,-1.14,-0.0,0.0,0.0
0.097,9.56,0.23,-1.15,0.0,0.0,-0.0
0.108,9.56,0.23,-1.15,0.0,0.0,-0.0
0.12,9.57,0.23,-1.16,0.0,0.0,-0.0
0.131,9.57,0.23,-1.16,0.0,0.0,-0.0
0.145,9.57,0.23,-1.14,-0.0,0.0,0.0
0.157,9.56,0.23,-1.15,0.0,0.0,-0.0
0.168,9.56,0.23,-1.15,0.0,0.0,-0.0
0.18,9.57,0.23,-1.17,0.0,-0.0,-0.0
0.193,9.56,0.24,-1.14,0.0,-0.0,-0.0
0.205,9.56,0.24,-1.14,0.0,-0.0,-0.0
0.216,9.58,0.24,-1.15,-0.0,0.0,-0.0
0.228,9.58,0.24,-1.15,-0.0,0.0,-0.0
0.241,9.56,0.24,-1.17,-0.0,-0.0,-0.0
0.253,9.56,0.23,-1.13,-0.0,0.0,-0.0
0.264,9.56,0.23,-1.13,-0.0,0.0,-0.0
0.276,9.58,0.24,-1.13,-0.0,0.0,-0.0
0.288,9.58,0.24,-1.13,-0.0,0.0,-0.0
0.301,9.56,0.23,-1.17,0.0,0.0,-0.0
0.312,9.56,0.23,-1.17,0.0,0.0,-0.0
0.324,9.56,0.23,-1.16,0.0,0.0,-0.0
0.336,9.57,0.23,-1.13,-0.0,0.0,-0.0
0.349,9.57,0.23,-1.13,-0.0,0.0,-0.0
0.36,9.57,0.23,-1.16,0.0,0.0,-0.0
0.372,9.57,0.23,-1.16,0.0,0.0,-0.0
0.383,9.56,0.23,-1.13,-0.0,0.0,-0.0
0.396,9.56,0.23,-1.14,-0.0,0.0,-0.0
0.407,9.56,0.23,-1.14,-0.0,0.0,-0.0
0.419,9.57,0.23,-1.18,-0.0,0.0,-0.0
0.43,9.57,0.23,-1.18,-0.0,0.0,-0.0
0.442,9.58,0.24,-1.17,0.0,0.0,-0.0
0.455,9.57,0.23,-1.15,-0.0,0.0,-0.0
0.466,9.57,0.23,-1.15,-0.0,0.0,-0.0
0.478,9.56,0.22,-1.15,-0.0,0.0,0.0
0.49,9.56,0.22,-1.15,-0.0,0.0,0.0
0.503,9.57,0.24,-1.13,0.0,0.0,0.0
0.514,9.57,0.23,-1.15,-0.0,0.0,0.0
0.526,9.57,0.23,-1.15,-0.0,0.0,0.0
0.537,9.55,0.24,-1.14,-0.0,0.0,-0.0
0.549,9.55,0.24,-1.14,-0.0,0.0,-0.0
0.562,9.55,0.23,-1.15,-0.0,0.0,-0.0
0.574,9.58,0.23,-1.16,0.0,0.0,-0.0
0.586,9.58,0.23,-1.16,0.0,0.0,-0.0
0.597,9.56,0.23,-1.16,-0.0,0.0,-0.0
0.61,9.56,0.23,-1.16,-0.0,0.0,-0.0
0.622,9.57,0.22,-1.17,-0.0,-0.0,-0.0
0.634,9.58,0.22,-1.15,-0.0,0.0,-0.0
0.645,9.58,0.22,-1.15,-0.0,0.0,-0.0
0.658,9.56,0.23,-1.17,-0.0,0.0,-0.0
0.67,9.56,0.23,-1.17,-0.0,0.0,-0.0
0.681,9.56,0.22,-1.17,-0.0,0.0,-0.0
0.693,9.56,0.23,-1.16,0.0,0.0,-0.0
0.705,9.56,0.23,-1.16,0.0,0.0,-0.0
0.718,9.57,0.23,-1.15,-0.0,0.0,-0.0
0.73,9.57,0.23,-1.15,-0.0,0.0,-0.0
0.741,9.57,0.23,-1.15,-0.0,0.0,-0.0
0.753,9.58,0.23,-1.14,0.0,0.0,-0.0
0.766,9.58,0.23,-1.14,0.0,0.0,-0.0
0.778,9.57,0.23,-1.14,-0.0,0.0,-0.0
0.789,9.57,0.23,-1.14,-0.0,0.0,-0.0
0.801,9.59,0.24,-0.88,0.0,0.0,-0.0
0.814,9.72,0.25,-0.78,0.02,-0.03,-0.0
0.826,9.72,0.25,-0.78,0.02,-0.03,-0.0
0.838,9.57,0.24,-1.2,-0.01,-0.1,-0.0
0.85,9.57,0.24,-1.2,-0.01,-0.1,-0.0
0.862,9.11,0.23,-2.9,-0.02,-0.07,0.0
0.875,11.03,0.84,-2.29,-0.02,0.18,0.01
0.887,11.03,0.84,-2.29,-0.02,0.18,0.01
0.898,9.64,-0.22,0.2,-0.03,0.37,0.06
0.91,9.64,-0.22,0.2,-0.03,0.37,0.06
0.924,8.73,0.19,1.9,0.0,0.2,0.03
0.936,9.81,1.49,-0.27,-0.17,-0.08,-0.01
0.947,9.81,1.49,-0.27,-0.17,-0.08,-0.01
0.959,9.86,1.8,1.18,-0.38,0.02,0.01
0.972,9.86,1.8,1.18,-0.38,0.02,0.01
0.984,11.66,0.1,-0.89,-0.67,0.12,-0.09
0.995,10.31,-0.2,-0.35,-0.91,0.39,-0.25
1.007,10.31,-0.2,-0.35,-0.91,0.39,-0.25
1.019,8.63,0.16,1.16,-1.16,0.7,-0.38
1.032,8.63,0.16,1.16,-1.16,0.7,-0.38
1.044,10.93,-0.31,0.11,-1.41,1.04,-0.57
1.055,10.2,0.08,0.18,-1.61,1.0,-0.74
1.067,10.2,0.08,0.18,-1.61,1.0,-0.74
1.08,8.86,1.35,2.8,-1.76,1.01,-0.97
1.091,8.86,1.35,2.8,-1.76,1.01,-0.97
1.103,10.89,2.48,2.78,-1.93,0.94,-1.21
