time,ax,ay,az,gx,gy,gz
0.223,-10.0,0.13,-0.66,-0.0,0.0,-0.0
0.235,-10.01,0.14,-0.66,-0.0,0.0,-0.0
0.247,-10.01,0.14,-0.66,-0.0,0.0,-0.0
0.258,-10.0,0.15,-0.67,-0.0,0.0,-0.0
0.271,-10.0,0.15,-0.67,-0.0,0.0,-0.0
0.283,-10.01,0.15,-0.69,0.0,0.0,-0.0
0.294,-10.01,0.15,-0.67,-0.0,0.0,-0.0
0.305,-10.01,0.15,-0.67,-0.0,0.0,-0.0
0.318,-10.02,0.13,-0.68,0.0,0.0,-0.0
0.329,-10.02,0.13,-0.68,0.0,0.0,-0.0
0.34,-10.01,0.14,-0.67,0.0,0.0,-0.0
0.352,-10.01,0.14,-0.67,0.0,0.0,-0.0
0.365,-10.01,0.13,-0.7,0.0,0.0,-0.0
0.376,-10.02,0.14,-0.66,0.0,0.0,-0.0
0.388,-10.02,0.14,-0.66,0.0,0.0,-0.0
0.4,-10.02,0.13,-0.68,-0.0,-0.0,-0.0
0.413,-10.02,0.13,-0.68,-0.0,-0.0,-0.0
0.425,-10.02,0.15,-0.68,0.0,0.0,-0.0
0.437,-10.02,0.15,-0.68,-0.0,0.0,-0.0
0.449,-10.02,0.15,-0.68,-0.0,0.0,-0.0
0.462,-10.01,0.14,-0.67,-0.0,0.0,-0.0
0.473,-10.01,0.14,-0.67,-0.0,0.0,-0.0
0.485,-10.0,0.15,-0.64,-0.0,0.0,-0.0
0.497,-10.03,0.16,-0.71,-0.0,0.0,-0.0
0.509,-10.03,0.16,-0.71,-0.0,0.0,-0.0
0.522,-10.01,0.14,-0.69,0.0,0.0,-0.0
0.533,-10.01,0.14,-0.69,0.0,0.0,-0.0
0.543,-10.01,0.13,-0.66,0.0,0.0,0.0
0.555,-10.01,0.15,-0.71,0.0,0.0,-0.0
0.568,-10.01,0.15,-0.71,0.0,0.0,-0.0
0.579,-10.0,0.14,-0.68,-0.0,-0.0,-0.0
0.591,-10.0,0.14,-0.68,-0.0,-0.0,-0.0
0.603,-10.0,0.13,-0.66,-0.0,-0.0,-0.0
0.616,-10.01,0.14,-0.65,-0.0,0.0,-0.0
0.627,-10.01,0.14,-0.65,-0.0,0.0,-0.0
0.639,-10.06,0.19,-0.87,-0.0,0.0,0.0
0.651,-10.06,0.19,-0.87,-0.0,0.0,0.0
0.663,-10.04,0.14,-0.76,0.0,-0.02,-0.0
0.675,-9.99,0.13,-0.65,0.0,-0.01,-0.0
0.686,-9.99,0.13,-0.65,0.0,-0.01,-0.0
0.698,-10.0,0.11,-0.67,0.0,-0.01,-0.0
0.711,-10.0,0.11,-0.67,0.0,-0.01,-0.0
