time,ax,ay,az,gx,gy,gz
0.02,-1.12,-0.08,-10.02,0.0,-0.0,0.0
0.03,-1.13,-0.09,-9.96,-0.0,-0.01,0.0
0.04,-1.13,-0.09,-9.96,-0.0,-0.01,0.0
0.05,-1.21,-0.03,-10.1,0.01,0.0,0.0
0.060000000000000005,-1.2,-0.03571428571428571,-10.075714285714286,0.008571428571428572,0.0,0.0
0.07,-1.19,-0.04142857142857143,-10.051428571428572,0.007142857142857142,0.0,0.0
0.08,-1.18,-0.047142857142857146,-10.027142857142858,0.005714285714285714,0.0,0.0
0.09,-1.17,-0.05285714285714286,-10.002857142857142,0.004285714285714286,0.0,0.0
0.1,-1.16,-0.05857142857142858,-9.978571428571428,0.002857142857142856,0.0,0.0
0.11,-1.15,-0.0642857142857143,-9.954285714285714,0.0014285714285714284,0.0,0.0
0.12,-1.14,-0.07,-9.93,-0.0,0.0,0.0
0.13,-1.15,-0.07,-10.06,-0.0,0.01,0.0
0.14,-1.15,-0.07,-10.06,-0.0,0.01,0.0
0.15000000000000002,-1.135,-0.07,-10.04,0.0,0.015000000000000006,0.0
0.16,-1.12,-0.07,-10.02,-0.0,0.02,0.0
0.17,-1.12,-0.08,-9.98,-0.0,0.02,0.0
0.18,-1.12,-0.08,-9.98,-0.0,0.02,0.0
0.19,-1.1,-0.08,-10.04,-0.0,0.02,0.0
0.2,-1.13,-0.08,-10.0,-0.0,0.01,0.0
0.21000000000000002,-1.13,-0.08,-10.0,0.0,0.01,0.0
0.22,-1.13,-0.08,-10.0,-0.0,0.01,0.0
0.23,-1.1,-0.08,-10.01,-0.0,0.01,0.0
0.24,-1.1,-0.08,-10.01,-0.0,0.01,0.0
0.25,-1.11,-0.08,-10.02,-0.0,0.02,0.0
0.26,-1.0950000000000002,-0.07,-10.04,0.0,0.015,0.0
0.27,-1.08,-0.06,-10.06,-0.0,0.01,0.0
0.28,-1.08,-0.06,-10.06,-0.0,0.01,0.0
0.29,-1.07,-0.07,-10.02,-0.0,0.01,0.0
0.3,-1.0750000000000002,-0.07500000000000001,-10.024999999999999,0.0,0.01,0.0
0.31,-1.08,-0.08,-10.03,0.0,0.01,0.0
0.32,-1.08,-0.08,-10.03,0.0,0.01,0.0
0.33,-1.13,-0.08,-10.02,-0.0,0.0,0.0
0.34,-1.13,-0.08,-10.02,-0.0,0.0,0.0
0.35,-1.14,-0.09,-9.99,-0.0,0.0,0.0
0.36,-1.125,-0.08499999999999999,-10.0,0.0,-0.005,0.0
0.37,-1.11,-0.08,-10.01,-0.0,-0.01,-0.0
0.38,-1.11,-0.08,-10.01,-0.0,-0.01,-0.0
0.39,-1.13,-0.08,-10.01,-0.0,-0.01,-0.0
0.4,-1.0999999999999999,-0.08,-10.015,0.0,-0.01,0.0
0.41,-1.07,-0.08,-10.02,-0.0,-0.01,0.0
0.42,-1.07,-0.08,-10.02,-0.0,-0.01,0.0
0.43,-1.11,-0.07,-10.04,-0.0,-0.01,0.0
0.44,-1.11,-0.07,-10.04,-0.0,-0.01,0.0
0.45,-1.105,-0.07,-10.04,0.0,-0.01,0.0
0.46,-1.1,-0.07,-10.04,0.0,-0.01,0.0
0.47,-1.09,-0.07,-10.03,0.0,-0.01,0.0
0.48,-1.09,-0.07,-10.03,0.0,-0.01,0.0
0.49,-1.11,-0.07,-10.02,0.0,-0.01,0.0
0.5,-1.11,-0.08,-10.04,-0.0,-0.0,0.0
0.51,-1.11,-0.08,-10.04,0.0,0.0,0.0
0.52,-1.11,-0.08,-10.04,-0.0,-0.0,0.0
0.53,-1.13,-0.07,-10.02,-0.0,-0.0,0.0
0.54,-1.13,-0.07,-10.02,-0.0,-0.0,0.0
0.55,-1.12,-0.07500000000000001,-10.05,0.0,0.0,0.0
0.56,-1.11,-0.08,-10.08,-0.0,0.0,0.0
0.57,-1.12,-0.09,-10.03,-0.0,-0.0,0.0
0.58,-1.12,-0.09,-10.03,-0.0,-0.0,0.0
0.59,-1.12,-0.08,-10.01,-0.0,-0.0,0.0
0.6,-1.1150000000000002,-0.07,-10.015,0.0,0.0,0.0
0.61,-1.11,-0.06,-10.02,-0.0,-0.0,0.0
0.62,-1.11,-0.06,-10.02,-0.0,-0.0,0.0
0.63,-1.13,-0.07,-10.01,-0.0,-0.0,0.0
0.64,-1.13,-0.07,-10.01,-0.0,-0.0,0.0
0.65,-1.11,-0.08,-10.03,-0.0,-0.0,0.0
0.66,-1.11,-0.08,-10.024999999999999,0.0,0.0,0.0
0.67,-1.11,-0.08,-10.02,-0.0,-0.0,0.0
0.68,-1.11,-0.08,-10.02125,0.0,0.0,0.0
0.6900000000000001,-1.11,-0.08,-10.022499999999999,0.0,0.0,0.0
