time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normMag,normGyr,ax_filter,ay_filter,az_filter,gx_filter,gy_filter,gz_filter,mx_filter,my_filter,mz_filter
0.0,-10.0,-0.14,0.32,-0.0,0.04,0.0,-100.0,-23.0,-49.0,0.0,0.0,0.0,-10.0,-0.14,0.32,0.0,131.31225400046978,0.0,-100.0,-23.0,-49.0
0.01,-10.0,-0.14,0.32,-0.0,0.04,0.0,-100.0,-23.0,-49.0,10.006098140634041,113.71015785759863,2.291831180523293,-10.0,-0.14,0.32,0.0,131.31225400046978,0.0,-100.0,-23.0,-49.0
0.03,-10.02,-0.14,0.32,-0.0,0.04,0.0,-100.0,-23.0,-49.0,10.006098140634041,113.71015785759863,2.291831180523293,-10.006666666666666,-0.14,0.32,0.0,131.31225400046978,0.0,-100.0,-23.0,-49.0
0.04,-10.02,-0.14,0.32,-0.0,0.04,0.0,-100.0,-23.0,-49.0,10.026085976092565,113.71015785759863,2.291831180523293,-10.01,-0.14,0.32,0.0,131.31225400046978,0.0,-100.0,-23.0,-49.0
0.1,-10.01,-0.14,0.32,-0.0,0.04,0.0,-98.0,-23.0,-49.0,10.026085976092565,113.71015785759863,2.291831180523293,-10.01,-0.14,0.32,0.0,131.31225400046978,0.0,-99.6,-23.0,-49.0
0.11,-10.01,-0.14,0.32,-0.0,0.04,0.0,-98.0,-23.0,-49.0,10.01609205229265,111.95534824205586,2.291831180523293,-10.012,-0.14,0.32,0.0,131.31225400046978,0.0,-99.2,-23.0,-49.0
0.12,-10.02,-0.15,0.27,-0.0,0.04,0.0,-98.0,-23.0,-49.0,10.01609205229265,111.95534824205586,2.291831180523293,-10.016,-0.14200000000000002,0.31000000000000005,0.0,131.31225400046978,0.0,-98.8,-23.0,-49.0
0.13,-10.02,-0.15,0.27,-0.0,0.04,0.0,-98.0,-23.0,-49.0,10.024759348732516,111.95534824205586,2.291831180523293,-10.016,-0.14400000000000002,0.30000000000000004,0.0,131.31225400046978,0.0,-98.4,-23.0,-49.0
0.15,-10.02,-0.13,0.28,-0.0,0.03,0.0,-98.0,-23.0,-49.0,10.024759348732516,111.95534824205586,2.291831180523293,-10.016,-0.14200000000000002,0.29200000000000004,0.0,124.74664130044626,0.0,-98.0,-23.0,-49.0
0.16,-10.0,-0.15,0.33,-0.0,0.03,-0.0,-98.0,-23.0,-49.0,10.024754361080374,111.95534824205586,1.7188733853924696,-10.014,-0.14400000000000002,0.29400000000000004,0.0,118.18102860042279,0.0,-98.0,-23.0,-49.0
0.17,-10.0,-0.15,0.33,-0.0,0.03,-0.0,-98.0,-23.0,-49.0,10.006567843171803,111.95534824205586,1.7188733853924696,-10.012,-0.146,0.296,0.0,111.61541590039928,0.0,-98.0,-23.0,-49.0
0.18,-10.01,-0.16,0.3,-0.0,0.03,0.0,-98.0,-23.0,-49.0,10.006567843171803,111.95534824205586,1.7188733853924696,-10.01,-0.148,0.302,0.0,105.0498032003758,0.0,-98.0,-23.0,-49.0
0.2,-10.01,-0.15,0.3,-0.0,0.04,0.0,-98.0,-23.0,-49.0,10.015772561315478,111.95534824205586,1.7188733853924696,-10.008,-0.148,0.308,0.0,105.0498032003758,0.0,-98.0,-23.0,-49.0
0.21,-10.01,-0.15,0.3,-0.0,0.04,0.0,-98.0,-23.0,-49.0,10.015617804209583,111.95534824205586,2.291831180523293,-10.006,-0.152,0.312,0.0,111.61541590039931,0.0,-98.0,-23.0,-49.0
0.22,-10.0,-0.15,0.27,-0.0,0.03,-0.0,-98.0,-25.0,-49.0,10.015617804209583,111.95534824205586,2.291831180523293,-10.005999999999998,-0.152,0.30000000000000004,0.0,111.61541590039931,0.0,-98.0,-23.4,-49.0
0.23,-10.0,-0.15,0.27,-0.0,0.03,-0.0,-98.0,-25.0,-49.0,10.004768862897333,112.38327277669039,1.7188733853924696,-10.005999999999998,-0.152,0.28800000000000003,0.0,111.61541590039931,0.0,-98.0,-23.8,-49.0
0.25,-10.0,-0.13,0.34,-0.0,0.03,-0.0,-98.0,-25.0,-49.0,10.004768862897333,112.38327277669039,1.7188733853924696,-10.004,-0.14600000000000002,0.29600000000000004,0.0,111.61541590039928,0.0,-98.0,-24.2,-49.0
0.26,-9.99,-0.16,0.33,-0.0,0.03,-0.0,-98.0,-25.0,-49.0,10.006622806921424,112.38327277669039,1.7188733853924696,-10.0,-0.14800000000000002,0.302,0.0,105.0498032003758,0.0,-98.0,-24.6,-49.0
0.27,-9.99,-0.16,0.33,-0.0,0.03,-0.0,-98.0,-25.0,-49.0,9.996729465180099,112.38327277669039,1.7188733853924696,-9.996,-0.15,0.308,0.0,98.48419050035231,0.0,-98.0,-25.0,-49.0
0.28,-10.02,-0.14,0.29,-0.0,0.04,0.0,-98.0,-25.0,-49.0,9.996729465180099,112.38327277669039,1.7188733853924696,-10.0,-0.14800000000000002,0.312,0.0,105.0498032003758,0.0,-98.0,-25.0,-49.0
0.3,-10.02,-0.14,0.29,-0.0,0.04,0.0,-98.0,-25.0,-49.0,10.025173315210067,112.38327277669039,2.291831180523293,-10.004000000000001,-0.14600000000000002,0.316,0.0,111.61541590039931,0.0,-98.0,-25.0,-49.0
0.31,-10.02,-0.14,0.3,-0.0,0.03,0.0,-98.0,-25.0,-49.0,10.025173315210067,112.38327277669039,2.291831180523293,-10.008,-0.14800000000000002,0.308,0.0,111.61541590039931,0.0,-98.0,-25.0,-49.0
0.32,-9.99,-0.16,0.34,-0.0,0.03,-0.0,-98.0,-25.0,-49.0,10.02546757014355,112.38327277669039,1.7188733853924696,-10.008,-0.14800000000000002,0.31,0.0,111.61541590039931,0.0,-98.0,-25.0,-49.0
0.33,-9.99,-0.16,0.34,-0.0,0.03,-0.0,-98.0,-25.0,-49.0,9.99706456916229,112.38327277669039,1.7188733853924696,-10.008,-0.14800000000000002,0.312,0.0,111.61541590039928,0.0,-98.0,-25.0,-49.0
0.35,-9.98,-0.15,0.32,-0.0,0.03,-0.0,-98.0,-25.0,-49.0,9.99706456916229,112.38327277669039,1.7188733853924696,-10.0,-0.15,0.318,0.0,105.0498032003758,0.0,-98.0,-25.0,-49.0
0.36,-10.02,-0.15,0.3,-0.0,0.04,0.0,-95.0,-23.0,-46.0,9.98625555451091,112.38327277669039,1.7188733853924696,-10.0,-0.152,0.32,0.0,105.0498032003758,0.0,-97.4,-24.6,-48.4
0.37,-10.02,-0.15,0.3,-0.0,0.04,0.0,-95.0,-23.0,-46.0,10.025612200758614,108.02777420645118,2.291831180523293,-10.0,-0.154,0.32,0.0,111.61541590039931,0.0,-96.8,-24.2,-47.8
0.38,-10.01,-0.13,0.29,-0.0,0.04,0.0,-95.0,-23.0,-46.0,10.025612200758614,108.02777420645118,2.291831180523293,-10.004000000000001,-0.14800000000000002,0.31,0.0,118.18102860042279,0.0,-96.2,-23.8,-47.2
0.4,-10.01,-0.13,0.29,-0.0,0.04,0.0,-95.0,-23.0,-46.0,10.015043684378018,108.02777420645118,2.291831180523293,-10.008000000000001,-0.14200000000000002,0.3,0.0,124.7466413004463,0.0,-95.6,-23.4,-46.6
0.41,-10.0,-0.14,0.3,-0.0,0.03,-0.0,-95.0,-23.0,-46.0,10.015043684378018,108.02777420645118,2.291831180523293,-10.011999999999997,-0.14,0.296,0.0,124.74664130044626,0.0,-95.0,-23.0,-46.0
0.42,-10.02,-0.14,0.32,-0.0,0.03,-0.0,-95.0,-23.0,-46.0,10.005478499302269,108.02777420645118,1.7188733853924696,-10.012,-0.138,0.3,0.0,118.18102860042279,0.0,-95.0,-23.0,-46.0
0.43,-10.02,-0.14,0.32,-0.0,0.03,-0.0,-95.0,-23.0,-46.0,10.026085976092565,108.02777420645118,1.7188733853924696,-10.011999999999999,-0.136,0.304,0.0,111.61541590039928,0.0,-95.0,-23.0,-46.0
0.45,-9.99,-0.15,0.33,-0.0,0.03,0.0,-95.0,-23.0,-46.0,10.026085976092565,108.02777420645118,1.7188733853924696,-10.008,-0.14,0.312,0.0,105.0498032003758,0.0,-95.0,-23.0,-46.0
