time,ax,ay,az,gx,gy,gz,mx,my,mz
223.00,-10.00,-0.06,-0.48,-0.00,-0.00,-0.00,-50.00,-3.00,-71.00
235.00,-10.00,-0.07,-0.49,-0.00,0.00,-0.00,-50.00,-3.00,-71.00
247.00,-10.00,-0.07,-0.49,-0.00,0.00,-0.00,-50.00,-3.00,-71.00
259.00,-9.99,-0.06,-0.49,0.00,0.00,-0.00,-50.00,-3.00,-71.00
271.00,-9.99,-0.06,-0.49,0.00,0.00,-0.00,-50.00,-3.00,-71.00
283.00,-10.00,-0.06,-0.50,0.00,0.00,-0.00,-50.00,-3.00,-71.00
294.00,-10.00,-0.07,-0.51,-0.00,0.00,-0.00,-50.00,-11.00,-71.00
306.00,-10.00,-0.07,-0.51,-0.00,0.00,-0.00,-50.00,-11.00,-71.00
319.00,-9.99,-0.08,-0.50,-0.00,-0.00,-0.00,-50.00,-11.00,-71.00
331.00,-9.99,-0.08,-0.50,-0.00,-0.00,-0.00,-50.00,-11.00,-71.00
342.00,-10.00,-0.07,-0.50,-0.00,-0.00,-0.00,-50.00,-11.00,-71.00
353.00,-10.00,-0.07,-0.50,-0.00,-0.00,-0.00,-50.00,-11.00,-71.00
366.00,-9.99,-0.06,-0.47,-0.00,-0.00,-0.00,-50.00,-11.00,-71.00
377.00,-9.99,-0.06,-0.48,-0.00,0.00,-0.00,-50.00,-11.00,-71.00
388.00,-9.99,-0.06,-0.48,-0.00,0.00,-0.00,-50.00,-11.00,-71.00
400.00,-10.00,-0.07,-0.49,-0.00,0.00,-0.00,-50.00,-11.00,-71.00
413.00,-10.00,-0.07,-0.49,-0.00,0.00,-0.00,-50.00,-11.00,-71.00
424.00,-10.01,-0.07,-0.49,-0.00,0.00,-0.00,-50.00,-11.00,-71.00
436.00,-9.99,-0.08,-0.51,-0.00,0.00,-0.00,-67.00,-3.00,-71.00
448.00,-9.99,-0.08,-0.51,-0.00,0.00,-0.00,-67.00,-3.00,-71.00
461.00,-9.99,-0.06,-0.50,-0.00,0.00,-0.00,-67.00,-3.00,-71.00
473.00,-9.99,-0.06,-0.50,-0.00,0.00,-0.00,-67.00,-3.00,-71.00
485.00,-9.98,-0.07,-0.49,-0.00,-0.00,-0.00,-67.00,-3.00,-71.00
497.00,-10.00,-0.07,-0.50,-0.00,0.00,-0.00,-67.00,-3.00,-71.00
510.00,-10.00,-0.07,-0.50,-0.00,0.00,-0.00,-67.00,-3.00,-71.00
521.00,-9.99,-0.07,-0.48,0.00,0.00,0.00,-67.00,-3.00,-71.00
533.00,-9.99,-0.07,-0.48,0.00,0.00,0.00,-67.00,-3.00,-71.00
