time,ax,ay,az,gx,gy,gz,mx,my,mz
1.00,-0.15,0.19,-9.97,0.00,-0.10,-0.00,-41.00,-30.00,-88.00
13.00,-0.27,0.21,-10.02,0.00,-0.18,-0.01,-41.00,-30.00,-88.00
24.00,-0.27,0.21,-10.02,0.00,-0.18,-0.01,-41.00,-30.00,-88.00
84.00,-0.68,0.20,-10.06,0.00,-0.20,-0.01,-41.00,-30.00,-88.00
95.00,-0.75,0.20,-10.05,0.00,-0.15,-0.01,-38.00,-32.00,-90.00
107.00,-0.75,0.20,-10.05,0.00,-0.15,-0.01,-38.00,-32.00,-90.00
119.00,-0.78,0.19,-10.04,0.00,-0.10,-0.00,-38.00,-32.00,-90.00
123.00,-0.78,0.19,-10.04,0.00,-0.10,-0.00,-38.00,-32.00,-90.00
202.00,-0.67,0.21,-10.03,-0.00,0.13,0.00,-38.00,-32.00,-90.00
279.00,-0.26,0.21,-9.98,0.00,0.12,0.00,-41.00,-32.00,-90.00
357.00,-0.44,0.19,-10.00,0.00,-0.11,-0.00,-38.00,-32.00,-88.00
446.00,-0.67,0.20,-10.02,0.00,-0.06,-0.00,-38.00,-32.00,-88.00
458.00,-0.68,0.20,-10.03,0.00,-0.02,-0.00,-41.00,-30.00,-90.00
469.00,-0.68,0.20,-10.03,0.00,-0.02,-0.00,-41.00,-30.00,-90.00
480.00,-0.64,0.19,-10.04,-0.00,0.02,-0.00,-41.00,-30.00,-90.00
494.00,-0.61,0.21,-10.01,0.00,0.05,-0.00,-41.00,-30.00,-90.00
506.00,-0.61,0.21,-10.01,0.00,0.05,-0.00,-41.00,-30.00,-90.00
518.00,-0.55,0.20,-10.02,-0.00,0.08,0.00,-41.00,-30.00,-90.00
529.00,-0.55,0.20,-10.02,-0.00,0.08,0.00,-41.00,-30.00,-90.00
542.00,-0.48,0.21,-10.00,-0.00,0.09,0.00,-41.00,-30.00,-90.00
554.00,-0.41,0.20,-10.01,-0.00,0.08,0.00,-41.00,-30.00,-90.00
565.00,-0.41,0.20,-10.01,-0.00,0.08,0.00,-41.00,-30.00,-90.00
577.00,-0.38,0.19,-9.98,-0.00,0.05,-0.00,-41.00,-30.00,-90.00
591.00,-0.38,0.19,-9.98,-0.00,0.05,-0.00,-41.00,-30.00,-90.00
603.00,-0.34,0.19,-10.00,0.00,0.02,-0.00,-38.00,-30.00,-90.00
614.00,-0.38,0.21,-10.01,-0.00,-0.02,-0.00,-38.00,-30.00,-90.00
626.00,-0.38,0.21,-10.01,-0.00,-0.02,-0.00,-38.00,-30.00,-90.00
640.00,-0.43,0.22,-10.01,-0.00,-0.04,-0.00,-38.00,-30.00,-90.00
652.00,-0.43,0.22,-10.01,-0.00,-0.04,-0.00,-38.00,-30.00,-90.00
663.00,-0.50,0.22,-10.01,0.00,-0.06,-0.00,-38.00,-30.00,-90.00
674.00,-0.54,0.19,-10.04,0.00,-0.06,-0.00,-38.00,-30.00,-90.00
688.00,-0.54,0.19,-10.04,0.00,-0.06,-0.00,-38.00,-30.00,-90.00
699.00,-0.57,0.20,-10.03,0.00,-0.05,-0.00,-38.00,-30.00,-90.00
711.00,-0.57,0.20,-10.03,0.00,-0.05,-0.00,-38.00,-30.00,-90.00
722.00,-0.60,0.20,-10.05,0.00,-0.03,-0.00,-41.00,-30.00,-90.00
735.00,-0.59,0.21,-10.00,0.00,-0.00,-0.00,-41.00,-30.00,-90.00
747.00,-0.59,0.21,-10.00,0.00,-0.00,-0.00,-41.00,-30.00,-90.00
759.00,-0.57,0.21,-10.03,0.00,0.02,-0.00,-41.00,-30.00,-90.00
770.00,-0.57,0.21,-10.03,0.00,0.02,-0.00,-41.00,-30.00,-90.00
783.00,-0.52,0.21,-10.01,-0.00,0.03,0.00,-41.00,-30.00,-90.00
794.00,-0.48,0.20,-10.04,0.00,0.04,0.00,-41.00,-30.00,-90.00
806.00,-0.48,0.20,-10.04,0.00,0.04,0.00,-41.00,-30.00,-90.00
818.00,-0.45,0.21,-10.01,-0.00,0.04,-0.00,-41.00,-30.00,-90.00
831.00,-0.45,0.21,-10.01,-0.00,0.04,-0.00,-41.00,-30.00,-90.00
842.00,-0.44,0.22,-10.03,0.00,0.02,-0.00,-36.00,-30.00,-93.00
853.00,-0.44,0.22,-10.03,0.00,0.02,-0.00,-36.00,-30.00,-93.00
865.00,-0.43,0.20,-10.01,0.00,0.01,-0.00,-36.00,-30.00,-93.00
877.00,-0.45,0.21,-10.02,0.00,-0.01,-0.00,-36.00,-30.00,-93.00
891.00,-0.45,0.21,-10.02,0.00,-0.01,-0.00,-36.00,-30.00,-93.00
903.00,-0.47,0.20,-10.01,0.00,-0.02,-0.00,-36.00,-30.00,-93.00
914.00,-0.51,0.21,-10.00,0.00,-0.03,-0.00,-36.00,-30.00,-93.00
926.00,-0.51,0.21,-10.00,0.00,-0.03,-0.00,-36.00,-30.00,-93.00
939.00,-0.53,0.21,-10.03,0.00,-0.03,-0.00,-36.00,-30.00,-93.00
951.00,-0.53,0.21,-10.03,0.00,-0.03,-0.00,-36.00,-30.00,-93.00
962.00,-0.56,0.21,-10.02,0.00,-0.02,-0.00,-41.00,-30.00,-88.00
974.00,-0.54,0.21,-10.02,-0.00,-0.00,-0.00,-41.00,-30.00,-88.00
987.00,-0.54,0.21,-10.02,-0.00,-0.00,-0.00,-41.00,-30.00,-88.00
999.00,-0.54,0.21,-10.02,0.00,0.01,-0.00,-41.00,-30.00,-88.00
1010.00,-0.54,0.21,-10.02,0.00,0.01,-0.00,-41.00,-30.00,-88.00
1022.00,-0.52,0.19,-10.03,0.00,0.02,-0.00,-41.00,-30.00,-88.00
1034.00,-0.50,0.19,-10.03,0.00,0.02,-0.00,-41.00,-30.00,-88.00
1046.00,-0.50,0.19,-10.03,0.00,0.02,-0.00,-41.00,-30.00,-88.00
1057.00,-0.48,0.20,-10.02,0.00,0.02,-0.00,-41.00,-30.00,-88.00
1070.00,-0.48,0.20,-10.02,0.00,0.02,-0.00,-41.00,-30.00,-88.00
1082.00,-0.47,0.20,-10.01,0.00,0.01,-0.00,-41.00,-30.00,-88.00
1094.00,-0.46,0.20,-10.02,0.00,-0.00,-0.00,-41.00,-27.00,-90.00
1106.00,-0.46,0.20,-10.02,0.00,-0.00,-0.00,-41.00,-27.00,-90.00
1110.00,-0.46,0.20,-10.02,0.00,-0.00,-0.00,-41.00,-27.00,-90.00
1187.00,-0.52,0.21,-10.02,0.00,-0.01,-0.00,-41.00,-27.00,-90.00
1265.00,-0.51,0.22,-10.01,-0.00,0.01,-0.00,-38.00,-32.00,-88.00
1343.00,-0.57,0.20,-10.04,-0.00,0.02,-0.00,-38.00,-32.00,-88.00
1432.00,-0.88,0.19,-10.17,-0.00,0.26,0.01,-38.00,-32.00,-88.00
1444.00,-1.11,0.22,-10.30,-0.00,0.42,0.01,-38.00,-32.00,-88.00
1456.00,-1.21,0.23,-10.55,-0.01,0.69,0.02,-38.00,-32.00,-88.00
1468.00,-1.21,0.23,-10.55,-0.01,0.69,0.02,-38.00,-32.00,-88.00
1481.00,-1.26,0.19,-10.65,-0.01,1.02,0.03,-38.00,-32.00,-95.00
1492.00,-1.26,0.19,-10.65,-0.01,1.02,0.03,-38.00,-32.00,-95.00
1504.00,-1.20,0.11,-11.15,-0.02,1.43,0.04,-38.00,-32.00,-95.00
1516.00,-0.84,0.27,-11.40,-0.03,1.90,0.06,-38.00,-32.00,-95.00
1530.00,-0.84,0.27,-11.40,-0.03,1.90,0.06,-38.00,-32.00,-95.00
1541.00,0.14,0.19,-11.18,-0.04,2.36,0.07,-38.00,-32.00,-95.00
1553.00,0.14,0.19,-11.18,-0.04,2.36,0.07,-38.00,-32.00,-95.00
1565.00,1.06,0.24,-10.70,-0.06,2.65,0.08,-38.00,-32.00,-95.00
1578.00,1.51,0.43,-10.22,-0.05,2.75,0.09,-38.00,-32.00,-95.00
1589.00,1.51,0.43,-10.22,-0.05,2.75,0.09,-38.00,-32.00,-95.00
1601.00,2.30,0.25,-10.13,-0.03,2.80,0.09,-13.00,-30.00,-93.00
1613.00,2.30,0.25,-10.13,-0.03,2.80,0.09,-13.00,-30.00,-93.00
1626.00,2.33,0.41,-10.13,-0.06,2.90,0.09,-13.00,-30.00,-93.00
1637.00,2.76,0.23,-9.27,-0.05,3.08,0.10,-13.00,-30.00,-93.00
1649.00,2.76,0.23,-9.27,-0.05,3.08,0.10,-13.00,-30.00,-93.00
1661.00,7.43,0.88,-9.67,-0.07,3.17,0.11,-13.00,-30.00,-93.00
1673.00,7.43,0.88,-9.67,-0.07,3.17,0.11,-13.00,-30.00,-93.00
1686.00,4.40,0.57,-7.62,0.05,2.89,0.16,-13.00,-30.00,-93.00
1697.00,3.71,-0.20,-7.76,0.16,2.71,0.10,-13.00,-30.00,-93.00
1709.00,3.71,-0.20,-7.76,0.16,2.71,0.10,-13.00,-30.00,-93.00
1720.00,4.01,-0.45,-7.47,0.18,2.61,0.02,19.00,-33.00,-88.00
1733.00,4.01,-0.45,-7.47,0.18,2.61,0.02,19.00,-33.00,-88.00
1745.00,3.73,-0.79,-6.75,0.17,2.55,-0.09,19.00,-33.00,-88.00
1756.00,5.68,-0.20,-7.29,0.12,2.52,-0.23,19.00,-33.00,-88.00
1768.00,5.68,-0.20,-7.29,0.12,2.52,-0.23,19.00,-33.00,-88.00
1782.00,5.83,0.19,-7.33,0.13,2.58,-0.31,19.00,-33.00,-88.00
1794.00,5.83,0.19,-7.33,0.13,2.58,-0.31,19.00,-33.00,-88.00
1804.00,8.03,1.53,-7.33,0.18,2.71,-0.30,19.00,-33.00,-88.00
1816.00,6.15,0.88,-6.46,0.31,2.89,-0.15,19.00,-33.00,-88.00
1829.00,6.15,0.88,-6.46,0.31,2.89,-0.15,19.00,-33.00,-88.00
1841.00,6.33,-0.02,-5.88,0.39,2.71,-0.10,51.00,-30.00,-76.00
1853.00,6.33,-0.02,-5.88,0.39,2.71,-0.10,51.00,-30.00,-76.00
1864.00,6.46,0.02,-5.69,0.39,2.75,-0.14,51.00,-30.00,-76.00
1878.00,6.54,0.05,-5.28,0.39,2.90,-0.19,51.00,-30.00,-76.00
1890.00,6.54,0.05,-5.28,0.39,2.90,-0.19,51.00,-30.00,-76.00
1901.00,8.31,0.88,-5.09,0.40,3.13,-0.22,51.00,-30.00,-76.00
1912.00,8.31,0.88,-5.09,0.40,3.13,-0.22,51.00,-30.00,-76.00
1926.00,7.77,0.79,-3.97,0.41,3.44,-0.09,51.00,-30.00,-76.00
1937.00,8.15,0.17,-1.70,0.43,3.23,-0.04,51.00,-30.00,-76.00
1948.00,8.15,0.17,-1.70,0.43,3.23,-0.04,51.00,-30.00,-76.00
1960.00,8.80,0.49,-0.97,0.36,3.22,-0.01,51.00,-30.00,-76.00
1972.00,8.80,0.49,-0.97,0.36,3.22,-0.01,51.00,-30.00,-76.00
1985.00,8.54,-0.07,-0.38,0.26,3.15,0.05,77.00,-29.00,-51.00
1997.00,14.32,-1.25,4.91,0.13,2.74,0.00,77.00,-29.00,-51.00
2009.00,14.32,-1.25,4.91,0.13,2.74,0.00,77.00,-29.00,-51.00
2021.00,9.96,1.32,4.96,0.02,1.77,0.04,77.00,-29.00,-51.00
2034.00,9.96,1.32,4.96,0.02,1.77,0.04,77.00,-29.00,-51.00
2046.00,9.39,1.26,-0.09,-0.04,1.47,0.04,77.00,-29.00,-51.00
2058.00,9.08,-0.88,0.33,-0.12,1.27,0.03,77.00,-29.00,-51.00
2069.00,9.08,-0.88,0.33,-0.12,1.27,0.03,77.00,-29.00,-51.00
2083.00,9.06,0.06,1.40,-0.10,0.97,0.02,77.00,-29.00,-51.00
2095.00,9.06,0.06,1.40,-0.10,0.97,0.02,77.00,-29.00,-51.00
2106.00,8.61,-0.80,2.85,-0.03,0.66,0.03,88.00,-30.00,-34.00
2118.00,8.85,0.86,2.82,-0.02,0.19,0.01,88.00,-30.00,-34.00
2131.00,8.85,0.86,2.82,-0.02,0.19,0.01,88.00,-30.00,-34.00
2143.00,9.22,-0.41,1.48,-0.03,-0.16,-0.01,88.00,-30.00,-34.00
2155.00,9.22,-0.41,1.48,-0.03,-0.16,-0.01,88.00,-30.00,-34.00
2167.00,9.44,0.06,0.87,0.00,-0.41,-0.01,88.00,-30.00,-34.00
2181.00,9.26,-0.06,1.23,0.03,-0.56,-0.01,88.00,-30.00,-34.00
2192.00,9.26,-0.06,1.23,0.03,-0.56,-0.01,88.00,-30.00,-34.00
2204.00,9.32,0.14,0.67,0.00,-0.74,-0.03,88.00,-30.00,-34.00
2216.00,9.50,-0.19,-0.17,-0.00,-0.88,-0.03,86.00,-27.00,-37.00
2227.00,9.50,-0.19,-0.17,-0.00,-0.88,-0.03,86.00,-27.00,-37.00
2240.00,9.53,0.01,-0.54,0.04,-0.95,-0.02,86.00,-27.00,-37.00
2252.00,9.53,0.01,-0.54,0.04,-0.95,-0.02,86.00,-27.00,-37.00
2263.00,9.40,0.19,-0.26,0.04,-0.98,-0.03,86.00,-27.00,-37.00
2274.00,9.40,0.19,-0.26,0.04,-0.98,-0.03,86.00,-27.00,-37.00
2287.00,9.40,0.08,-1.02,-0.01,-1.03,-0.04,86.00,-27.00,-37.00
2298.00,10.39,-0.51,-5.95,0.04,-0.82,0.07,86.00,-27.00,-37.00
2310.00,10.39,-0.51,-5.95,0.04,-0.82,0.07,86.00,-27.00,-37.00
2322.00,9.15,0.34,-4.29,0.05,-0.46,0.02,86.00,-27.00,-37.00
2335.00,9.15,0.34,-4.29,0.05,-0.46,0.02,86.00,-27.00,-37.00
2347.00,8.97,-0.05,-3.63,0.03,0.06,-0.00,81.00,-30.00,-46.00
2359.00,9.37,-0.11,-1.31,0.04,0.37,-0.04,81.00,-30.00,-46.00
2371.00,9.37,-0.11,-1.31,0.04,0.37,-0.04,81.00,-30.00,-46.00
2384.00,11.53,0.22,2.19,0.00,0.41,-0.06,81.00,-30.00,-46.00
2395.00,11.53,0.22,2.19,0.00,0.41,-0.06,81.00,-30.00,-46.00
2407.00,9.81,0.99,0.94,-0.06,0.16,-0.02,81.00,-30.00,-46.00
2418.00,9.40,-0.87,-0.45,-0.00,0.06,0.00,81.00,-30.00,-46.00
