time,ax,ay,az,gx,gy,gz
0.002,1.72,1.33,-10.33,0.22,0.36,0.44
0.013,1.43,1.36,-10.12,0.25,0.34,0.44
0.025,1.35,1.29,-9.54,0.27,0.42,0.43
0.035,1.4096774193548387,1.2383870967741935,-9.13032258064516,0.29258064516129034,0.5925806451612904,0.412258064516129
0.045,1.4693548387096775,1.186774193548387,-8.720645161290323,0.31516129032258067,0.7651612903225806,0.3945161290322581
0.055,1.5290322580645161,1.1351612903225807,-8.310967741935483,0.337741935483871,0.937741935483871,0.3767741935483871
0.065,1.588709677419355,1.0835483870967741,-7.901290322580644,0.3603225806451613,1.1103225806451613,0.3590322580645161
0.07500000000000001,1.6483870967741936,1.0319354838709676,-7.491612903225805,0.38290322580645164,1.2829032258064519,0.3412903225806451
0.087,1.72,0.97,-7.0,0.41,1.49,0.32
0.098,1.72,0.97,-7.0,0.41,1.49,0.32
0.11,1.62,0.91,-6.78,0.46,1.76,0.28
0.121,1.62,0.91,-6.78,0.46,1.76,0.28
0.133,1.63,1.04,-6.5,0.5,1.89,0.22
0.146,1.8,0.71,-6.35,0.52,2.01,0.15
0.157,1.8,0.71,-6.35,0.52,2.01,0.15
0.169,1.99,0.67,-5.72,0.57,2.24,0.12
0.179,1.99,0.67,-5.72,0.57,2.24,0.12
0.193,2.28,1.06,-5.33,0.63,2.41,0.12
0.205,2.39,1.36,-5.15,0.68,2.57,0.17
0.217,2.39,1.36,-5.15,0.68,2.57,0.17
0.227,2.17,1.05,-4.79,0.72,2.72,0.24
0.239,2.17,1.05,-4.79,0.72,2.72,0.24
0.252,1.89,0.52,-4.9,0.74,2.99,0.32
0.263,1.89,0.52,-4.9,0.74,2.99,0.32
0.275,1.79,0.13,-4.84,0.74,3.53,0.4
0.287,2.06,0.18,-4.53,0.72,4.24,0.48
0.299,2.06,0.18,-4.53,0.72,4.24,0.48
0.311,2.78,0.47,-4.21,0.7,4.99,0.58
0.322,2.78,0.47,-4.21,0.7,4.99,0.58
