time,ax,ay,az,gx,gy,gz
0.00,-9.98,0.11,-0.45,-0.00,0.00,0.00
0.01,-9.98,0.11,-0.42,-0.00,-0.00,0.00
0.02,-9.99,0.11,-0.42,-0.00,-0.00,0.00
0.04,-9.99,0.11,-0.42,-0.00,-0.00,0.00
0.05,-10.00,0.10,-0.48,-0.00,-0.00,0.00
0.11,-9.99,0.10,-0.46,-0.00,-0.00,0.00
0.12,-9.99,0.10,-0.46,-0.00,-0.00,0.00
0.13,-9.98,0.11,-0.43,-0.00,-0.00,-0.00
0.14,-9.98,0.11,-0.43,-0.00,-0.00,-0.00
0.15,-9.99,0.12,-0.44,-0.00,-0.00,0.00
0.17,-9.98,0.10,-0.44,-0.00,-0.00,0.00
0.18,-9.98,0.10,-0.44,-0.00,-0.00,0.00
0.19,-9.98,0.11,-0.44,-0.00,0.00,-0.00
0.20,-9.98,0.11,-0.44,-0.00,0.00,-0.00
0.21,-10.00,0.12,-0.44,-0.00,-0.00,0.00
0.23,-9.98,0.11,-0.42,-0.00,-0.00,0.00
0.24,-9.98,0.11,-0.42,-0.00,-0.00,0.00
0.25,-9.99,0.10,-0.46,-0.00,-0.00,0.00
0.26,-9.99,0.10,-0.46,-0.00,-0.00,0.00
0.27,-9.98,0.11,-0.44,-0.00,-0.00,0.00
0.28,-9.99,0.10,-0.45,-0.00,-0.00,0.00
0.30,-9.99,0.10,-0.45,-0.00,-0.00,0.00
0.31,-9.98,0.10,-0.45,-0.00,-0.00,0.00
0.32,-9.98,0.10,-0.45,-0.00,-0.00,0.00
0.33,-9.99,0.11,-0.42,-0.00,-0.00,0.00
0.34,-9.99,0.11,-0.45,-0.00,-0.00,-0.00
0.36,-9.99,0.11,-0.45,-0.00,-0.00,-0.00
0.37,-9.98,0.12,-0.44,-0.00,-0.00,-0.00
0.38,-9.98,0.12,-0.44,-0.00,-0.00,-0.00
0.39,-9.98,0.11,-0.43,-0.00,-0.00,0.00
0.40,-9.99,0.10,-0.45,-0.00,-0.00,0.00
0.42,-9.99,0.10,-0.45,-0.00,-0.00,0.00
0.43,-9.99,0.10,-0.46,-0.00,-0.00,0.00
